,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
2310000,06/21/2019 09:45:00 AM,300,0.84,32,8,Nova Taxi Affiliation Llc
2310001,06/21/2019 09:45:00 AM,480,1.9,32,33,Chicago Medallion Management
2310002,06/21/2019 09:45:00 AM,378,0.96,32,8,Flash Cab
2310003,06/21/2019 09:45:00 AM,347,0.65,28,32,Flash Cab
2310004,06/21/2019 09:45:00 AM,352,0.56,28,32,Chicago Carriage Cab Corp
2310005,06/21/2019 10:00:00 AM,540,1.6,8,32,Taxi Affiliation Services
2310006,06/21/2019 10:00:00 AM,240,0.7,8,32,Chicago Medallion Management
2310007,06/21/2019 10:00:00 AM,480,1.4,28,32,Taxi Affiliation Services
2310008,06/21/2019 10:00:00 AM,300,0.6,32,28,Star North Management LLC
2310009,06/21/2019 10:00:00 AM,534,1.26,8,32,Flash Cab
2310010,06/21/2019 10:00:00 AM,360,0.8,8,32,Taxi Affiliation Services
2310011,06/21/2019 10:00:00 AM,1860,0.6,56,28,Blue Ribbon Taxi Association Inc.
2310012,06/21/2019 10:00:00 AM,360,0.7,32,28,Taxi Affiliation Services
2310013,06/21/2019 10:00:00 AM,515,1.6,28,8,Taxi Affiliation Service Yellow
2310014,06/21/2019 10:00:00 AM,498,1.2,8,32,Medallion Leasin
2310015,06/21/2019 10:00:00 AM,278,0.6,28,32,Medallion Leasin
2310016,06/21/2019 10:00:00 AM,441,0.83,32,28,Flash Cab
2310017,06/21/2019 10:00:00 AM,413,0.75,32,28,Flash Cab
2310018,06/21/2019 10:00:00 AM,581,1.53,8,32,Chicago Carriage Cab Corp
2310019,06/21/2019 10:00:00 AM,371,0.89,32,32,Chicago Carriage Cab Corp
2310020,06/21/2019 10:00:00 AM,280,0.62,28,32,Sun Taxi
2310021,06/21/2019 10:00:00 AM,540,0.6,28,32,Taxi Affiliation Services
2310022,06/21/2019 10:00:00 AM,360,0.96,8,28,Nova Taxi Affiliation Llc
2310023,06/21/2019 10:00:00 AM,361,1.06,28,32,Chicago Carriage Cab Corp
2310024,06/21/2019 10:00:00 AM,418,1.44,14,4,Flash Cab
2310025,06/21/2019 10:00:00 AM,362,1.1,8,8,Flash Cab
2310026,06/21/2019 10:00:00 AM,360,1.8,32,33,Star North Management LLC
2310027,06/21/2019 10:00:00 AM,470,0.76,32,32,Flash Cab
2310028,06/21/2019 10:00:00 AM,237,0.8,21,16,Patriot Taxi Dba Peace Taxi Associat
2310029,06/21/2019 10:00:00 AM,360,1.0,28,28,Star North Management LLC
2310030,06/21/2019 10:00:00 AM,193,0.6,28,32,Chicago Carriage Cab Corp
2310031,06/21/2019 10:00:00 AM,313,0.81,8,32,Chicago Carriage Cab Corp
2310032,06/21/2019 10:00:00 AM,300,0.7,32,32,Star North Management LLC
2310033,06/21/2019 10:00:00 AM,499,1.14,32,8,Chicago Carriage Cab Corp
2310034,06/21/2019 10:00:00 AM,540,1.0,28,8,Star North Management LLC
2310035,06/21/2019 10:00:00 AM,573,1.05,77,3,Flash Cab
2310036,06/21/2019 10:00:00 AM,187,0.85,32,28,Chicago Carriage Cab Corp
2310037,06/21/2019 10:00:00 AM,431,1.65,28,28,Flash Cab
2310038,06/21/2019 10:00:00 AM,314,0.8,28,32,Taxi Affiliation Service Yellow
2310039,06/21/2019 10:00:00 AM,437,1.1,32,32,Taxi Affiliation Service Yellow
2310040,06/21/2019 10:00:00 AM,402,0.8,8,32,Setare Inc
2310041,06/21/2019 10:00:00 AM,300,0.7,28,32,Medallion Leasin
2310042,06/21/2019 10:00:00 AM,538,1.45,28,28,Flash Cab
2310043,06/21/2019 10:00:00 AM,231,0.72,8,32,City Service
2310044,06/21/2019 10:00:00 AM,499,1.88,28,28,Chicago Carriage Cab Corp
