,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
2330000,06/22/2019 08:00:00 PM,540,0.7,8,8,Star North Management LLC
2330001,06/22/2019 08:00:00 PM,571,1.1,8,32,Checker Taxi Affiliation
2330002,06/22/2019 08:00:00 PM,420,0.9,8,32,Taxi Affiliation Services
2330003,06/22/2019 08:00:00 PM,292,0.81,8,32,Patriot Taxi Dba Peace Taxi Associat
2330004,06/22/2019 08:00:00 PM,420,0.9,32,32,Medallion Leasin
2330005,06/22/2019 08:00:00 PM,333,0.94,32,8,Chicago Carriage Cab Corp
2330006,06/22/2019 08:00:00 PM,485,0.79,8,8,City Service
2330007,06/22/2019 08:00:00 PM,499,0.82,8,8,Chicago Carriage Cab Corp
2330008,06/22/2019 08:15:00 PM,317,0.8,32,8,City Service
2330009,06/22/2019 08:15:00 PM,299,1.0,6,7,Chicago Independents
2330010,06/22/2019 08:15:00 PM,404,0.8,8,32,Checker Taxi Affiliation
2330011,06/22/2019 08:15:00 PM,446,1.65,3,77,Flash Cab
2330012,06/22/2019 08:15:00 PM,517,1.24,32,32,Flash Cab
2330013,06/22/2019 08:15:00 PM,544,1.4,8,32,Flash Cab
2330014,06/22/2019 08:15:00 PM,360,1.0,8,7,Taxi Affiliation Services
2330015,06/22/2019 08:15:00 PM,360,1.7,1,77,Taxi Affiliation Services
2330016,06/22/2019 08:15:00 PM,480,0.9,8,32,"Taxicab Insurance Agency, LLC"
2330017,06/22/2019 08:15:00 PM,550,1.67,8,7,City Service
2330018,06/22/2019 08:15:00 PM,422,0.57,8,8,Sun Taxi
2330019,06/22/2019 08:15:00 PM,525,0.89,8,8,Taxi Affiliation Service Yellow
2330020,06/22/2019 08:15:00 PM,480,1.2,8,8,Choice Taxi Association
2330021,06/22/2019 08:15:00 PM,553,1.11,32,8,Flash Cab
2330022,06/22/2019 08:15:00 PM,420,0.7,8,8,Star North Management LLC
2330023,06/22/2019 08:15:00 PM,221,0.52,28,32,City Service
2330024,06/22/2019 08:15:00 PM,447,1.27,8,28,Flash Cab
2330025,06/22/2019 08:15:00 PM,300,1.1,8,8,KOAM Taxi Association
2330026,06/22/2019 08:15:00 PM,360,1.2,8,8,"Taxicab Insurance Agency, LLC"
2330027,06/22/2019 08:15:00 PM,395,0.7,32,32,Medallion Leasin
2330028,06/22/2019 08:15:00 PM,350,0.76,8,8,Flash Cab
2330029,06/22/2019 08:15:00 PM,308,0.68,32,32,Flash Cab
2330030,06/22/2019 08:15:00 PM,360,0.9,6,6,KOAM Taxi Association
2330031,06/22/2019 08:15:00 PM,492,1.95,8,32,Chicago Carriage Cab Corp
2330032,06/22/2019 08:15:00 PM,547,1.6,8,24,Medallion Leasin
2330033,06/22/2019 08:15:00 PM,300,1.1,33,33,Top Cab Affiliation
2330034,06/22/2019 08:15:00 PM,300,0.6,8,8,Star North Management LLC
2330035,06/22/2019 08:15:00 PM,537,1.0,8,8,City Service
2330036,06/22/2019 08:15:00 PM,524,1.88,33,33,24 Seven Taxi
2330037,06/22/2019 08:15:00 PM,290,0.7,8,32,Taxi Affiliation Service Yellow
2330038,06/22/2019 08:15:00 PM,2040,1.0,76,8,Blue Ribbon Taxi Association Inc.
2330039,06/22/2019 08:15:00 PM,353,1.12,7,7,Flash Cab
2330040,06/22/2019 08:15:00 PM,482,1.04,8,8,Chicago Carriage Cab Corp
