,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
2340000,06/23/2019 09:30:00 PM,411,1.52,24,8,Chicago Carriage Cab Corp
2340001,06/23/2019 09:30:00 PM,414,1.08,8,8,Flash Cab
2340002,06/23/2019 09:30:00 PM,420,1.4,6,3,Taxi Affiliation Services
2340003,06/23/2019 09:30:00 PM,540,1.6,32,8,Taxi Affiliation Services
2340004,06/23/2019 09:30:00 PM,420,0.7,8,8,Taxi Affiliation Services
2340005,06/23/2019 09:30:00 PM,560,1.87,8,8,Sun Taxi
2340006,06/23/2019 09:30:00 PM,507,1.22,32,8,Flash Cab
2340007,06/23/2019 09:30:00 PM,239,0.74,6,6,Flash Cab
2340008,06/23/2019 09:30:00 PM,315,0.89,8,8,Chicago Carriage Cab Corp
2340009,06/23/2019 09:30:00 PM,275,0.9,6,3,Medallion Leasin
2340010,06/23/2019 09:30:00 PM,520,1.78,28,8,City Service
2340011,06/23/2019 09:30:00 PM,336,1.12,8,32,Flash Cab
2340012,06/23/2019 09:30:00 PM,360,0.9,8,8,Taxi Affiliation Services
2340013,06/23/2019 09:30:00 PM,480,1.0,8,32,Choice Taxi Association
2340014,06/23/2019 09:30:00 PM,420,1.43,8,8,Patriot Taxi Dba Peace Taxi Associat
2340015,06/23/2019 09:30:00 PM,360,1.6,32,32,Star North Management LLC
2340016,06/23/2019 09:30:00 PM,540,1.5,32,28,Medallion Leasin
2340017,06/23/2019 09:30:00 PM,1860,1.0,76,32,Taxi Affiliation Services
2340018,06/23/2019 09:30:00 PM,381,1.35,33,32,Sun Taxi
2340019,06/23/2019 09:30:00 PM,1860,1.1,76,32,Taxi Affiliation Services
2340020,06/23/2019 09:30:00 PM,281,0.9,8,32,Medallion Leasin
2340021,06/23/2019 09:30:00 PM,475,1.2,32,8,City Service
2340022,06/23/2019 09:30:00 PM,420,1.7,32,8,Taxi Affiliation Services
2340023,06/23/2019 09:30:00 PM,200,0.59,6,6,Chicago Carriage Cab Corp
2340024,06/23/2019 09:30:00 PM,420,1.4,32,8,Taxi Affiliation Services
2340025,06/23/2019 09:30:00 PM,400,1.07,8,8,Chicago Carriage Cab Corp
2340026,06/23/2019 09:30:00 PM,228,0.72,8,8,Chicago Carriage Cab Corp
2340027,06/23/2019 09:30:00 PM,492,1.04,6,6,City Service
2340028,06/23/2019 09:30:00 PM,285,1.4,2,77,Flash Cab
2340029,06/23/2019 09:30:00 PM,360,1.7,32,28,Choice Taxi Association
2340030,06/23/2019 09:30:00 PM,336,1.3,7,8,City Service
2340031,06/23/2019 09:30:00 PM,2087,1.34,33,34,Flash Cab
2340032,06/23/2019 09:30:00 PM,221,0.56,8,8,Flash Cab
2340033,06/23/2019 09:30:00 PM,317,1.08,24,22,Flash Cab
2340034,06/23/2019 09:30:00 PM,300,1.1,8,8,Taxi Affiliation Services
2340035,06/23/2019 09:30:00 PM,480,1.02,8,8,City Service
2340036,06/23/2019 09:30:00 PM,296,0.93,32,8,Sun Taxi
2340037,06/23/2019 09:30:00 PM,240,1.0,6,6,Chicago Medallion Management
2340038,06/23/2019 09:30:00 PM,480,1.1,6,6,1469 - 64126 Omar Jada
2340039,06/23/2019 09:30:00 PM,278,0.66,6,8,Sun Taxi
2340040,06/23/2019 09:30:00 PM,344,0.97,8,8,Flash Cab
2340041,06/23/2019 09:30:00 PM,244,0.81,7,8,Chicago Carriage Cab Corp
2340042,06/23/2019 09:30:00 PM,300,0.8,28,8,Taxi Affiliation Services
2340043,06/23/2019 09:30:00 PM,300,0.9,6,6,Medallion Leasin
2340044,06/23/2019 09:30:00 PM,360,1.3,3,6,Taxi Affiliation Services
2340045,06/23/2019 09:30:00 PM,300,1.0,32,32,Star North Management LLC
2340046,06/23/2019 09:30:00 PM,300,0.8,8,8,Choice Taxi Association
2340047,06/23/2019 09:30:00 PM,3398,0.96,32,32,Flash Cab
2340048,06/23/2019 09:30:00 PM,403,0.84,8,8,Nova Taxi Affiliation Llc
2340049,06/23/2019 09:30:00 PM,240,0.8,8,8,Medallion Leasin
2340050,06/23/2019 09:30:00 PM,420,1.9,8,7,Taxi Affiliation Services
2340051,06/23/2019 09:30:00 PM,285,0.75,8,8,Flash Cab
2340052,06/23/2019 09:45:00 PM,435,1.39,28,8,Chicago Carriage Cab Corp
2340053,06/23/2019 09:45:00 PM,348,0.8,8,8,Chicago Independents
2340054,06/23/2019 09:45:00 PM,529,1.64,8,32,Nova Taxi Affiliation Llc
2340055,06/23/2019 09:45:00 PM,300,0.7,8,8,Taxi Affiliation Services
2340056,06/23/2019 09:45:00 PM,360,1.2,24,28,Taxi Affiliation Services
2340057,06/23/2019 09:45:00 PM,433,0.9,32,32,Taxi Affiliation Service Yellow
2340058,06/23/2019 09:45:00 PM,450,1.1,28,32,City Service
2340059,06/23/2019 09:45:00 PM,339,1.41,14,16,Flash Cab
2340060,06/23/2019 09:45:00 PM,332,0.9,32,8,Flash Cab
2340061,06/23/2019 09:45:00 PM,420,1.6,33,33,Taxi Affiliation Services
2340062,06/23/2019 09:45:00 PM,260,0.97,8,8,Sun Taxi
2340063,06/23/2019 09:45:00 PM,240,0.9,6,3,Taxi Affiliation Services
2340064,06/23/2019 09:45:00 PM,397,1.14,8,8,Chicago Carriage Cab Corp
2340065,06/23/2019 09:45:00 PM,300,1.8,33,33,Chicago Independents
2340066,06/23/2019 09:45:00 PM,437,1.3,7,6,Medallion Leasin
2340067,06/23/2019 09:45:00 PM,568,1.73,6,3,Chicago Carriage Cab Corp
2340068,06/23/2019 09:45:00 PM,336,0.63,8,8,Flash Cab
2340069,06/23/2019 09:45:00 PM,483,1.74,32,8,City Service
2340070,06/23/2019 09:45:00 PM,540,1.2,8,8,Star North Management LLC
2340071,06/23/2019 09:45:00 PM,387,1.69,28,24,Flash Cab
2340072,06/23/2019 09:45:00 PM,360,1.1,32,8,Star North Management LLC
2340073,06/23/2019 09:45:00 PM,274,1.04,8,8,City Service
2340074,06/23/2019 09:45:00 PM,300,1.0,6,6,Taxi Affiliation Services
2340075,06/23/2019 09:45:00 PM,420,0.9,8,8,Star North Management LLC
2340076,06/23/2019 09:45:00 PM,201,0.59,8,8,City Service
2340077,06/23/2019 09:45:00 PM,325,0.84,32,8,Sun Taxi
2340078,06/23/2019 09:45:00 PM,222,0.72,32,8,City Service
2340079,06/23/2019 09:45:00 PM,521,1.4,8,32,Medallion Leasin
2340080,06/23/2019 09:45:00 PM,300,0.8,8,8,Taxi Affiliation Services
2340081,06/23/2019 09:45:00 PM,353,1.2,8,32,City Service
2340082,06/23/2019 09:45:00 PM,420,1.2,8,8,Choice Taxi Association
2340083,06/23/2019 09:45:00 PM,458,0.78,8,8,Flash Cab
2340084,06/23/2019 09:45:00 PM,358,1.77,3,4,Flash Cab
2340085,06/23/2019 09:45:00 PM,210,0.58,8,8,City Service
2340086,06/23/2019 09:45:00 PM,454,1.76,7,8,City Service
2340087,06/23/2019 09:45:00 PM,240,0.7,8,8,Taxi Affiliation Services
2340088,06/23/2019 09:45:00 PM,415,1.08,32,8,Sun Taxi
2340089,06/23/2019 09:45:00 PM,2460,10.9,56,32,Taxi Affiliation Services
2340090,06/23/2019 09:45:00 PM,406,1.42,8,8,Flash Cab
2340091,06/23/2019 09:45:00 PM,420,1.0,6,6,Taxi Affiliation Services
2340092,06/23/2019 09:45:00 PM,300,0.6,8,8,Taxi Affiliation Services
2340093,06/23/2019 09:45:00 PM,540,1.7,6,3,City Service
2340094,06/23/2019 09:45:00 PM,243,0.57,8,8,Sun Taxi
2340095,06/23/2019 09:45:00 PM,348,1.16,7,8,Nova Taxi Affiliation Llc
2340096,06/23/2019 09:45:00 PM,344,0.82,6,7,Flash Cab
2340097,06/23/2019 09:45:00 PM,1860,1.1,76,32,Blue Ribbon Taxi Association Inc.
2340098,06/23/2019 09:45:00 PM,277,0.77,8,8,Flash Cab
2340099,06/23/2019 09:45:00 PM,253,1.15,8,8,Sun Taxi
2340100,06/23/2019 09:45:00 PM,542,1.8,8,8,Sun Taxi
2340101,06/23/2019 09:45:00 PM,2160,1.1,76,33,Blue Ribbon Taxi Association Inc.
2340102,06/23/2019 09:45:00 PM,583,0.74,8,8,Chicago Carriage Cab Corp
2340103,06/23/2019 09:45:00 PM,420,1.2,8,8,Medallion Leasin
2340104,06/23/2019 09:45:00 PM,197,0.71,3,3,Flash Cab
2340105,06/23/2019 09:45:00 PM,480,1.4,32,8,Taxi Affiliation Services
2340106,06/23/2019 09:45:00 PM,420,0.7,32,8,"Taxicab Insurance Agency, LLC"
2340107,06/23/2019 09:45:00 PM,414,1.5,8,32,Chicago Carriage Cab Corp
2340108,06/23/2019 09:45:00 PM,381,1.0,32,32,Taxi Affiliation Service Yellow
2340109,06/23/2019 09:45:00 PM,240,0.7,8,8,Taxi Affiliation Services
2340110,06/23/2019 09:45:00 PM,287,0.71,8,8,Sun Taxi
2340111,06/23/2019 09:45:00 PM,300,1.2,32,8,Taxi Affiliation Services
2340112,06/23/2019 09:45:00 PM,544,1.41,8,32,Flash Cab
2340113,06/23/2019 09:45:00 PM,458,0.93,8,8,Flash Cab
2340114,06/23/2019 09:45:00 PM,300,1.0,7,7,Sun Taxi
2340115,06/23/2019 09:45:00 PM,420,0.83,8,8,City Service
2340116,06/23/2019 09:45:00 PM,420,1.6,8,24,Star North Management LLC
2340117,06/23/2019 09:45:00 PM,256,0.56,6,6,Flash Cab
2340118,06/23/2019 09:45:00 PM,558,1.6,8,28,Medallion Leasin
2340119,06/23/2019 09:45:00 PM,540,1.7,8,32,Medallion Leasin
2340120,06/23/2019 09:45:00 PM,470,1.14,3,32,24 Seven Taxi
