,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
2350000,06/24/2019 05:30:00 PM,540,1.3,32,8,Taxi Affiliation Services
2350001,06/24/2019 05:30:00 PM,384,0.55,32,32,Flash Cab
2350002,06/24/2019 05:30:00 PM,582,1.29,32,28,Chicago Carriage Cab Corp
2350003,06/24/2019 05:30:00 PM,330,0.65,8,32,Flash Cab
2350004,06/24/2019 05:30:00 PM,563,0.91,32,8,Flash Cab
2350005,06/24/2019 05:30:00 PM,347,1.03,40,41,Taxi Affiliation Service Yellow
2350006,06/24/2019 05:30:00 PM,240,0.7,32,32,Taxi Affiliation Services
2350007,06/24/2019 05:30:00 PM,480,1.0,32,28,Medallion Leasin
2350008,06/24/2019 05:30:00 PM,565,1.08,8,8,Sun Taxi
2350009,06/24/2019 05:30:00 PM,368,0.73,32,32,Flash Cab
2350010,06/24/2019 05:30:00 PM,381,0.84,32,32,Sun Taxi
2350011,06/24/2019 05:30:00 PM,513,1.06,28,32,Chicago Carriage Cab Corp
2350012,06/24/2019 05:30:00 PM,360,0.9,32,8,Medallion Leasin
2350013,06/24/2019 05:30:00 PM,349,0.7,32,8,Medallion Leasin
2350014,06/24/2019 05:30:00 PM,470,0.97,8,8,Chicago Carriage Cab Corp
2350015,06/24/2019 05:30:00 PM,2492,10.28,41,8,Chicago Carriage Cab Corp
2350016,06/24/2019 05:30:00 PM,238,0.81,32,28,24 Seven Taxi
2350017,06/24/2019 05:30:00 PM,300,0.7,32,32,Taxi Affiliation Services
2350018,06/24/2019 05:30:00 PM,583,1.49,8,32,Chicago Carriage Cab Corp
2350019,06/24/2019 05:30:00 PM,521,1.01,28,28,Chicago Carriage Cab Corp
2350020,06/24/2019 05:30:00 PM,348,0.56,8,32,Sun Taxi
2350021,06/24/2019 05:45:00 PM,415,0.86,32,28,Chicago Carriage Cab Corp
2350022,06/24/2019 05:45:00 PM,240,0.8,8,32,Choice Taxi Association
2350023,06/24/2019 05:45:00 PM,386,0.94,28,32,Chicago Carriage Cab Corp
2350024,06/24/2019 05:45:00 PM,559,1.0,28,28,Chicago Carriage Cab Corp
2350025,06/24/2019 05:45:00 PM,498,0.94,28,8,Chicago Carriage Cab Corp
2350026,06/24/2019 05:45:00 PM,300,1.0,32,32,Star North Management LLC
2350027,06/24/2019 05:45:00 PM,360,0.6,32,32,Medallion Leasin
2350028,06/24/2019 05:45:00 PM,2880,1.1,56,6,Blue Ribbon Taxi Association Inc.
