,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
2380000,06/26/2019 07:45:00 PM,376,0.9,32,32,Medallion Leasin
2380001,06/26/2019 07:45:00 PM,300,0.9,32,28,"Taxicab Insurance Agency, LLC"
2380002,06/26/2019 07:45:00 PM,549,0.97,8,8,5 Star Taxi
2380003,06/26/2019 07:45:00 PM,480,1.5,8,32,Taxi Affiliation Services
2380004,06/26/2019 07:45:00 PM,540,1.4,32,8,Taxi Affiliation Services
2380005,06/26/2019 07:45:00 PM,480,1.7,32,8,KOAM Taxi Association
2380006,06/26/2019 07:45:00 PM,404,1.16,8,32,Chicago Carriage Cab Corp
2380007,06/26/2019 07:45:00 PM,480,0.6,8,8,Choice Taxi Association
2380008,06/26/2019 07:45:00 PM,360,0.8,28,32,Star North Management LLC
2380009,06/26/2019 07:45:00 PM,266,0.73,32,8,Flash Cab
2380010,06/26/2019 07:45:00 PM,415,0.9,8,8,Sun Taxi
2380011,06/26/2019 07:45:00 PM,420,0.98,8,32,Chicago Carriage Cab Corp
2380012,06/26/2019 07:45:00 PM,420,1.4,32,8,Star North Management LLC
2380013,06/26/2019 07:45:00 PM,429,1.1,8,32,Medallion Leasin
2380014,06/26/2019 07:45:00 PM,240,0.6,7,7,Choice Taxi Association
2380015,06/26/2019 07:45:00 PM,440,0.9,32,8,Medallion Leasin
2380016,06/26/2019 07:45:00 PM,300,0.8,28,32,Star North Management LLC
2380017,06/26/2019 07:45:00 PM,2280,1.0,28,76,Taxi Affiliation Services
2380018,06/26/2019 07:45:00 PM,360,0.9,32,32,Taxi Affiliation Services
2380019,06/26/2019 07:45:00 PM,300,0.7,28,28,Taxi Affiliation Services
2380020,06/26/2019 07:45:00 PM,417,1.17,32,32,Sun Taxi
2380021,06/26/2019 07:45:00 PM,565,1.1,32,8,Taxi Affiliation Service Yellow
2380022,06/26/2019 07:45:00 PM,470,1.09,32,28,Sun Taxi
2380023,06/26/2019 07:45:00 PM,493,1.11,8,8,Sun Taxi
