,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
2390000,06/27/2019 02:15:00 PM,507,1.24,8,8,Chicago Independents
2390001,06/27/2019 02:15:00 PM,525,1.4,8,8,City Service
2390002,06/27/2019 02:15:00 PM,540,1.3,32,8,Taxi Affiliation Services
2390003,06/27/2019 02:15:00 PM,519,0.55,8,32,Sun Taxi
2390004,06/27/2019 02:15:00 PM,315,1.04,22,22,Sun Taxi
2390005,06/27/2019 02:15:00 PM,597,1.87,28,32,Chicago Carriage Cab Corp
2390006,06/27/2019 02:15:00 PM,476,1.19,32,32,Sun Taxi
2390007,06/27/2019 02:15:00 PM,577,1.14,8,8,City Service
2390008,06/27/2019 02:15:00 PM,341,1.02,6,6,Flash Cab
2390009,06/27/2019 02:15:00 PM,360,0.9,8,32,"Taxicab Insurance Agency, LLC"
2390010,06/27/2019 02:15:00 PM,420,0.9,8,28,Medallion Leasin
2390011,06/27/2019 02:15:00 PM,300,0.9,28,8,Star North Management LLC
2390012,06/27/2019 02:15:00 PM,596,1.3,28,32,Medallion Leasin
2390013,06/27/2019 02:15:00 PM,205,0.61,41,41,Flash Cab
2390014,06/27/2019 02:15:00 PM,473,1.0,32,32,City Service
2390015,06/27/2019 02:15:00 PM,268,0.65,8,8,Flash Cab
2390016,06/27/2019 02:15:00 PM,420,1.0,8,8,Top Cab Affiliation
2390017,06/27/2019 02:15:00 PM,420,1.3,8,8,Choice Taxi Association
2390018,06/27/2019 02:15:00 PM,344,0.6,8,8,City Service
2390019,06/27/2019 02:15:00 PM,480,1.0,28,32,Taxi Affiliation Services
2390020,06/27/2019 02:15:00 PM,480,1.1,28,8,Taxi Affiliation Services
2390021,06/27/2019 02:15:00 PM,480,0.9,32,28,Star North Management LLC
2390022,06/27/2019 02:15:00 PM,348,0.79,32,32,Sun Taxi
2390023,06/27/2019 02:15:00 PM,540,1.2,6,7,Star North Management LLC
2390024,06/27/2019 02:15:00 PM,480,0.9,8,8,Choice Taxi Association
2390025,06/27/2019 02:15:00 PM,404,0.83,28,28,Sun Taxi
2390026,06/27/2019 02:15:00 PM,540,1.1,8,32,City Service
2390027,06/27/2019 02:15:00 PM,525,0.87,8,28,Chicago Carriage Cab Corp
2390028,06/27/2019 02:15:00 PM,480,1.5,33,32,Medallion Leasin
2390029,06/27/2019 02:15:00 PM,322,0.69,28,32,Flash Cab
2390030,06/27/2019 02:15:00 PM,330,0.78,8,32,Flash Cab
2390031,06/27/2019 02:15:00 PM,420,1.3,32,32,Medallion Leasin
2390032,06/27/2019 02:15:00 PM,363,0.85,28,32,Chicago Carriage Cab Corp
