,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
2400000,06/28/2019 08:15:00 AM,280,0.61,28,32,Chicago Carriage Cab Corp
2400001,06/28/2019 08:15:00 AM,388,0.62,28,32,City Service
2400002,06/28/2019 08:15:00 AM,374,0.91,32,32,Flash Cab
2400003,06/28/2019 08:15:00 AM,407,0.91,32,32,Sun Taxi
2400004,06/28/2019 08:15:00 AM,379,0.85,32,28,Taxi Affiliation Service Yellow
2400005,06/28/2019 08:15:00 AM,420,1.6,8,32,Taxi Affiliation Services
2400006,06/28/2019 08:15:00 AM,456,0.68,8,8,Taxi Affiliation Service Yellow
2400007,06/28/2019 08:15:00 AM,458,1.1,8,32,Chicago Independents
2400008,06/28/2019 08:15:00 AM,280,0.8,8,28,Medallion Leasin
2400009,06/28/2019 08:15:00 AM,297,0.6,32,32,Chicago Taxicab
2400010,06/28/2019 08:15:00 AM,540,1.6,28,8,Taxi Affiliation Services
2400011,06/28/2019 08:15:00 AM,360,1.1,28,28,Star North Management LLC
2400012,06/28/2019 08:15:00 AM,377,0.77,32,32,Patriot Taxi Dba Peace Taxi Associat
2400013,06/28/2019 08:15:00 AM,2280,1.1,32,76,Taxi Affiliation Services
2400014,06/28/2019 08:15:00 AM,300,0.6,32,28,Taxi Affiliation Services
2400015,06/28/2019 08:15:00 AM,515,1.25,28,28,Chicago Carriage Cab Corp
2400016,06/28/2019 08:15:00 AM,360,0.7,8,28,Top Cab Affiliation
2400017,06/28/2019 08:15:00 AM,365,0.89,8,32,Sun Taxi
2400018,06/28/2019 08:15:00 AM,476,0.61,28,32,Flash Cab
2400019,06/28/2019 08:15:00 AM,420,0.8,28,8,Taxi Affiliation Services
2400020,06/28/2019 08:15:00 AM,202,0.55,28,32,Chicago Carriage Cab Corp
2400021,06/28/2019 08:15:00 AM,595,0.8,32,32,Chicago Carriage Cab Corp
2400022,06/28/2019 08:15:00 AM,358,1.11,32,28,Nova Taxi Affiliation Llc
2400023,06/28/2019 08:15:00 AM,542,1.39,32,8,Sun Taxi
2400024,06/28/2019 08:15:00 AM,271,0.63,32,8,24 Seven Taxi
2400025,06/28/2019 08:15:00 AM,381,0.79,32,32,City Service
2400026,06/28/2019 08:15:00 AM,455,1.0,32,32,Flash Cab
2400027,06/28/2019 08:15:00 AM,402,0.75,28,32,Sun Taxi
2400028,06/28/2019 08:15:00 AM,420,1.6,8,8,Top Cab Affiliation
2400029,06/28/2019 08:15:00 AM,300,0.6,32,8,Medallion Leasin
2400030,06/28/2019 08:15:00 AM,429,1.06,8,8,24 Seven Taxi
2400031,06/28/2019 08:15:00 AM,441,1.0,32,8,Chicago Independents
2400032,06/28/2019 08:15:00 AM,374,0.83,28,28,Nova Taxi Affiliation Llc
2400033,06/28/2019 08:15:00 AM,529,1.55,33,33,Flash Cab
2400034,06/28/2019 08:15:00 AM,450,0.7,28,32,Medallion Leasin
2400035,06/28/2019 08:15:00 AM,300,0.7,8,8,Choice Taxi Association
2400036,06/28/2019 08:15:00 AM,343,0.95,32,32,Chicago Carriage Cab Corp
2400037,06/28/2019 08:15:00 AM,456,0.9,8,32,Medallion Leasin
2400038,06/28/2019 08:15:00 AM,593,1.53,8,32,City Service
2400039,06/28/2019 08:15:00 AM,240,0.6,32,28,Medallion Leasin
2400040,06/28/2019 08:15:00 AM,300,0.9,32,28,Medallion Leasin
2400041,06/28/2019 08:15:00 AM,578,1.17,32,28,Chicago Carriage Cab Corp
2400042,06/28/2019 08:15:00 AM,319,0.86,32,8,Chicago Carriage Cab Corp
2400043,06/28/2019 08:15:00 AM,472,1.03,28,32,Nova Taxi Affiliation Llc
2400044,06/28/2019 08:15:00 AM,323,0.55,8,32,Chicago Carriage Cab Corp
2400045,06/28/2019 08:15:00 AM,315,0.73,32,32,Flash Cab
2400046,06/28/2019 08:15:00 AM,2044,10.69,45,32,Flash Cab
2400047,06/28/2019 08:15:00 AM,234,0.68,32,8,Flash Cab
2400048,06/28/2019 08:15:00 AM,423,0.79,28,32,Chicago Carriage Cab Corp
2400049,06/28/2019 08:15:00 AM,564,0.65,3,3,Sun Taxi
2400050,06/28/2019 08:15:00 AM,386,1.3,49,73,Flash Cab
2400051,06/28/2019 08:15:00 AM,300,0.6,28,32,Choice Taxi Association
2400052,06/28/2019 08:15:00 AM,540,0.8,8,32,Medallion Leasin
2400053,06/28/2019 08:15:00 AM,360,1.1,8,32,Star North Management LLC
2400054,06/28/2019 08:15:00 AM,360,0.8,8,28,Medallion Leasin
2400055,06/28/2019 08:15:00 AM,183,0.55,32,8,City Service
2400056,06/28/2019 08:15:00 AM,369,1.31,32,8,Patriot Taxi Dba Peace Taxi Associat
2400057,06/28/2019 08:15:00 AM,420,0.91,8,32,24 Seven Taxi
2400058,06/28/2019 08:15:00 AM,456,0.9,28,28,Sun Taxi
2400059,06/28/2019 08:15:00 AM,300,0.9,32,8,Star North Management LLC
2400060,06/28/2019 08:15:00 AM,247,0.67,32,28,Chicago Carriage Cab Corp
2400061,06/28/2019 08:15:00 AM,420,1.1,32,28,"Taxicab Insurance Agency, LLC"
2400062,06/28/2019 08:15:00 AM,360,0.8,28,32,Star North Management LLC
2400063,06/28/2019 08:15:00 AM,596,1.01,8,32,Flash Cab
2400064,06/28/2019 08:15:00 AM,460,0.9,32,28,Taxi Affiliation Service Yellow
2400065,06/28/2019 08:15:00 AM,360,1.1,8,32,Taxi Affiliation Services
2400066,06/28/2019 08:15:00 AM,522,1.02,28,32,Nova Taxi Affiliation Llc
2400067,06/28/2019 08:15:00 AM,484,0.8,28,32,Chicago Taxicab
2400068,06/28/2019 08:15:00 AM,247,0.52,32,8,Chicago Carriage Cab Corp
2400069,06/28/2019 08:15:00 AM,454,1.0,28,32,Chicago Independents
2400070,06/28/2019 08:15:00 AM,388,0.65,28,32,Patriot Taxi Dba Peace Taxi Associat
2400071,06/28/2019 08:15:00 AM,563,0.65,32,32,Flash Cab
2400072,06/28/2019 08:15:00 AM,415,0.71,32,32,5 Star Taxi
2400073,06/28/2019 08:15:00 AM,360,1.0,32,28,Star North Management LLC
2400074,06/28/2019 08:15:00 AM,311,0.87,8,8,City Service
2400075,06/28/2019 08:15:00 AM,481,1.36,32,32,Chicago Carriage Cab Corp
2400076,06/28/2019 08:15:00 AM,587,1.2,8,8,Chicago Independents
2400077,06/28/2019 08:15:00 AM,535,1.0,8,8,City Service
2400078,06/28/2019 08:15:00 AM,360,1.6,41,42,Taxi Affiliation Services
2400079,06/28/2019 08:15:00 AM,484,1.1,32,32,Chicago Carriage Cab Corp
2400080,06/28/2019 08:15:00 AM,360,0.7,32,32,"Taxicab Insurance Agency, LLC"
2400081,06/28/2019 08:15:00 AM,499,1.1,28,32,City Service
2400082,06/28/2019 08:15:00 AM,420,0.8,8,32,Medallion Leasin
2400083,06/28/2019 08:15:00 AM,359,0.58,28,32,Sun Taxi
2400084,06/28/2019 08:15:00 AM,246,0.55,8,8,24 Seven Taxi
2400085,06/28/2019 08:15:00 AM,281,0.9,32,8,City Service
2400086,06/28/2019 08:15:00 AM,534,1.17,28,32,Chicago Carriage Cab Corp
2400087,06/28/2019 08:15:00 AM,557,1.25,32,32,Chicago Carriage Cab Corp
2400088,06/28/2019 08:15:00 AM,508,1.81,7,8,City Service
2400089,06/28/2019 08:15:00 AM,300,0.7,32,32,Star North Management LLC
2400090,06/28/2019 08:15:00 AM,511,1.27,28,32,Chicago Carriage Cab Corp
2400091,06/28/2019 08:15:00 AM,359,0.78,8,32,Blue Diamond
2400092,06/28/2019 08:15:00 AM,443,0.8,32,32,Chicago Carriage Cab Corp
2400093,06/28/2019 08:15:00 AM,360,0.9,8,32,Taxi Affiliation Services
2400094,06/28/2019 08:15:00 AM,505,0.89,32,8,Flash Cab
2400095,06/28/2019 08:15:00 AM,521,0.9,32,28,Chicago Carriage Cab Corp
2400096,06/28/2019 08:15:00 AM,496,1.32,32,32,Flash Cab
2400097,06/28/2019 08:15:00 AM,480,1.2,28,8,Star North Management LLC
2400098,06/28/2019 08:15:00 AM,240,0.6,32,32,Taxi Affiliation Services
2400099,06/28/2019 08:15:00 AM,417,1.0,8,8,Chicago Taxicab
2400100,06/28/2019 08:15:00 AM,594,1.8,7,8,Taxi Affiliation Service Yellow
2400101,06/28/2019 08:15:00 AM,420,1.4,32,28,Taxi Affiliation Services
2400102,06/28/2019 08:15:00 AM,472,0.91,8,8,Flash Cab
2400103,06/28/2019 08:15:00 AM,240,0.6,28,32,Taxi Affiliation Services
2400104,06/28/2019 08:15:00 AM,420,1.0,28,8,"Taxicab Insurance Agency, LLC"
2400105,06/28/2019 08:15:00 AM,347,1.0,27,27,Flash Cab
2400106,06/28/2019 08:15:00 AM,399,0.76,28,32,Chicago Carriage Cab Corp
2400107,06/28/2019 08:15:00 AM,240,0.6,8,8,Taxi Affiliation Services
2400108,06/28/2019 08:15:00 AM,199,0.57,32,32,Sun Taxi
2400109,06/28/2019 08:15:00 AM,382,1.0,28,8,Medallion Leasin
2400110,06/28/2019 08:15:00 AM,271,0.79,8,8,Flash Cab
2400111,06/28/2019 08:15:00 AM,480,1.6,28,8,Chicago Medallion Management
2400112,06/28/2019 08:15:00 AM,540,1.08,28,32,Nova Taxi Affiliation Llc
2400113,06/28/2019 08:30:00 AM,420,1.1,32,32,Taxi Affiliation Services
2400114,06/28/2019 08:30:00 AM,266,0.9,7,7,City Service
2400115,06/28/2019 08:30:00 AM,398,0.58,32,32,Flash Cab
2400116,06/28/2019 08:30:00 AM,336,0.8,8,8,Chicago Independents
2400117,06/28/2019 08:30:00 AM,429,0.64,28,32,Sun Taxi
2400118,06/28/2019 08:30:00 AM,334,0.82,32,32,Chicago Carriage Cab Corp
2400119,06/28/2019 08:30:00 AM,570,0.83,8,32,Taxi Affiliation Service Yellow
2400120,06/28/2019 08:30:00 AM,561,1.92,6,6,Sun Taxi
2400121,06/28/2019 08:30:00 AM,537,0.92,32,32,Chicago Carriage Cab Corp
2400122,06/28/2019 08:30:00 AM,291,0.9,8,32,Chicago Independents
2400123,06/28/2019 08:30:00 AM,324,0.78,32,32,City Service
2400124,06/28/2019 08:30:00 AM,551,0.84,28,8,Flash Cab
2400125,06/28/2019 08:30:00 AM,319,0.53,32,8,5 Star Taxi
2400126,06/28/2019 08:30:00 AM,529,1.22,33,32,Chicago Carriage Cab Corp
2400127,06/28/2019 08:30:00 AM,218,0.7,32,8,Chicago Independents
2400128,06/28/2019 08:30:00 AM,540,0.8,32,32,Medallion Leasin
2400129,06/28/2019 08:30:00 AM,507,1.97,28,34,Chicago Carriage Cab Corp
2400130,06/28/2019 08:30:00 AM,297,0.95,32,32,Sun Taxi
2400131,06/28/2019 08:30:00 AM,540,1.3,32,8,Chicago Medallion Management
2400132,06/28/2019 08:30:00 AM,290,1.56,35,33,Chicago Carriage Cab Corp
2400133,06/28/2019 08:30:00 AM,540,1.3,32,8,Medallion Leasin
2400134,06/28/2019 08:30:00 AM,476,1.28,32,8,Chicago Carriage Cab Corp
2400135,06/28/2019 08:30:00 AM,240,0.6,28,32,Medallion Leasin
2400136,06/28/2019 08:30:00 AM,496,0.8,32,32,Taxi Affiliation Service Yellow
2400137,06/28/2019 08:30:00 AM,509,0.76,8,8,Flash Cab
2400138,06/28/2019 08:30:00 AM,456,1.04,8,32,Chicago Carriage Cab Corp
2400139,06/28/2019 08:30:00 AM,473,1.51,77,1,Flash Cab
2400140,06/28/2019 08:30:00 AM,300,0.9,8,32,Choice Taxi Association
2400141,06/28/2019 08:30:00 AM,303,0.66,28,32,Nova Taxi Affiliation Llc
2400142,06/28/2019 08:30:00 AM,409,1.35,28,28,Flash Cab
2400143,06/28/2019 08:30:00 AM,2507,10.47,11,32,Flash Cab
2400144,06/28/2019 08:30:00 AM,2820,0.9,77,76,Taxi Affiliation Services
2400145,06/28/2019 08:30:00 AM,2460,0.7,56,8,Taxi Affiliation Services
2400146,06/28/2019 08:30:00 AM,504,1.07,28,32,Flash Cab
2400147,06/28/2019 08:30:00 AM,240,0.7,28,32,Taxi Affiliation Services
2400148,06/28/2019 08:30:00 AM,299,0.6,28,32,Metro Jet Taxi A
2400149,06/28/2019 08:30:00 AM,420,0.9,28,32,Chicago Medallion Management
2400150,06/28/2019 08:30:00 AM,303,1.0,1,1,Sun Taxi
2400151,06/28/2019 08:30:00 AM,240,0.7,8,8,Taxi Affiliation Services
2400152,06/28/2019 08:30:00 AM,2280,1.1,76,8,Taxi Affiliation Services
2400153,06/28/2019 08:30:00 AM,240,0.7,32,28,Taxi Affiliation Services
2400154,06/28/2019 08:30:00 AM,353,1.11,6,6,Sun Taxi
2400155,06/28/2019 08:30:00 AM,295,1.08,5,6,Flash Cab
2400156,06/28/2019 08:30:00 AM,447,0.66,8,32,Sun Taxi
2400157,06/28/2019 08:30:00 AM,2700,1.0,76,32,Taxi Affiliation Services
2400158,06/28/2019 08:30:00 AM,480,0.9,28,8,Flash Cab
2400159,06/28/2019 08:30:00 AM,240,0.8,28,28,Medallion Leasin
2400160,06/28/2019 08:30:00 AM,540,1.4,8,32,Star North Management LLC
2400161,06/28/2019 08:30:00 AM,580,1.53,32,8,Chicago Carriage Cab Corp
2400162,06/28/2019 08:30:00 AM,557,0.62,32,32,Chicago Carriage Cab Corp
2400163,06/28/2019 08:30:00 AM,308,0.92,28,28,Flash Cab
2400164,06/28/2019 08:30:00 AM,360,1.4,8,32,Taxi Affiliation Services
2400165,06/28/2019 08:30:00 AM,500,1.1,32,8,Blue Diamond
2400166,06/28/2019 08:30:00 AM,417,1.18,8,32,24 Seven Taxi
2400167,06/28/2019 08:30:00 AM,579,0.76,8,32,Flash Cab
2400168,06/28/2019 08:30:00 AM,420,1.9,8,32,Star North Management LLC
2400169,06/28/2019 08:30:00 AM,538,0.7,28,32,City Service
2400170,06/28/2019 08:30:00 AM,562,1.2,32,8,Chicago Taxicab
2400171,06/28/2019 08:30:00 AM,557,1.87,28,8,Chicago Carriage Cab Corp
2400172,06/28/2019 08:30:00 AM,284,0.77,28,28,Chicago Carriage Cab Corp
2400173,06/28/2019 08:30:00 AM,508,0.9,32,28,Medallion Leasin
2400174,06/28/2019 08:30:00 AM,540,1.4,28,8,Medallion Leasin
2400175,06/28/2019 08:30:00 AM,330,1.0,8,32,Medallion Leasin
2400176,06/28/2019 08:30:00 AM,463,0.97,28,8,Nova Taxi Affiliation Llc
2400177,06/28/2019 08:30:00 AM,597,0.63,28,32,Chicago Carriage Cab Corp
2400178,06/28/2019 08:30:00 AM,420,1.7,32,8,Taxi Affiliation Services
2400179,06/28/2019 08:30:00 AM,396,0.6,28,32,Medallion Leasin
