,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
2420000,06/29/2019 08:15:00 PM,346,0.79,8,32,Sun Taxi
2420001,06/29/2019 08:15:00 PM,480,1.6,8,32,Choice Taxi Association
2420002,06/29/2019 08:15:00 PM,369,1.02,8,32,Flash Cab
2420003,06/29/2019 08:15:00 PM,383,0.81,8,8,Chicago Carriage Cab Corp
2420004,06/29/2019 08:15:00 PM,420,1.1,8,32,"Taxicab Insurance Agency, LLC"
2420005,06/29/2019 08:15:00 PM,515,1.31,8,8,City Service
2420006,06/29/2019 08:15:00 PM,480,1.4,28,28,Taxi Affiliation Services
2420007,06/29/2019 08:15:00 PM,453,1.21,28,28,24 Seven Taxi
2420008,06/29/2019 08:15:00 PM,566,1.25,32,8,Flash Cab
2420009,06/29/2019 08:15:00 PM,290,0.82,8,8,Chicago Carriage Cab Corp
2420010,06/29/2019 08:15:00 PM,269,0.93,28,24,Sun Taxi
2420011,06/29/2019 08:15:00 PM,540,1.5,8,28,Taxi Affiliation Services
2420012,06/29/2019 08:15:00 PM,273,0.68,32,32,24 Seven Taxi
2420013,06/29/2019 08:15:00 PM,303,0.51,8,8,24 Seven Taxi
2420014,06/29/2019 08:15:00 PM,573,1.5,32,8,Leonard Cab Co
2420015,06/29/2019 08:15:00 PM,539,1.3,32,28,City Service
2420016,06/29/2019 08:15:00 PM,309,0.65,28,28,Sun Taxi
2420017,06/29/2019 08:15:00 PM,259,0.63,8,8,Sun Taxi
2420018,06/29/2019 08:15:00 PM,383,0.75,8,8,Chicago Carriage Cab Corp
2420019,06/29/2019 08:15:00 PM,544,1.0,28,28,Taxi Affiliation Service Yellow
2420020,06/29/2019 08:15:00 PM,480,1.0,8,8,KOAM Taxi Association
2420021,06/29/2019 08:15:00 PM,540,1.4,32,8,Star North Management LLC
2420022,06/29/2019 08:15:00 PM,385,1.03,8,8,Chicago Carriage Cab Corp
2420023,06/29/2019 08:15:00 PM,364,0.77,8,8,City Service
2420024,06/29/2019 08:15:00 PM,255,0.59,6,6,Flash Cab
2420025,06/29/2019 08:15:00 PM,440,1.16,32,8,Chicago Carriage Cab Corp
2420026,06/29/2019 08:15:00 PM,540,1.5,8,32,"Taxicab Insurance Agency, LLC"
2420027,06/29/2019 08:15:00 PM,553,1.68,22,24,Flash Cab
