,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
2430000,07/01/2019 07:00:00 AM,538,1.85,28,8,Chicago Carriage Cab Corp
2430001,07/01/2019 07:00:00 AM,515,1.8,32,8,City Service
2430002,07/01/2019 07:00:00 AM,325,0.85,28,32,Chicago Carriage Cab Corp
2430003,07/01/2019 07:00:00 AM,489,1.47,8,28,Sun Taxi
2430004,07/01/2019 07:00:00 AM,440,1.32,32,32,Sun Taxi
2430005,07/01/2019 07:00:00 AM,568,1.93,8,32,Flash Cab
2430006,07/01/2019 07:00:00 AM,420,1.6,8,32,Top Cab Affiliation
2430007,07/01/2019 07:00:00 AM,444,1.23,8,32,Patriot Taxi Dba Peace Taxi Associat
2430008,07/01/2019 07:00:00 AM,300,1.0,8,32,Choice Taxi Association
2430009,07/01/2019 07:00:00 AM,582,1.91,28,32,Nova Taxi Affiliation Llc
2430010,07/01/2019 07:00:00 AM,240,1.0,32,32,Star North Management LLC
2430011,07/01/2019 07:00:00 AM,345,0.99,32,8,Chicago Carriage Cab Corp
2430012,07/01/2019 07:00:00 AM,406,1.34,8,8,Chicago Carriage Cab Corp
2430013,07/01/2019 07:00:00 AM,270,0.9,28,32,Flash Cab
2430014,07/01/2019 07:00:00 AM,488,1.33,28,32,Flash Cab
2430015,07/01/2019 07:00:00 AM,420,1.16,32,32,Nova Taxi Affiliation Llc
2430016,07/01/2019 07:00:00 AM,2100,0.8,6,76,Taxi Affiliation Services
2430017,07/01/2019 07:00:00 AM,340,1.1,36,35,Chicago Taxicab
2430018,07/01/2019 07:00:00 AM,362,1.08,1,77,Flash Cab
2430019,07/01/2019 07:00:00 AM,539,1.66,32,32,City Service
2430020,07/01/2019 07:00:00 AM,297,1.08,8,32,Sun Taxi
2430021,07/01/2019 07:00:00 AM,420,1.0,32,32,Nova Taxi Affiliation Llc
2430022,07/01/2019 07:00:00 AM,2243,10.3,15,32,Flash Cab
2430023,07/01/2019 07:00:00 AM,274,0.66,28,28,Sun Taxi
2430024,07/01/2019 07:00:00 AM,346,1.07,28,28,Chicago Carriage Cab Corp
2430025,07/01/2019 07:00:00 AM,457,1.22,28,32,Chicago Carriage Cab Corp
2430026,07/01/2019 07:00:00 AM,358,0.76,32,28,Flash Cab
2430027,07/01/2019 07:00:00 AM,207,0.69,28,32,Patriot Taxi Dba Peace Taxi Associat
2430028,07/01/2019 07:00:00 AM,360,1.0,8,32,Star North Management LLC
2430029,07/01/2019 07:00:00 AM,2255,1.36,8,32,Chicago Carriage Cab Corp
2430030,07/01/2019 07:00:00 AM,455,1.1,16,16,Flash Cab
2430031,07/01/2019 07:00:00 AM,366,0.9,28,32,Sun Taxi
2430032,07/01/2019 07:00:00 AM,420,1.4,7,7,Sun Taxi
2430033,07/01/2019 07:00:00 AM,240,0.84,8,8,Flash Cab
2430034,07/01/2019 07:00:00 AM,282,0.87,32,8,Flash Cab
2430035,07/01/2019 07:00:00 AM,289,0.7,28,32,Medallion Leasin
2430036,07/01/2019 07:00:00 AM,366,1.11,15,15,Flash Cab
2430037,07/01/2019 07:00:00 AM,422,1.15,28,32,Chicago Carriage Cab Corp
2430038,07/01/2019 07:00:00 AM,187,0.59,28,32,Chicago Carriage Cab Corp
2430039,07/01/2019 07:00:00 AM,530,1.49,32,32,Chicago Carriage Cab Corp
2430040,07/01/2019 07:00:00 AM,459,1.67,8,32,Chicago Carriage Cab Corp
2430041,07/01/2019 07:00:00 AM,274,1.04,33,32,Chicago Carriage Cab Corp
2430042,07/01/2019 07:00:00 AM,265,0.65,28,32,5 Star Taxi
2430043,07/01/2019 07:00:00 AM,201,0.58,28,32,Flash Cab
2430044,07/01/2019 07:00:00 AM,247,0.88,8,8,Patriot Taxi Dba Peace Taxi Associat
