,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
2440000,07/01/2019 09:00:00 PM,441,1.41,8,32,Sun Taxi
2440001,07/01/2019 09:00:00 PM,513,1.3,28,8,Taxi Affiliation Service Yellow
2440002,07/01/2019 09:00:00 PM,240,1.0,8,3,Medallion Leasin
2440003,07/01/2019 09:00:00 PM,206,0.54,8,8,City Service
2440004,07/01/2019 09:00:00 PM,480,1.4,32,8,"Taxicab Insurance Agency, LLC"
2440005,07/01/2019 09:00:00 PM,387,1.61,8,7,Flash Cab
2440006,07/01/2019 09:00:00 PM,300,1.0,8,32,Medallion Leasin
2440007,07/01/2019 09:00:00 PM,415,1.24,8,8,Chicago Carriage Cab Corp
2440008,07/01/2019 09:00:00 PM,221,0.57,32,8,City Service
2440009,07/01/2019 09:00:00 PM,331,0.84,8,8,City Service
2440010,07/01/2019 09:00:00 PM,294,0.87,8,8,Sun Taxi
2440011,07/01/2019 09:00:00 PM,378,1.45,28,8,Sun Taxi
2440012,07/01/2019 09:00:00 PM,307,0.98,8,8,Flash Cab
2440013,07/01/2019 09:00:00 PM,396,1.69,33,32,Chicago Carriage Cab Corp
2440014,07/01/2019 09:00:00 PM,348,0.92,32,32,Patriot Taxi Dba Peace Taxi Associat
2440015,07/01/2019 09:00:00 PM,360,0.8,32,32,Taxi Affiliation Services
2440016,07/01/2019 09:00:00 PM,452,1.66,2,77,Flash Cab
2440017,07/01/2019 09:00:00 PM,280,0.69,32,32,Flash Cab
2440018,07/01/2019 09:00:00 PM,240,0.9,32,28,Taxi Affiliation Services
2440019,07/01/2019 09:00:00 PM,292,1.22,8,8,Nova Taxi Affiliation Llc
2440020,07/01/2019 09:00:00 PM,589,1.76,32,28,Sun Taxi
2440021,07/01/2019 09:00:00 PM,480,1.7,8,32,Medallion Leasin
2440022,07/01/2019 09:00:00 PM,300,1.5,32,8,Chicago Medallion Management
2440023,07/01/2019 09:00:00 PM,420,0.9,8,8,Taxi Affiliation Services
2440024,07/01/2019 09:00:00 PM,462,1.3,8,8,Checker Taxi Affiliation
2440025,07/01/2019 09:00:00 PM,420,1.3,3,3,KOAM Taxi Association
2440026,07/01/2019 09:00:00 PM,240,0.8,8,8,Medallion Leasin
2440027,07/01/2019 09:00:00 PM,540,1.5,8,28,Choice Taxi Association
2440028,07/01/2019 09:00:00 PM,360,0.7,8,8,Star North Management LLC
2440029,07/01/2019 09:00:00 PM,324,1.4,11,15,City Service
2440030,07/01/2019 09:00:00 PM,354,1.4,8,28,Chicago Carriage Cab Corp
2440031,07/01/2019 09:00:00 PM,418,1.34,32,28,Chicago Carriage Cab Corp
2440032,07/01/2019 09:00:00 PM,526,1.66,32,28,Chicago Carriage Cab Corp
2440033,07/01/2019 09:00:00 PM,537,1.23,8,8,Chicago Carriage Cab Corp
2440034,07/01/2019 09:00:00 PM,459,1.91,8,32,Chicago Carriage Cab Corp
2440035,07/01/2019 09:00:00 PM,364,1.24,28,32,Nova Taxi Affiliation Llc
2440036,07/01/2019 09:00:00 PM,211,0.98,22,5,Chicago Carriage Cab Corp
