,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
2500000,07/08/2019 04:00:00 PM,300,0.8,32,8,Medallion Leasin
2500001,07/08/2019 04:00:00 PM,360,1.15,32,8,Patriot Taxi Dba Peace Taxi Associat
2500002,07/08/2019 04:00:00 PM,540,1.7,32,8,Taxi Affiliation Services
2500003,07/08/2019 04:00:00 PM,540,1.9,32,8,Star North Management LLC
2500004,07/08/2019 04:00:00 PM,420,0.8,32,32,Star North Management LLC
2500005,07/08/2019 04:00:00 PM,360,0.89,32,28,Nova Taxi Affiliation Llc
2500006,07/08/2019 04:00:00 PM,345,0.96,32,32,Chicago Carriage Cab Corp
2500007,07/08/2019 04:00:00 PM,480,0.9,8,32,Star North Management LLC
2500008,07/08/2019 04:00:00 PM,244,0.6,32,32,Medallion Leasin
2500009,07/08/2019 04:00:00 PM,407,0.98,8,28,Chicago Independents
2500010,07/08/2019 04:00:00 PM,486,1.1,32,32,City Service
2500011,07/08/2019 04:00:00 PM,2400,0.7,2,76,Taxi Affiliation Services
2500012,07/08/2019 04:00:00 PM,597,1.3,8,8,Taxi Affiliation Service Yellow
2500013,07/08/2019 04:00:00 PM,270,0.58,6,6,Flash Cab
2500014,07/08/2019 04:00:00 PM,420,0.9,8,32,Medallion Leasin
2500015,07/08/2019 04:00:00 PM,360,1.0,8,32,Taxi Affiliation Services
2500016,07/08/2019 04:00:00 PM,523,1.82,8,32,Chicago Carriage Cab Corp
2500017,07/08/2019 04:00:00 PM,300,1.0,32,8,Taxi Affiliation Services
2500018,07/08/2019 04:00:00 PM,218,0.52,32,28,Chicago Carriage Cab Corp
2500019,07/08/2019 04:00:00 PM,528,1.27,32,28,Flash Cab
2500020,07/08/2019 04:00:00 PM,354,0.9,8,28,Chicago Independents
2500021,07/08/2019 04:00:00 PM,321,0.57,8,8,Taxi Affiliation Service Yellow
2500022,07/08/2019 04:00:00 PM,597,1.44,8,28,Flash Cab
2500023,07/08/2019 04:00:00 PM,401,0.8,8,8,Medallion Leasin
2500024,07/08/2019 04:00:00 PM,553,1.4,7,8,Flash Cab
2500025,07/08/2019 04:00:00 PM,480,1.0,8,32,Star North Management LLC
2500026,07/08/2019 04:00:00 PM,240,0.7,32,28,Taxi Affiliation Services
2500027,07/08/2019 04:00:00 PM,413,1.08,8,28,City Service
2500028,07/08/2019 04:00:00 PM,541,1.6,8,32,Flash Cab
2500029,07/08/2019 04:00:00 PM,484,0.91,8,8,Chicago Carriage Cab Corp
2500030,07/08/2019 04:00:00 PM,584,1.53,28,8,24 Seven Taxi
2500031,07/08/2019 04:00:00 PM,300,0.9,8,8,Taxi Affiliation Services
2500032,07/08/2019 04:00:00 PM,420,1.2,32,28,Star North Management LLC
2500033,07/08/2019 04:00:00 PM,508,1.08,8,32,City Service
2500034,07/08/2019 04:00:00 PM,550,1.3,32,8,Sun Taxi
2500035,07/08/2019 04:00:00 PM,240,1.2,32,8,Medallion Leasin
2500036,07/08/2019 04:00:00 PM,240,0.8,8,8,KOAM Taxi Association
2500037,07/08/2019 04:00:00 PM,540,1.3,32,8,Medallion Leasin
2500038,07/08/2019 04:00:00 PM,3660,1.0,76,8,Taxi Affiliation Services
2500039,07/08/2019 04:00:00 PM,426,1.05,32,8,Chicago Carriage Cab Corp
2500040,07/08/2019 04:00:00 PM,373,0.86,32,28,Sun Taxi
2500041,07/08/2019 04:00:00 PM,360,1.2,28,32,Taxi Affiliation Services
2500042,07/08/2019 04:00:00 PM,540,0.9,8,28,Medallion Leasin
2500043,07/08/2019 04:00:00 PM,390,0.77,8,8,Flash Cab
2500044,07/08/2019 04:00:00 PM,570,1.45,32,28,Chicago Carriage Cab Corp
2500045,07/08/2019 04:00:00 PM,383,1.3,8,8,City Service
2500046,07/08/2019 04:00:00 PM,300,0.7,28,32,Taxi Affiliation Services
2500047,07/08/2019 04:00:00 PM,572,1.47,28,8,Chicago Carriage Cab Corp
2500048,07/08/2019 04:00:00 PM,480,1.2,8,32,Taxi Affiliation Services
2500049,07/08/2019 04:00:00 PM,219,0.6,8,8,Chicago Taxicab
2500050,07/08/2019 04:00:00 PM,300,1.4,7,8,Taxi Affiliation Services
2500051,07/08/2019 04:00:00 PM,336,0.8,8,8,City Service
2500052,07/08/2019 04:00:00 PM,502,1.04,6,6,Flash Cab
2500053,07/08/2019 04:00:00 PM,303,0.81,8,28,Sun Taxi
2500054,07/08/2019 04:00:00 PM,566,1.1,32,32,Nova Taxi Affiliation Llc
2500055,07/08/2019 04:00:00 PM,540,1.4,32,28,Choice Taxi Association
2500056,07/08/2019 04:00:00 PM,459,1.0,32,8,City Service
2500057,07/08/2019 04:00:00 PM,194,0.66,77,77,City Service
2500058,07/08/2019 04:00:00 PM,404,1.29,8,32,Chicago Carriage Cab Corp
2500059,07/08/2019 04:00:00 PM,240,0.7,8,8,Top Cab Affiliation
2500060,07/08/2019 04:00:00 PM,480,1.4,8,28,Chicago Medallion Management
2500061,07/08/2019 04:00:00 PM,480,1.6,32,28,3094 - 24059 G.L.B. Cab Co
2500062,07/08/2019 04:00:00 PM,576,1.13,32,28,Flash Cab
2500063,07/08/2019 04:00:00 PM,358,1.59,24,8,Chicago Carriage Cab Corp
2500064,07/08/2019 04:00:00 PM,480,1.1,32,32,Medallion Leasin
2500065,07/08/2019 04:00:00 PM,240,0.8,32,28,Blue Ribbon Taxi Association Inc.
2500066,07/08/2019 04:00:00 PM,350,1.5,32,8,Chicago Carriage Cab Corp
2500067,07/08/2019 04:00:00 PM,300,0.7,32,8,"Taxicab Insurance Agency, LLC"
2500068,07/08/2019 04:00:00 PM,398,0.57,32,32,Flash Cab
2500069,07/08/2019 04:00:00 PM,480,1.5,32,33,Taxi Affiliation Services
2500070,07/08/2019 04:00:00 PM,420,1.5,7,6,Taxi Affiliation Services
2500071,07/08/2019 04:00:00 PM,428,1.08,32,32,Chicago Carriage Cab Corp
2500072,07/08/2019 04:00:00 PM,491,1.58,32,8,Chicago Carriage Cab Corp
2500073,07/08/2019 04:00:00 PM,473,0.88,32,32,Sun Taxi
2500074,07/08/2019 04:00:00 PM,5160,1.1,76,32,Taxi Affiliation Services
2500075,07/08/2019 04:00:00 PM,290,0.64,32,28,Chicago Carriage Cab Corp
2500076,07/08/2019 04:00:00 PM,446,1.58,33,32,Chicago Carriage Cab Corp
2500077,07/08/2019 04:00:00 PM,266,0.74,8,8,Sun Taxi
2500078,07/08/2019 04:00:00 PM,440,0.99,32,8,Flash Cab
2500079,07/08/2019 04:00:00 PM,270,0.91,8,8,City Service
2500080,07/08/2019 04:00:00 PM,553,1.35,32,8,Sun Taxi
2500081,07/08/2019 04:00:00 PM,540,1.7,24,8,Taxi Affiliation Services
2500082,07/08/2019 04:00:00 PM,342,0.79,32,32,Flash Cab
2500083,07/08/2019 04:00:00 PM,503,1.1,8,28,Taxi Affiliation Service Yellow
2500084,07/08/2019 04:00:00 PM,454,1.08,28,8,Flash Cab
2500085,07/08/2019 04:00:00 PM,2340,1.1,32,76,Taxi Affiliation Services
2500086,07/08/2019 04:00:00 PM,338,0.72,32,28,Taxi Affiliation Service Yellow
2500087,07/08/2019 04:00:00 PM,431,0.77,32,8,Chicago Carriage Cab Corp
