,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
2510000,07/09/2019 02:30:00 PM,481,1.5,8,32,Medallion Leasin
2510001,07/09/2019 02:30:00 PM,480,0.8,8,8,Star North Management LLC
2510002,07/09/2019 02:30:00 PM,249,0.74,1,77,Flash Cab
2510003,07/09/2019 02:30:00 PM,442,0.9,8,8,Flash Cab
2510004,07/09/2019 02:30:00 PM,579,1.38,32,8,Chicago Carriage Cab Corp
2510005,07/09/2019 02:30:00 PM,2633,10.2,1,23,Flash Cab
2510006,07/09/2019 02:30:00 PM,398,0.99,8,28,Chicago Carriage Cab Corp
2510007,07/09/2019 02:30:00 PM,540,1.2,8,32,Star North Management LLC
2510008,07/09/2019 02:30:00 PM,540,0.9,32,8,Taxi Affiliation Services
2510009,07/09/2019 02:30:00 PM,344,0.7,32,28,Taxi Affiliation Service Yellow
2510010,07/09/2019 02:30:00 PM,225,0.69,32,28,Flash Cab
2510011,07/09/2019 02:30:00 PM,420,1.4,28,32,Star North Management LLC
2510012,07/09/2019 02:30:00 PM,226,0.59,32,32,Chicago Carriage Cab Corp
2510013,07/09/2019 02:30:00 PM,420,1.3,32,28,Medallion Leasin
2510014,07/09/2019 02:30:00 PM,240,0.6,8,32,Star North Management LLC
2510015,07/09/2019 02:30:00 PM,480,1.3,32,32,Taxi Affiliation Services
2510016,07/09/2019 02:30:00 PM,579,1.98,8,32,Sun Taxi
2510017,07/09/2019 02:30:00 PM,240,0.6,32,8,"Taxicab Insurance Agency, LLC"
2510018,07/09/2019 02:30:00 PM,474,1.71,8,32,Chicago Carriage Cab Corp
2510019,07/09/2019 02:30:00 PM,361,0.65,32,8,Flash Cab
2510020,07/09/2019 02:30:00 PM,420,0.8,8,8,KOAM Taxi Association
2510021,07/09/2019 02:30:00 PM,360,0.8,8,8,Taxi Affiliation Services
2510022,07/09/2019 02:30:00 PM,480,1.4,32,8,Chicago Independents
2510023,07/09/2019 02:30:00 PM,420,1.1,32,8,"Taxicab Insurance Agency, LLC"
2510024,07/09/2019 02:30:00 PM,420,0.8,8,8,Taxi Affiliation Services
2510025,07/09/2019 02:30:00 PM,369,0.76,28,32,City Service
2510026,07/09/2019 02:30:00 PM,306,0.8,8,8,Flash Cab
2510027,07/09/2019 02:30:00 PM,342,0.56,8,32,Sun Taxi
2510028,07/09/2019 02:30:00 PM,240,0.8,3,3,Taxi Affiliation Services
2510029,07/09/2019 02:30:00 PM,540,0.8,8,32,Star North Management LLC
2510030,07/09/2019 02:30:00 PM,426,0.89,8,8,Chicago Independents
2510031,07/09/2019 02:30:00 PM,360,0.8,8,28,Choice Taxi Association
2510032,07/09/2019 02:30:00 PM,540,1.1,8,32,Star North Management LLC
2510033,07/09/2019 02:30:00 PM,480,0.9,8,32,Taxi Affiliation Services
2510034,07/09/2019 02:30:00 PM,540,1.4,28,28,Taxi Affiliation Services
2510035,07/09/2019 02:30:00 PM,420,0.9,3,3,Taxi Affiliation Services
2510036,07/09/2019 02:30:00 PM,300,1.6,11,12,Taxi Affiliation Services
2510037,07/09/2019 02:30:00 PM,360,0.6,28,32,Star North Management LLC
2510038,07/09/2019 02:30:00 PM,240,1.0,8,32,"Taxicab Insurance Agency, LLC"
2510039,07/09/2019 02:30:00 PM,540,1.6,8,8,Medallion Leasin
2510040,07/09/2019 02:30:00 PM,418,1.07,8,8,Flash Cab
2510041,07/09/2019 02:30:00 PM,447,1.1,8,8,Chicago Carriage Cab Corp
2510042,07/09/2019 02:30:00 PM,446,1.4,8,32,Medallion Leasin
2510043,07/09/2019 02:30:00 PM,515,1.38,8,8,Flash Cab
2510044,07/09/2019 02:30:00 PM,360,0.9,32,28,Taxi Affiliation Services
2510045,07/09/2019 02:30:00 PM,240,0.6,32,8,Medallion Leasin
2510046,07/09/2019 02:30:00 PM,466,0.77,8,32,Flash Cab
2510047,07/09/2019 02:30:00 PM,540,1.2,32,8,Medallion Leasin
2510048,07/09/2019 02:30:00 PM,216,0.55,3,3,Flash Cab
2510049,07/09/2019 02:30:00 PM,500,1.62,32,8,City Service
2510050,07/09/2019 02:30:00 PM,370,0.76,28,32,Chicago Carriage Cab Corp
2510051,07/09/2019 02:30:00 PM,475,0.8,32,32,City Service
2510052,07/09/2019 02:30:00 PM,518,1.29,8,32,Flash Cab
2510053,07/09/2019 02:30:00 PM,2580,1.0,76,8,Blue Ribbon Taxi Association Inc.
2510054,07/09/2019 02:30:00 PM,283,0.53,8,32,Flash Cab
2510055,07/09/2019 02:30:00 PM,420,0.8,32,8,Medallion Leasin
2510056,07/09/2019 02:30:00 PM,537,1.1,8,28,Chicago Independents
2510057,07/09/2019 02:30:00 PM,454,1.59,41,41,Chicago Carriage Cab Corp
2510058,07/09/2019 02:30:00 PM,437,1.23,8,32,Sun Taxi
2510059,07/09/2019 02:30:00 PM,514,0.92,3,3,Flash Cab
2510060,07/09/2019 02:30:00 PM,522,1.14,32,8,City Service
2510061,07/09/2019 02:30:00 PM,499,1.92,32,8,Flash Cab
2510062,07/09/2019 02:30:00 PM,261,0.94,33,32,Chicago Carriage Cab Corp
2510063,07/09/2019 02:30:00 PM,420,0.9,32,8,Star North Management LLC
2510064,07/09/2019 02:30:00 PM,411,1.06,28,8,Patriot Taxi Dba Peace Taxi Associat
2510065,07/09/2019 02:30:00 PM,360,0.6,32,32,"Taxicab Insurance Agency, LLC"
2510066,07/09/2019 02:30:00 PM,540,1.2,8,8,Taxi Affiliation Services
2510067,07/09/2019 02:30:00 PM,252,0.64,8,32,City Service
2510068,07/09/2019 02:30:00 PM,240,0.8,8,8,Taxi Affiliation Services
2510069,07/09/2019 02:30:00 PM,234,0.6,32,32,Medallion Leasin
2510070,07/09/2019 02:30:00 PM,344,1.04,8,8,Flash Cab
2510071,07/09/2019 02:30:00 PM,372,0.83,32,8,Patriot Taxi Dba Peace Taxi Associat
2510072,07/09/2019 02:30:00 PM,470,1.31,32,8,Chicago Carriage Cab Corp
2510073,07/09/2019 02:30:00 PM,240,0.9,3,6,Taxi Affiliation Services
2510074,07/09/2019 02:30:00 PM,443,1.29,28,24,Chicago Carriage Cab Corp
2510075,07/09/2019 02:30:00 PM,299,0.85,32,28,Chicago Carriage Cab Corp
2510076,07/09/2019 02:30:00 PM,300,0.6,32,8,Taxi Affiliation Services
2510077,07/09/2019 02:30:00 PM,240,1.5,8,32,"Taxicab Insurance Agency, LLC"
2510078,07/09/2019 02:30:00 PM,2220,10.9,28,56,City Service
2510079,07/09/2019 02:30:00 PM,420,1.1,8,8,Chicago Medallion Management
2510080,07/09/2019 02:30:00 PM,468,1.69,32,8,Chicago Carriage Cab Corp
2510081,07/09/2019 02:30:00 PM,540,1.1,32,32,City Service
2510082,07/09/2019 02:30:00 PM,360,0.7,8,32,Medallion Leasin
2510083,07/09/2019 02:30:00 PM,335,0.94,32,28,Chicago Carriage Cab Corp
2510084,07/09/2019 02:30:00 PM,289,0.88,8,8,Chicago Carriage Cab Corp
2510085,07/09/2019 02:30:00 PM,436,1.39,32,8,City Service
2510086,07/09/2019 02:30:00 PM,446,0.69,8,8,Flash Cab
2510087,07/09/2019 02:30:00 PM,501,1.15,8,28,Checker Taxi Affiliation
2510088,07/09/2019 02:30:00 PM,566,1.39,8,32,Flash Cab
