,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
2530000,07/10/2019 10:30:00 PM,355,0.92,32,32,Patriot Taxi Dba Peace Taxi Associat
2530001,07/10/2019 10:30:00 PM,540,1.6,32,8,Star North Management LLC
2530002,07/10/2019 10:30:00 PM,362,1.0,32,8,Blue Diamond
2530003,07/10/2019 10:30:00 PM,352,0.51,8,8,Chicago Carriage Cab Corp
2530004,07/10/2019 10:30:00 PM,490,1.37,3,3,24 Seven Taxi
2530005,07/10/2019 10:30:00 PM,433,0.86,8,8,Flash Cab
2530006,07/10/2019 10:30:00 PM,300,0.7,32,8,Choice Taxi Association
2530007,07/10/2019 10:30:00 PM,240,0.7,6,3,Taxi Affiliation Services
2530008,07/10/2019 10:30:00 PM,478,1.21,32,8,Flash Cab
2530009,07/10/2019 10:30:00 PM,240,0.7,32,32,Taxi Affiliation Services
2530010,07/10/2019 10:30:00 PM,540,1.7,8,8,Taxi Affiliation Services
2530011,07/10/2019 10:30:00 PM,412,1.6,32,8,Chicago Independents
2530012,07/10/2019 10:30:00 PM,360,1.0,8,8,City Service
2530013,07/10/2019 10:30:00 PM,565,1.63,32,8,Patriot Taxi Dba Peace Taxi Associat
2530014,07/10/2019 10:30:00 PM,470,1.37,8,32,Sun Taxi
2530015,07/10/2019 10:30:00 PM,363,1.0,32,32,Chicago Carriage Cab Corp
2530016,07/10/2019 10:30:00 PM,374,1.01,32,8,Flash Cab
2530017,07/10/2019 10:30:00 PM,240,0.6,28,32,Star North Management LLC
2530018,07/10/2019 10:30:00 PM,240,0.6,8,32,Taxi Affiliation Services
2530019,07/10/2019 10:30:00 PM,281,0.78,28,28,Chicago Carriage Cab Corp
2530020,07/10/2019 10:30:00 PM,540,1.6,32,8,Taxi Affiliation Services
2530021,07/10/2019 10:30:00 PM,240,1.1,8,8,Choice Taxi Association
2530022,07/10/2019 10:30:00 PM,41374,1.05,51,51,Flash Cab
2530023,07/10/2019 10:30:00 PM,455,1.28,32,8,Flash Cab
2530024,07/10/2019 10:30:00 PM,471,1.16,8,8,Flash Cab
2530025,07/10/2019 10:30:00 PM,540,1.26,32,8,Chicago Carriage Cab Corp
2530026,07/10/2019 10:30:00 PM,420,0.9,32,8,Taxi Affiliation Services
2530027,07/10/2019 10:30:00 PM,422,1.26,32,8,Chicago Carriage Cab Corp
2530028,07/10/2019 10:30:00 PM,327,0.78,32,8,Flash Cab
2530029,07/10/2019 10:30:00 PM,314,0.53,28,24,Sun Taxi
2530030,07/10/2019 10:30:00 PM,415,1.1,8,28,Medallion Leasin
2530031,07/10/2019 10:30:00 PM,480,1.0,8,8,Top Cab Affiliation
2530032,07/10/2019 10:30:00 PM,420,1.2,32,8,Medallion Leasin
2530033,07/10/2019 10:30:00 PM,426,0.88,32,32,City Service
2530034,07/10/2019 10:30:00 PM,509,1.27,32,8,Sun Taxi
2530035,07/10/2019 10:30:00 PM,2040,0.8,76,6,Taxi Affiliation Services
2530036,07/10/2019 10:30:00 PM,480,1.4,32,28,Taxi Affiliation Services
2530037,07/10/2019 10:30:00 PM,308,0.87,8,8,Flash Cab
2530038,07/10/2019 10:30:00 PM,483,0.7,8,8,City Service
2530039,07/10/2019 10:30:00 PM,204,0.7,6,6,Chicago Carriage Cab Corp
2530040,07/10/2019 10:30:00 PM,540,1.6,6,7,Taxi Affiliation Services
2530041,07/10/2019 10:30:00 PM,360,1.3,32,8,Medallion Leasin
2530042,07/10/2019 10:30:00 PM,357,1.15,8,8,Sun Taxi
2530043,07/10/2019 10:30:00 PM,2040,1.0,76,8,Blue Ribbon Taxi Association Inc.
2530044,07/10/2019 10:30:00 PM,492,1.6,28,32,City Service
2530045,07/10/2019 10:30:00 PM,456,1.05,28,8,Sun Taxi
2530046,07/10/2019 10:30:00 PM,458,1.0,8,28,Medallion Leasin
2530047,07/10/2019 10:30:00 PM,300,0.9,6,6,Star North Management LLC
2530048,07/10/2019 10:30:00 PM,290,0.93,8,8,Sun Taxi
2530049,07/10/2019 10:30:00 PM,421,0.99,32,32,City Service
2530050,07/10/2019 10:30:00 PM,420,0.8,32,8,Star North Management LLC
2530051,07/10/2019 10:30:00 PM,371,1.23,32,8,Chicago Carriage Cab Corp
2530052,07/10/2019 10:30:00 PM,210,1.13,8,8,Sun Taxi
2530053,07/10/2019 10:30:00 PM,411,1.03,32,8,Sun Taxi
2530054,07/10/2019 10:30:00 PM,364,0.7,8,8,Flash Cab
2530055,07/10/2019 10:30:00 PM,417,1.08,32,28,Chicago Carriage Cab Corp
2530056,07/10/2019 10:30:00 PM,282,0.67,32,32,Chicago Carriage Cab Corp
2530057,07/10/2019 10:30:00 PM,300,1.2,24,28,Taxi Affiliation Services
2530058,07/10/2019 10:30:00 PM,403,1.0,32,8,Leonard Cab Co
