,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
2550000,07/12/2019 01:30:00 PM,420,0.9,32,8,Taxi Affiliation Services
2550001,07/12/2019 01:30:00 PM,347,0.69,8,32,Checker Taxi Affiliation
2550002,07/12/2019 01:30:00 PM,540,1.4,32,8,Taxi Affiliation Services
2550003,07/12/2019 01:30:00 PM,480,1.2,32,8,Chicago Carriage Cab Corp
2550004,07/12/2019 01:30:00 PM,480,1.0,32,8,Taxi Affiliation Services
2550005,07/12/2019 01:30:00 PM,315,1.3,32,8,City Service
2550006,07/12/2019 01:30:00 PM,480,1.2,8,32,Star North Management LLC
2550007,07/12/2019 01:30:00 PM,540,0.9,8,32,Taxi Affiliation Services
2550008,07/12/2019 01:30:00 PM,215,0.54,8,8,Chicago Carriage Cab Corp
2550009,07/12/2019 01:30:00 PM,366,0.67,32,32,City Service
2550010,07/12/2019 01:30:00 PM,420,0.8,32,32,Chicago Independents
2550011,07/12/2019 01:30:00 PM,300,0.7,28,32,Taxi Affiliation Services
2550012,07/12/2019 01:30:00 PM,271,0.79,32,8,Chicago Carriage Cab Corp
2550013,07/12/2019 01:30:00 PM,338,0.91,8,32,Chicago Carriage Cab Corp
2550014,07/12/2019 01:30:00 PM,369,0.66,32,8,Chicago Carriage Cab Corp
2550015,07/12/2019 01:30:00 PM,300,1.0,28,28,Top Cab Affiliation
2550016,07/12/2019 01:30:00 PM,569,1.38,28,24,Nova Taxi Affiliation Llc
2550017,07/12/2019 01:30:00 PM,420,0.9,32,8,Star North Management LLC
2550018,07/12/2019 01:30:00 PM,300,0.9,8,8,Choice Taxi Association
2550019,07/12/2019 01:30:00 PM,523,1.25,32,8,Flash Cab
2550020,07/12/2019 01:30:00 PM,568,1.4,8,8,Chicago Independents
2550021,07/12/2019 01:30:00 PM,476,1.15,16,5,Flash Cab
2550022,07/12/2019 01:30:00 PM,480,1.8,28,8,Blue Ribbon Taxi Association Inc.
2550023,07/12/2019 01:30:00 PM,517,1.6,32,8,Medallion Leasin
2550024,07/12/2019 01:30:00 PM,398,0.89,28,32,Flash Cab
