,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
2580000,07/15/2019 12:45:00 PM,300,0.7,32,8,Taxi Affiliation Services
2580001,07/15/2019 12:45:00 PM,292,0.78,8,8,Flash Cab
2580002,07/15/2019 12:45:00 PM,301,0.71,32,28,Sun Taxi
2580003,07/15/2019 12:45:00 PM,581,1.17,32,32,Chicago Carriage Cab Corp
2580004,07/15/2019 12:45:00 PM,2337,10.32,2,15,Flash Cab
2580005,07/15/2019 12:45:00 PM,540,1.5,32,8,Choice Taxi Association
2580006,07/15/2019 12:45:00 PM,360,0.9,28,32,Star North Management LLC
2580007,07/15/2019 12:45:00 PM,300,1.0,32,8,Medallion Leasin
2580008,07/15/2019 12:45:00 PM,361,0.65,32,28,Flash Cab
2580009,07/15/2019 12:45:00 PM,480,0.9,32,32,Medallion Leasin
2580010,07/15/2019 12:45:00 PM,480,1.3,28,32,"Taxicab Insurance Agency, LLC"
2580011,07/15/2019 12:45:00 PM,300,0.9,28,28,Chicago Medallion Management
2580012,07/15/2019 12:45:00 PM,429,1.14,8,32,Chicago Carriage Cab Corp
2580013,07/15/2019 12:45:00 PM,433,0.72,32,32,Sun Taxi
2580014,07/15/2019 12:45:00 PM,540,0.8,32,32,Star North Management LLC
2580015,07/15/2019 12:45:00 PM,387,0.87,8,8,Chicago Carriage Cab Corp
2580016,07/15/2019 12:45:00 PM,240,1.1,8,7,Medallion Leasin
2580017,07/15/2019 12:45:00 PM,420,0.9,8,32,Top Cab Affiliation
2580018,07/15/2019 12:45:00 PM,300,1.0,2,77,Medallion Leasin
2580019,07/15/2019 12:45:00 PM,557,0.8,28,32,Medallion Leasin
2580020,07/15/2019 12:45:00 PM,540,0.6,8,8,Medallion Leasin
2580021,07/15/2019 12:45:00 PM,312,1.07,8,32,Chicago Carriage Cab Corp
2580022,07/15/2019 12:45:00 PM,480,0.9,32,8,Taxi Affiliation Services
2580023,07/15/2019 12:45:00 PM,2820,1.0,8,76,Taxi Affiliation Services
2580024,07/15/2019 12:45:00 PM,371,1.25,6,6,Flash Cab
2580025,07/15/2019 12:45:00 PM,493,0.92,8,8,Flash Cab
2580026,07/15/2019 12:45:00 PM,589,1.06,32,8,Chicago Carriage Cab Corp
2580027,07/15/2019 12:45:00 PM,271,0.79,8,8,Flash Cab
2580028,07/15/2019 12:45:00 PM,247,0.8,32,28,Chicago Carriage Cab Corp
2580029,07/15/2019 12:45:00 PM,480,1.1,32,8,Taxi Affiliation Services
2580030,07/15/2019 12:45:00 PM,360,0.9,32,28,"Taxicab Insurance Agency, LLC"
2580031,07/15/2019 12:45:00 PM,235,0.51,8,8,Flash Cab
2580032,07/15/2019 12:45:00 PM,348,0.73,32,32,Patriot Taxi Dba Peace Taxi Associat
2580033,07/15/2019 12:45:00 PM,535,1.23,32,8,Taxi Affiliation Service Yellow
2580034,07/15/2019 12:45:00 PM,2280,1.1,76,32,Blue Ribbon Taxi Association Inc.
2580035,07/15/2019 12:45:00 PM,475,1.19,32,32,Chicago Carriage Cab Corp
2580036,07/15/2019 12:45:00 PM,504,1.18,28,28,Sun Taxi
2580037,07/15/2019 12:45:00 PM,306,0.98,28,32,Flash Cab
2580038,07/15/2019 12:45:00 PM,488,0.82,28,32,Sun Taxi
2580039,07/15/2019 12:45:00 PM,585,0.95,8,32,Sun Taxi
2580040,07/15/2019 12:45:00 PM,482,1.0,32,8,Chicago Taxicab
2580041,07/15/2019 12:45:00 PM,420,0.9,32,32,Top Cab Affiliation
2580042,07/15/2019 12:45:00 PM,373,0.68,28,28,Chicago Carriage Cab Corp
2580043,07/15/2019 12:45:00 PM,263,1.51,2,13,Patriot Taxi Dba Peace Taxi Associat
2580044,07/15/2019 12:45:00 PM,480,1.1,32,32,Taxi Affiliation Services
2580045,07/15/2019 12:45:00 PM,240,0.6,32,32,Taxi Affiliation Services
2580046,07/15/2019 12:45:00 PM,480,1.5,32,8,Star North Management LLC
2580047,07/15/2019 12:45:00 PM,480,1.5,32,8,Taxi Affiliation Services
2580048,07/15/2019 12:45:00 PM,511,0.77,33,34,Chicago Carriage Cab Corp
2580049,07/15/2019 12:45:00 PM,439,0.69,8,32,Sun Taxi
2580050,07/15/2019 12:45:00 PM,420,0.6,28,32,Taxi Affiliation Services
2580051,07/15/2019 12:45:00 PM,381,0.86,28,32,Chicago Carriage Cab Corp
2580052,07/15/2019 12:45:00 PM,384,1.13,32,8,Nova Taxi Affiliation Llc
2580053,07/15/2019 12:45:00 PM,329,0.74,8,32,Sun Taxi
2580054,07/15/2019 12:45:00 PM,393,0.63,8,8,Chicago Carriage Cab Corp
2580055,07/15/2019 12:45:00 PM,319,0.59,32,32,City Service
2580056,07/15/2019 12:45:00 PM,540,1.0,8,32,"Taxicab Insurance Agency, LLC"
2580057,07/15/2019 12:45:00 PM,428,1.02,32,28,Sun Taxi
2580058,07/15/2019 12:45:00 PM,420,0.7,32,32,Taxi Affiliation Services
2580059,07/15/2019 12:45:00 PM,420,0.9,32,8,Taxi Affiliation Services
2580060,07/15/2019 12:45:00 PM,540,1.8,8,32,"Taxicab Insurance Agency, LLC"
2580061,07/15/2019 12:45:00 PM,554,1.01,8,8,Flash Cab
2580062,07/15/2019 12:45:00 PM,373,0.66,32,32,Chicago Carriage Cab Corp
2580063,07/15/2019 12:45:00 PM,395,0.95,32,32,Flash Cab
2580064,07/15/2019 12:45:00 PM,564,1.8,28,8,Medallion Leasin
2580065,07/15/2019 12:45:00 PM,591,1.34,3,3,24 Seven Taxi
2580066,07/15/2019 12:45:00 PM,470,1.2,32,32,Sun Taxi
2580067,07/15/2019 12:45:00 PM,300,0.8,28,32,Medallion Leasin
2580068,07/15/2019 12:45:00 PM,335,0.54,32,28,Sun Taxi
2580069,07/15/2019 12:45:00 PM,504,0.72,8,8,Flash Cab
2580070,07/15/2019 12:45:00 PM,2220,0.7,56,32,Taxi Affiliation Services
2580071,07/15/2019 12:45:00 PM,480,1.3,32,28,"Taxicab Insurance Agency, LLC"
2580072,07/15/2019 12:45:00 PM,540,1.0,32,8,Choice Taxi Association
2580073,07/15/2019 12:45:00 PM,420,1.1,32,32,Taxi Affiliation Services
2580074,07/15/2019 12:45:00 PM,332,1.02,8,32,Chicago Carriage Cab Corp
2580075,07/15/2019 12:45:00 PM,529,1.2,32,8,Sun Taxi
2580076,07/15/2019 12:45:00 PM,480,0.9,8,8,Medallion Leasin
2580077,07/15/2019 12:45:00 PM,420,1.2,28,8,Star North Management LLC
2580078,07/15/2019 12:45:00 PM,397,0.87,8,8,Chicago Carriage Cab Corp
2580079,07/15/2019 12:45:00 PM,360,1.2,28,24,Taxi Affiliation Services
2580080,07/15/2019 12:45:00 PM,2400,1.1,76,8,Taxi Affiliation Services
