,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
250000,01/21/2019 09:30:00 AM,540,1.5,8,32,KOAM Taxi Association
250001,01/21/2019 09:30:00 AM,240,0.8,28,32,Choice Taxi Association
250002,01/21/2019 09:30:00 AM,480,1.2,32,32,"Taxicab Insurance Agency, LLC"
250003,01/21/2019 09:30:00 AM,420,1.2,8,8,Taxi Affiliation Services
250004,01/21/2019 09:30:00 AM,360,0.9,28,28,Chicago Medallion Management
250005,01/21/2019 09:30:00 AM,427,1.07,28,32,Sun Taxi
250006,01/21/2019 09:30:00 AM,567,1.74,28,8,Chicago Carriage Cab Corp
250007,01/21/2019 09:30:00 AM,385,1.5,32,8,Chicago Taxicab
250008,01/21/2019 09:30:00 AM,456,1.39,38,38,Chicago Carriage Cab Corp
250009,01/21/2019 09:30:00 AM,278,1.1,28,32,Medallion Leasin
250010,01/21/2019 09:30:00 AM,300,1.6,32,33,Globe Taxi
250011,01/21/2019 09:30:00 AM,375,0.62,8,8,Chicago Carriage Cab Corp
250012,01/21/2019 09:30:00 AM,233,1.04,8,8,Nova Taxi Affiliation Llc
250013,01/21/2019 09:30:00 AM,265,1.01,4,77,Flash Cab
250014,01/21/2019 09:30:00 AM,249,0.7,8,8,Medallion Leasin
250015,01/21/2019 09:30:00 AM,360,1.2,32,8,Medallion Leasin
250016,01/21/2019 09:30:00 AM,470,1.19,32,8,City Service
250017,01/21/2019 09:30:00 AM,588,1.2,8,8,Chicago Carriage Cab Corp
250018,01/21/2019 09:30:00 AM,559,1.8,28,33,Medallion Leasin
250019,01/21/2019 09:30:00 AM,360,0.7,28,28,Medallion Leasin
250020,01/21/2019 09:30:00 AM,470,1.06,8,8,Flash Cab
250021,01/21/2019 09:30:00 AM,199,0.57,28,32,City Service
250022,01/21/2019 09:30:00 AM,480,1.2,32,28,Medallion Leasin
250023,01/21/2019 09:30:00 AM,251,1.02,28,28,Chicago Carriage Cab Corp
250024,01/21/2019 09:30:00 AM,236,0.7,28,28,Chicago Taxicab
250025,01/21/2019 09:30:00 AM,300,0.6,76,28,Globe Taxi
250026,01/21/2019 09:30:00 AM,540,1.6,28,32,Medallion Leasin
250027,01/21/2019 09:30:00 AM,300,0.7,8,8,Medallion Leasin
250028,01/21/2019 09:30:00 AM,579,1.74,28,8,Chicago Carriage Cab Corp
250029,01/21/2019 09:30:00 AM,502,1.39,8,32,Chicago Carriage Cab Corp
250030,01/21/2019 09:30:00 AM,343,0.9,32,8,Flash Cab
250031,01/21/2019 09:30:00 AM,444,1.2,28,32,Medallion Leasin
250032,01/21/2019 09:30:00 AM,420,1.3,8,32,Chicago Independents
250033,01/21/2019 09:30:00 AM,229,0.69,32,32,Chicago Carriage Cab Corp
250034,01/21/2019 09:30:00 AM,288,0.94,32,8,Chicago Carriage Cab Corp
250035,01/21/2019 09:30:00 AM,540,1.4,8,32,Chicago Independents
250036,01/21/2019 09:30:00 AM,300,1.0,8,8,Chicago Independents
250037,01/21/2019 09:30:00 AM,196,0.51,6,6,Flash Cab
250038,01/21/2019 09:30:00 AM,489,1.62,28,8,City Service
250039,01/21/2019 09:30:00 AM,427,1.27,8,28,Chicago Carriage Cab Corp
250040,01/21/2019 09:30:00 AM,480,1.4,32,8,Globe Taxi
250041,01/21/2019 09:30:00 AM,277,0.7,28,8,Medallion Leasin
250042,01/21/2019 09:30:00 AM,374,1.06,28,8,Flash Cab
250043,01/21/2019 09:30:00 AM,360,0.7,8,8,Medallion Leasin
250044,01/21/2019 09:30:00 AM,450,1.51,8,32,Flash Cab
250045,01/21/2019 09:30:00 AM,235,0.86,32,8,Chicago Carriage Cab Corp
250046,01/21/2019 09:30:00 AM,449,1.33,8,32,Chicago Carriage Cab Corp
250047,01/21/2019 09:30:00 AM,356,0.79,8,8,City Service
250048,01/21/2019 09:30:00 AM,367,1.19,32,32,City Service
250049,01/21/2019 09:30:00 AM,449,1.45,32,8,Gold Coast Taxi
250050,01/21/2019 09:30:00 AM,454,1.64,32,8,Sun Taxi
250051,01/21/2019 09:30:00 AM,440,1.39,8,32,Chicago Carriage Cab Corp
250052,01/21/2019 09:30:00 AM,300,0.61,8,8,Nova Taxi Affiliation Llc
250053,01/21/2019 09:30:00 AM,360,1.1,8,8,Medallion Leasin
250054,01/21/2019 09:30:00 AM,300,0.7,8,8,Medallion Leasin
250055,01/21/2019 09:30:00 AM,277,0.6,3,3,Taxi Affiliation Service Yellow
250056,01/21/2019 09:30:00 AM,359,0.96,34,33,Chicago Carriage Cab Corp
250057,01/21/2019 09:30:00 AM,337,1.08,32,28,Chicago Carriage Cab Corp
250058,01/21/2019 09:30:00 AM,513,1.2,28,32,City Service
250059,01/21/2019 09:30:00 AM,434,1.1,8,32,Taxi Affiliation Service Yellow
250060,01/21/2019 09:30:00 AM,349,1.14,32,32,Chicago Carriage Cab Corp
250061,01/21/2019 09:30:00 AM,480,0.9,8,32,Medallion Leasin
250062,01/21/2019 09:30:00 AM,488,1.5,8,32,Taxi Affiliation Service Yellow
250063,01/21/2019 09:30:00 AM,396,1.37,28,8,Chicago Carriage Cab Corp
250064,01/21/2019 09:30:00 AM,421,1.46,3,4,Flash Cab
250065,01/21/2019 09:30:00 AM,360,1.3,8,8,Medallion Leasin
250066,01/21/2019 09:30:00 AM,455,0.9,8,32,Taxi Affiliation Service Yellow
250067,01/21/2019 09:30:00 AM,309,0.6,8,8,Taxi Affiliation Service Yellow
250068,01/21/2019 09:30:00 AM,387,1.5,5,5,Taxi Affiliation Service Yellow
250069,01/21/2019 09:30:00 AM,497,0.94,32,8,City Service
250070,01/21/2019 09:30:00 AM,441,1.9,3,6,Blue Diamond
250071,01/21/2019 09:30:00 AM,240,0.6,8,32,Globe Taxi
250072,01/21/2019 09:30:00 AM,480,1.7,8,8,Sun Taxi
250073,01/21/2019 09:30:00 AM,360,1.1,8,28,Medallion Leasin
250074,01/21/2019 09:30:00 AM,461,0.9,32,8,Chicago Carriage Cab Corp
250075,01/21/2019 09:30:00 AM,565,1.93,7,6,Flash Cab
250076,01/21/2019 09:30:00 AM,555,1.43,8,28,5 Star Taxi
250077,01/21/2019 09:30:00 AM,420,1.5,8,32,24 Seven Taxi
250078,01/21/2019 09:30:00 AM,300,0.8,32,8,Globe Taxi
250079,01/21/2019 09:30:00 AM,251,0.94,28,8,Chicago Carriage Cab Corp
250080,01/21/2019 09:30:00 AM,431,0.83,8,32,Flash Cab
250081,01/21/2019 09:30:00 AM,418,0.57,8,8,Flash Cab
250082,01/21/2019 09:30:00 AM,466,1.45,28,8,City Service
250083,01/21/2019 09:30:00 AM,204,1.03,6,6,City Service
250084,01/21/2019 09:30:00 AM,337,0.72,32,32,Chicago Carriage Cab Corp
250085,01/21/2019 09:30:00 AM,401,1.19,28,32,Sun Taxi
