,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
2610000,07/17/2019 02:30:00 PM,326,1.13,7,8,Chicago Carriage Cab Corp
2610001,07/17/2019 02:30:00 PM,365,1.2,24,28,Medallion Leasin
2610002,07/17/2019 02:30:00 PM,300,0.6,32,32,"Taxicab Insurance Agency, LLC"
2610003,07/17/2019 02:30:00 PM,240,0.9,16,16,Taxi Affiliation Services
2610004,07/17/2019 02:30:00 PM,580,1.2,8,8,Taxi Affiliation Service Yellow
2610005,07/17/2019 02:30:00 PM,300,0.6,32,28,Medallion Leasin
2610006,07/17/2019 02:30:00 PM,360,1.7,32,8,Medallion Leasin
2610007,07/17/2019 02:30:00 PM,325,0.77,8,32,Chicago Carriage Cab Corp
2610008,07/17/2019 02:30:00 PM,420,0.6,8,8,Taxi Affiliation Services
2610009,07/17/2019 02:30:00 PM,352,0.67,32,8,City Service
2610010,07/17/2019 02:30:00 PM,240,1.0,32,8,Taxi Affiliation Services
2610011,07/17/2019 02:30:00 PM,480,1.11,8,32,Flash Cab
2610012,07/17/2019 02:30:00 PM,211,1.1,59,59,Chicago Taxicab
2610013,07/17/2019 02:30:00 PM,420,0.8,32,32,Medallion Leasin
2610014,07/17/2019 02:30:00 PM,303,0.82,32,8,Sun Taxi
2610015,07/17/2019 02:30:00 PM,540,1.3,8,8,Choice Taxi Association
2610016,07/17/2019 02:30:00 PM,490,1.0,32,28,Chicago Carriage Cab Corp
2610017,07/17/2019 02:30:00 PM,440,0.93,32,28,Flash Cab
2610018,07/17/2019 02:30:00 PM,480,0.6,28,32,Taxi Affiliation Services
2610019,07/17/2019 02:30:00 PM,420,1.1,32,8,Taxi Affiliation Services
2610020,07/17/2019 02:30:00 PM,420,1.1,32,8,Medallion Leasin
2610021,07/17/2019 02:30:00 PM,363,1.2,32,8,City Service
2610022,07/17/2019 02:30:00 PM,360,1.0,32,32,Star North Management LLC
2610023,07/17/2019 02:30:00 PM,575,1.42,32,32,Chicago Carriage Cab Corp
2610024,07/17/2019 02:30:00 PM,240,0.6,3,3,Taxi Affiliation Services
2610025,07/17/2019 02:30:00 PM,2,1.01,59,59,Patriot Taxi Dba Peace Taxi Associat
2610026,07/17/2019 02:30:00 PM,300,0.9,32,8,Medallion Leasin
2610027,07/17/2019 02:30:00 PM,360,0.8,32,8,Top Cab Affiliation
2610028,07/17/2019 02:30:00 PM,300,0.7,32,8,Taxi Affiliation Services
2610029,07/17/2019 02:30:00 PM,360,1.3,8,32,Star North Management LLC
2610030,07/17/2019 02:30:00 PM,360,1.2,28,32,Taxi Affiliation Services
2610031,07/17/2019 02:30:00 PM,420,1.3,8,28,Taxi Affiliation Services
2610032,07/17/2019 02:30:00 PM,517,1.33,8,32,Flash Cab
2610033,07/17/2019 02:30:00 PM,360,0.6,8,8,Medallion Leasin
2610034,07/17/2019 02:30:00 PM,551,1.22,28,28,Sun Taxi
2610035,07/17/2019 02:30:00 PM,2731,0.98,8,8,Sun Taxi
2610036,07/17/2019 02:30:00 PM,519,1.66,4,2,Flash Cab
2610037,07/17/2019 02:30:00 PM,587,1.76,8,32,Chicago Carriage Cab Corp
2610038,07/17/2019 02:30:00 PM,464,1.33,32,28,Patriot Taxi Dba Peace Taxi Associat
2610039,07/17/2019 02:30:00 PM,394,0.74,32,32,City Service
2610040,07/17/2019 02:30:00 PM,540,1.3,8,32,Taxi Affiliation Services
2610041,07/17/2019 02:30:00 PM,547,1.24,32,8,Flash Cab
2610042,07/17/2019 02:30:00 PM,582,1.22,8,32,Flash Cab
2610043,07/17/2019 02:30:00 PM,240,0.7,32,8,Taxi Affiliation Services
2610044,07/17/2019 02:30:00 PM,360,1.1,32,8,Taxi Affiliation Services
2610045,07/17/2019 02:30:00 PM,480,0.7,28,32,Taxi Affiliation Services
2610046,07/17/2019 02:30:00 PM,468,1.46,8,32,Chicago Carriage Cab Corp
2610047,07/17/2019 02:30:00 PM,556,1.31,32,8,Flash Cab
2610048,07/17/2019 02:30:00 PM,480,1.33,32,8,Chicago Carriage Cab Corp
2610049,07/17/2019 02:30:00 PM,521,0.66,77,77,Flash Cab
2610050,07/17/2019 02:30:00 PM,540,0.6,32,32,Star North Management LLC
2610051,07/17/2019 02:30:00 PM,480,1.2,1,77,Taxi Affiliation Services
2610052,07/17/2019 02:30:00 PM,420,1.7,28,28,Taxi Affiliation Services
2610053,07/17/2019 02:30:00 PM,255,0.57,8,32,Chicago Carriage Cab Corp
2610054,07/17/2019 02:30:00 PM,420,1.0,32,28,Medallion Leasin
2610055,07/17/2019 02:30:00 PM,351,0.56,8,32,Flash Cab
2610056,07/17/2019 02:30:00 PM,198,0.69,8,8,Sun Taxi
2610057,07/17/2019 02:30:00 PM,466,1.8,32,8,Sun Taxi
2610058,07/17/2019 02:30:00 PM,300,1.0,8,32,Taxi Affiliation Services
2610059,07/17/2019 02:30:00 PM,420,0.9,32,32,Taxi Affiliation Services
2610060,07/17/2019 02:30:00 PM,360,1.8,8,7,Star North Management LLC
2610061,07/17/2019 02:30:00 PM,385,0.69,32,32,Flash Cab
2610062,07/17/2019 02:30:00 PM,540,1.2,32,8,"Taxicab Insurance Agency, LLC"
2610063,07/17/2019 02:30:00 PM,420,1.4,32,8,Medallion Leasin
2610064,07/17/2019 02:30:00 PM,503,1.56,8,24,Chicago Carriage Cab Corp
2610065,07/17/2019 02:30:00 PM,420,0.9,8,32,Taxi Affiliation Services
2610066,07/17/2019 02:30:00 PM,480,0.8,28,32,Top Cab Affiliation
2610067,07/17/2019 02:30:00 PM,310,0.76,32,28,Chicago Carriage Cab Corp
2610068,07/17/2019 02:30:00 PM,271,0.6,8,8,City Service
2610069,07/17/2019 02:30:00 PM,420,1.1,8,8,Taxi Affiliation Services
2610070,07/17/2019 02:30:00 PM,525,0.84,7,6,Flash Cab
2610071,07/17/2019 02:30:00 PM,583,1.7,28,8,City Service
2610072,07/17/2019 02:30:00 PM,480,0.9,8,32,312 Medallion Management Corp
2610073,07/17/2019 02:30:00 PM,518,1.39,32,8,Flash Cab
2610074,07/17/2019 02:30:00 PM,300,1.0,8,8,Taxi Affiliation Services
2610075,07/17/2019 02:30:00 PM,491,1.3,8,8,Chicago Independents
2610076,07/17/2019 02:30:00 PM,472,1.48,28,32,Flash Cab
2610077,07/17/2019 02:30:00 PM,334,0.72,32,8,Flash Cab
2610078,07/17/2019 02:30:00 PM,540,1.3,41,41,Taxi Affiliation Services
2610079,07/17/2019 02:30:00 PM,408,0.8,32,28,Blue Diamond
2610080,07/17/2019 02:30:00 PM,568,1.0,8,28,City Service
2610081,07/17/2019 02:30:00 PM,420,1.1,32,8,Taxi Affiliation Services
2610082,07/17/2019 02:30:00 PM,460,1.57,32,28,City Service
2610083,07/17/2019 02:30:00 PM,281,0.7,32,28,Chicago Carriage Cab Corp
2610084,07/17/2019 02:30:00 PM,480,1.4,8,32,Medallion Leasin
2610085,07/17/2019 02:30:00 PM,420,1.1,28,32,3094 - 24059 G.L.B. Cab Co
2610086,07/17/2019 02:30:00 PM,287,0.6,32,8,City Service
2610087,07/17/2019 02:30:00 PM,480,1.1,8,32,Taxi Affiliation Services
2610088,07/17/2019 02:30:00 PM,360,1.0,32,28,Taxi Affiliation Services
2610089,07/17/2019 02:30:00 PM,427,1.09,8,32,Chicago Carriage Cab Corp
2610090,07/17/2019 02:30:00 PM,375,1.11,32,32,Patriot Taxi Dba Peace Taxi Associat
2610091,07/17/2019 02:30:00 PM,300,0.7,28,8,Choice Taxi Association
2610092,07/17/2019 02:30:00 PM,300,1.0,8,8,Medallion Leasin
2610093,07/17/2019 02:30:00 PM,540,0.8,32,32,Taxi Affiliation Services
2610094,07/17/2019 02:30:00 PM,480,0.8,8,8,Taxi Affiliation Services
2610095,07/17/2019 02:30:00 PM,452,1.04,8,32,City Service
2610096,07/17/2019 02:30:00 PM,336,0.92,8,8,Nova Taxi Affiliation Llc
2610097,07/17/2019 02:30:00 PM,420,0.6,32,8,Star North Management LLC
2610098,07/17/2019 02:30:00 PM,360,1.3,28,32,Taxi Affiliation Services
2610099,07/17/2019 02:30:00 PM,340,0.95,8,8,Chicago Carriage Cab Corp
2610100,07/17/2019 02:30:00 PM,258,0.99,2,4,Sun Taxi
2610101,07/17/2019 02:30:00 PM,456,1.06,8,32,Flash Cab
2610102,07/17/2019 02:30:00 PM,2940,1.1,8,76,Taxi Affiliation Services
2610103,07/17/2019 02:30:00 PM,362,0.98,32,8,Flash Cab
2610104,07/17/2019 02:30:00 PM,2520,0.9,76,28,Taxi Affiliation Services
2610105,07/17/2019 02:30:00 PM,540,1.1,8,28,Taxi Affiliation Services
2610106,07/17/2019 02:30:00 PM,293,0.64,28,28,Flash Cab
2610107,07/17/2019 02:30:00 PM,424,1.1,32,32,Chicago Carriage Cab Corp
2610108,07/17/2019 02:30:00 PM,480,1.8,32,8,Medallion Leasin
2610109,07/17/2019 02:30:00 PM,439,0.7,32,28,Blue Diamond
2610110,07/17/2019 02:30:00 PM,360,1.3,77,2,"Taxicab Insurance Agency, LLC"
2610111,07/17/2019 02:30:00 PM,316,0.88,28,32,Chicago Carriage Cab Corp
2610112,07/17/2019 02:30:00 PM,240,0.7,8,8,Medallion Leasin
2610113,07/17/2019 02:30:00 PM,360,0.62,8,8,Patriot Taxi Dba Peace Taxi Associat
2610114,07/17/2019 02:30:00 PM,268,0.84,32,8,Sun Taxi
2610115,07/17/2019 02:30:00 PM,595,1.6,32,28,Chicago Carriage Cab Corp
2610116,07/17/2019 02:30:00 PM,224,0.6,32,28,City Service
2610117,07/17/2019 02:30:00 PM,370,0.78,32,28,Chicago Carriage Cab Corp
2610118,07/17/2019 02:30:00 PM,480,1.4,32,32,Choice Taxi Association
2610119,07/17/2019 02:30:00 PM,595,1.89,8,8,City Service
2610120,07/17/2019 02:30:00 PM,360,0.8,32,8,Medallion Leasin
2610121,07/17/2019 02:30:00 PM,2280,0.7,32,56,Taxi Affiliation Services
2610122,07/17/2019 02:30:00 PM,544,1.41,8,8,Sun Taxi
2610123,07/17/2019 02:30:00 PM,299,0.82,8,32,Chicago Carriage Cab Corp
2610124,07/17/2019 02:30:00 PM,596,1.66,32,8,Chicago Carriage Cab Corp
2610125,07/17/2019 02:30:00 PM,349,0.89,8,32,Sun Taxi
2610126,07/17/2019 02:45:00 PM,196,0.53,28,28,Chicago Carriage Cab Corp
2610127,07/17/2019 02:45:00 PM,300,0.6,8,8,Taxi Affiliation Services
2610128,07/17/2019 02:45:00 PM,360,0.9,8,32,Choice Taxi Association
2610129,07/17/2019 02:45:00 PM,300,0.8,32,28,Choice Taxi Association
2610130,07/17/2019 02:45:00 PM,503,1.5,2,1,Medallion Leasin
2610131,07/17/2019 02:45:00 PM,289,0.6,32,8,Medallion Leasin
2610132,07/17/2019 02:45:00 PM,353,0.77,32,32,Flash Cab
2610133,07/17/2019 02:45:00 PM,363,1.01,32,32,Chicago Carriage Cab Corp
2610134,07/17/2019 02:45:00 PM,480,1.3,8,32,Star North Management LLC
2610135,07/17/2019 02:45:00 PM,323,0.77,8,8,Sun Taxi
2610136,07/17/2019 02:45:00 PM,344,0.77,32,32,Chicago Carriage Cab Corp
2610137,07/17/2019 02:45:00 PM,374,0.71,8,8,City Service
2610138,07/17/2019 02:45:00 PM,449,0.71,8,32,Sun Taxi
2610139,07/17/2019 02:45:00 PM,360,0.7,8,8,Taxi Affiliation Services
2610140,07/17/2019 02:45:00 PM,420,0.9,8,32,Choice Taxi Association
2610141,07/17/2019 02:45:00 PM,507,1.37,3,3,24 Seven Taxi
2610142,07/17/2019 02:45:00 PM,420,1.4,32,32,Taxi Affiliation Services
2610143,07/17/2019 02:45:00 PM,379,0.53,32,32,Flash Cab
2610144,07/17/2019 02:45:00 PM,358,0.71,6,6,Flash Cab
2610145,07/17/2019 02:45:00 PM,360,0.8,8,32,Taxi Affiliation Services
2610146,07/17/2019 02:45:00 PM,540,0.8,32,32,City Service
2610147,07/17/2019 02:45:00 PM,214,0.52,28,28,Chicago Carriage Cab Corp
2610148,07/17/2019 02:45:00 PM,360,1.3,2,6,Medallion Leasin
2610149,07/17/2019 02:45:00 PM,540,1.26,32,8,Chicago Carriage Cab Corp
2610150,07/17/2019 02:45:00 PM,360,1.0,8,8,Choice Taxi Association
2610151,07/17/2019 02:45:00 PM,260,0.6,32,28,American United Taxi Affiliation
2610152,07/17/2019 02:45:00 PM,573,0.8,32,32,City Service
2610153,07/17/2019 02:45:00 PM,542,1.4,32,28,City Service
2610154,07/17/2019 02:45:00 PM,300,0.6,32,28,Chicago Medallion Management
2610155,07/17/2019 02:45:00 PM,2580,1.0,32,76,Blue Ribbon Taxi Association Inc.
2610156,07/17/2019 02:45:00 PM,300,1.0,8,8,"Taxicab Insurance Agency, LLC"
2610157,07/17/2019 02:45:00 PM,300,0.97,32,33,Chicago Carriage Cab Corp
2610158,07/17/2019 02:45:00 PM,420,1.1,32,8,Taxi Affiliation Services
2610159,07/17/2019 02:45:00 PM,519,1.66,32,28,Chicago Carriage Cab Corp
2610160,07/17/2019 02:45:00 PM,270,0.61,32,8,Flash Cab
2610161,07/17/2019 02:45:00 PM,300,1.1,33,32,Medallion Leasin
2610162,07/17/2019 02:45:00 PM,420,0.9,8,28,Taxi Affiliation Services
2610163,07/17/2019 02:45:00 PM,360,0.8,32,8,Star North Management LLC
2610164,07/17/2019 02:45:00 PM,257,0.8,32,32,Sun Taxi
2610165,07/17/2019 02:45:00 PM,300,0.6,32,28,Taxi Affiliation Services
2610166,07/17/2019 02:45:00 PM,480,1.2,32,8,Taxi Affiliation Services
2610167,07/17/2019 02:45:00 PM,540,1.6,8,28,Medallion Leasin
2610168,07/17/2019 02:45:00 PM,575,1.24,28,8,Chicago Carriage Cab Corp
2610169,07/17/2019 02:45:00 PM,360,0.6,32,32,Choice Taxi Association
2610170,07/17/2019 02:45:00 PM,488,0.96,32,8,Sun Taxi
2610171,07/17/2019 02:45:00 PM,431,0.8,8,32,24 Seven Taxi
2610172,07/17/2019 02:45:00 PM,402,0.76,32,32,Chicago Carriage Cab Corp
2610173,07/17/2019 02:45:00 PM,299,0.93,6,4,Sun Taxi
2610174,07/17/2019 02:45:00 PM,360,0.7,8,8,Nova Taxi Affiliation Llc
2610175,07/17/2019 02:45:00 PM,297,0.62,32,32,Sun Taxi
2610176,07/17/2019 02:45:00 PM,554,1.58,32,32,Chicago Carriage Cab Corp
2610177,07/17/2019 02:45:00 PM,540,1.5,28,28,Taxi Affiliation Services
2610178,07/17/2019 02:45:00 PM,326,0.77,32,32,Patriot Taxi Dba Peace Taxi Associat
2610179,07/17/2019 02:45:00 PM,443,0.7,8,8,City Service
2610180,07/17/2019 02:45:00 PM,432,1.3,6,6,City Service
2610181,07/17/2019 02:45:00 PM,437,1.02,32,32,Sun Taxi
2610182,07/17/2019 02:45:00 PM,480,0.8,32,32,Taxi Affiliation Services
2610183,07/17/2019 02:45:00 PM,529,1.9,32,28,Sun Taxi
2610184,07/17/2019 02:45:00 PM,422,1.03,28,28,Sun Taxi
2610185,07/17/2019 02:45:00 PM,420,0.6,8,32,Taxi Affiliation Services
2610186,07/17/2019 02:45:00 PM,420,1.0,32,32,Taxi Affiliation Services
2610187,07/17/2019 02:45:00 PM,353,0.8,8,32,Taxi Affiliation Service Yellow
2610188,07/17/2019 02:45:00 PM,561,1.73,32,33,Chicago Carriage Cab Corp
2610189,07/17/2019 02:45:00 PM,3000,1.1,32,76,Blue Ribbon Taxi Association Inc.
2610190,07/17/2019 02:45:00 PM,360,1.1,28,32,Star North Management LLC
2610191,07/17/2019 02:45:00 PM,266,0.72,32,8,Sun Taxi
2610192,07/17/2019 02:45:00 PM,282,0.8,1,1,Checker Taxi Affiliation
2610193,07/17/2019 02:45:00 PM,283,0.75,8,8,Sun Taxi
2610194,07/17/2019 02:45:00 PM,480,0.9,8,32,Medallion Leasin
2610195,07/17/2019 02:45:00 PM,365,0.92,32,28,Flash Cab
2610196,07/17/2019 02:45:00 PM,420,0.9,32,8,"Taxicab Insurance Agency, LLC"
2610197,07/17/2019 02:45:00 PM,2760,1.1,32,76,Blue Ribbon Taxi Association Inc.
2610198,07/17/2019 02:45:00 PM,458,0.68,8,8,Flash Cab
2610199,07/17/2019 02:45:00 PM,439,1.65,32,8,Chicago Carriage Cab Corp
2610200,07/17/2019 02:45:00 PM,206,0.66,32,32,Flash Cab
2610201,07/17/2019 02:45:00 PM,360,0.9,32,8,Choice Taxi Association
2610202,07/17/2019 02:45:00 PM,363,0.73,28,8,Chicago Carriage Cab Corp
2610203,07/17/2019 02:45:00 PM,341,0.87,32,32,City Service
2610204,07/17/2019 02:45:00 PM,417,0.96,32,8,Flash Cab
2610205,07/17/2019 02:45:00 PM,491,1.22,28,32,Chicago Carriage Cab Corp
2610206,07/17/2019 02:45:00 PM,240,0.6,28,32,Choice Taxi Association
2610207,07/17/2019 02:45:00 PM,480,1.1,32,32,Star North Management LLC
2610208,07/17/2019 02:45:00 PM,502,0.58,32,32,Flash Cab
2610209,07/17/2019 02:45:00 PM,395,1.03,7,8,Sun Taxi
2610210,07/17/2019 02:45:00 PM,393,0.8,32,32,City Service
2610211,07/17/2019 02:45:00 PM,360,0.9,32,32,Star North Management LLC
2610212,07/17/2019 02:45:00 PM,549,1.2,28,32,Blue Diamond
2610213,07/17/2019 02:45:00 PM,540,1.0,28,32,Taxi Affiliation Services
2610214,07/17/2019 02:45:00 PM,377,1.1,32,32,Taxi Affiliation Service Yellow
2610215,07/17/2019 02:45:00 PM,594,1.2,8,32,City Service
2610216,07/17/2019 02:45:00 PM,420,1.0,32,32,Choice Taxi Association
2610217,07/17/2019 02:45:00 PM,372,0.84,8,32,City Service
2610218,07/17/2019 02:45:00 PM,521,1.5,8,8,Medallion Leasin
2610219,07/17/2019 02:45:00 PM,593,1.65,28,8,Sun Taxi
2610220,07/17/2019 02:45:00 PM,397,0.87,8,32,Patriot Taxi Dba Peace Taxi Associat
2610221,07/17/2019 02:45:00 PM,308,1.04,8,8,City Service
2610222,07/17/2019 02:45:00 PM,360,0.8,8,32,"Taxicab Insurance Agency, LLC"
2610223,07/17/2019 02:45:00 PM,265,0.69,32,8,Flash Cab
2610224,07/17/2019 02:45:00 PM,218,0.69,32,32,Nova Taxi Affiliation Llc
2610225,07/17/2019 02:45:00 PM,547,1.0,8,32,Chicago Independents
2610226,07/17/2019 02:45:00 PM,523,0.87,32,28,Flash Cab
2610227,07/17/2019 02:45:00 PM,384,0.9,32,8,Chicago Taxicab
2610228,07/17/2019 02:45:00 PM,564,1.2,8,28,City Service
2610229,07/17/2019 02:45:00 PM,420,0.9,8,32,Taxi Affiliation Services
2610230,07/17/2019 02:45:00 PM,510,1.11,32,32,Flash Cab
2610231,07/17/2019 02:45:00 PM,2880,1.1,8,76,Taxi Affiliation Services
2610232,07/17/2019 02:45:00 PM,462,1.16,8,32,Chicago Carriage Cab Corp
2610233,07/17/2019 02:45:00 PM,480,1.0,8,32,Chicago Medallion Management
2610234,07/17/2019 02:45:00 PM,480,1.3,28,28,Medallion Leasin
2610235,07/17/2019 02:45:00 PM,369,1.23,28,32,Chicago Carriage Cab Corp
2610236,07/17/2019 02:45:00 PM,453,1.43,28,32,Sun Taxi
2610237,07/17/2019 02:45:00 PM,498,0.9,8,32,Flash Cab
2610238,07/17/2019 02:45:00 PM,263,0.66,32,32,Sun Taxi
2610239,07/17/2019 02:45:00 PM,360,0.9,15,19,Taxi Affiliation Services
2610240,07/17/2019 02:45:00 PM,534,1.77,4,3,Flash Cab
2610241,07/17/2019 02:45:00 PM,360,1.3,32,8,Medallion Leasin
2610242,07/17/2019 02:45:00 PM,360,0.7,32,28,Star North Management LLC
2610243,07/17/2019 02:45:00 PM,270,0.56,32,8,Flash Cab
2610244,07/17/2019 02:45:00 PM,360,0.75,32,32,Gold Coast Taxi
2610245,07/17/2019 02:45:00 PM,494,1.28,8,28,Sun Taxi
2610246,07/17/2019 02:45:00 PM,477,1.18,8,32,Sun Taxi
2610247,07/17/2019 02:45:00 PM,491,1.16,32,8,Chicago Carriage Cab Corp
2610248,07/17/2019 02:45:00 PM,240,0.7,8,8,Taxi Affiliation Services
2610249,07/17/2019 02:45:00 PM,480,1.28,32,8,Patriot Taxi Dba Peace Taxi Associat
2610250,07/17/2019 02:45:00 PM,537,1.23,8,8,Sun Taxi
2610251,07/17/2019 02:45:00 PM,540,1.53,8,28,Sun Taxi
2610252,07/17/2019 02:45:00 PM,443,0.96,32,28,City Service
2610253,07/17/2019 02:45:00 PM,224,0.61,6,6,Flash Cab
2610254,07/17/2019 02:45:00 PM,278,0.53,8,8,Flash Cab
2610255,07/17/2019 02:45:00 PM,240,0.7,8,8,Taxi Affiliation Services
2610256,07/17/2019 02:45:00 PM,480,1.0,8,32,Choice Taxi Association
2610257,07/17/2019 02:45:00 PM,480,1.9,32,8,Star North Management LLC
2610258,07/17/2019 02:45:00 PM,300,1.0,32,8,"Taxicab Insurance Agency, LLC"
2610259,07/17/2019 02:45:00 PM,324,0.82,28,28,Chicago Carriage Cab Corp
2610260,07/17/2019 02:45:00 PM,2447,10.62,33,46,Flash Cab
2610261,07/17/2019 02:45:00 PM,482,0.9,32,28,Leonard Cab Co
2610262,07/17/2019 02:45:00 PM,1980,10.9,56,32,Taxi Affiliation Services
2610263,07/17/2019 02:45:00 PM,330,0.74,77,77,Flash Cab
2610264,07/17/2019 02:45:00 PM,2580,1.0,76,8,Blue Ribbon Taxi Association Inc.
2610265,07/17/2019 02:45:00 PM,427,1.19,8,8,Chicago Carriage Cab Corp
2610266,07/17/2019 02:45:00 PM,480,0.8,8,32,Taxi Affiliation Services
2610267,07/17/2019 02:45:00 PM,420,0.8,32,32,Medallion Leasin
2610268,07/17/2019 02:45:00 PM,598,1.23,32,8,Patriot Taxi Dba Peace Taxi Associat
2610269,07/17/2019 02:45:00 PM,219,0.53,34,34,24 Seven Taxi
2610270,07/17/2019 02:45:00 PM,484,1.25,32,32,Patriot Taxi Dba Peace Taxi Associat
2610271,07/17/2019 02:45:00 PM,576,1.6,32,8,City Service
2610272,07/17/2019 02:45:00 PM,540,1.1,32,32,KOAM Taxi Association
2610273,07/17/2019 02:45:00 PM,554,1.57,8,32,Chicago Carriage Cab Corp
2610274,07/17/2019 02:45:00 PM,444,0.7,32,32,Leonard Cab Co
2610275,07/17/2019 02:45:00 PM,440,0.87,8,32,Chicago Carriage Cab Corp
2610276,07/17/2019 02:45:00 PM,480,1.12,8,32,Nova Taxi Affiliation Llc
2610277,07/17/2019 02:45:00 PM,420,1.7,32,8,"Taxicab Insurance Agency, LLC"
2610278,07/17/2019 02:45:00 PM,241,0.61,8,8,Patriot Taxi Dba Peace Taxi Associat
2610279,07/17/2019 02:45:00 PM,480,0.6,28,32,Top Cab Affiliation
2610280,07/17/2019 02:45:00 PM,420,1.1,8,28,Medallion Leasin
2610281,07/17/2019 02:45:00 PM,539,1.48,8,28,Chicago Carriage Cab Corp
2610282,07/17/2019 02:45:00 PM,480,1.1,32,28,Taxi Affiliation Services
2610283,07/17/2019 02:45:00 PM,480,1.1,32,8,Choice Taxi Association
2610284,07/17/2019 02:45:00 PM,370,1.12,3,3,Flash Cab
2610285,07/17/2019 02:45:00 PM,396,0.91,32,32,City Service
2610286,07/17/2019 02:45:00 PM,240,0.7,32,8,"Taxicab Insurance Agency, LLC"
2610287,07/17/2019 02:45:00 PM,2044,10.9,28,44,City Service
2610288,07/17/2019 02:45:00 PM,336,0.82,8,32,Chicago Carriage Cab Corp
2610289,07/17/2019 02:45:00 PM,300,0.8,32,8,Medallion Leasin
2610290,07/17/2019 02:45:00 PM,287,0.8,8,8,Sun Taxi
2610291,07/17/2019 02:45:00 PM,370,1.07,8,28,Flash Cab
2610292,07/17/2019 02:45:00 PM,540,1.2,28,8,Taxi Affiliation Services
2610293,07/17/2019 02:45:00 PM,540,1.3,28,8,Choice Taxi Association
2610294,07/17/2019 02:45:00 PM,540,1.1,32,28,"Taxicab Insurance Agency, LLC"
