,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
2650000,07/20/2019 11:45:00 AM,240,0.9,8,8,Taxi Affiliation Services
2650001,07/20/2019 11:45:00 AM,210,0.61,8,32,Sun Taxi
2650002,07/20/2019 11:45:00 AM,540,1.2,8,32,Taxi Affiliation Services
2650003,07/20/2019 11:45:00 AM,2220,10.9,8,2,Star North Management LLC
2650004,07/20/2019 11:45:00 AM,454,1.12,8,8,Chicago Carriage Cab Corp
2650005,07/20/2019 11:45:00 AM,2100,0.8,6,76,Taxi Affiliation Services
2650006,07/20/2019 11:45:00 AM,417,1.51,32,8,Flash Cab
2650007,07/20/2019 11:45:00 AM,413,1.19,8,32,Sun Taxi
2650008,07/20/2019 11:45:00 AM,311,1.07,32,8,Flash Cab
2650009,07/20/2019 11:45:00 AM,209,0.55,8,8,Chicago Independents
2650010,07/20/2019 11:45:00 AM,357,0.93,32,8,Sun Taxi
2650011,07/20/2019 11:45:00 AM,420,0.9,8,8,Medallion Leasin
2650012,07/20/2019 11:45:00 AM,300,0.9,8,32,Top Cab Affiliation
2650013,07/20/2019 11:45:00 AM,420,1.1,8,8,Taxi Affiliation Services
2650014,07/20/2019 11:45:00 AM,300,1.3,33,32,Star North Management LLC
2650015,07/20/2019 11:45:00 AM,541,1.02,32,8,Flash Cab
2650016,07/20/2019 11:45:00 AM,240,1.4,8,7,Medallion Leasin
2650017,07/20/2019 11:45:00 AM,424,1.08,8,8,Sun Taxi
2650018,07/20/2019 11:45:00 AM,300,0.8,8,8,Taxi Affiliation Services
2650019,07/20/2019 11:45:00 AM,420,0.8,8,32,Taxi Affiliation Services
2650020,07/20/2019 11:45:00 AM,323,0.77,28,32,Chicago Carriage Cab Corp
2650021,07/20/2019 11:45:00 AM,240,0.6,32,8,Top Cab Affiliation
2650022,07/20/2019 11:45:00 AM,300,1.0,8,32,Medallion Leasin
2650023,07/20/2019 11:45:00 AM,530,1.06,32,32,Sun Taxi
2650024,07/20/2019 11:45:00 AM,442,0.9,8,8,Medallion Leasin
2650025,07/20/2019 11:45:00 AM,480,0.9,8,8,Taxi Affiliation Services
2650026,07/20/2019 11:45:00 AM,295,0.9,8,8,Taxi Affiliation Service Yellow
2650027,07/20/2019 11:45:00 AM,420,1.2,32,8,Medallion Leasin
2650028,07/20/2019 11:45:00 AM,518,1.5,8,32,Flash Cab
2650029,07/20/2019 11:45:00 AM,540,1.4,8,32,"Taxicab Insurance Agency, LLC"
2650030,07/20/2019 11:45:00 AM,356,0.77,8,8,Flash Cab
2650031,07/20/2019 11:45:00 AM,420,1.4,21,16,Taxi Affiliation Services
2650032,07/20/2019 11:45:00 AM,338,1.07,8,8,City Service
2650033,07/20/2019 11:45:00 AM,280,0.58,8,8,Flash Cab
2650034,07/20/2019 11:45:00 AM,323,1.64,32,33,Chicago Carriage Cab Corp
2650035,07/20/2019 11:45:00 AM,480,1.2,32,8,Taxi Affiliation Services
2650036,07/20/2019 11:45:00 AM,279,0.52,8,8,Flash Cab
2650037,07/20/2019 11:45:00 AM,456,1.1,32,28,Taxi Affiliation Service Yellow
2650038,07/20/2019 11:45:00 AM,2100,1.1,8,76,Blue Ribbon Taxi Association Inc.
2650039,07/20/2019 11:45:00 AM,296,0.78,8,8,Chicago Carriage Cab Corp
2650040,07/20/2019 11:45:00 AM,240,0.6,32,28,Taxi Affiliation Services
2650041,07/20/2019 11:45:00 AM,300,0.6,28,32,3094 - 24059 G.L.B. Cab Co
2650042,07/20/2019 11:45:00 AM,2640,1.2,32,76,Taxi Affiliation Services
2650043,07/20/2019 11:45:00 AM,300,0.9,8,8,Taxi Affiliation Services
2650044,07/20/2019 11:45:00 AM,519,1.66,8,32,Chicago Carriage Cab Corp
2650045,07/20/2019 11:45:00 AM,420,0.9,8,32,Taxi Affiliation Services
2650046,07/20/2019 11:45:00 AM,303,0.6,8,8,City Service
2650047,07/20/2019 11:45:00 AM,480,1.2,8,8,Top Cab Affiliation
2650048,07/20/2019 11:45:00 AM,371,0.83,32,8,Sun Taxi
2650049,07/20/2019 11:45:00 AM,2040,1.0,76,8,Taxi Affiliation Services
2650050,07/20/2019 11:45:00 AM,567,0.66,32,8,Flash Cab
2650051,07/20/2019 11:45:00 AM,480,1.2,8,8,Taxi Affiliation Services
2650052,07/20/2019 11:45:00 AM,480,1.1,32,8,Medallion Leasin
2650053,07/20/2019 11:45:00 AM,360,1.1,32,32,Taxi Affiliation Services
2650054,07/20/2019 11:45:00 AM,564,1.51,6,3,Sun Taxi
2650055,07/20/2019 11:45:00 AM,481,1.14,8,8,Sun Taxi
2650056,07/20/2019 11:45:00 AM,503,1.1,32,28,City Service
2650057,07/20/2019 11:45:00 AM,183,0.88,32,28,Chicago Carriage Cab Corp
2650058,07/20/2019 11:45:00 AM,540,1.7,8,8,Taxi Affiliation Services
2650059,07/20/2019 11:45:00 AM,420,1.2,28,8,Taxi Affiliation Services
2650060,07/20/2019 11:45:00 AM,422,0.97,6,6,Flash Cab
2650061,07/20/2019 11:45:00 AM,515,0.53,8,8,Chicago Carriage Cab Corp
2650062,07/20/2019 11:45:00 AM,271,0.85,8,8,Chicago Carriage Cab Corp
2650063,07/20/2019 11:45:00 AM,584,1.75,8,28,Chicago Carriage Cab Corp
2650064,07/20/2019 11:45:00 AM,539,1.2,32,32,City Service
2650065,07/20/2019 11:45:00 AM,2820,1.1,42,77,Blue Ribbon Taxi Association Inc.
2650066,07/20/2019 11:45:00 AM,328,0.8,8,8,City Service
2650067,07/20/2019 11:45:00 AM,531,1.15,8,8,Flash Cab
2650068,07/20/2019 11:45:00 AM,475,1.12,24,8,Chicago Carriage Cab Corp
2650069,07/20/2019 11:45:00 AM,393,1.89,32,35,Chicago Carriage Cab Corp
2650070,07/20/2019 11:45:00 AM,480,1.5,8,32,Taxi Affiliation Services
2650071,07/20/2019 11:45:00 AM,320,0.8,8,8,Patriot Taxi Dba Peace Taxi Associat
2650072,07/20/2019 11:45:00 AM,406,0.65,32,8,Sun Taxi
2650073,07/20/2019 11:45:00 AM,363,0.99,8,32,City Service
