,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
2660000,07/21/2019 10:30:00 AM,269,0.75,8,8,Chicago Independents
2660001,07/21/2019 10:30:00 AM,403,1.35,8,32,Sun Taxi
2660002,07/21/2019 10:30:00 AM,313,1.28,8,32,Sun Taxi
2660003,07/21/2019 10:30:00 AM,245,0.82,8,8,City Service
2660004,07/21/2019 10:30:00 AM,231,0.8,16,21,Taxi Affiliation Service Yellow
2660005,07/21/2019 10:30:00 AM,420,1.2,8,8,Taxi Affiliation Services
2660006,07/21/2019 10:30:00 AM,240,0.9,8,8,Taxi Affiliation Services
2660007,07/21/2019 10:30:00 AM,503,1.06,8,32,Chicago Carriage Cab Corp
2660008,07/21/2019 10:30:00 AM,287,1.09,8,8,City Service
2660009,07/21/2019 10:30:00 AM,360,1.3,8,8,Choice Taxi Association
2660010,07/21/2019 10:30:00 AM,217,1.07,32,32,Patriot Taxi Dba Peace Taxi Associat
2660011,07/21/2019 10:30:00 AM,300,1.2,38,38,Taxi Affiliation Services
2660012,07/21/2019 10:30:00 AM,255,0.6,8,32,City Service
2660013,07/21/2019 10:30:00 AM,438,1.4,8,8,Medallion Leasin
2660014,07/21/2019 10:30:00 AM,561,1.31,32,8,Flash Cab
2660015,07/21/2019 10:30:00 AM,533,1.37,32,8,Flash Cab
2660016,07/21/2019 10:30:00 AM,540,1.7,32,8,Medallion Leasin
2660017,07/21/2019 10:30:00 AM,300,0.9,32,32,Taxi Affiliation Services
2660018,07/21/2019 10:30:00 AM,377,1.07,32,28,Chicago Carriage Cab Corp
2660019,07/21/2019 10:30:00 AM,211,0.62,8,8,Flash Cab
2660020,07/21/2019 10:30:00 AM,437,1.02,28,28,Sun Taxi
2660021,07/21/2019 10:30:00 AM,360,1.7,32,28,Taxi Affiliation Services
2660022,07/21/2019 10:30:00 AM,451,1.25,8,32,Chicago Carriage Cab Corp
2660023,07/21/2019 10:30:00 AM,420,1.1,8,8,Medallion Leasin
2660024,07/21/2019 10:30:00 AM,383,0.67,8,32,Flash Cab
2660025,07/21/2019 10:30:00 AM,420,1.4,32,28,KOAM Taxi Association
2660026,07/21/2019 10:30:00 AM,360,0.8,8,8,Flash Cab
2660027,07/21/2019 10:30:00 AM,430,0.87,32,8,Sun Taxi
2660028,07/21/2019 10:30:00 AM,334,0.75,32,8,Flash Cab
2660029,07/21/2019 10:30:00 AM,240,0.6,32,8,Taxi Affiliation Services
2660030,07/21/2019 10:30:00 AM,250,0.95,8,8,Flash Cab
2660031,07/21/2019 10:30:00 AM,269,0.71,32,32,Flash Cab
2660032,07/21/2019 10:30:00 AM,420,1.8,32,8,"Taxicab Insurance Agency, LLC"
2660033,07/21/2019 10:30:00 AM,388,0.75,8,8,Chicago Carriage Cab Corp
2660034,07/21/2019 10:30:00 AM,451,1.81,8,8,Chicago Carriage Cab Corp
2660035,07/21/2019 10:30:00 AM,379,1.54,32,28,Chicago Carriage Cab Corp
2660036,07/21/2019 10:30:00 AM,563,1.74,28,8,Flash Cab
2660037,07/21/2019 10:30:00 AM,277,0.75,8,8,Chicago Carriage Cab Corp
2660038,07/21/2019 10:45:00 AM,205,0.54,8,8,City Service
2660039,07/21/2019 10:45:00 AM,419,1.71,32,8,Chicago Carriage Cab Corp
2660040,07/21/2019 10:45:00 AM,298,0.69,8,8,Sun Taxi
2660041,07/21/2019 10:45:00 AM,390,0.94,16,16,Sun Taxi
2660042,07/21/2019 10:45:00 AM,540,1.6,8,28,Choice Taxi Association
2660043,07/21/2019 10:45:00 AM,2100,1.1,76,8,Taxi Affiliation Services
2660044,07/21/2019 10:45:00 AM,475,1.42,8,32,City Service
2660045,07/21/2019 10:45:00 AM,450,1.42,8,8,Nova Taxi Affiliation Llc
2660046,07/21/2019 10:45:00 AM,320,1.99,28,28,Patriot Taxi Dba Peace Taxi Associat
2660047,07/21/2019 10:45:00 AM,377,1.0,8,8,Sun Taxi
2660048,07/21/2019 10:45:00 AM,300,1.3,8,8,Taxi Affiliation Services
2660049,07/21/2019 10:45:00 AM,2640,0.7,33,33,Blue Ribbon Taxi Association Inc.
2660050,07/21/2019 10:45:00 AM,584,0.98,32,8,Flash Cab
2660051,07/21/2019 10:45:00 AM,360,1.3,6,3,Taxi Affiliation Services
2660052,07/21/2019 10:45:00 AM,360,0.8,8,8,Medallion Leasin
2660053,07/21/2019 10:45:00 AM,425,1.38,32,8,Flash Cab
2660054,07/21/2019 10:45:00 AM,443,1.28,6,6,Flash Cab
2660055,07/21/2019 10:45:00 AM,2282,10.26,8,15,Chicago Carriage Cab Corp
2660056,07/21/2019 10:45:00 AM,372,1.37,28,32,Chicago Carriage Cab Corp
2660057,07/21/2019 10:45:00 AM,555,1.5,28,8,City Service
2660058,07/21/2019 10:45:00 AM,277,1.0,32,8,City Service
2660059,07/21/2019 10:45:00 AM,376,0.96,32,32,Flash Cab
2660060,07/21/2019 10:45:00 AM,190,0.77,32,32,Sun Taxi
2660061,07/21/2019 10:45:00 AM,360,1.7,8,13,Medallion Leasin
2660062,07/21/2019 10:45:00 AM,346,0.92,6,6,24 Seven Taxi
2660063,07/21/2019 10:45:00 AM,384,1.1,24,22,Chicago Carriage Cab Corp
2660064,07/21/2019 10:45:00 AM,515,1.8,8,32,Medallion Leasin
2660065,07/21/2019 10:45:00 AM,289,0.94,32,32,Flash Cab
2660066,07/21/2019 10:45:00 AM,360,1.1,32,8,Taxi Affiliation Services
2660067,07/21/2019 10:45:00 AM,287,1.25,28,32,Patriot Taxi Dba Peace Taxi Associat
2660068,07/21/2019 10:45:00 AM,351,0.9,32,32,City Service
2660069,07/21/2019 10:45:00 AM,593,1.6,7,6,City Service
2660070,07/21/2019 10:45:00 AM,244,0.76,32,32,Sun Taxi
2660071,07/21/2019 10:45:00 AM,360,1.4,28,8,Star North Management LLC
2660072,07/21/2019 10:45:00 AM,480,1.4,8,32,Choice Taxi Association
2660073,07/21/2019 10:45:00 AM,360,1.6,32,8,Taxi Affiliation Services
2660074,07/21/2019 10:45:00 AM,543,1.37,28,32,Flash Cab
2660075,07/21/2019 10:45:00 AM,312,0.8,8,28,Flash Cab
2660076,07/21/2019 10:45:00 AM,471,1.47,32,32,Flash Cab
2660077,07/21/2019 10:45:00 AM,255,0.6,8,8,Chicago Taxicab
2660078,07/21/2019 10:45:00 AM,240,0.7,8,8,Taxi Affiliation Services
2660079,07/21/2019 10:45:00 AM,328,1.4,5,6,Flash Cab
2660080,07/21/2019 10:45:00 AM,355,0.8,8,32,City Service
2660081,07/21/2019 10:45:00 AM,462,0.75,8,8,City Service
2660082,07/21/2019 10:45:00 AM,362,0.99,1,2,Flash Cab
2660083,07/21/2019 10:45:00 AM,386,1.33,28,8,Sun Taxi
2660084,07/21/2019 10:45:00 AM,300,1.2,32,28,Taxi Affiliation Services
2660085,07/21/2019 10:45:00 AM,473,1.8,6,6,Medallion Leasin
2660086,07/21/2019 10:45:00 AM,478,1.77,32,28,Flash Cab
2660087,07/21/2019 10:45:00 AM,360,1.1,8,8,Taxi Affiliation Services
2660088,07/21/2019 10:45:00 AM,248,0.69,8,8,Chicago Carriage Cab Corp
2660089,07/21/2019 10:45:00 AM,361,1.12,8,32,Chicago Carriage Cab Corp
2660090,07/21/2019 10:45:00 AM,255,0.63,7,7,Flash Cab
2660091,07/21/2019 10:45:00 AM,582,1.64,28,8,Flash Cab
2660092,07/21/2019 10:45:00 AM,578,1.41,32,8,City Service
2660093,07/21/2019 10:45:00 AM,585,1.75,28,32,Chicago Carriage Cab Corp
2660094,07/21/2019 10:45:00 AM,365,0.83,8,32,Flash Cab
2660095,07/21/2019 10:45:00 AM,540,1.2,32,8,Taxi Affiliation Services
2660096,07/21/2019 10:45:00 AM,296,0.85,8,8,Chicago Carriage Cab Corp
2660097,07/21/2019 10:45:00 AM,537,1.64,32,32,Flash Cab
2660098,07/21/2019 10:45:00 AM,314,0.7,8,8,Medallion Leasin
2660099,07/21/2019 10:45:00 AM,420,1.3,8,24,Taxi Affiliation Services
2660100,07/21/2019 10:45:00 AM,399,1.51,77,4,Patriot Taxi Dba Peace Taxi Associat
2660101,07/21/2019 10:45:00 AM,240,0.9,32,8,Choice Taxi Association
2660102,07/21/2019 10:45:00 AM,480,1.6,32,8,Chicago Medallion Management
2660103,07/21/2019 10:45:00 AM,354,0.68,8,8,Flash Cab
2660104,07/21/2019 10:45:00 AM,379,0.6,8,8,City Service
2660105,07/21/2019 10:45:00 AM,325,1.12,8,8,24 Seven Taxi
2660106,07/21/2019 10:45:00 AM,454,1.45,8,32,Patriot Taxi Dba Peace Taxi Associat
2660107,07/21/2019 10:45:00 AM,455,1.23,32,8,Sun Taxi
2660108,07/21/2019 10:45:00 AM,351,1.05,3,3,Flash Cab
2660109,07/21/2019 10:45:00 AM,568,1.52,28,32,City Service
2660110,07/21/2019 10:45:00 AM,300,1.2,32,33,Taxi Affiliation Services
2660111,07/21/2019 10:45:00 AM,558,1.17,32,8,Sun Taxi
2660112,07/21/2019 10:45:00 AM,435,1.0,32,8,Blue Diamond
2660113,07/21/2019 10:45:00 AM,391,1.8,8,24,Flash Cab
2660114,07/21/2019 10:45:00 AM,382,0.76,8,8,Flash Cab
2660115,07/21/2019 10:45:00 AM,590,1.63,8,28,Chicago Carriage Cab Corp
2660116,07/21/2019 10:45:00 AM,258,0.86,15,15,Flash Cab
2660117,07/21/2019 10:45:00 AM,300,1.1,8,8,Taxi Affiliation Services
2660118,07/21/2019 10:45:00 AM,360,1.6,28,8,Star North Management LLC
2660119,07/21/2019 10:45:00 AM,598,1.92,28,34,Sun Taxi
2660120,07/21/2019 10:45:00 AM,300,1.1,28,28,Taxi Affiliation Services
2660121,07/21/2019 10:45:00 AM,240,1.0,35,33,Taxi Affiliation Services
2660122,07/21/2019 10:45:00 AM,240,0.9,8,8,Taxi Affiliation Services
2660123,07/21/2019 10:45:00 AM,554,1.78,32,32,Sun Taxi
2660124,07/21/2019 10:45:00 AM,595,1.7,28,8,Medallion Leasin
2660125,07/21/2019 10:45:00 AM,300,1.5,24,27,Taxi Affiliation Services
2660126,07/21/2019 10:45:00 AM,408,1.1,24,8,Medallion Leasin
2660127,07/21/2019 10:45:00 AM,285,0.6,33,33,Medallion Leasin
2660128,07/21/2019 10:45:00 AM,223,0.54,8,32,Chicago Carriage Cab Corp
2660129,07/21/2019 10:45:00 AM,482,1.63,32,32,Chicago Carriage Cab Corp
2660130,07/21/2019 10:45:00 AM,269,0.67,32,32,Patriot Taxi Dba Peace Taxi Associat
2660131,07/21/2019 10:45:00 AM,382,1.33,32,8,Flash Cab
2660132,07/21/2019 10:45:00 AM,258,0.73,32,8,Chicago Carriage Cab Corp
2660133,07/21/2019 11:00:00 AM,420,1.1,6,6,Choice Taxi Association
2660134,07/21/2019 11:00:00 AM,503,1.83,32,33,Sun Taxi
2660135,07/21/2019 11:00:00 AM,253,0.63,8,8,Chicago Carriage Cab Corp
2660136,07/21/2019 11:00:00 AM,420,0.8,8,7,Choice Taxi Association
2660137,07/21/2019 11:00:00 AM,265,1.11,25,26,Flash Cab
2660138,07/21/2019 11:00:00 AM,360,1.1,28,24,Taxi Affiliation Services
2660139,07/21/2019 11:00:00 AM,322,0.76,4,4,Flash Cab
2660140,07/21/2019 11:00:00 AM,497,1.8,7,6,Medallion Leasin
2660141,07/21/2019 11:00:00 AM,540,1.8,28,8,"Taxicab Insurance Agency, LLC"
2660142,07/21/2019 11:00:00 AM,310,0.95,8,8,City Service
2660143,07/21/2019 11:00:00 AM,368,0.99,8,8,Flash Cab
2660144,07/21/2019 11:00:00 AM,328,1.21,32,8,Patriot Taxi Dba Peace Taxi Associat
2660145,07/21/2019 11:00:00 AM,300,1.3,56,57,Choice Taxi Association
2660146,07/21/2019 11:00:00 AM,428,1.22,3,77,Sun Taxi
2660147,07/21/2019 11:00:00 AM,360,0.9,32,28,Medallion Leasin
2660148,07/21/2019 11:00:00 AM,277,0.85,8,8,Flash Cab
2660149,07/21/2019 11:00:00 AM,300,0.8,32,32,Taxi Affiliation Services
2660150,07/21/2019 11:00:00 AM,455,1.7,3,4,Sun Taxi
2660151,07/21/2019 11:00:00 AM,585,0.91,8,32,Chicago Independents
2660152,07/21/2019 11:00:00 AM,300,1.0,8,5,Medallion Leasin
2660153,07/21/2019 11:00:00 AM,290,0.63,24,24,Sun Taxi
2660154,07/21/2019 11:00:00 AM,240,1.2,8,7,Taxi Affiliation Services
2660155,07/21/2019 11:00:00 AM,284,0.85,24,24,Sun Taxi
2660156,07/21/2019 11:00:00 AM,420,1.4,8,8,Taxi Affiliation Services
2660157,07/21/2019 11:00:00 AM,267,0.61,8,8,Sun Taxi
2660158,07/21/2019 11:00:00 AM,588,1.56,32,8,City Service
2660159,07/21/2019 11:00:00 AM,246,0.84,8,24,Sun Taxi
2660160,07/21/2019 11:00:00 AM,2100,0.8,32,41,Taxi Affiliation Services
2660161,07/21/2019 11:00:00 AM,273,0.75,8,8,Flash Cab
2660162,07/21/2019 11:00:00 AM,420,1.2,28,32,Star North Management LLC
2660163,07/21/2019 11:00:00 AM,540,1.9,8,32,KOAM Taxi Association
2660164,07/21/2019 11:00:00 AM,360,1.9,24,24,Taxi Affiliation Services
2660165,07/21/2019 11:00:00 AM,502,1.25,32,28,Flash Cab
2660166,07/21/2019 11:00:00 AM,225,0.86,8,8,Chicago Carriage Cab Corp
2660167,07/21/2019 11:00:00 AM,383,0.87,32,28,Sun Taxi
2660168,07/21/2019 11:00:00 AM,450,1.16,8,32,Flash Cab
2660169,07/21/2019 11:00:00 AM,414,1.08,8,8,Sun Taxi
2660170,07/21/2019 11:00:00 AM,300,1.4,32,8,"Taxicab Insurance Agency, LLC"
2660171,07/21/2019 11:00:00 AM,318,1.05,8,32,Flash Cab
2660172,07/21/2019 11:00:00 AM,204,0.64,8,8,24 Seven Taxi
2660173,07/21/2019 11:00:00 AM,290,0.94,32,32,Chicago Carriage Cab Corp
2660174,07/21/2019 11:00:00 AM,310,0.97,32,8,Chicago Carriage Cab Corp
2660175,07/21/2019 11:00:00 AM,240,0.7,8,8,Choice Taxi Association
2660176,07/21/2019 11:00:00 AM,540,1.2,8,8,Medallion Leasin
2660177,07/21/2019 11:00:00 AM,420,1.0,32,8,Star North Management LLC
2660178,07/21/2019 11:00:00 AM,300,0.9,8,32,Choice Taxi Association
2660179,07/21/2019 11:00:00 AM,454,1.09,32,8,Flash Cab
2660180,07/21/2019 11:00:00 AM,355,1.3,8,8,Sun Taxi
2660181,07/21/2019 11:00:00 AM,422,1.18,32,8,Flash Cab
2660182,07/21/2019 11:00:00 AM,329,1.2,7,7,City Service
2660183,07/21/2019 11:00:00 AM,540,1.0,8,8,Taxi Affiliation Services
2660184,07/21/2019 11:00:00 AM,1980,1.1,8,76,Blue Ribbon Taxi Association Inc.
2660185,07/21/2019 11:00:00 AM,210,0.53,8,8,Flash Cab
2660186,07/21/2019 11:00:00 AM,2040,0.6,40,8,Taxi Affiliation Services
2660187,07/21/2019 11:00:00 AM,327,1.13,8,8,Nova Taxi Affiliation Llc
2660188,07/21/2019 11:00:00 AM,300,0.8,8,8,Taxi Affiliation Services
2660189,07/21/2019 11:00:00 AM,420,1.2,32,77,Medallion Leasin
2660190,07/21/2019 11:00:00 AM,360,1.7,7,8,"Taxicab Insurance Agency, LLC"
2660191,07/21/2019 11:00:00 AM,2040,1.0,7,76,Taxi Affiliation Services
2660192,07/21/2019 11:00:00 AM,473,1.59,7,8,Flash Cab
2660193,07/21/2019 11:00:00 AM,391,1.2,7,7,City Service
2660194,07/21/2019 11:00:00 AM,240,0.7,32,8,Choice Taxi Association
2660195,07/21/2019 11:00:00 AM,513,1.02,7,7,Flash Cab
2660196,07/21/2019 11:00:00 AM,335,0.95,32,32,Flash Cab
2660197,07/21/2019 11:00:00 AM,273,0.7,6,7,Chicago Independents
2660198,07/21/2019 11:00:00 AM,434,1.01,8,32,Flash Cab
2660199,07/21/2019 11:00:00 AM,513,1.13,8,32,Sun Taxi
2660200,07/21/2019 11:00:00 AM,446,1.46,8,8,Chicago Carriage Cab Corp
2660201,07/21/2019 11:00:00 AM,389,1.2,60,28,Chicago Carriage Cab Corp
2660202,07/21/2019 11:00:00 AM,300,1.4,8,8,Taxi Affiliation Services
2660203,07/21/2019 11:00:00 AM,399,1.42,8,8,Flash Cab
2660204,07/21/2019 11:00:00 AM,250,0.75,32,8,Chicago Independents
2660205,07/21/2019 11:00:00 AM,467,1.98,2,2,Flash Cab
2660206,07/21/2019 11:00:00 AM,465,0.9,8,32,Medallion Leasin
2660207,07/21/2019 11:00:00 AM,418,0.91,8,8,Flash Cab
2660208,07/21/2019 11:00:00 AM,1980,0.9,7,76,Taxi Affiliation Services
2660209,07/21/2019 11:00:00 AM,322,1.08,8,8,Sun Taxi
2660210,07/21/2019 11:00:00 AM,272,1.04,8,8,Chicago Carriage Cab Corp
2660211,07/21/2019 11:00:00 AM,558,1.52,8,8,Flash Cab
2660212,07/21/2019 11:00:00 AM,454,1.98,8,7,Chicago Carriage Cab Corp
2660213,07/21/2019 11:00:00 AM,533,1.38,8,8,Flash Cab
2660214,07/21/2019 11:00:00 AM,375,0.78,8,8,City Service
2660215,07/21/2019 11:00:00 AM,316,1.28,8,24,Sun Taxi
2660216,07/21/2019 11:00:00 AM,286,0.82,6,6,Flash Cab
2660217,07/21/2019 11:00:00 AM,195,0.54,8,8,Flash Cab
2660218,07/21/2019 11:00:00 AM,516,1.57,32,28,Flash Cab
2660219,07/21/2019 11:00:00 AM,540,1.5,28,32,Taxi Affiliation Services
2660220,07/21/2019 11:00:00 AM,240,0.9,28,32,Taxi Affiliation Services
2660221,07/21/2019 11:00:00 AM,360,1.6,8,7,KOAM Taxi Association
2660222,07/21/2019 11:00:00 AM,534,1.52,8,8,Flash Cab
2660223,07/21/2019 11:00:00 AM,1860,1.1,32,76,Blue Ribbon Taxi Association Inc.
2660224,07/21/2019 11:00:00 AM,271,1.1,8,8,Taxi Affiliation Service Yellow
2660225,07/21/2019 11:00:00 AM,371,1.12,3,6,Flash Cab
2660226,07/21/2019 11:00:00 AM,240,0.6,32,8,Taxi Affiliation Services
2660227,07/21/2019 11:00:00 AM,302,0.9,32,8,Medallion Leasin
2660228,07/21/2019 11:00:00 AM,240,0.8,6,6,Taxi Affiliation Services
2660229,07/21/2019 11:00:00 AM,321,1.1,14,4,Patriot Taxi Dba Peace Taxi Associat
2660230,07/21/2019 11:00:00 AM,420,1.1,28,8,Star North Management LLC
2660231,07/21/2019 11:00:00 AM,420,1.93,7,8,Chicago Carriage Cab Corp
2660232,07/21/2019 11:00:00 AM,374,0.74,8,8,Flash Cab
2660233,07/21/2019 11:15:00 AM,287,0.6,8,32,Flash Cab
2660234,07/21/2019 11:15:00 AM,296,0.6,6,6,Flash Cab
2660235,07/21/2019 11:15:00 AM,393,1.76,24,23,Flash Cab
2660236,07/21/2019 11:15:00 AM,547,1.2,8,8,Flash Cab
2660237,07/21/2019 11:15:00 AM,1873,10.68,25,7,Flash Cab
2660238,07/21/2019 11:15:00 AM,360,0.9,6,6,City Service
2660239,07/21/2019 11:15:00 AM,598,1.37,32,8,Sun Taxi
2660240,07/21/2019 11:15:00 AM,510,1.7,33,32,Chicago Carriage Cab Corp
2660241,07/21/2019 11:15:00 AM,300,1.4,1,1,Medallion Leasin
2660242,07/21/2019 11:15:00 AM,373,1.05,32,8,City Service
2660243,07/21/2019 11:15:00 AM,378,0.66,7,7,Chicago Carriage Cab Corp
2660244,07/21/2019 11:15:00 AM,540,1.3,32,32,Medallion Leasin
2660245,07/21/2019 11:15:00 AM,576,1.27,7,7,Flash Cab
2660246,07/21/2019 11:15:00 AM,533,1.61,7,8,Flash Cab
2660247,07/21/2019 11:15:00 AM,360,0.7,76,8,Medallion Leasin
2660248,07/21/2019 11:15:00 AM,420,1.3,7,7,Taxi Affiliation Services
2660249,07/21/2019 11:15:00 AM,480,1.6,8,28,Taxi Affiliation Services
2660250,07/21/2019 11:15:00 AM,420,1.8,8,7,Taxi Affiliation Services
2660251,07/21/2019 11:15:00 AM,280,1.2,8,32,Blue Diamond
2660252,07/21/2019 11:15:00 AM,240,0.7,28,28,Taxi Affiliation Services
2660253,07/21/2019 11:15:00 AM,461,1.56,32,8,Flash Cab
2660254,07/21/2019 11:15:00 AM,264,0.7,8,8,Chicago Independents
2660255,07/21/2019 11:15:00 AM,301,1.1,77,77,Flash Cab
2660256,07/21/2019 11:15:00 AM,231,0.67,8,32,Nova Taxi Affiliation Llc
2660257,07/21/2019 11:15:00 AM,300,0.7,32,32,Taxi Affiliation Services
2660258,07/21/2019 11:15:00 AM,327,0.51,8,8,Chicago Carriage Cab Corp
2660259,07/21/2019 11:15:00 AM,360,0.9,32,8,Star North Management LLC
2660260,07/21/2019 11:15:00 AM,300,1.0,7,7,Choice Taxi Association
2660261,07/21/2019 11:15:00 AM,298,0.95,8,8,Chicago Carriage Cab Corp
2660262,07/21/2019 11:15:00 AM,300,0.7,8,32,Choice Taxi Association
2660263,07/21/2019 11:15:00 AM,426,0.9,32,32,Medallion Leasin
2660264,07/21/2019 11:15:00 AM,439,0.77,77,77,Flash Cab
2660265,07/21/2019 11:15:00 AM,308,0.94,32,32,Chicago Carriage Cab Corp
2660266,07/21/2019 11:15:00 AM,428,0.68,6,7,Flash Cab
2660267,07/21/2019 11:15:00 AM,343,1.06,8,8,Sun Taxi
2660268,07/21/2019 11:15:00 AM,423,1.43,28,32,Sun Taxi
2660269,07/21/2019 11:15:00 AM,372,1.01,8,8,Flash Cab
2660270,07/21/2019 11:15:00 AM,204,0.57,8,8,Chicago Carriage Cab Corp
