,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
2670000,07/22/2019 01:30:00 PM,233,0.69,10,76,Flash Cab
2670001,07/22/2019 01:30:00 PM,2880,1.0,76,8,Taxi Affiliation Services
2670002,07/22/2019 01:30:00 PM,420,1.6,28,8,"Taxicab Insurance Agency, LLC"
2670003,07/22/2019 01:30:00 PM,240,0.8,8,8,Star North Management LLC
2670004,07/22/2019 01:30:00 PM,346,1.0,8,32,Chicago Independents
2670005,07/22/2019 01:30:00 PM,580,0.99,32,32,Flash Cab
2670006,07/22/2019 01:30:00 PM,368,0.87,32,32,Flash Cab
2670007,07/22/2019 01:30:00 PM,495,1.13,8,32,Nova Taxi Affiliation Llc
2670008,07/22/2019 01:30:00 PM,480,1.5,8,8,Medallion Leasin
2670009,07/22/2019 01:30:00 PM,323,1.34,33,32,Chicago Carriage Cab Corp
2670010,07/22/2019 01:30:00 PM,369,1.44,8,8,Chicago Carriage Cab Corp
2670011,07/22/2019 01:30:00 PM,2940,1.1,76,28,Taxi Affiliation Services
2670012,07/22/2019 01:30:00 PM,558,1.26,8,8,Nova Taxi Affiliation Llc
2670013,07/22/2019 01:30:00 PM,540,0.8,8,8,Choice Taxi Association
2670014,07/22/2019 01:30:00 PM,305,1.38,8,8,Sun Taxi
2670015,07/22/2019 01:30:00 PM,591,1.36,32,8,Chicago Carriage Cab Corp
2670016,07/22/2019 01:30:00 PM,360,0.8,28,32,Medallion Leasin
2670017,07/22/2019 01:30:00 PM,540,1.2,32,8,Medallion Leasin
2670018,07/22/2019 01:30:00 PM,420,1.3,8,8,"Taxicab Insurance Agency, LLC"
2670019,07/22/2019 01:30:00 PM,453,1.02,28,8,Checker Taxi Affiliation
2670020,07/22/2019 01:30:00 PM,360,0.9,8,32,Star North Management LLC
2670021,07/22/2019 01:30:00 PM,289,0.61,32,32,City Service
2670022,07/22/2019 01:30:00 PM,256,0.6,8,8,City Service
2670023,07/22/2019 01:30:00 PM,301,0.9,6,6,City Service
2670024,07/22/2019 01:30:00 PM,338,1.0,32,32,Medallion Leasin
2670025,07/22/2019 01:30:00 PM,420,1.0,8,32,Choice Taxi Association
2670026,07/22/2019 01:30:00 PM,456,1.31,32,8,City Service
2670027,07/22/2019 01:30:00 PM,288,0.54,3,3,Sun Taxi
2670028,07/22/2019 01:30:00 PM,459,0.84,32,8,Sun Taxi
2670029,07/22/2019 01:30:00 PM,420,1.3,32,28,KOAM Taxi Association
2670030,07/22/2019 01:30:00 PM,311,0.71,28,32,City Service
2670031,07/22/2019 01:30:00 PM,240,0.7,32,8,Taxi Affiliation Services
2670032,07/22/2019 01:30:00 PM,258,0.73,8,28,City Service
2670033,07/22/2019 01:30:00 PM,517,1.69,28,8,Chicago Carriage Cab Corp
2670034,07/22/2019 01:30:00 PM,360,1.3,32,28,City Service
2670035,07/22/2019 01:30:00 PM,326,1.0,8,8,Patriot Taxi Dba Peace Taxi Associat
2670036,07/22/2019 01:30:00 PM,382,0.71,8,8,Chicago Carriage Cab Corp
2670037,07/22/2019 01:30:00 PM,405,1.0,8,8,City Service
2670038,07/22/2019 01:30:00 PM,300,0.6,32,32,"Taxicab Insurance Agency, LLC"
2670039,07/22/2019 01:30:00 PM,532,1.34,32,28,Chicago Carriage Cab Corp
2670040,07/22/2019 01:30:00 PM,340,0.89,8,32,City Service
2670041,07/22/2019 01:30:00 PM,361,0.8,8,8,Chicago Independents
2670042,07/22/2019 01:30:00 PM,549,1.33,8,32,Chicago Carriage Cab Corp
2670043,07/22/2019 01:30:00 PM,300,0.7,28,32,Star North Management LLC
