,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
2700000,07/24/2019 06:00:00 PM,574,1.33,28,28,Flash Cab
2700001,07/24/2019 06:00:00 PM,360,1.1,8,8,Choice Taxi Association
2700002,07/24/2019 06:00:00 PM,426,1.04,32,8,Flash Cab
2700003,07/24/2019 06:00:00 PM,540,1.4,5,3,Medallion Leasin
2700004,07/24/2019 06:00:00 PM,540,0.9,8,32,Choice Taxi Association
2700005,07/24/2019 06:00:00 PM,540,0.9,28,32,1085 - 72312 N and W Cab Co
2700006,07/24/2019 06:00:00 PM,483,1.1,8,8,24 Seven Taxi
2700007,07/24/2019 06:00:00 PM,480,0.8,32,32,Choice Taxi Association
2700008,07/24/2019 06:00:00 PM,399,1.09,8,8,Flash Cab
2700009,07/24/2019 06:00:00 PM,412,0.67,32,8,Flash Cab
2700010,07/24/2019 06:00:00 PM,499,0.7,32,32,Sun Taxi
2700011,07/24/2019 06:00:00 PM,590,1.14,32,8,Sun Taxi
2700012,07/24/2019 06:00:00 PM,529,0.63,8,8,Chicago Carriage Cab Corp
2700013,07/24/2019 06:00:00 PM,247,0.6,32,28,Medallion Leasin
2700014,07/24/2019 06:00:00 PM,420,1.19,32,28,Sun Taxi
2700015,07/24/2019 06:00:00 PM,348,0.75,8,8,Flash Cab
2700016,07/24/2019 06:00:00 PM,568,1.12,8,8,City Service
2700017,07/24/2019 06:00:00 PM,4860,1.1,76,8,Taxi Affiliation Services
2700018,07/24/2019 06:00:00 PM,437,1.3,32,33,Setare Inc
2700019,07/24/2019 06:00:00 PM,333,0.84,32,32,Flash Cab
2700020,07/24/2019 06:00:00 PM,557,0.6,8,8,City Service
2700021,07/24/2019 06:00:00 PM,420,1.2,8,8,Taxi Affiliation Services
2700022,07/24/2019 06:00:00 PM,451,0.92,32,8,Sun Taxi
2700023,07/24/2019 06:00:00 PM,360,0.6,28,8,City Service
2700024,07/24/2019 06:00:00 PM,482,0.9,32,32,City Service
2700025,07/24/2019 06:00:00 PM,468,0.61,8,8,Nova Taxi Affiliation Llc
2700026,07/24/2019 06:00:00 PM,480,0.7,8,32,Taxi Affiliation Services
2700027,07/24/2019 06:00:00 PM,540,0.8,32,8,Choice Taxi Association
2700028,07/24/2019 06:00:00 PM,420,0.8,8,8,Medallion Leasin
2700029,07/24/2019 06:00:00 PM,456,1.06,32,8,Chicago Carriage Cab Corp
2700030,07/24/2019 06:00:00 PM,2100,10.3,8,13,Taxi Affiliation Services
2700031,07/24/2019 06:00:00 PM,512,0.75,32,8,Sun Taxi
2700032,07/24/2019 06:00:00 PM,540,0.7,28,32,Star North Management LLC
2700033,07/24/2019 06:00:00 PM,535,1.27,7,8,Flash Cab
2700034,07/24/2019 06:00:00 PM,480,0.9,28,32,KOAM Taxi Association
2700035,07/24/2019 06:00:00 PM,420,1.0,32,32,Taxi Affiliation Services
2700036,07/24/2019 06:00:00 PM,300,0.7,32,8,Medallion Leasin
2700037,07/24/2019 06:00:00 PM,579,0.8,32,28,Medallion Leasin
2700038,07/24/2019 06:00:00 PM,448,0.96,32,8,Flash Cab
2700039,07/24/2019 06:00:00 PM,545,0.9,32,8,Flash Cab
2700040,07/24/2019 06:00:00 PM,540,0.9,8,8,Medallion Leasin
2700041,07/24/2019 06:00:00 PM,300,1.0,8,8,Medallion Leasin
2700042,07/24/2019 06:00:00 PM,476,0.77,32,32,Chicago Carriage Cab Corp
2700043,07/24/2019 06:00:00 PM,564,1.52,32,33,Chicago Carriage Cab Corp
2700044,07/24/2019 06:00:00 PM,480,1.0,28,28,Choice Taxi Association
2700045,07/24/2019 06:00:00 PM,341,0.76,32,32,Chicago Carriage Cab Corp
2700046,07/24/2019 06:00:00 PM,516,0.63,8,8,Sun Taxi
2700047,07/24/2019 06:00:00 PM,599,1.46,32,8,Chicago Carriage Cab Corp
2700048,07/24/2019 06:00:00 PM,477,0.85,32,32,Nova Taxi Affiliation Llc
2700049,07/24/2019 06:00:00 PM,469,1.07,32,28,Chicago Carriage Cab Corp
2700050,07/24/2019 06:00:00 PM,480,0.9,8,8,Top Cab Affiliation
2700051,07/24/2019 06:00:00 PM,556,1.4,32,28,Medallion Leasin
2700052,07/24/2019 06:00:00 PM,540,1.1,8,8,Medallion Leasin
2700053,07/24/2019 06:00:00 PM,403,0.89,28,28,Flash Cab
2700054,07/24/2019 06:00:00 PM,540,1.3,32,32,Chicago Carriage Cab Corp
2700055,07/24/2019 06:00:00 PM,420,0.9,8,32,Taxi Affiliation Services
2700056,07/24/2019 06:00:00 PM,281,0.7,6,6,City Service
2700057,07/24/2019 06:00:00 PM,424,0.78,32,32,Sun Taxi
2700058,07/24/2019 06:00:00 PM,540,1.3,8,32,City Service
2700059,07/24/2019 06:00:00 PM,3079,10.5,76,17,Chicago Independents
2700060,07/24/2019 06:00:00 PM,392,1.0,32,8,City Service
2700061,07/24/2019 06:00:00 PM,300,0.6,28,32,5006 - 39261 Salifu Bawa
