,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
2720000,07/26/2019 08:45:00 AM,576,1.05,28,32,Chicago Carriage Cab Corp
2720001,07/26/2019 08:45:00 AM,360,1.2,32,32,Taxi Affiliation Services
2720002,07/26/2019 08:45:00 AM,513,1.34,32,8,Chicago Carriage Cab Corp
2720003,07/26/2019 08:45:00 AM,388,0.79,28,32,Flash Cab
2720004,07/26/2019 08:45:00 AM,518,1.01,8,32,Flash Cab
2720005,07/26/2019 08:45:00 AM,420,1.0,32,32,Medallion Leasin
2720006,07/26/2019 08:45:00 AM,532,0.99,28,32,Chicago Carriage Cab Corp
2720007,07/26/2019 08:45:00 AM,442,0.68,7,7,Sun Taxi
2720008,07/26/2019 08:45:00 AM,544,1.75,3,3,24 Seven Taxi
2720009,07/26/2019 08:45:00 AM,540,1.4,8,32,Taxi Affiliation Services
2720010,07/26/2019 08:45:00 AM,518,0.94,28,32,Sun Taxi
2720011,07/26/2019 08:45:00 AM,390,0.61,32,32,Checker Taxi Affiliation
2720012,07/26/2019 08:45:00 AM,360,1.1,6,6,Taxi Affiliation Services
2720013,07/26/2019 08:45:00 AM,425,1.46,32,24,Flash Cab
2720014,07/26/2019 08:45:00 AM,289,0.6,8,8,Flash Cab
2720015,07/26/2019 08:45:00 AM,395,0.7,8,8,Medallion Leasin
2720016,07/26/2019 08:45:00 AM,282,0.7,8,32,Flash Cab
2720017,07/26/2019 08:45:00 AM,480,0.8,32,28,Medallion Leasin
2720018,07/26/2019 08:45:00 AM,546,0.86,28,8,24 Seven Taxi
2720019,07/26/2019 08:45:00 AM,540,1.45,8,32,Sun Taxi
2720020,07/26/2019 08:45:00 AM,320,0.85,8,8,Flash Cab
2720021,07/26/2019 08:45:00 AM,480,1.0,32,32,Choice Taxi Association
2720022,07/26/2019 08:45:00 AM,2220,1.0,8,76,Taxi Affiliation Services
2720023,07/26/2019 08:45:00 AM,507,1.17,8,32,Flash Cab
2720024,07/26/2019 08:45:00 AM,594,1.3,32,8,Chicago Independents
2720025,07/26/2019 08:45:00 AM,543,0.87,32,28,Chicago Carriage Cab Corp
2720026,07/26/2019 08:45:00 AM,360,1.4,4,77,"Taxicab Insurance Agency, LLC"
2720027,07/26/2019 08:45:00 AM,480,1.0,8,32,Medallion Leasin
2720028,07/26/2019 08:45:00 AM,495,1.22,3,3,Flash Cab
2720029,07/26/2019 08:45:00 AM,240,0.8,32,28,Top Cab Affiliation
2720030,07/26/2019 08:45:00 AM,582,1.79,28,8,Chicago Carriage Cab Corp
2720031,07/26/2019 08:45:00 AM,420,0.8,28,32,Choice Taxi Association
2720032,07/26/2019 08:45:00 AM,480,0.98,28,8,Nova Taxi Affiliation Llc
2720033,07/26/2019 08:45:00 AM,527,1.46,28,32,Chicago Carriage Cab Corp
2720034,07/26/2019 08:45:00 AM,540,0.9,8,32,Taxi Affiliation Services
2720035,07/26/2019 08:45:00 AM,439,0.81,32,28,Chicago Carriage Cab Corp
2720036,07/26/2019 08:45:00 AM,394,0.7,8,8,City Service
2720037,07/26/2019 08:45:00 AM,540,1.8,28,8,Taxi Affiliation Services
2720038,07/26/2019 08:45:00 AM,521,1.16,32,28,Chicago Carriage Cab Corp
2720039,07/26/2019 08:45:00 AM,264,0.73,32,28,Chicago Carriage Cab Corp
2720040,07/26/2019 08:45:00 AM,317,0.54,32,32,Chicago Carriage Cab Corp
2720041,07/26/2019 08:45:00 AM,418,0.77,32,32,Chicago Carriage Cab Corp
2720042,07/26/2019 08:45:00 AM,487,1.15,8,32,City Service
2720043,07/26/2019 08:45:00 AM,411,0.94,32,8,Flash Cab
2720044,07/26/2019 08:45:00 AM,420,0.9,8,32,Taxi Affiliation Services
2720045,07/26/2019 08:45:00 AM,284,0.57,28,32,Chicago Carriage Cab Corp
2720046,07/26/2019 08:45:00 AM,240,0.6,32,32,Taxi Affiliation Services
2720047,07/26/2019 08:45:00 AM,312,0.62,28,32,Chicago Carriage Cab Corp
2720048,07/26/2019 08:45:00 AM,240,0.8,32,32,Star North Management LLC
2720049,07/26/2019 08:45:00 AM,491,0.87,28,32,Flash Cab
2720050,07/26/2019 08:45:00 AM,597,1.2,8,8,Medallion Leasin
2720051,07/26/2019 08:45:00 AM,480,1.1,32,32,Taxi Affiliation Services
2720052,07/26/2019 08:45:00 AM,322,0.7,8,8,Chicago Taxicab
2720053,07/26/2019 08:45:00 AM,291,0.88,8,8,Nova Taxi Affiliation Llc
2720054,07/26/2019 08:45:00 AM,370,1.19,8,8,City Service
2720055,07/26/2019 08:45:00 AM,306,0.68,28,32,Chicago Carriage Cab Corp
2720056,07/26/2019 08:45:00 AM,539,1.08,8,8,Flash Cab
2720057,07/26/2019 08:45:00 AM,213,0.53,32,32,City Service
2720058,07/26/2019 08:45:00 AM,480,1.4,8,28,"Taxicab Insurance Agency, LLC"
2720059,07/26/2019 08:45:00 AM,439,0.83,32,32,Chicago Carriage Cab Corp
2720060,07/26/2019 08:45:00 AM,442,0.52,32,32,Sun Taxi
2720061,07/26/2019 08:45:00 AM,240,0.6,32,32,Taxi Affiliation Services
2720062,07/26/2019 08:45:00 AM,543,0.9,7,6,Taxi Affiliation Service Yellow
2720063,07/26/2019 08:45:00 AM,329,0.69,8,32,Sun Taxi
2720064,07/26/2019 08:45:00 AM,345,0.6,32,32,Medallion Leasin
2720065,07/26/2019 08:45:00 AM,360,0.8,8,32,Top Cab Affiliation
2720066,07/26/2019 08:45:00 AM,240,0.6,32,32,Taxi Affiliation Services
2720067,07/26/2019 08:45:00 AM,372,0.67,28,32,Chicago Carriage Cab Corp
2720068,07/26/2019 08:45:00 AM,420,1.2,28,8,Taxi Affiliation Services
2720069,07/26/2019 08:45:00 AM,508,0.98,32,32,Chicago Carriage Cab Corp
2720070,07/26/2019 08:45:00 AM,305,0.53,32,32,Flash Cab
2720071,07/26/2019 08:45:00 AM,458,0.9,32,8,Chicago Carriage Cab Corp
2720072,07/26/2019 08:45:00 AM,429,0.6,8,32,Medallion Leasin
2720073,07/26/2019 08:45:00 AM,553,1.21,28,32,Chicago Carriage Cab Corp
2720074,07/26/2019 08:45:00 AM,462,0.91,32,8,Chicago Carriage Cab Corp
2720075,07/26/2019 08:45:00 AM,406,0.89,3,77,Flash Cab
2720076,07/26/2019 08:45:00 AM,240,1.5,7,8,Taxi Affiliation Services
2720077,07/26/2019 08:45:00 AM,510,1.63,8,7,Sun Taxi
2720078,07/26/2019 08:45:00 AM,360,0.6,76,8,Medallion Leasin
2720079,07/26/2019 08:45:00 AM,345,1.05,28,28,Chicago Carriage Cab Corp
2720080,07/26/2019 08:45:00 AM,480,0.9,32,8,Taxi Affiliation Services
2720081,07/26/2019 08:45:00 AM,427,0.88,32,28,Flash Cab
2720082,07/26/2019 08:45:00 AM,480,1.4,28,28,Star North Management LLC
2720083,07/26/2019 08:45:00 AM,259,0.55,32,28,Chicago Carriage Cab Corp
2720084,07/26/2019 08:45:00 AM,426,1.2,32,8,Taxi Affiliation Service Yellow
2720085,07/26/2019 08:45:00 AM,300,1.1,32,8,Taxi Affiliation Services
2720086,07/26/2019 08:45:00 AM,498,1.87,28,8,Nova Taxi Affiliation Llc
