,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
2730000,07/26/2019 09:15:00 PM,360,0.7,8,8,Top Cab Affiliation
2730001,07/26/2019 09:15:00 PM,366,0.8,28,24,Medallion Leasin
2730002,07/26/2019 09:15:00 PM,420,1.0,8,32,Star North Management LLC
2730003,07/26/2019 09:15:00 PM,499,1.06,8,8,Sun Taxi
2730004,07/26/2019 09:15:00 PM,454,1.36,28,8,Chicago Carriage Cab Corp
2730005,07/26/2019 09:15:00 PM,384,0.91,8,8,Sun Taxi
2730006,07/26/2019 09:15:00 PM,561,1.12,32,28,Flash Cab
2730007,07/26/2019 09:15:00 PM,284,0.68,8,28,Sun Taxi
2730008,07/26/2019 09:15:00 PM,472,1.41,8,24,24 Seven Taxi
2730009,07/26/2019 09:15:00 PM,469,1.7,32,8,Chicago Carriage Cab Corp
2730010,07/26/2019 09:15:00 PM,381,1.2,32,8,Medallion Leasin
2730011,07/26/2019 09:15:00 PM,441,0.89,8,8,Flash Cab
2730012,07/26/2019 09:15:00 PM,240,0.8,32,8,Star North Management LLC
2730013,07/26/2019 09:15:00 PM,251,0.7,8,28,Chicago Carriage Cab Corp
2730014,07/26/2019 09:15:00 PM,540,1.5,32,28,Taxi Affiliation Services
2730015,07/26/2019 09:15:00 PM,424,1.29,8,8,Flash Cab
2730016,07/26/2019 09:15:00 PM,376,1.05,32,8,Sun Taxi
2730017,07/26/2019 09:15:00 PM,406,1.11,8,32,Chicago Carriage Cab Corp
2730018,07/26/2019 09:15:00 PM,540,0.9,8,8,Taxi Affiliation Services
2730019,07/26/2019 09:15:00 PM,1860,1.0,76,8,Taxi Affiliation Services
2730020,07/26/2019 09:15:00 PM,267,0.51,28,28,Flash Cab
2730021,07/26/2019 09:15:00 PM,424,1.4,8,32,Chicago Taxicab
2730022,07/26/2019 09:15:00 PM,2100,1.0,76,32,Taxi Affiliation Services
2730023,07/26/2019 09:15:00 PM,540,1.2,32,28,Taxi Affiliation Services
2730024,07/26/2019 09:15:00 PM,360,0.9,8,28,Taxi Affiliation Services
2730025,07/26/2019 09:15:00 PM,315,0.87,32,28,Nova Taxi Affiliation Llc
2730026,07/26/2019 09:15:00 PM,540,1.8,32,8,Taxi Affiliation Services
2730027,07/26/2019 09:15:00 PM,389,1.21,28,32,Chicago Carriage Cab Corp
2730028,07/26/2019 09:15:00 PM,360,0.91,32,8,Flash Cab
2730029,07/26/2019 09:15:00 PM,360,1.0,32,8,Taxi Affiliation Services
2730030,07/26/2019 09:15:00 PM,232,0.66,8,8,Sun Taxi
2730031,07/26/2019 09:15:00 PM,404,0.93,8,32,Chicago Carriage Cab Corp
2730032,07/26/2019 09:15:00 PM,300,1.3,8,8,Taxi Affiliation Services
2730033,07/26/2019 09:15:00 PM,362,0.92,32,8,Patriot Taxi Dba Peace Taxi Associat
2730034,07/26/2019 09:15:00 PM,540,1.2,8,32,Taxi Affiliation Services
2730035,07/26/2019 09:15:00 PM,422,1.09,8,8,Chicago Carriage Cab Corp
2730036,07/26/2019 09:15:00 PM,315,1.75,34,61,City Service
2730037,07/26/2019 09:15:00 PM,539,0.8,8,8,Medallion Leasin
2730038,07/26/2019 09:15:00 PM,360,0.9,32,32,Taxi Affiliation Services
2730039,07/26/2019 09:15:00 PM,480,1.6,8,8,"Taxicab Insurance Agency, LLC"
2730040,07/26/2019 09:15:00 PM,560,1.24,8,28,City Service
2730041,07/26/2019 09:15:00 PM,480,1.4,32,8,312 Medallion Management Corp
2730042,07/26/2019 09:15:00 PM,440,1.0,8,28,Sun Taxi
2730043,07/26/2019 09:15:00 PM,369,0.7,32,8,Medallion Leasin
2730044,07/26/2019 09:15:00 PM,420,1.2,32,8,Choice Taxi Association
2730045,07/26/2019 09:15:00 PM,419,1.22,8,28,Chicago Carriage Cab Corp
2730046,07/26/2019 09:15:00 PM,360,1.1,28,32,Taxi Affiliation Services
2730047,07/26/2019 09:15:00 PM,332,1.16,8,32,Chicago Carriage Cab Corp
2730048,07/26/2019 09:15:00 PM,424,1.11,8,8,Sun Taxi
2730049,07/26/2019 09:15:00 PM,420,0.9,8,8,Taxi Affiliation Services
2730050,07/26/2019 09:15:00 PM,300,0.8,28,32,Taxi Affiliation Services
2730051,07/26/2019 09:15:00 PM,237,0.6,8,8,Blue Diamond
