,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
2780000,07/31/2019 03:15:00 PM,302,0.64,32,32,Sun Taxi
2780001,07/31/2019 03:15:00 PM,423,1.2,32,8,Nova Taxi Affiliation Llc
2780002,07/31/2019 03:15:00 PM,482,1.17,28,28,Flash Cab
2780003,07/31/2019 03:15:00 PM,2400,0.6,28,56,Taxi Affiliation Services
2780004,07/31/2019 03:15:00 PM,544,1.05,8,8,Flash Cab
2780005,07/31/2019 03:15:00 PM,483,1.1,8,32,City Service
2780006,07/31/2019 03:15:00 PM,567,1.0,4,3,Sun Taxi
2780007,07/31/2019 03:15:00 PM,598,1.5,32,32,City Service
2780008,07/31/2019 03:15:00 PM,237,0.62,32,8,Sun Taxi
2780009,07/31/2019 03:15:00 PM,240,0.8,28,8,Star North Management LLC
2780010,07/31/2019 03:15:00 PM,2280,0.7,24,19,Taxi Affiliation Services
2780011,07/31/2019 03:15:00 PM,300,0.61,8,8,Nova Taxi Affiliation Llc
2780012,07/31/2019 03:15:00 PM,453,1.42,32,8,Chicago Carriage Cab Corp
2780013,07/31/2019 03:15:00 PM,394,0.79,5,6,Flash Cab
2780014,07/31/2019 03:15:00 PM,247,0.84,8,8,City Service
2780015,07/31/2019 03:15:00 PM,540,1.33,32,8,Taxi Affiliation Service Yellow
2780016,07/31/2019 03:15:00 PM,240,0.9,8,8,Choice Taxi Association
2780017,07/31/2019 03:15:00 PM,3900,1.1,32,76,Taxi Affiliation Services
2780018,07/31/2019 03:15:00 PM,2940,1.2,32,76,Taxi Affiliation Services
2780019,07/31/2019 03:15:00 PM,228,0.61,8,8,Sun Taxi
2780020,07/31/2019 03:15:00 PM,420,1.1,8,28,Taxi Affiliation Services
2780021,07/31/2019 03:15:00 PM,300,0.6,8,32,Star North Management LLC
2780022,07/31/2019 03:15:00 PM,420,1.16,32,8,Chicago Carriage Cab Corp
2780023,07/31/2019 03:15:00 PM,441,1.18,32,8,Sun Taxi
2780024,07/31/2019 03:15:00 PM,300,0.7,32,32,Medallion Leasin
2780025,07/31/2019 03:15:00 PM,420,1.0,32,8,Taxi Affiliation Services
2780026,07/31/2019 03:15:00 PM,300,0.6,32,32,Taxi Affiliation Services
2780027,07/31/2019 03:15:00 PM,220,0.65,7,7,Chicago Carriage Cab Corp
2780028,07/31/2019 03:15:00 PM,480,1.5,8,32,Taxi Affiliation Services
2780029,07/31/2019 03:15:00 PM,240,1.6,32,28,Star North Management LLC
2780030,07/31/2019 03:15:00 PM,510,0.8,32,32,Taxi Affiliation Service Yellow
2780031,07/31/2019 03:15:00 PM,540,0.9,32,32,Choice Taxi Association
2780032,07/31/2019 03:15:00 PM,420,1.1,32,8,Star North Management LLC
2780033,07/31/2019 03:15:00 PM,462,0.7,32,32,Medallion Leasin
2780034,07/31/2019 03:15:00 PM,240,0.8,8,8,Medallion Leasin
2780035,07/31/2019 03:15:00 PM,260,0.59,32,32,Chicago Carriage Cab Corp
2780036,07/31/2019 03:15:00 PM,240,1.0,8,8,Star North Management LLC
