,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
270000,01/22/2019 06:00:00 PM,371,0.86,28,28,Patriot Taxi Dba Peace Taxi Associat
270001,01/22/2019 06:00:00 PM,270,0.92,32,32,Sun Taxi
270002,01/22/2019 06:00:00 PM,386,0.88,8,8,Nova Taxi Affiliation Llc
270003,01/22/2019 06:00:00 PM,300,0.7,32,32,Sun Taxi
270004,01/22/2019 06:00:00 PM,550,1.3,28,32,Blue Diamond
270005,01/22/2019 06:00:00 PM,562,1.17,8,8,Chicago Carriage Cab Corp
270006,01/22/2019 06:00:00 PM,554,1.33,32,8,Taxi Affiliation Service Yellow
270007,01/22/2019 06:00:00 PM,434,0.69,8,32,Checker Taxi Affiliation
270008,01/22/2019 06:00:00 PM,561,1.39,8,8,City Service
270009,01/22/2019 06:00:00 PM,506,1.04,32,28,Chicago Carriage Cab Corp
270010,01/22/2019 06:00:00 PM,303,0.93,32,8,Chicago Carriage Cab Corp
270011,01/22/2019 06:00:00 PM,386,1.01,28,32,City Service
270012,01/22/2019 06:00:00 PM,403,0.78,8,8,Sun Taxi
270013,01/22/2019 06:00:00 PM,504,0.73,32,8,Taxi Affiliation Service Yellow
270014,01/22/2019 06:00:00 PM,446,0.87,8,32,Sun Taxi
270015,01/22/2019 06:00:00 PM,580,1.5,32,32,Taxi Affiliation Service Yellow
270016,01/22/2019 06:00:00 PM,546,1.03,8,8,City Service
270017,01/22/2019 06:00:00 PM,518,1.08,32,8,City Service
270018,01/22/2019 06:00:00 PM,446,1.4,32,33,Flash Cab
270019,01/22/2019 06:00:00 PM,274,0.76,8,8,City Service
270020,01/22/2019 06:00:00 PM,375,0.7,32,28,American United Taxi Affiliation
270021,01/22/2019 06:00:00 PM,480,1.4,28,32,Medallion Leasin
270022,01/22/2019 06:00:00 PM,435,0.7,32,32,Taxi Affiliation Service Yellow
270023,01/22/2019 06:00:00 PM,338,0.7,32,8,Checker Taxi Affiliation
270024,01/22/2019 06:00:00 PM,504,0.94,32,8,Globe Taxi
270025,01/22/2019 06:00:00 PM,413,0.86,32,8,Flash Cab
270026,01/22/2019 06:00:00 PM,577,1.2,8,8,Checker Taxi Affiliation
270027,01/22/2019 06:00:00 PM,314,0.82,8,8,Taxi Affiliation Service Yellow
270028,01/22/2019 06:00:00 PM,466,0.6,32,28,Chicago Carriage Cab Corp
270029,01/22/2019 06:00:00 PM,420,0.77,28,28,Flash Cab
270030,01/22/2019 06:00:00 PM,381,0.84,28,28,Flash Cab
270031,01/22/2019 06:00:00 PM,418,0.62,28,28,Flash Cab
270032,01/22/2019 06:00:00 PM,365,1.0,8,8,Sun Taxi
270033,01/22/2019 06:00:00 PM,516,0.94,32,8,Taxi Affiliation Service Yellow
270034,01/22/2019 06:00:00 PM,550,1.1,32,8,Blue Diamond
270035,01/22/2019 06:00:00 PM,320,0.78,8,32,Checker Taxi Affiliation
270036,01/22/2019 06:00:00 PM,363,0.72,32,8,Flash Cab
270037,01/22/2019 06:00:00 PM,538,0.88,28,32,Blue Diamond
270038,01/22/2019 06:00:00 PM,473,0.68,32,8,Taxi Affiliation Service Yellow
270039,01/22/2019 06:00:00 PM,225,0.51,28,8,City Service
270040,01/22/2019 06:00:00 PM,235,0.67,32,28,Chicago Carriage Cab Corp
270041,01/22/2019 06:00:00 PM,362,1.15,32,8,Chicago Carriage Cab Corp
270042,01/22/2019 06:00:00 PM,244,0.62,8,32,Taxi Affiliation Service Yellow
270043,01/22/2019 06:00:00 PM,292,0.86,32,8,Checker Taxi Affiliation
270044,01/22/2019 06:00:00 PM,540,1.9,32,33,Medallion Leasin
270045,01/22/2019 06:00:00 PM,571,1.53,28,8,Flash Cab
270046,01/22/2019 06:00:00 PM,574,0.54,8,28,Chicago Carriage Cab Corp
270047,01/22/2019 06:00:00 PM,382,0.69,28,28,Flash Cab
270048,01/22/2019 06:00:00 PM,420,0.9,8,8,Chicago Independents
270049,01/22/2019 06:00:00 PM,259,0.61,8,8,Chicago Carriage Cab Corp
270050,01/22/2019 06:00:00 PM,480,1.7,32,8,Globe Taxi
270051,01/22/2019 06:00:00 PM,487,1.12,32,8,Chicago Carriage Cab Corp
270052,01/22/2019 06:00:00 PM,444,1.0,32,28,Chicago Carriage Cab Corp
270053,01/22/2019 06:00:00 PM,300,0.8,8,7,24 Seven Taxi
270054,01/22/2019 06:00:00 PM,589,1.33,28,32,Sun Taxi
270055,01/22/2019 06:00:00 PM,405,1.09,28,32,Chicago Carriage Cab Corp
270056,01/22/2019 06:00:00 PM,346,1.06,32,32,City Service
270057,01/22/2019 06:00:00 PM,329,1.7,28,24,Chicago Carriage Cab Corp
270058,01/22/2019 06:00:00 PM,321,0.89,32,32,Sun Taxi
270059,01/22/2019 06:00:00 PM,480,1.01,32,8,Chicago Carriage Cab Corp
270060,01/22/2019 06:00:00 PM,360,1.1,32,8,Globe Taxi
270061,01/22/2019 06:00:00 PM,374,0.62,8,8,City Service
270062,01/22/2019 06:00:00 PM,391,0.9,28,32,Globe Taxi
270063,01/22/2019 06:00:00 PM,354,0.69,28,28,Flash Cab
270064,01/22/2019 06:00:00 PM,423,0.73,8,8,Flash Cab
270065,01/22/2019 06:00:00 PM,555,1.23,32,33,Flash Cab
270066,01/22/2019 06:00:00 PM,455,0.63,32,32,Patriot Taxi Dba Peace Taxi Associat
270067,01/22/2019 06:00:00 PM,488,1.22,28,32,Flash Cab
270068,01/22/2019 06:00:00 PM,564,1.16,2,2,Flash Cab
270069,01/22/2019 06:00:00 PM,329,0.67,28,28,Flash Cab
270070,01/22/2019 06:00:00 PM,420,0.8,32,32,Globe Taxi
270071,01/22/2019 06:00:00 PM,574,0.8,32,8,Globe Taxi
270072,01/22/2019 06:00:00 PM,480,0.9,32,32,Sun Taxi
270073,01/22/2019 06:00:00 PM,522,1.01,8,28,Flash Cab
270074,01/22/2019 06:00:00 PM,493,0.96,32,8,Flash Cab
270075,01/22/2019 06:00:00 PM,367,0.89,32,32,Sun Taxi
