,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
2820000,08/03/2019 08:45:00 PM,287,0.71,32,32,Chicago Carriage Cab Corp
2820001,08/03/2019 08:45:00 PM,383,0.9,32,8,Taxi Affiliation Service Yellow
2820002,08/03/2019 08:45:00 PM,340,0.84,32,32,Chicago Carriage Cab Corp
2820003,08/03/2019 08:45:00 PM,423,1.5,22,5,Flash Cab
2820004,08/03/2019 08:45:00 PM,425,0.94,8,8,Chicago Carriage Cab Corp
2820005,08/03/2019 08:45:00 PM,357,0.62,32,32,Flash Cab
2820006,08/03/2019 08:45:00 PM,522,0.81,8,8,Flash Cab
2820007,08/03/2019 08:45:00 PM,448,1.15,32,32,24 Seven Taxi
2820008,08/03/2019 08:45:00 PM,310,1.03,8,8,Sun Taxi
2820009,08/03/2019 08:45:00 PM,550,1.4,8,8,Medallion Leasin
2820010,08/03/2019 08:45:00 PM,300,0.8,32,8,Choice Taxi Association
2820011,08/03/2019 08:45:00 PM,217,1.17,32,8,Chicago Carriage Cab Corp
2820012,08/03/2019 08:45:00 PM,289,0.9,33,33,Chicago Independents
2820013,08/03/2019 08:45:00 PM,486,0.59,28,28,Chicago Carriage Cab Corp
2820014,08/03/2019 08:45:00 PM,420,1.1,8,8,Taxi Affiliation Services
2820015,08/03/2019 08:45:00 PM,533,1.7,32,28,Medallion Leasin
2820016,08/03/2019 08:45:00 PM,441,1.52,56,56,City Service
2820017,08/03/2019 08:45:00 PM,540,1.1,8,32,Star North Management LLC
2820018,08/03/2019 08:45:00 PM,594,1.61,8,8,City Service
2820019,08/03/2019 08:45:00 PM,563,1.11,8,8,City Service
2820020,08/03/2019 08:45:00 PM,420,1.8,32,35,3591 - 63480 Chuks Cab
2820021,08/03/2019 08:45:00 PM,571,1.2,32,8,City Service
2820022,08/03/2019 08:45:00 PM,454,1.04,8,8,Chicago Carriage Cab Corp
2820023,08/03/2019 08:45:00 PM,458,1.26,32,32,City Service
2820024,08/03/2019 08:45:00 PM,533,1.33,32,32,Nova Taxi Affiliation Llc
2820025,08/03/2019 08:45:00 PM,300,0.8,32,28,Top Cab Affiliation
2820026,08/03/2019 08:45:00 PM,547,1.57,32,8,Flash Cab
2820027,08/03/2019 08:45:00 PM,585,1.3,32,28,Flash Cab
2820028,08/03/2019 08:45:00 PM,341,0.9,32,8,24 Seven Taxi
2820029,08/03/2019 08:45:00 PM,472,1.35,32,8,Sun Taxi
2820030,08/03/2019 08:45:00 PM,349,0.76,8,32,Flash Cab
2820031,08/03/2019 09:00:00 PM,420,1.0,8,8,Medallion Leasin
2820032,08/03/2019 09:00:00 PM,429,1.39,32,28,Chicago Carriage Cab Corp
2820033,08/03/2019 09:00:00 PM,547,1.0,32,8,Medallion Leasin
2820034,08/03/2019 09:00:00 PM,263,0.65,7,8,Sun Taxi
2820035,08/03/2019 09:00:00 PM,529,1.84,8,8,Sun Taxi
2820036,08/03/2019 09:00:00 PM,240,0.8,8,32,Medallion Leasin
2820037,08/03/2019 09:00:00 PM,420,0.8,32,8,Taxi Affiliation Services
2820038,08/03/2019 09:00:00 PM,300,1.1,32,28,Choice Taxi Association
2820039,08/03/2019 09:00:00 PM,290,0.66,8,8,City Service
