,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
2840000,08/05/2019 07:15:00 PM,360,0.9,28,32,Star North Management LLC
2840001,08/05/2019 07:15:00 PM,480,0.9,32,8,Star North Management LLC
2840002,08/05/2019 07:15:00 PM,540,1.1,8,28,Taxi Affiliation Services
2840003,08/05/2019 07:15:00 PM,593,1.39,32,8,Flash Cab
2840004,08/05/2019 07:15:00 PM,384,0.78,8,32,Flash Cab
2840005,08/05/2019 07:15:00 PM,378,1.01,32,8,Sun Taxi
2840006,08/05/2019 07:15:00 PM,480,1.2,32,8,Taxi Affiliation Services
2840007,08/05/2019 07:15:00 PM,239,0.58,8,8,Flash Cab
2840008,08/05/2019 07:15:00 PM,550,1.52,8,28,Sun Taxi
2840009,08/05/2019 07:15:00 PM,540,0.7,8,8,Medallion Leasin
2840010,08/05/2019 07:15:00 PM,398,0.95,77,77,Flash Cab
2840011,08/05/2019 07:15:00 PM,525,1.4,8,28,Checker Taxi Affiliation
2840012,08/05/2019 07:15:00 PM,454,1.28,32,32,Sun Taxi
2840013,08/05/2019 07:15:00 PM,210,0.54,32,28,Flash Cab
2840014,08/05/2019 07:15:00 PM,3000,1.0,76,8,Blue Ribbon Taxi Association Inc.
2840015,08/05/2019 07:15:00 PM,402,0.92,8,28,City Service
2840016,08/05/2019 07:15:00 PM,451,1.33,32,32,Sun Taxi
2840017,08/05/2019 07:15:00 PM,540,1.6,32,8,Choice Taxi Association
2840018,08/05/2019 07:15:00 PM,313,0.98,32,28,Chicago Carriage Cab Corp
2840019,08/05/2019 07:15:00 PM,480,1.1,32,8,Star North Management LLC
2840020,08/05/2019 07:15:00 PM,300,1.1,32,8,Taxi Affiliation Services
2840021,08/05/2019 07:15:00 PM,455,1.56,32,8,Flash Cab
2840022,08/05/2019 07:15:00 PM,393,0.64,8,8,Flash Cab
2840023,08/05/2019 07:15:00 PM,390,0.87,8,32,Sun Taxi
2840024,08/05/2019 07:15:00 PM,360,0.9,28,8,Star North Management LLC
2840025,08/05/2019 07:15:00 PM,540,1.0,32,28,Choice Taxi Association
2840026,08/05/2019 07:15:00 PM,420,1.0,8,8,Taxi Affiliation Services
2840027,08/05/2019 07:15:00 PM,420,0.7,32,32,Star North Management LLC
2840028,08/05/2019 07:15:00 PM,515,0.94,32,32,Sun Taxi
2840029,08/05/2019 07:15:00 PM,240,0.7,32,8,Taxi Affiliation Services
2840030,08/05/2019 07:15:00 PM,437,1.18,32,28,Sun Taxi
2840031,08/05/2019 07:15:00 PM,331,1.02,8,8,Nova Taxi Affiliation Llc
2840032,08/05/2019 07:15:00 PM,440,1.04,8,8,Flash Cab
2840033,08/05/2019 07:15:00 PM,540,1.4,32,8,Taxi Affiliation Services
2840034,08/05/2019 07:15:00 PM,360,1.1,8,32,Medallion Leasin
2840035,08/05/2019 07:15:00 PM,567,1.21,8,32,Sun Taxi
2840036,08/05/2019 07:15:00 PM,300,0.7,8,32,Taxi Affiliation Services
2840037,08/05/2019 07:15:00 PM,265,0.7,32,8,Flash Cab
2840038,08/05/2019 07:15:00 PM,300,0.6,32,32,Taxi Affiliation Services
2840039,08/05/2019 07:15:00 PM,540,0.8,8,8,Choice Taxi Association
2840040,08/05/2019 07:15:00 PM,300,0.65,8,8,Nova Taxi Affiliation Llc
2840041,08/05/2019 07:15:00 PM,300,0.7,32,28,Taxi Affiliation Services
2840042,08/05/2019 07:15:00 PM,420,1.6,7,8,Choice Taxi Association
2840043,08/05/2019 07:15:00 PM,537,0.97,8,28,Sun Taxi
2840044,08/05/2019 07:15:00 PM,360,1.2,32,8,"Taxicab Insurance Agency, LLC"
2840045,08/05/2019 07:15:00 PM,240,1.0,32,8,Taxi Affiliation Services
2840046,08/05/2019 07:15:00 PM,300,0.9,28,32,Taxi Affiliation Services
2840047,08/05/2019 07:15:00 PM,540,1.4,32,8,"Taxicab Insurance Agency, LLC"
2840048,08/05/2019 07:15:00 PM,355,0.98,8,8,Nova Taxi Affiliation Llc
2840049,08/05/2019 07:15:00 PM,420,1.1,8,32,Medallion Leasin
2840050,08/05/2019 07:15:00 PM,480,1.2,32,28,"Taxicab Insurance Agency, LLC"
2840051,08/05/2019 07:15:00 PM,480,0.9,8,8,Choice Taxi Association
2840052,08/05/2019 07:15:00 PM,421,1.12,32,28,Flash Cab
2840053,08/05/2019 07:15:00 PM,254,1.02,8,8,Sun Taxi
2840054,08/05/2019 07:15:00 PM,560,1.3,8,8,City Service
2840055,08/05/2019 07:15:00 PM,480,1.4,32,8,Taxi Affiliation Services
2840056,08/05/2019 07:15:00 PM,3000,1.0,76,8,Taxi Affiliation Services
2840057,08/05/2019 07:15:00 PM,540,1.2,32,28,Medallion Leasin
2840058,08/05/2019 07:15:00 PM,425,0.94,32,28,Sun Taxi
2840059,08/05/2019 07:15:00 PM,476,1.36,32,33,City Service
2840060,08/05/2019 07:15:00 PM,360,1.0,32,32,"Taxicab Insurance Agency, LLC"
2840061,08/05/2019 07:15:00 PM,480,1.4,8,32,Medallion Leasin
2840062,08/05/2019 07:15:00 PM,345,1.33,8,7,Flash Cab
2840063,08/05/2019 07:15:00 PM,300,0.6,32,32,Star North Management LLC
2840064,08/05/2019 07:15:00 PM,491,0.99,32,32,Flash Cab
2840065,08/05/2019 07:15:00 PM,326,1.33,32,8,Sun Taxi
2840066,08/05/2019 07:15:00 PM,275,0.71,32,28,Flash Cab
2840067,08/05/2019 07:15:00 PM,300,0.6,32,28,Taxi Affiliation Services
2840068,08/05/2019 07:15:00 PM,540,1.2,32,32,Star North Management LLC
2840069,08/05/2019 07:15:00 PM,540,1.1,8,8,Choice Taxi Association
2840070,08/05/2019 07:15:00 PM,396,0.9,28,28,City Service
2840071,08/05/2019 07:15:00 PM,523,0.8,8,8,Flash Cab
2840072,08/05/2019 07:15:00 PM,480,1.5,32,8,Star North Management LLC
2840073,08/05/2019 07:15:00 PM,353,0.99,4,4,Flash Cab
2840074,08/05/2019 07:15:00 PM,420,1.0,8,8,Chicago Independents
2840075,08/05/2019 07:15:00 PM,401,0.75,32,28,Taxi Affiliation Service Yellow
2840076,08/05/2019 07:15:00 PM,480,1.1,32,8,"Taxicab Insurance Agency, LLC"
2840077,08/05/2019 07:15:00 PM,420,1.2,32,8,Taxi Affiliation Services
2840078,08/05/2019 07:15:00 PM,436,1.16,32,28,Sun Taxi
2840079,08/05/2019 07:15:00 PM,407,0.85,8,32,Sun Taxi
2840080,08/05/2019 07:15:00 PM,542,1.7,32,33,City Service
2840081,08/05/2019 07:15:00 PM,480,1.1,8,28,Taxi Affiliation Services
2840082,08/05/2019 07:15:00 PM,362,0.93,8,28,Sun Taxi
2840083,08/05/2019 07:15:00 PM,271,0.85,8,32,Patriot Taxi Dba Peace Taxi Associat
2840084,08/05/2019 07:15:00 PM,411,1.4,32,8,Medallion Leasin
2840085,08/05/2019 07:15:00 PM,360,1.0,32,8,1469 - 64126 Omar Jada
2840086,08/05/2019 07:15:00 PM,2040,1.0,8,76,Taxi Affiliation Services
2840087,08/05/2019 07:15:00 PM,420,1.3,32,8,Chicago Medallion Management
2840088,08/05/2019 07:15:00 PM,536,1.77,32,28,Sun Taxi
2840089,08/05/2019 07:15:00 PM,504,1.68,32,8,City Service
2840090,08/05/2019 07:15:00 PM,360,0.8,28,28,Taxi Affiliation Services
2840091,08/05/2019 07:15:00 PM,542,1.43,8,28,Flash Cab
2840092,08/05/2019 07:15:00 PM,320,0.8,32,28,Chicago Taxicab
2840093,08/05/2019 07:15:00 PM,555,1.61,32,8,Chicago Carriage Cab Corp
2840094,08/05/2019 07:15:00 PM,267,0.93,32,8,Flash Cab
2840095,08/05/2019 07:15:00 PM,431,0.98,8,8,Flash Cab
2840096,08/05/2019 07:15:00 PM,360,0.9,32,8,Star North Management LLC
2840097,08/05/2019 07:15:00 PM,394,1.33,32,8,Patriot Taxi Dba Peace Taxi Associat
2840098,08/05/2019 07:15:00 PM,426,0.68,32,28,Flash Cab
2840099,08/05/2019 07:15:00 PM,300,0.6,32,32,City Service
2840100,08/05/2019 07:15:00 PM,440,1.05,32,8,Nova Taxi Affiliation Llc
2840101,08/05/2019 07:15:00 PM,233,0.58,32,28,Taxi Affiliation Service Yellow
2840102,08/05/2019 07:15:00 PM,292,0.6,32,32,Chicago Taxicab
2840103,08/05/2019 07:15:00 PM,375,0.96,32,32,Chicago Carriage Cab Corp
2840104,08/05/2019 07:15:00 PM,384,0.65,8,8,Flash Cab
2840105,08/05/2019 07:15:00 PM,574,1.65,8,28,Flash Cab
2840106,08/05/2019 07:15:00 PM,325,0.83,8,8,Flash Cab
2840107,08/05/2019 07:15:00 PM,300,1.2,28,8,Choice Taxi Association
2840108,08/05/2019 07:15:00 PM,537,1.36,32,28,Chicago Carriage Cab Corp
2840109,08/05/2019 07:15:00 PM,263,0.76,32,28,Patriot Taxi Dba Peace Taxi Associat
2840110,08/05/2019 07:15:00 PM,420,0.9,8,8,Choice Taxi Association
2840111,08/05/2019 07:15:00 PM,466,1.25,32,8,Chicago Carriage Cab Corp
2840112,08/05/2019 07:15:00 PM,2820,0.9,76,7,Blue Ribbon Taxi Association Inc.
2840113,08/05/2019 07:15:00 PM,480,0.8,32,32,Taxi Affiliation Services
2840114,08/05/2019 07:15:00 PM,466,1.1,32,32,City Service
2840115,08/05/2019 07:15:00 PM,420,0.7,32,8,Top Cab Affiliation
2840116,08/05/2019 07:15:00 PM,3420,0.9,76,6,Taxi Affiliation Services
2840117,08/05/2019 07:15:00 PM,229,0.53,32,28,24 Seven Taxi
2840118,08/05/2019 07:15:00 PM,540,1.0,8,8,Taxi Affiliation Services
2840119,08/05/2019 07:15:00 PM,360,0.6,8,8,Taxi Affiliation Services
2840120,08/05/2019 07:15:00 PM,202,0.7,32,32,24 Seven Taxi
2840121,08/05/2019 07:15:00 PM,426,1.0,32,28,Flash Cab
2840122,08/05/2019 07:15:00 PM,540,1.3,8,8,Choice Taxi Association
2840123,08/05/2019 07:15:00 PM,306,0.7,8,32,City Service
2840124,08/05/2019 07:15:00 PM,291,0.72,8,8,Chicago Carriage Cab Corp
2840125,08/05/2019 07:15:00 PM,522,1.4,32,8,Medallion Leasin
2840126,08/05/2019 07:15:00 PM,244,0.63,8,32,Chicago Carriage Cab Corp
2840127,08/05/2019 07:15:00 PM,499,1.33,32,8,Sun Taxi
2840128,08/05/2019 07:15:00 PM,292,0.68,8,8,Chicago Carriage Cab Corp
2840129,08/05/2019 07:15:00 PM,444,0.91,8,8,Chicago Carriage Cab Corp
2840130,08/05/2019 07:15:00 PM,317,1.27,8,8,City Service
2840131,08/05/2019 07:15:00 PM,240,0.7,32,32,Taxi Affiliation Services
2840132,08/05/2019 07:15:00 PM,272,0.8,32,32,City Service
2840133,08/05/2019 07:15:00 PM,540,1.3,8,28,Taxi Affiliation Services
2840134,08/05/2019 07:15:00 PM,360,0.8,32,8,"Taxicab Insurance Agency, LLC"
2840135,08/05/2019 07:15:00 PM,281,0.7,32,32,Medallion Leasin
2840136,08/05/2019 07:15:00 PM,333,0.66,8,8,Flash Cab
2840137,08/05/2019 07:15:00 PM,427,0.81,2,2,Flash Cab
2840138,08/05/2019 07:15:00 PM,360,0.66,8,8,Chicago Carriage Cab Corp
2840139,08/05/2019 07:15:00 PM,484,1.1,8,28,City Service
2840140,08/05/2019 07:15:00 PM,360,0.8,8,32,Taxi Affiliation Services
2840141,08/05/2019 07:15:00 PM,381,1.24,32,32,Chicago Carriage Cab Corp
2840142,08/05/2019 07:15:00 PM,392,1.24,32,8,City Service
2840143,08/05/2019 07:15:00 PM,445,1.5,32,33,City Service
2840144,08/05/2019 07:15:00 PM,420,1.3,8,7,Taxi Affiliation Services
2840145,08/05/2019 07:15:00 PM,300,0.7,8,32,Medallion Leasin
2840146,08/05/2019 07:15:00 PM,540,1.1,8,8,Choice Taxi Association
2840147,08/05/2019 07:15:00 PM,289,0.7,8,32,City Service
2840148,08/05/2019 07:15:00 PM,420,1.4,32,33,Taxi Affiliation Services
2840149,08/05/2019 07:30:00 PM,406,0.77,8,8,Flash Cab
2840150,08/05/2019 07:30:00 PM,410,1.2,32,8,City Service
2840151,08/05/2019 07:30:00 PM,397,1.2,32,8,Sun Taxi
2840152,08/05/2019 07:30:00 PM,362,0.82,32,8,Taxi Affiliation Service Yellow
2840153,08/05/2019 07:30:00 PM,517,1.51,32,8,Chicago Carriage Cab Corp
2840154,08/05/2019 07:30:00 PM,274,1.54,8,28,Sun Taxi
2840155,08/05/2019 07:30:00 PM,420,1.3,33,33,Taxi Affiliation Services
2840156,08/05/2019 07:30:00 PM,371,1.17,7,6,Checker Taxi Affiliation
2840157,08/05/2019 07:30:00 PM,251,0.83,28,28,Chicago Carriage Cab Corp
2840158,08/05/2019 07:30:00 PM,361,1.02,32,32,Sun Taxi
2840159,08/05/2019 07:30:00 PM,422,0.7,32,28,Medallion Leasin
2840160,08/05/2019 07:30:00 PM,300,0.9,8,8,Taxi Affiliation Services
2840161,08/05/2019 07:30:00 PM,490,1.21,8,8,Chicago Carriage Cab Corp
2840162,08/05/2019 07:30:00 PM,480,1.2,32,8,Taxi Affiliation Services
2840163,08/05/2019 07:30:00 PM,593,1.56,76,76,Chicago Carriage Cab Corp
2840164,08/05/2019 07:30:00 PM,528,1.29,28,8,Flash Cab
2840165,08/05/2019 07:30:00 PM,393,1.3,32,8,Medallion Leasin
2840166,08/05/2019 07:30:00 PM,480,1.66,28,8,Sun Taxi
2840167,08/05/2019 07:30:00 PM,341,1.19,28,8,Chicago Carriage Cab Corp
2840168,08/05/2019 07:30:00 PM,540,0.9,8,8,Taxi Affiliation Services
2840169,08/05/2019 07:30:00 PM,240,0.8,32,8,Taxi Affiliation Services
2840170,08/05/2019 07:30:00 PM,490,1.4,32,28,City Service
2840171,08/05/2019 07:30:00 PM,313,0.85,6,6,Flash Cab
2840172,08/05/2019 07:30:00 PM,360,1.1,32,8,Chicago Independents
2840173,08/05/2019 07:30:00 PM,578,1.43,8,32,City Service
2840174,08/05/2019 07:30:00 PM,378,1.22,32,32,Sun Taxi
2840175,08/05/2019 07:30:00 PM,547,0.99,8,8,City Service
