,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
2850000,08/06/2019 03:30:00 PM,420,1.0,32,8,Top Cab Affiliation
2850001,08/06/2019 03:30:00 PM,480,1.1,32,28,Medallion Leasin
2850002,08/06/2019 03:30:00 PM,394,0.6,8,32,Medallion Leasin
2850003,08/06/2019 03:30:00 PM,361,0.91,33,33,Flash Cab
2850004,08/06/2019 03:30:00 PM,300,0.7,8,8,Medallion Leasin
2850005,08/06/2019 03:30:00 PM,382,0.87,8,8,Sun Taxi
2850006,08/06/2019 03:30:00 PM,300,0.8,32,32,Taxi Affiliation Services
2850007,08/06/2019 03:30:00 PM,360,1.2,32,33,Medallion Leasin
2850008,08/06/2019 03:30:00 PM,328,0.62,33,28,Flash Cab
2850009,08/06/2019 03:30:00 PM,360,0.8,32,28,Top Cab Affiliation
2850010,08/06/2019 03:30:00 PM,540,1.7,6,7,Medallion Leasin
2850011,08/06/2019 03:30:00 PM,499,0.88,32,28,City Service
2850012,08/06/2019 03:30:00 PM,420,1.1,8,8,Star North Management LLC
2850013,08/06/2019 03:30:00 PM,248,0.98,8,32,Nova Taxi Affiliation Llc
2850014,08/06/2019 03:30:00 PM,586,1.72,8,8,Chicago Carriage Cab Corp
2850015,08/06/2019 03:30:00 PM,491,1.54,32,8,Sun Taxi
2850016,08/06/2019 03:30:00 PM,216,0.66,2,2,Flash Cab
2850017,08/06/2019 03:30:00 PM,420,1.6,8,32,Top Cab Affiliation
2850018,08/06/2019 03:30:00 PM,540,1.2,32,28,"Taxicab Insurance Agency, LLC"
2850019,08/06/2019 03:30:00 PM,573,1.5,8,32,Flash Cab
2850020,08/06/2019 03:30:00 PM,477,0.73,32,8,Chicago Carriage Cab Corp
2850021,08/06/2019 03:30:00 PM,360,0.93,32,32,Nova Taxi Affiliation Llc
2850022,08/06/2019 03:30:00 PM,392,0.75,32,28,Sun Taxi
2850023,08/06/2019 03:30:00 PM,262,0.76,8,8,Chicago Carriage Cab Corp
