,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
2930000,08/13/2019 12:00:00 PM,239,0.57,8,8,City Service
2930001,08/13/2019 12:00:00 PM,427,0.92,32,28,City Service
2930002,08/13/2019 12:00:00 PM,540,1.4,32,8,City Service
2930003,08/13/2019 12:00:00 PM,355,0.6,8,32,Flash Cab
2930004,08/13/2019 12:00:00 PM,300,1.0,8,32,Taxi Affiliation Services
2930005,08/13/2019 12:00:00 PM,587,1.3,32,8,Taxi Affiliation Service Yellow
2930006,08/13/2019 12:00:00 PM,480,0.99,32,8,Chicago Carriage Cab Corp
2930007,08/13/2019 12:00:00 PM,289,0.52,8,32,Sun Taxi
2930008,08/13/2019 12:00:00 PM,316,0.87,28,32,Chicago Carriage Cab Corp
2930009,08/13/2019 12:00:00 PM,405,1.0,32,28,Chicago Independents
2930010,08/13/2019 12:00:00 PM,434,0.85,32,32,Chicago Carriage Cab Corp
2930011,08/13/2019 12:00:00 PM,481,1.28,8,32,Chicago Carriage Cab Corp
2930012,08/13/2019 12:00:00 PM,2040,1.0,8,76,Blue Ribbon Taxi Association Inc.
2930013,08/13/2019 12:00:00 PM,1860,1.1,76,32,Taxi Affiliation Services
2930014,08/13/2019 12:00:00 PM,593,1.79,28,8,Chicago Carriage Cab Corp
2930015,08/13/2019 12:00:00 PM,420,0.94,32,32,Chicago Carriage Cab Corp
2930016,08/13/2019 12:00:00 PM,360,1.4,32,28,Medallion Leasin
2930017,08/13/2019 12:00:00 PM,540,1.1,8,32,Top Cab Affiliation
2930018,08/13/2019 12:00:00 PM,291,1.02,8,32,City Service
2930019,08/13/2019 12:00:00 PM,492,0.92,8,8,24 Seven Taxi
2930020,08/13/2019 12:00:00 PM,360,0.8,32,32,Star North Management LLC
2930021,08/13/2019 12:00:00 PM,420,0.8,8,32,Medallion Leasin
2930022,08/13/2019 12:00:00 PM,520,0.8,32,8,Patriot Taxi Dba Peace Taxi Associat
2930023,08/13/2019 12:00:00 PM,502,1.51,14,14,Flash Cab
2930024,08/13/2019 12:00:00 PM,540,1.4,32,8,Chicago Medallion Management
2930025,08/13/2019 12:00:00 PM,466,0.85,3,3,Flash Cab
2930026,08/13/2019 12:00:00 PM,313,0.89,28,32,Nova Taxi Affiliation Llc
2930027,08/13/2019 12:00:00 PM,502,0.95,8,8,Flash Cab
2930028,08/13/2019 12:00:00 PM,2400,1.2,8,76,Blue Ribbon Taxi Association Inc.
2930029,08/13/2019 12:00:00 PM,451,0.83,32,8,Blue Diamond
2930030,08/13/2019 12:00:00 PM,319,0.97,32,8,Chicago Carriage Cab Corp
2930031,08/13/2019 12:00:00 PM,360,1.0,8,8,Taxi Affiliation Services
2930032,08/13/2019 12:00:00 PM,380,1.12,32,28,Chicago Carriage Cab Corp
2930033,08/13/2019 12:00:00 PM,540,1.3,32,8,Medallion Leasin
2930034,08/13/2019 12:00:00 PM,383,0.83,8,32,24 Seven Taxi
2930035,08/13/2019 12:00:00 PM,541,1.08,8,28,City Service
2930036,08/13/2019 12:00:00 PM,480,1.3,8,8,Taxi Affiliation Services
2930037,08/13/2019 12:00:00 PM,420,0.9,32,32,Choice Taxi Association
2930038,08/13/2019 12:00:00 PM,2820,0.6,9,9,Taxi Affiliation Services
2930039,08/13/2019 12:00:00 PM,503,1.13,8,32,24 Seven Taxi
2930040,08/13/2019 12:00:00 PM,375,1.06,32,28,Taxi Affiliation Service Yellow
2930041,08/13/2019 12:00:00 PM,480,1.7,8,8,Choice Taxi Association
2930042,08/13/2019 12:00:00 PM,480,1.9,32,8,Taxi Affiliation Services
2930043,08/13/2019 12:00:00 PM,495,1.38,32,8,Nova Taxi Affiliation Llc
2930044,08/13/2019 12:00:00 PM,358,0.89,32,8,Chicago Carriage Cab Corp
2930045,08/13/2019 12:00:00 PM,230,0.91,32,28,Chicago Carriage Cab Corp
2930046,08/13/2019 12:00:00 PM,240,1.0,32,8,Taxi Affiliation Services
2930047,08/13/2019 12:00:00 PM,371,0.65,32,8,Sun Taxi
2930048,08/13/2019 12:00:00 PM,280,0.6,32,32,Chicago Taxicab
2930049,08/13/2019 12:00:00 PM,567,1.34,8,32,Taxi Affiliation Service Yellow
2930050,08/13/2019 12:00:00 PM,482,1.64,7,8,Sun Taxi
2930051,08/13/2019 12:00:00 PM,360,0.8,28,32,"Taxicab Insurance Agency, LLC"
2930052,08/13/2019 12:00:00 PM,311,0.89,8,8,Flash Cab
2930053,08/13/2019 12:00:00 PM,480,1.2,8,8,Taxi Affiliation Services
2930054,08/13/2019 12:00:00 PM,592,1.26,28,8,Chicago Carriage Cab Corp
2930055,08/13/2019 12:00:00 PM,480,1.3,32,8,Star North Management LLC
2930056,08/13/2019 12:00:00 PM,420,0.7,8,8,Taxi Affiliation Services
2930057,08/13/2019 12:00:00 PM,363,0.8,8,8,City Service
2930058,08/13/2019 12:00:00 PM,526,1.4,28,28,Flash Cab
2930059,08/13/2019 12:00:00 PM,483,1.77,32,32,Flash Cab
2930060,08/13/2019 12:00:00 PM,331,0.84,32,28,5 Star Taxi
2930061,08/13/2019 12:00:00 PM,376,0.9,3,3,Medallion Leasin
2930062,08/13/2019 12:00:00 PM,420,1.1,32,8,Star North Management LLC
2930063,08/13/2019 12:00:00 PM,304,0.8,32,8,24 Seven Taxi
2930064,08/13/2019 12:00:00 PM,520,1.7,8,32,Flash Cab
2930065,08/13/2019 12:00:00 PM,540,1.4,8,8,"Taxicab Insurance Agency, LLC"
2930066,08/13/2019 12:00:00 PM,598,0.74,8,8,Flash Cab
2930067,08/13/2019 12:00:00 PM,547,1.49,32,8,Taxi Affiliation Service Yellow
2930068,08/13/2019 12:00:00 PM,480,1.0,28,32,Star North Management LLC
2930069,08/13/2019 12:00:00 PM,360,0.7,28,8,Star North Management LLC
2930070,08/13/2019 12:00:00 PM,268,0.89,28,28,Chicago Carriage Cab Corp
2930071,08/13/2019 12:00:00 PM,420,1.4,8,32,"Taxicab Insurance Agency, LLC"
2930072,08/13/2019 12:00:00 PM,480,1.0,1,8,Medallion Leasin
2930073,08/13/2019 12:00:00 PM,489,1.03,8,8,Chicago Carriage Cab Corp
2930074,08/13/2019 12:00:00 PM,364,1.34,32,8,Sun Taxi
2930075,08/13/2019 12:00:00 PM,478,1.2,8,32,Chicago Independents
2930076,08/13/2019 12:00:00 PM,420,1.0,32,8,Star North Management LLC
2930077,08/13/2019 12:00:00 PM,551,1.35,8,8,Flash Cab
2930078,08/13/2019 12:00:00 PM,423,1.26,28,28,Chicago Carriage Cab Corp
2930079,08/13/2019 12:00:00 PM,2460,1.1,8,76,Taxi Affiliation Services
2930080,08/13/2019 12:00:00 PM,1950,10.18,32,15,Flash Cab
2930081,08/13/2019 12:00:00 PM,370,1.0,8,8,Medallion Leasin
2930082,08/13/2019 12:00:00 PM,360,0.9,32,32,Taxi Affiliation Services
2930083,08/13/2019 12:00:00 PM,540,1.6,32,32,Taxi Affiliation Services
2930084,08/13/2019 12:00:00 PM,480,1.1,32,32,Taxi Affiliation Services
2930085,08/13/2019 12:00:00 PM,360,0.8,32,8,Taxi Affiliation Services
2930086,08/13/2019 12:00:00 PM,303,0.6,8,8,Medallion Leasin
2930087,08/13/2019 12:00:00 PM,1980,0.8,8,56,Taxi Affiliation Services
2930088,08/13/2019 12:00:00 PM,291,0.69,8,32,24 Seven Taxi
2930089,08/13/2019 12:00:00 PM,248,0.56,32,8,Flash Cab
2930090,08/13/2019 12:00:00 PM,593,1.41,32,8,Flash Cab
2930091,08/13/2019 12:00:00 PM,540,1.1,32,8,Taxi Affiliation Services
2930092,08/13/2019 12:00:00 PM,540,1.1,8,32,"Taxicab Insurance Agency, LLC"
2930093,08/13/2019 12:00:00 PM,446,0.87,32,32,Chicago Carriage Cab Corp
2930094,08/13/2019 12:00:00 PM,508,1.81,32,8,Chicago Carriage Cab Corp
2930095,08/13/2019 12:00:00 PM,587,1.51,8,28,Sun Taxi
2930096,08/13/2019 12:00:00 PM,461,1.11,32,8,Nova Taxi Affiliation Llc
2930097,08/13/2019 12:00:00 PM,280,0.57,32,28,Flash Cab
2930098,08/13/2019 12:00:00 PM,262,0.58,32,32,Chicago Carriage Cab Corp
2930099,08/13/2019 12:00:00 PM,540,1.3,8,8,Star North Management LLC
2930100,08/13/2019 12:00:00 PM,420,1.9,28,8,Star North Management LLC
2930101,08/13/2019 12:00:00 PM,303,0.69,32,8,Chicago Carriage Cab Corp
2930102,08/13/2019 12:00:00 PM,381,0.67,32,8,Taxi Affiliation Service Yellow
2930103,08/13/2019 12:00:00 PM,381,0.6,8,8,City Service
2930104,08/13/2019 12:00:00 PM,227,1.0,6,3,Setare Inc
2930105,08/13/2019 12:00:00 PM,360,0.9,28,32,Medallion Leasin
2930106,08/13/2019 12:00:00 PM,390,0.9,32,28,City Service
2930107,08/13/2019 12:00:00 PM,300,0.77,8,8,Nova Taxi Affiliation Llc
2930108,08/13/2019 12:00:00 PM,320,0.7,8,32,Nova Taxi Affiliation Llc
2930109,08/13/2019 12:00:00 PM,314,0.86,32,28,City Service
2930110,08/13/2019 12:00:00 PM,480,1.2,32,8,Taxi Affiliation Services
2930111,08/13/2019 12:00:00 PM,300,0.7,28,32,Medallion Leasin
2930112,08/13/2019 12:00:00 PM,420,1.5,32,8,Top Cab Affiliation
2930113,08/13/2019 12:00:00 PM,247,0.82,32,28,City Service
2930114,08/13/2019 12:00:00 PM,435,1.48,28,8,Sun Taxi
2930115,08/13/2019 12:00:00 PM,399,1.15,32,8,Flash Cab
2930116,08/13/2019 12:00:00 PM,480,1.1,32,28,Star North Management LLC
2930117,08/13/2019 12:00:00 PM,405,1.0,8,32,Chicago Taxicab
2930118,08/13/2019 12:00:00 PM,561,0.58,8,8,City Service
2930119,08/13/2019 12:00:00 PM,420,0.9,32,8,Choice Taxi Association
2930120,08/13/2019 12:00:00 PM,240,0.7,32,32,Taxi Affiliation Services
2930121,08/13/2019 12:00:00 PM,540,1.1,32,32,Medallion Leasin
2930122,08/13/2019 12:00:00 PM,563,1.19,8,8,Chicago Independents
2930123,08/13/2019 12:00:00 PM,438,1.71,8,28,Chicago Carriage Cab Corp
2930124,08/13/2019 12:00:00 PM,460,1.13,32,8,Chicago Carriage Cab Corp
2930125,08/13/2019 12:00:00 PM,540,0.9,8,28,Medallion Leasin
2930126,08/13/2019 12:00:00 PM,486,1.04,8,32,Chicago Carriage Cab Corp
2930127,08/13/2019 12:00:00 PM,353,1.22,77,77,Flash Cab
2930128,08/13/2019 12:00:00 PM,344,0.8,32,8,Flash Cab
2930129,08/13/2019 12:00:00 PM,480,1.6,28,8,"Taxicab Insurance Agency, LLC"
2930130,08/13/2019 12:00:00 PM,228,0.68,32,32,Chicago Carriage Cab Corp
2930131,08/13/2019 12:00:00 PM,338,1.2,32,28,City Service
2930132,08/13/2019 12:00:00 PM,480,1.2,8,28,Medallion Leasin
2930133,08/13/2019 12:00:00 PM,423,0.83,28,32,Chicago Carriage Cab Corp
