,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
2950000,08/14/2019 07:15:00 PM,360,0.7,32,8,Taxi Affiliation Services
2950001,08/14/2019 07:15:00 PM,257,0.73,8,8,Chicago Carriage Cab Corp
2950002,08/14/2019 07:15:00 PM,240,0.9,32,2,Medallion Leasin
2950003,08/14/2019 07:15:00 PM,428,1.12,32,32,Chicago Carriage Cab Corp
2950004,08/14/2019 07:15:00 PM,490,1.53,32,32,Chicago Carriage Cab Corp
2950005,08/14/2019 07:15:00 PM,273,0.65,8,8,City Service
2950006,08/14/2019 07:15:00 PM,540,1.5,32,28,Taxi Affiliation Services
2950007,08/14/2019 07:15:00 PM,480,1.0,32,32,Top Cab Affiliation
2950008,08/14/2019 07:15:00 PM,232,0.53,6,6,Flash Cab
2950009,08/14/2019 07:15:00 PM,360,0.7,8,8,Star North Management LLC
2950010,08/14/2019 07:15:00 PM,558,1.49,32,8,Chicago Carriage Cab Corp
2950011,08/14/2019 07:15:00 PM,517,1.3,32,8,Flash Cab
2950012,08/14/2019 07:15:00 PM,357,0.95,32,32,Sun Taxi
2950013,08/14/2019 07:15:00 PM,2700,0.8,76,7,Taxi Affiliation Services
2950014,08/14/2019 07:15:00 PM,360,0.6,8,32,Medallion Leasin
2950015,08/14/2019 07:15:00 PM,420,1.9,32,32,"Taxicab Insurance Agency, LLC"
2950016,08/14/2019 07:15:00 PM,474,1.03,32,28,Flash Cab
2950017,08/14/2019 07:15:00 PM,421,1.55,8,32,Sun Taxi
2950018,08/14/2019 07:15:00 PM,554,1.6,32,8,City Service
2950019,08/14/2019 07:15:00 PM,545,1.83,32,8,Chicago Carriage Cab Corp
2950020,08/14/2019 07:15:00 PM,480,1.0,8,32,"Taxicab Insurance Agency, LLC"
2950021,08/14/2019 07:15:00 PM,428,1.14,32,8,24 Seven Taxi
2950022,08/14/2019 07:15:00 PM,217,0.61,32,8,Flash Cab
2950023,08/14/2019 07:15:00 PM,445,1.18,32,32,Flash Cab
2950024,08/14/2019 07:15:00 PM,231,0.79,8,8,Sun Taxi
2950025,08/14/2019 07:15:00 PM,492,1.2,28,8,Medallion Leasin
2950026,08/14/2019 07:15:00 PM,344,1.0,32,28,Leonard Cab Co
2950027,08/14/2019 07:15:00 PM,275,0.86,32,8,Nova Taxi Affiliation Llc
2950028,08/14/2019 07:15:00 PM,197,0.62,32,33,Chicago Carriage Cab Corp
2950029,08/14/2019 07:15:00 PM,420,0.8,8,32,Taxi Affiliation Services
2950030,08/14/2019 07:15:00 PM,487,1.34,6,3,Flash Cab
2950031,08/14/2019 07:15:00 PM,417,1.3,28,28,Chicago Carriage Cab Corp
2950032,08/14/2019 07:15:00 PM,282,0.9,8,32,Flash Cab
2950033,08/14/2019 07:15:00 PM,301,0.88,8,8,Sun Taxi
2950034,08/14/2019 07:15:00 PM,500,1.27,8,28,Flash Cab
2950035,08/14/2019 07:15:00 PM,473,1.35,28,28,Flash Cab
2950036,08/14/2019 07:15:00 PM,224,0.58,32,28,Flash Cab
2950037,08/14/2019 07:15:00 PM,300,0.8,32,8,"Taxicab Insurance Agency, LLC"
2950038,08/14/2019 07:15:00 PM,352,1.07,8,8,Chicago Carriage Cab Corp
2950039,08/14/2019 07:15:00 PM,281,1.0,8,8,Chicago Carriage Cab Corp
2950040,08/14/2019 07:15:00 PM,540,1.2,32,8,"Taxicab Insurance Agency, LLC"
2950041,08/14/2019 07:15:00 PM,540,0.9,32,8,Star North Management LLC
2950042,08/14/2019 07:15:00 PM,502,1.18,28,8,Chicago Carriage Cab Corp
2950043,08/14/2019 07:15:00 PM,430,0.92,32,32,Flash Cab
2950044,08/14/2019 07:15:00 PM,360,0.6,8,8,"Taxicab Insurance Agency, LLC"
2950045,08/14/2019 07:15:00 PM,420,1.0,32,32,Taxi Affiliation Services
