,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
2960000,08/15/2019 03:30:00 PM,540,1.2,32,8,Blue Ribbon Taxi Association Inc.
2960001,08/15/2019 03:30:00 PM,420,1.3,8,32,Medallion Leasin
2960002,08/15/2019 03:30:00 PM,459,1.0,32,32,Medallion Leasin
2960003,08/15/2019 03:30:00 PM,369,1.01,32,28,Chicago Independents
2960004,08/15/2019 03:30:00 PM,432,1.22,32,28,Sun Taxi
2960005,08/15/2019 03:30:00 PM,490,1.1,32,32,Chicago Independents
2960006,08/15/2019 03:30:00 PM,378,1.11,32,28,Flash Cab
2960007,08/15/2019 03:30:00 PM,497,1.1,28,8,Medallion Leasin
2960008,08/15/2019 03:30:00 PM,379,1.07,8,8,Chicago Carriage Cab Corp
2960009,08/15/2019 03:30:00 PM,360,1.2,8,24,Medallion Leasin
2960010,08/15/2019 03:30:00 PM,445,0.8,8,32,Chicago Carriage Cab Corp
2960011,08/15/2019 03:30:00 PM,226,0.67,8,28,Sun Taxi
2960012,08/15/2019 03:30:00 PM,544,1.07,8,32,Sun Taxi
2960013,08/15/2019 03:30:00 PM,3000,1.9,56,76,Taxi Affiliation Services
2960014,08/15/2019 03:30:00 PM,540,1.9,33,32,Medallion Leasin
2960015,08/15/2019 03:30:00 PM,4140,1.1,32,76,Taxi Affiliation Services
2960016,08/15/2019 03:30:00 PM,540,1.1,32,28,Medallion Leasin
2960017,08/15/2019 03:30:00 PM,360,0.6,32,32,Taxi Affiliation Services
2960018,08/15/2019 03:30:00 PM,384,0.56,32,32,Flash Cab
2960019,08/15/2019 03:30:00 PM,300,0.7,32,32,Star North Management LLC
2960020,08/15/2019 03:30:00 PM,429,1.2,32,32,Chicago Carriage Cab Corp
2960021,08/15/2019 03:30:00 PM,566,1.5,32,8,Chicago Independents
2960022,08/15/2019 03:30:00 PM,540,1.4,32,33,"Taxicab Insurance Agency, LLC"
2960023,08/15/2019 03:30:00 PM,420,1.5,8,8,Taxi Affiliation Services
2960024,08/15/2019 03:30:00 PM,469,0.8,32,32,Flash Cab
2960025,08/15/2019 03:30:00 PM,439,1.52,28,8,City Service
2960026,08/15/2019 03:30:00 PM,300,0.6,32,32,Taxi Affiliation Services
2960027,08/15/2019 03:30:00 PM,480,0.9,32,32,Star North Management LLC
2960028,08/15/2019 03:30:00 PM,533,1.3,32,28,Setare Inc
2960029,08/15/2019 03:30:00 PM,474,0.71,32,32,Chicago Carriage Cab Corp
2960030,08/15/2019 03:30:00 PM,300,0.7,28,32,Medallion Leasin
2960031,08/15/2019 03:30:00 PM,240,0.9,32,8,Star North Management LLC
2960032,08/15/2019 03:30:00 PM,2445,10.11,76,12,Taxi Affiliation Service Yellow
2960033,08/15/2019 03:30:00 PM,377,0.7,8,8,Taxi Affiliation Service Yellow
2960034,08/15/2019 03:30:00 PM,564,1.51,32,8,Flash Cab
2960035,08/15/2019 03:30:00 PM,390,1.07,32,32,Chicago Carriage Cab Corp
2960036,08/15/2019 03:30:00 PM,420,0.9,32,8,"Taxicab Insurance Agency, LLC"
2960037,08/15/2019 03:30:00 PM,480,1.5,8,32,KOAM Taxi Association
2960038,08/15/2019 03:30:00 PM,354,0.58,32,28,Chicago Carriage Cab Corp
2960039,08/15/2019 03:30:00 PM,296,0.55,32,32,Sun Taxi
2960040,08/15/2019 03:30:00 PM,523,1.28,32,32,Flash Cab
2960041,08/15/2019 03:30:00 PM,446,0.83,32,32,Chicago Carriage Cab Corp
2960042,08/15/2019 03:30:00 PM,480,1.0,28,8,Medallion Leasin
2960043,08/15/2019 03:30:00 PM,540,1.5,32,28,Taxi Affiliation Services
2960044,08/15/2019 03:30:00 PM,420,1.1,32,8,Medallion Leasin
2960045,08/15/2019 03:30:00 PM,269,0.92,8,32,Chicago Carriage Cab Corp
2960046,08/15/2019 03:30:00 PM,360,0.9,7,7,Taxi Affiliation Services
2960047,08/15/2019 03:30:00 PM,526,1.77,76,76,City Service
2960048,08/15/2019 03:30:00 PM,240,0.8,32,28,Star North Management LLC
2960049,08/15/2019 03:30:00 PM,470,1.05,8,32,City Service
2960050,08/15/2019 03:30:00 PM,503,1.0,32,28,City Service
2960051,08/15/2019 03:30:00 PM,522,0.93,8,8,Chicago Carriage Cab Corp
2960052,08/15/2019 03:30:00 PM,3120,1.0,76,28,Taxi Affiliation Services
2960053,08/15/2019 03:30:00 PM,502,1.47,32,8,Flash Cab
2960054,08/15/2019 03:30:00 PM,420,1.0,28,8,Star North Management LLC
2960055,08/15/2019 03:30:00 PM,300,0.7,32,32,Star North Management LLC
2960056,08/15/2019 03:30:00 PM,360,0.7,8,8,Top Cab Affiliation
2960057,08/15/2019 03:30:00 PM,512,1.18,32,8,Flash Cab
2960058,08/15/2019 03:30:00 PM,480,1.5,32,8,Taxi Affiliation Services
2960059,08/15/2019 03:30:00 PM,353,0.64,28,32,City Service
2960060,08/15/2019 03:30:00 PM,360,1.0,32,8,Top Cab Affiliation
2960061,08/15/2019 03:30:00 PM,339,1.05,6,6,Chicago Carriage Cab Corp
2960062,08/15/2019 03:30:00 PM,400,1.44,32,8,24 Seven Taxi
2960063,08/15/2019 03:30:00 PM,598,1.51,8,28,Sun Taxi
2960064,08/15/2019 03:30:00 PM,240,1.0,8,32,Star North Management LLC
2960065,08/15/2019 03:30:00 PM,237,0.7,32,32,Leonard Cab Co
2960066,08/15/2019 03:30:00 PM,540,1.2,32,24,Medallion Leasin
2960067,08/15/2019 03:30:00 PM,401,0.98,8,32,Nova Taxi Affiliation Llc
2960068,08/15/2019 03:30:00 PM,489,1.37,28,8,24 Seven Taxi
2960069,08/15/2019 03:30:00 PM,399,1.41,32,32,Sun Taxi
2960070,08/15/2019 03:30:00 PM,240,0.8,3,6,Star North Management LLC
2960071,08/15/2019 03:30:00 PM,435,1.02,28,32,Chicago Carriage Cab Corp
2960072,08/15/2019 03:30:00 PM,480,1.0,32,28,Top Cab Affiliation
2960073,08/15/2019 03:30:00 PM,539,1.18,32,8,Sun Taxi
2960074,08/15/2019 03:30:00 PM,548,1.28,31,28,Flash Cab
2960075,08/15/2019 03:30:00 PM,301,0.76,32,32,Chicago Carriage Cab Corp
2960076,08/15/2019 03:30:00 PM,443,1.18,32,32,Nova Taxi Affiliation Llc
2960077,08/15/2019 03:30:00 PM,492,1.2,32,28,Patriot Taxi Dba Peace Taxi Associat
2960078,08/15/2019 03:30:00 PM,420,1.0,32,8,"Taxicab Insurance Agency, LLC"
2960079,08/15/2019 03:30:00 PM,229,0.78,32,32,Flash Cab
2960080,08/15/2019 03:30:00 PM,414,1.95,6,8,Flash Cab
2960081,08/15/2019 03:30:00 PM,360,0.9,32,32,Taxi Affiliation Services
2960082,08/15/2019 03:30:00 PM,420,1.6,33,33,Taxi Affiliation Services
2960083,08/15/2019 03:30:00 PM,468,0.73,8,32,Flash Cab
2960084,08/15/2019 03:30:00 PM,540,1.4,32,28,Taxi Affiliation Services
2960085,08/15/2019 03:30:00 PM,234,0.65,3,8,Sun Taxi
2960086,08/15/2019 03:30:00 PM,540,1.3,32,8,Taxi Affiliation Services
2960087,08/15/2019 03:30:00 PM,544,1.2,32,32,City Service
