,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
2990000,08/18/2019 03:45:00 AM,271,1.04,8,8,Flash Cab
2990001,08/18/2019 03:45:00 AM,325,0.76,8,32,Nova Taxi Affiliation Llc
2990002,08/18/2019 03:45:00 AM,420,1.8,6,3,KOAM Taxi Association
2990003,08/18/2019 03:45:00 AM,360,0.6,8,8,Star North Management LLC
2990004,08/18/2019 03:45:00 AM,364,1.04,8,8,Sun Taxi
2990005,08/18/2019 03:45:00 AM,240,0.6,8,8,Medallion Leasin
2990006,08/18/2019 03:45:00 AM,406,1.4,8,24,Medallion Leasin
2990007,08/18/2019 03:45:00 AM,420,1.5,14,16,Taxi Affiliation Services
2990008,08/18/2019 03:45:00 AM,412,1.72,8,7,Flash Cab
2990009,08/18/2019 03:45:00 AM,302,0.94,8,32,Chicago Carriage Cab Corp
2990010,08/18/2019 03:45:00 AM,541,1.7,6,3,City Service
2990011,08/18/2019 03:45:00 AM,406,1.85,8,8,Flash Cab
2990012,08/18/2019 03:45:00 AM,540,1.8,28,8,Taxi Affiliation Services
2990013,08/18/2019 03:45:00 AM,279,0.8,8,8,Medallion Leasin
2990014,08/18/2019 03:45:00 AM,381,1.03,6,6,Flash Cab
2990015,08/18/2019 03:45:00 AM,301,0.98,8,8,Flash Cab
2990016,08/18/2019 03:45:00 AM,331,0.92,8,32,City Service
2990017,08/18/2019 03:45:00 AM,300,1.5,28,28,Taxi Affiliation Services
2990018,08/18/2019 03:45:00 AM,299,1.01,6,6,Chicago Carriage Cab Corp
2990019,08/18/2019 03:45:00 AM,291,0.71,8,8,Flash Cab
2990020,08/18/2019 03:45:00 AM,480,1.6,8,32,Medallion Leasin
2990021,08/18/2019 03:45:00 AM,300,0.7,8,8,Chicago Medallion Management
2990022,08/18/2019 03:45:00 AM,300,0.8,8,8,Chicago Independents
2990023,08/18/2019 03:45:00 AM,246,0.73,4,4,Flash Cab
2990024,08/18/2019 03:45:00 AM,253,0.84,8,32,Flash Cab
2990025,08/18/2019 03:45:00 AM,385,1.7,8,24,Leonard Cab Co
2990026,08/18/2019 03:45:00 AM,240,0.9,6,6,"Taxicab Insurance Agency, LLC"
2990027,08/18/2019 03:45:00 AM,327,1.64,8,24,Patriot Taxi Dba Peace Taxi Associat
2990028,08/18/2019 03:45:00 AM,420,1.2,1,1,Medallion Leasin
2990029,08/18/2019 03:45:00 AM,256,1.1,8,8,Medallion Leasin
