,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
290000,01/23/2019 09:30:00 PM,525,1.7,32,33,Flash Cab
290001,01/23/2019 09:30:00 PM,254,1.0,32,28,Flash Cab
290002,01/23/2019 09:30:00 PM,452,1.7,32,8,Flash Cab
290003,01/23/2019 09:30:00 PM,326,1.8,2,2,Flash Cab
290004,01/23/2019 09:30:00 PM,399,1.5,28,24,Flash Cab
290005,01/23/2019 09:30:00 PM,440,1.9,8,28,Flash Cab
290006,01/23/2019 09:30:00 PM,409,1.2,32,8,Flash Cab
290007,01/23/2019 09:30:00 PM,465,1.6,77,1,Flash Cab
290008,01/23/2019 09:30:00 PM,486,1.2,8,8,Flash Cab
290009,01/23/2019 09:30:00 PM,364,1.7,8,8,Flash Cab
290010,01/23/2019 09:30:00 PM,473,1.2,8,32,Flash Cab
290011,01/23/2019 09:30:00 PM,442,1.4,32,8,Flash Cab
290012,01/23/2019 09:30:00 PM,297,0.9,28,28,Flash Cab
290013,01/23/2019 09:45:00 PM,480,1.4,32,8,Star North Management LLC
290014,01/23/2019 09:45:00 PM,420,1.4,32,32,Taxi Affiliation Services
290015,01/23/2019 09:45:00 PM,360,1.1,8,28,Taxi Affiliation Services
290016,01/23/2019 09:45:00 PM,420,1.4,32,32,Taxi Affiliation Services
290017,01/23/2019 09:45:00 PM,240,0.7,32,32,Star North Management LLC
290018,01/23/2019 09:45:00 PM,360,1.0,32,8,Star North Management LLC
290019,01/23/2019 09:45:00 PM,360,1.0,8,32,Taxi Affiliation Services
290020,01/23/2019 09:45:00 PM,360,1.3,32,28,Taxi Affiliation Services
290021,01/23/2019 09:45:00 PM,240,0.7,8,8,Star North Management LLC
290022,01/23/2019 09:45:00 PM,540,1.5,32,8,Taxi Affiliation Services
290023,01/23/2019 09:45:00 PM,240,0.9,8,32,Taxi Affiliation Services
290024,01/23/2019 09:45:00 PM,240,0.9,16,15,Chicago Medallion Management
290025,01/23/2019 09:45:00 PM,300,1.4,11,11,Star North Management LLC
290026,01/23/2019 09:45:00 PM,540,1.6,8,32,Star North Management LLC
290027,01/23/2019 09:45:00 PM,540,1.8,32,8,Chicago Medallion Management
290028,01/23/2019 09:45:00 PM,420,1.0,32,8,KOAM Taxi Association
290029,01/23/2019 09:45:00 PM,480,1.6,32,8,Choice Taxi Association
290030,01/23/2019 09:45:00 PM,300,1.1,28,32,Taxi Affiliation Services
290031,01/23/2019 09:45:00 PM,540,1.9,32,8,1085 - 72312 N and W Cab Co
290032,01/23/2019 09:45:00 PM,360,0.7,8,8,Top Cab Affiliation
290033,01/23/2019 09:45:00 PM,480,1.8,32,8,Taxi Affiliation Services
290034,01/23/2019 09:45:00 PM,360,1.2,32,8,Taxi Affiliation Services
290035,01/23/2019 09:45:00 PM,300,0.7,32,32,Star North Management LLC
290036,01/23/2019 09:45:00 PM,480,1.2,8,8,Star North Management LLC
290037,01/23/2019 09:45:00 PM,300,1.0,8,8,3011 - 66308 JBL Cab Inc.
290038,01/23/2019 09:45:00 PM,480,1.6,32,28,Taxi Affiliation Services
290039,01/23/2019 09:45:00 PM,420,0.9,8,28,Taxi Affiliation Services
290040,01/23/2019 09:45:00 PM,540,1.8,32,8,Taxi Affiliation Services
290041,01/23/2019 09:45:00 PM,420,1.1,8,32,Taxi Affiliation Services
290042,01/23/2019 09:45:00 PM,240,0.8,32,28,Taxi Affiliation Services
290043,01/23/2019 09:45:00 PM,480,1.0,8,8,Taxi Affiliation Services
290044,01/23/2019 09:45:00 PM,420,1.5,32,8,Chicago Medallion Management
290045,01/23/2019 09:45:00 PM,540,1.8,8,28,Star North Management LLC
290046,01/23/2019 09:45:00 PM,360,0.7,32,32,Taxi Affiliation Services
290047,01/23/2019 09:45:00 PM,420,0.9,8,8,Star North Management LLC
290048,01/23/2019 09:45:00 PM,540,1.4,8,32,Star North Management LLC
290049,01/23/2019 09:45:00 PM,420,1.5,32,28,Taxi Affiliation Services
