,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
3000000,08/19/2019 01:30:00 PM,420,1.1,8,32,Chicago Medallion Management
3000001,08/19/2019 01:30:00 PM,420,0.7,32,8,Medallion Leasin
3000002,08/19/2019 01:30:00 PM,572,1.6,32,8,Taxi Affiliation Service Yellow
3000003,08/19/2019 01:30:00 PM,540,1.4,7,8,Taxi Affiliation Services
3000004,08/19/2019 01:30:00 PM,360,1.1,32,8,Taxi Affiliation Services
3000005,08/19/2019 01:30:00 PM,357,0.93,8,32,Sun Taxi
3000006,08/19/2019 01:30:00 PM,480,0.8,8,32,Medallion Leasin
3000007,08/19/2019 01:30:00 PM,480,1.1,32,8,Chicago Independents
3000008,08/19/2019 01:30:00 PM,300,0.7,32,32,Top Cab Affiliation
3000009,08/19/2019 01:30:00 PM,420,0.8,28,32,"Taxicab Insurance Agency, LLC"
3000010,08/19/2019 01:30:00 PM,558,1.2,28,8,Flash Cab
3000011,08/19/2019 01:30:00 PM,292,0.72,32,32,Flash Cab
3000012,08/19/2019 01:30:00 PM,480,0.9,32,32,Star North Management LLC
3000013,08/19/2019 01:30:00 PM,536,1.2,8,8,Chicago Carriage Cab Corp
3000014,08/19/2019 01:30:00 PM,360,0.97,32,28,Flash Cab
3000015,08/19/2019 01:30:00 PM,494,1.76,71,71,Flash Cab
3000016,08/19/2019 01:30:00 PM,431,0.91,32,8,City Service
3000017,08/19/2019 01:30:00 PM,300,0.7,32,8,Choice Taxi Association
3000018,08/19/2019 01:30:00 PM,532,1.23,8,7,Flash Cab
3000019,08/19/2019 01:30:00 PM,599,1.85,28,32,Nova Taxi Affiliation Llc
3000020,08/19/2019 01:30:00 PM,358,0.84,32,32,Sun Taxi
3000021,08/19/2019 01:30:00 PM,1920,1.1,76,8,Taxi Affiliation Services
3000022,08/19/2019 01:30:00 PM,540,1.3,32,28,Taxi Affiliation Services
3000023,08/19/2019 01:30:00 PM,540,1.6,8,8,Top Cab Affiliation
3000024,08/19/2019 01:30:00 PM,411,0.9,8,8,City Service
3000025,08/19/2019 01:30:00 PM,474,0.93,32,8,Flash Cab
3000026,08/19/2019 01:30:00 PM,240,0.8,28,28,Taxi Affiliation Services
3000027,08/19/2019 01:30:00 PM,240,0.8,7,7,Medallion Leasin
3000028,08/19/2019 01:30:00 PM,240,0.7,32,8,Star North Management LLC
3000029,08/19/2019 01:30:00 PM,340,0.7,8,8,Chicago Carriage Cab Corp
3000030,08/19/2019 01:30:00 PM,540,1.6,8,32,Star North Management LLC
3000031,08/19/2019 01:30:00 PM,469,1.22,8,32,Chicago Carriage Cab Corp
3000032,08/19/2019 01:30:00 PM,547,1.3,28,8,Chicago Independents
3000033,08/19/2019 01:30:00 PM,480,1.7,24,8,Taxi Affiliation Services
3000034,08/19/2019 01:30:00 PM,592,1.06,8,8,Chicago Carriage Cab Corp
3000035,08/19/2019 01:30:00 PM,540,0.8,28,32,Taxi Affiliation Services
3000036,08/19/2019 01:30:00 PM,213,0.68,32,32,Chicago Carriage Cab Corp
3000037,08/19/2019 01:30:00 PM,388,0.88,8,28,Sun Taxi
3000038,08/19/2019 01:30:00 PM,360,0.8,28,28,Taxi Affiliation Services
3000039,08/19/2019 01:30:00 PM,475,1.69,33,32,Flash Cab
3000040,08/19/2019 01:30:00 PM,436,0.93,8,8,Chicago Carriage Cab Corp
3000041,08/19/2019 01:30:00 PM,360,1.0,8,8,Star North Management LLC
3000042,08/19/2019 01:30:00 PM,227,0.61,3,3,Flash Cab
3000043,08/19/2019 01:30:00 PM,357,0.69,28,32,Sun Taxi
3000044,08/19/2019 01:30:00 PM,444,1.16,15,15,Sun Taxi
3000045,08/19/2019 01:30:00 PM,2220,0.9,8,76,Taxi Affiliation Services
3000046,08/19/2019 01:30:00 PM,492,1.26,32,8,Flash Cab
3000047,08/19/2019 01:30:00 PM,312,0.65,32,28,City Service
3000048,08/19/2019 01:30:00 PM,480,1.0,32,8,Taxi Affiliation Services
3000049,08/19/2019 01:30:00 PM,360,1.0,32,8,Star North Management LLC
3000050,08/19/2019 01:30:00 PM,493,1.37,32,8,Sun Taxi
3000051,08/19/2019 01:30:00 PM,296,0.6,28,32,Chicago Independents
3000052,08/19/2019 01:30:00 PM,249,0.78,32,32,Patriot Taxi Dba Peace Taxi Associat
3000053,08/19/2019 01:30:00 PM,540,1.5,8,32,Taxi Affiliation Services
3000054,08/19/2019 01:30:00 PM,514,1.3,32,8,City Service
3000055,08/19/2019 01:30:00 PM,208,0.64,28,28,Patriot Taxi Dba Peace Taxi Associat
3000056,08/19/2019 01:30:00 PM,456,1.1,32,8,City Service
3000057,08/19/2019 01:30:00 PM,327,0.74,8,8,Chicago Independents
3000058,08/19/2019 01:30:00 PM,540,0.8,32,32,Medallion Leasin
3000059,08/19/2019 01:30:00 PM,555,1.1,32,32,Medallion Leasin
3000060,08/19/2019 01:30:00 PM,2220,1.0,8,76,Taxi Affiliation Services
3000061,08/19/2019 01:30:00 PM,309,0.62,24,24,Flash Cab
3000062,08/19/2019 01:30:00 PM,469,1.24,32,28,Patriot Taxi Dba Peace Taxi Associat
3000063,08/19/2019 01:30:00 PM,318,1.2,6,6,Sun Taxi
3000064,08/19/2019 01:30:00 PM,525,1.65,28,32,Chicago Carriage Cab Corp
3000065,08/19/2019 01:30:00 PM,300,0.9,8,32,Taxi Affiliation Services
3000066,08/19/2019 01:30:00 PM,420,0.9,28,32,Taxi Affiliation Services
3000067,08/19/2019 01:30:00 PM,289,0.78,28,32,Flash Cab
3000068,08/19/2019 01:30:00 PM,221,0.55,32,32,Sun Taxi
3000069,08/19/2019 01:30:00 PM,411,0.7,32,32,Medallion Leasin
3000070,08/19/2019 01:30:00 PM,445,1.06,8,8,Sun Taxi
3000071,08/19/2019 01:30:00 PM,420,1.4,32,8,Star North Management LLC
3000072,08/19/2019 01:30:00 PM,537,1.44,8,32,Chicago Carriage Cab Corp
3000073,08/19/2019 01:30:00 PM,371,1.32,8,8,Flash Cab
3000074,08/19/2019 01:30:00 PM,304,1.16,76,76,Sun Taxi
3000075,08/19/2019 01:30:00 PM,300,0.6,32,32,Taxi Affiliation Services
3000076,08/19/2019 01:30:00 PM,338,1.06,6,6,City Service
3000077,08/19/2019 01:30:00 PM,543,1.3,32,32,City Service
3000078,08/19/2019 01:30:00 PM,2520,0.9,76,6,Blue Ribbon Taxi Association Inc.
3000079,08/19/2019 01:30:00 PM,570,1.8,8,24,Sun Taxi
3000080,08/19/2019 01:30:00 PM,486,1.34,28,32,Flash Cab
3000081,08/19/2019 01:30:00 PM,427,1.18,8,8,Chicago Carriage Cab Corp
3000082,08/19/2019 01:30:00 PM,480,1.0,8,8,Taxi Affiliation Services
3000083,08/19/2019 01:30:00 PM,432,1.33,8,8,Chicago Carriage Cab Corp
3000084,08/19/2019 01:30:00 PM,508,0.76,32,28,Flash Cab
3000085,08/19/2019 01:30:00 PM,300,0.6,28,32,Taxi Affiliation Services
3000086,08/19/2019 01:30:00 PM,447,0.83,8,8,Flash Cab
3000087,08/19/2019 01:30:00 PM,354,0.73,32,32,Flash Cab
3000088,08/19/2019 01:30:00 PM,436,0.91,8,8,Sun Taxi
3000089,08/19/2019 01:30:00 PM,521,1.56,8,32,Chicago Carriage Cab Corp
3000090,08/19/2019 01:30:00 PM,575,1.26,8,32,City Service
3000091,08/19/2019 01:30:00 PM,414,1.07,6,6,Flash Cab
3000092,08/19/2019 01:30:00 PM,300,1.1,32,8,Star North Management LLC
3000093,08/19/2019 01:30:00 PM,1980,10.7,56,32,Star North Management LLC
3000094,08/19/2019 01:30:00 PM,360,0.8,8,8,Star North Management LLC
3000095,08/19/2019 01:30:00 PM,510,1.48,8,8,Chicago Carriage Cab Corp
3000096,08/19/2019 01:30:00 PM,420,0.8,32,8,Taxi Affiliation Services
3000097,08/19/2019 01:30:00 PM,494,1.34,8,32,Flash Cab
3000098,08/19/2019 01:30:00 PM,360,0.9,8,32,Medallion Leasin
3000099,08/19/2019 01:30:00 PM,347,0.74,28,32,Sun Taxi
3000100,08/19/2019 01:30:00 PM,440,1.47,28,28,Chicago Carriage Cab Corp
3000101,08/19/2019 01:30:00 PM,270,1.1,33,32,Taxi Affiliation Service Yellow
3000102,08/19/2019 01:30:00 PM,442,1.3,8,32,Sun Taxi
3000103,08/19/2019 01:30:00 PM,360,1.3,8,32,Star North Management LLC
3000104,08/19/2019 01:30:00 PM,474,1.17,32,32,Chicago Carriage Cab Corp
3000105,08/19/2019 01:30:00 PM,480,0.8,8,8,Star North Management LLC
3000106,08/19/2019 01:30:00 PM,377,0.9,32,32,Medallion Leasin
3000107,08/19/2019 01:30:00 PM,385,0.76,8,8,Chicago Independents
3000108,08/19/2019 01:30:00 PM,1860,0.7,19,76,Taxi Affiliation Services
3000109,08/19/2019 01:30:00 PM,508,1.04,32,32,Chicago Carriage Cab Corp
3000110,08/19/2019 01:30:00 PM,504,1.0,32,28,Medallion Leasin
3000111,08/19/2019 01:30:00 PM,502,1.5,32,32,City Service
3000112,08/19/2019 01:30:00 PM,308,0.7,32,32,Flash Cab
3000113,08/19/2019 01:30:00 PM,480,1.8,8,24,Taxi Affiliation Services
3000114,08/19/2019 01:30:00 PM,425,0.84,8,8,Nova Taxi Affiliation Llc
3000115,08/19/2019 01:30:00 PM,403,0.6,32,32,City Service
3000116,08/19/2019 01:30:00 PM,369,0.74,8,32,Flash Cab
3000117,08/19/2019 01:30:00 PM,540,0.8,8,8,Star North Management LLC
3000118,08/19/2019 01:30:00 PM,194,0.69,32,8,Sun Taxi
3000119,08/19/2019 01:30:00 PM,347,1.05,8,8,24 Seven Taxi
3000120,08/19/2019 01:30:00 PM,264,0.56,8,32,Sun Taxi
3000121,08/19/2019 01:30:00 PM,420,1.1,28,32,Medallion Leasin
3000122,08/19/2019 01:30:00 PM,339,1.02,28,32,City Service
3000123,08/19/2019 01:30:00 PM,392,0.93,32,8,Flash Cab
3000124,08/19/2019 01:30:00 PM,341,0.63,32,8,Flash Cab
3000125,08/19/2019 01:30:00 PM,360,1.0,32,8,Choice Taxi Association
3000126,08/19/2019 01:30:00 PM,480,1.3,32,8,Taxi Affiliation Services
3000127,08/19/2019 01:30:00 PM,182,0.53,32,32,Chicago Carriage Cab Corp
3000128,08/19/2019 01:30:00 PM,360,1.1,32,28,Taxi Affiliation Services
3000129,08/19/2019 01:30:00 PM,238,0.62,8,8,Flash Cab
3000130,08/19/2019 01:30:00 PM,307,0.9,8,32,Setare Inc
3000131,08/19/2019 01:30:00 PM,548,1.1,32,8,Chicago Carriage Cab Corp
3000132,08/19/2019 01:30:00 PM,395,1.09,8,32,Chicago Carriage Cab Corp
3000133,08/19/2019 01:30:00 PM,405,1.3,32,33,Medallion Leasin
3000134,08/19/2019 01:30:00 PM,540,1.1,8,32,Taxi Affiliation Services
3000135,08/19/2019 01:30:00 PM,540,1.3,32,8,Chicago Independents
3000136,08/19/2019 01:30:00 PM,300,0.6,32,32,Taxi Affiliation Services
3000137,08/19/2019 01:30:00 PM,479,1.25,8,32,Taxi Affiliation Service Yellow
3000138,08/19/2019 01:30:00 PM,446,1.29,8,32,Sun Taxi
3000139,08/19/2019 01:30:00 PM,2340,0.8,76,2,Taxi Affiliation Services
3000140,08/19/2019 01:30:00 PM,420,1.1,32,8,KOAM Taxi Association
3000141,08/19/2019 01:30:00 PM,256,0.63,8,32,Chicago Carriage Cab Corp
3000142,08/19/2019 01:30:00 PM,377,0.85,8,32,Flash Cab
3000143,08/19/2019 01:30:00 PM,503,1.26,32,8,Sun Taxi
3000144,08/19/2019 01:30:00 PM,300,0.9,8,32,Choice Taxi Association
3000145,08/19/2019 01:30:00 PM,219,0.59,32,32,Chicago Carriage Cab Corp
3000146,08/19/2019 01:30:00 PM,540,1.3,8,28,City Service
3000147,08/19/2019 01:30:00 PM,424,1.23,8,32,Sun Taxi
3000148,08/19/2019 01:30:00 PM,277,0.85,8,8,Chicago Carriage Cab Corp
3000149,08/19/2019 01:30:00 PM,530,1.45,28,32,Chicago Carriage Cab Corp
3000150,08/19/2019 01:30:00 PM,580,1.22,8,8,Flash Cab
3000151,08/19/2019 01:30:00 PM,511,1.42,32,28,Sun Taxi
3000152,08/19/2019 01:30:00 PM,495,1.1,8,8,Taxi Affiliation Service Yellow
3000153,08/19/2019 01:30:00 PM,360,0.9,32,32,Taxi Affiliation Services
3000154,08/19/2019 01:30:00 PM,420,1.2,28,32,Taxi Affiliation Services
3000155,08/19/2019 01:30:00 PM,417,0.86,32,28,Nova Taxi Affiliation Llc
3000156,08/19/2019 01:30:00 PM,360,0.8,28,32,Taxi Affiliation Services
3000157,08/19/2019 01:30:00 PM,436,1.33,28,32,Chicago Carriage Cab Corp
3000158,08/19/2019 01:30:00 PM,397,0.89,32,32,Chicago Carriage Cab Corp
3000159,08/19/2019 01:30:00 PM,360,0.8,8,32,"Taxicab Insurance Agency, LLC"
3000160,08/19/2019 01:30:00 PM,480,1.8,8,32,Taxi Affiliation Services
3000161,08/19/2019 01:30:00 PM,345,1.26,32,8,Sun Taxi
3000162,08/19/2019 01:30:00 PM,1981,10.85,16,76,Flash Cab
3000163,08/19/2019 01:30:00 PM,420,1.0,32,32,Taxi Affiliation Services
3000164,08/19/2019 01:45:00 PM,270,0.79,8,8,Chicago Carriage Cab Corp
3000165,08/19/2019 01:45:00 PM,420,0.8,32,32,Chicago Medallion Management
3000166,08/19/2019 01:45:00 PM,300,0.7,32,8,Taxi Affiliation Services
3000167,08/19/2019 01:45:00 PM,400,0.81,32,28,Flash Cab
3000168,08/19/2019 01:45:00 PM,472,1.2,28,32,Chicago Carriage Cab Corp
3000169,08/19/2019 01:45:00 PM,300,0.7,8,8,Star North Management LLC
3000170,08/19/2019 01:45:00 PM,323,0.7,8,8,Flash Cab
3000171,08/19/2019 01:45:00 PM,492,1.0,32,8,Taxi Affiliation Service Yellow
3000172,08/19/2019 01:45:00 PM,362,1.14,28,8,Flash Cab
3000173,08/19/2019 01:45:00 PM,290,0.79,8,8,Sun Taxi
3000174,08/19/2019 01:45:00 PM,420,1.4,28,32,Taxi Affiliation Services
3000175,08/19/2019 01:45:00 PM,2340,1.1,76,8,Taxi Affiliation Services
3000176,08/19/2019 01:45:00 PM,468,1.0,32,32,City Service
3000177,08/19/2019 01:45:00 PM,20125,1.98,59,33,Chicago Carriage Cab Corp
3000178,08/19/2019 01:45:00 PM,236,0.61,32,28,Chicago Carriage Cab Corp
3000179,08/19/2019 01:45:00 PM,360,1.0,28,32,Star North Management LLC
3000180,08/19/2019 01:45:00 PM,407,1.28,32,8,City Service
3000181,08/19/2019 01:45:00 PM,279,0.72,8,8,Flash Cab
3000182,08/19/2019 01:45:00 PM,493,1.43,8,28,Sun Taxi
3000183,08/19/2019 01:45:00 PM,360,0.7,32,32,Taxi Affiliation Services
3000184,08/19/2019 01:45:00 PM,329,0.92,28,32,Flash Cab
3000185,08/19/2019 01:45:00 PM,3236,0.81,8,8,Sun Taxi
3000186,08/19/2019 01:45:00 PM,480,1.45,32,8,Nova Taxi Affiliation Llc
3000187,08/19/2019 01:45:00 PM,360,0.8,32,32,Taxi Affiliation Services
3000188,08/19/2019 01:45:00 PM,467,1.15,28,32,Flash Cab
3000189,08/19/2019 01:45:00 PM,540,1.2,32,32,"Taxicab Insurance Agency, LLC"
3000190,08/19/2019 01:45:00 PM,420,1.7,28,8,Medallion Leasin
3000191,08/19/2019 01:45:00 PM,345,1.09,32,8,Chicago Carriage Cab Corp
3000192,08/19/2019 01:45:00 PM,424,1.5,32,8,City Service
3000193,08/19/2019 01:45:00 PM,476,1.46,32,8,Chicago Carriage Cab Corp
3000194,08/19/2019 01:45:00 PM,370,0.95,8,32,Taxi Affiliation Service Yellow
3000195,08/19/2019 01:45:00 PM,300,0.8,8,32,Taxi Affiliation Services
3000196,08/19/2019 01:45:00 PM,420,1.2,32,8,Choice Taxi Association
3000197,08/19/2019 01:45:00 PM,420,1.1,28,32,"Taxicab Insurance Agency, LLC"
3000198,08/19/2019 01:45:00 PM,394,1.18,8,32,Chicago Carriage Cab Corp
3000199,08/19/2019 01:45:00 PM,421,1.3,56,64,Medallion Leasin
3000200,08/19/2019 01:45:00 PM,480,1.8,7,8,Taxi Affiliation Services
3000201,08/19/2019 01:45:00 PM,426,1.04,8,28,City Service
3000202,08/19/2019 01:45:00 PM,248,0.93,32,32,Sun Taxi
3000203,08/19/2019 01:45:00 PM,460,1.3,28,8,Medallion Leasin
3000204,08/19/2019 01:45:00 PM,451,0.98,8,28,Chicago Carriage Cab Corp
3000205,08/19/2019 01:45:00 PM,2340,1.0,76,8,Taxi Affiliation Services
3000206,08/19/2019 01:45:00 PM,368,1.52,28,31,Chicago Carriage Cab Corp
3000207,08/19/2019 01:45:00 PM,508,1.32,32,8,Chicago Carriage Cab Corp
3000208,08/19/2019 01:45:00 PM,480,1.7,33,32,Taxi Affiliation Services
3000209,08/19/2019 01:45:00 PM,355,0.87,32,8,City Service
3000210,08/19/2019 01:45:00 PM,541,1.53,32,8,Chicago Carriage Cab Corp
3000211,08/19/2019 01:45:00 PM,480,1.9,32,32,Star North Management LLC
3000212,08/19/2019 01:45:00 PM,397,1.0,8,32,Medallion Leasin
3000213,08/19/2019 01:45:00 PM,233,0.7,8,8,Medallion Leasin
3000214,08/19/2019 01:45:00 PM,307,0.7,8,32,Chicago Carriage Cab Corp
3000215,08/19/2019 01:45:00 PM,574,1.7,32,28,Flash Cab
3000216,08/19/2019 01:45:00 PM,488,1.15,8,8,Flash Cab
3000217,08/19/2019 01:45:00 PM,420,1.1,28,32,Taxi Affiliation Services
3000218,08/19/2019 01:45:00 PM,541,1.5,7,8,Flash Cab
3000219,08/19/2019 01:45:00 PM,360,1.0,8,28,Medallion Leasin
3000220,08/19/2019 01:45:00 PM,360,0.7,28,32,Chicago Medallion Management
3000221,08/19/2019 01:45:00 PM,409,0.7,32,32,Chicago Carriage Cab Corp
3000222,08/19/2019 01:45:00 PM,212,0.54,32,32,Chicago Carriage Cab Corp
3000223,08/19/2019 01:45:00 PM,186,0.64,32,28,Chicago Carriage Cab Corp
3000224,08/19/2019 01:45:00 PM,378,1.44,32,8,Nova Taxi Affiliation Llc
3000225,08/19/2019 01:45:00 PM,313,0.78,32,32,Chicago Carriage Cab Corp
3000226,08/19/2019 01:45:00 PM,463,1.35,32,28,Chicago Carriage Cab Corp
3000227,08/19/2019 01:45:00 PM,443,0.85,8,8,Chicago Carriage Cab Corp
3000228,08/19/2019 01:45:00 PM,318,0.52,8,8,Flash Cab
3000229,08/19/2019 01:45:00 PM,204,0.77,32,28,Chicago Carriage Cab Corp
3000230,08/19/2019 01:45:00 PM,300,1.4,77,1,Taxi Affiliation Services
3000231,08/19/2019 01:45:00 PM,360,0.8,32,32,Chicago Independents
3000232,08/19/2019 01:45:00 PM,256,0.7,32,8,Chicago Independents
3000233,08/19/2019 01:45:00 PM,445,0.67,32,8,Sun Taxi
3000234,08/19/2019 01:45:00 PM,420,1.7,76,76,Top Cab Affiliation
3000235,08/19/2019 01:45:00 PM,289,0.58,28,28,Chicago Carriage Cab Corp
3000236,08/19/2019 01:45:00 PM,360,1.4,32,8,Star North Management LLC
3000237,08/19/2019 01:45:00 PM,258,0.54,8,32,City Service
3000238,08/19/2019 01:45:00 PM,300,0.6,32,8,Star North Management LLC
3000239,08/19/2019 01:45:00 PM,500,1.26,32,28,Chicago Carriage Cab Corp
3000240,08/19/2019 01:45:00 PM,458,1.23,8,8,Patriot Taxi Dba Peace Taxi Associat
3000241,08/19/2019 01:45:00 PM,540,1.7,77,3,Taxi Affiliation Services
3000242,08/19/2019 01:45:00 PM,360,1.0,32,28,Medallion Leasin
3000243,08/19/2019 01:45:00 PM,374,1.15,8,3,Sun Taxi
3000244,08/19/2019 01:45:00 PM,436,1.06,8,32,Flash Cab
3000245,08/19/2019 01:45:00 PM,420,0.9,32,8,Star North Management LLC
3000246,08/19/2019 01:45:00 PM,404,0.91,8,32,Chicago Carriage Cab Corp
3000247,08/19/2019 01:45:00 PM,1883,10.97,56,75,Chicago Carriage Cab Corp
3000248,08/19/2019 01:45:00 PM,296,1.11,8,8,Chicago Carriage Cab Corp
3000249,08/19/2019 01:45:00 PM,540,0.9,32,32,Taxi Affiliation Services
3000250,08/19/2019 01:45:00 PM,483,1.26,32,8,Flash Cab
3000251,08/19/2019 01:45:00 PM,428,0.84,32,32,Taxi Affiliation Service Yellow
3000252,08/19/2019 01:45:00 PM,589,1.32,8,32,City Service
3000253,08/19/2019 01:45:00 PM,256,0.68,32,32,Nova Taxi Affiliation Llc
3000254,08/19/2019 01:45:00 PM,240,0.8,32,8,3623 - 72222 Arrington Enterprises
3000255,08/19/2019 01:45:00 PM,410,0.84,28,32,Flash Cab
3000256,08/19/2019 01:45:00 PM,445,0.93,32,28,Chicago Carriage Cab Corp
3000257,08/19/2019 01:45:00 PM,318,0.72,76,77,Sun Taxi
3000258,08/19/2019 01:45:00 PM,353,0.81,32,8,Chicago Carriage Cab Corp
3000259,08/19/2019 01:45:00 PM,5160,1.08,8,8,Flash Cab
3000260,08/19/2019 01:45:00 PM,360,1.1,8,32,Taxi Affiliation Services
3000261,08/19/2019 01:45:00 PM,360,1.2,32,24,Medallion Leasin
3000262,08/19/2019 01:45:00 PM,296,0.7,8,8,Chicago Carriage Cab Corp
3000263,08/19/2019 01:45:00 PM,575,1.24,8,32,Flash Cab
3000264,08/19/2019 01:45:00 PM,441,1.09,32,32,City Service
3000265,08/19/2019 01:45:00 PM,264,0.88,32,8,Chicago Carriage Cab Corp
3000266,08/19/2019 01:45:00 PM,300,0.7,8,8,Taxi Affiliation Services
3000267,08/19/2019 01:45:00 PM,481,0.86,8,28,Sun Taxi
3000268,08/19/2019 01:45:00 PM,406,1.22,32,8,Sun Taxi
3000269,08/19/2019 01:45:00 PM,385,0.85,28,32,Flash Cab
3000270,08/19/2019 01:45:00 PM,420,0.8,32,8,Taxi Affiliation Services
3000271,08/19/2019 01:45:00 PM,2160,1.1,76,8,Taxi Affiliation Services
3000272,08/19/2019 01:45:00 PM,364,0.9,28,32,Flash Cab
3000273,08/19/2019 01:45:00 PM,420,0.7,32,28,Medallion Leasin
3000274,08/19/2019 01:45:00 PM,420,0.8,32,32,Medallion Leasin
3000275,08/19/2019 01:45:00 PM,264,1.1,32,8,City Service
