,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
3010000,08/20/2019 11:00:00 AM,253,0.9,32,8,City Service
3010001,08/20/2019 11:00:00 AM,480,0.8,32,28,Star North Management LLC
3010002,08/20/2019 11:00:00 AM,450,1.1,32,8,Medallion Leasin
3010003,08/20/2019 11:00:00 AM,270,0.76,8,8,City Service
3010004,08/20/2019 11:00:00 AM,420,1.1,28,32,Medallion Leasin
3010005,08/20/2019 11:00:00 AM,408,1.48,8,28,City Service
3010006,08/20/2019 11:00:00 AM,305,0.8,8,28,Chicago Independents
3010007,08/20/2019 11:00:00 AM,413,1.29,32,32,Nova Taxi Affiliation Llc
3010008,08/20/2019 11:00:00 AM,397,0.96,8,8,Chicago Carriage Cab Corp
3010009,08/20/2019 11:00:00 AM,556,0.61,8,8,Chicago Carriage Cab Corp
3010010,08/20/2019 11:00:00 AM,480,1.6,8,32,Star North Management LLC
3010011,08/20/2019 11:00:00 AM,420,1.0,32,8,Star North Management LLC
3010012,08/20/2019 11:00:00 AM,540,1.4,32,8,Medallion Leasin
3010013,08/20/2019 11:00:00 AM,301,0.6,8,8,Taxi Affiliation Service Yellow
3010014,08/20/2019 11:00:00 AM,480,1.9,33,32,Taxi Affiliation Services
3010015,08/20/2019 11:00:00 AM,300,0.65,28,32,City Service
3010016,08/20/2019 11:00:00 AM,322,1.05,32,32,Chicago Carriage Cab Corp
3010017,08/20/2019 11:00:00 AM,567,0.84,32,32,Chicago Carriage Cab Corp
3010018,08/20/2019 11:00:00 AM,341,0.84,8,8,Chicago Carriage Cab Corp
3010019,08/20/2019 11:00:00 AM,444,0.82,32,32,Flash Cab
3010020,08/20/2019 11:00:00 AM,219,0.63,8,8,City Service
3010021,08/20/2019 11:00:00 AM,380,0.92,8,8,Sun Taxi
3010022,08/20/2019 11:00:00 AM,360,0.6,32,32,Medallion Leasin
3010023,08/20/2019 11:00:00 AM,540,0.9,28,8,Chicago Medallion Management
3010024,08/20/2019 11:00:00 AM,240,0.7,28,28,Medallion Leasin
3010025,08/20/2019 11:00:00 AM,540,1.3,32,8,Taxi Affiliation Services
