,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
3020000,08/21/2019 12:00:00 AM,418,0.9,32,32,Leonard Cab Co
3020001,08/21/2019 12:00:00 AM,504,1.55,8,32,Flash Cab
3020002,08/21/2019 12:00:00 AM,300,1.2,32,32,Medallion Leasin
3020003,08/21/2019 12:00:00 AM,420,1.7,6,5,Taxi Affiliation Services
3020004,08/21/2019 12:00:00 AM,312,1.14,8,32,Chicago Carriage Cab Corp
3020005,08/21/2019 12:00:00 AM,304,0.93,2,2,Flash Cab
3020006,08/21/2019 12:00:00 AM,325,1.17,8,8,Flash Cab
3020007,08/21/2019 12:00:00 AM,385,0.76,8,8,Sun Taxi
3020008,08/21/2019 12:00:00 AM,470,1.11,32,8,Flash Cab
3020009,08/21/2019 12:00:00 AM,336,1.0,8,8,Medallion Leasin
3020010,08/21/2019 12:00:00 AM,311,0.8,8,8,Nova Taxi Affiliation Llc
3020011,08/21/2019 12:00:00 AM,248,0.6,32,32,Leonard Cab Co
3020012,08/21/2019 12:00:00 AM,240,0.9,32,8,Taxi Affiliation Services
3020013,08/21/2019 12:00:00 AM,471,1.35,8,32,Chicago Carriage Cab Corp
3020014,08/21/2019 12:00:00 AM,540,1.7,6,7,Star North Management LLC
3020015,08/21/2019 12:00:00 AM,216,0.53,8,8,Chicago Carriage Cab Corp
3020016,08/21/2019 12:00:00 AM,524,1.54,8,8,Flash Cab
3020017,08/21/2019 12:00:00 AM,216,0.75,32,32,Chicago Carriage Cab Corp
3020018,08/21/2019 12:00:00 AM,352,1.17,8,8,Chicago Carriage Cab Corp
3020019,08/21/2019 12:00:00 AM,203,0.98,8,8,Flash Cab
3020020,08/21/2019 12:00:00 AM,240,1.1,32,28,Taxi Affiliation Services
3020021,08/21/2019 12:00:00 AM,478,1.34,6,6,Flash Cab
3020022,08/21/2019 12:00:00 AM,480,1.0,6,6,Choice Taxi Association
3020023,08/21/2019 12:15:00 AM,258,1.39,8,32,Flash Cab
3020024,08/21/2019 12:15:00 AM,420,1.8,33,32,Taxi Affiliation Services
