,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
3040000,08/22/2019 02:15:00 PM,480,1.2,28,32,"Taxicab Insurance Agency, LLC"
3040001,08/22/2019 02:15:00 PM,559,0.85,28,32,Sun Taxi
3040002,08/22/2019 02:15:00 PM,517,1.1,8,32,Flash Cab
3040003,08/22/2019 02:15:00 PM,240,0.6,8,8,Taxi Affiliation Services
3040004,08/22/2019 02:15:00 PM,263,0.8,6,6,Sun Taxi
3040005,08/22/2019 02:15:00 PM,240,0.9,28,28,Taxi Affiliation Services
3040006,08/22/2019 02:15:00 PM,360,0.8,8,32,"Taxicab Insurance Agency, LLC"
3040007,08/22/2019 02:15:00 PM,415,1.52,32,8,Sun Taxi
3040008,08/22/2019 02:15:00 PM,478,1.26,8,32,24 Seven Taxi
3040009,08/22/2019 02:15:00 PM,480,1.1,28,8,Taxi Affiliation Services
3040010,08/22/2019 02:30:00 PM,385,0.84,8,32,City Service
3040011,08/22/2019 02:30:00 PM,480,1.6,8,32,Star North Management LLC
3040012,08/22/2019 02:30:00 PM,464,1.57,8,32,Sun Taxi
3040013,08/22/2019 02:30:00 PM,456,1.01,32,8,Flash Cab
3040014,08/22/2019 02:30:00 PM,480,1.4,28,31,Taxi Affiliation Services
3040015,08/22/2019 02:30:00 PM,385,0.88,8,32,City Service
3040016,08/22/2019 02:30:00 PM,570,1.52,32,8,Flash Cab
3040017,08/22/2019 02:30:00 PM,420,1.3,32,8,Medallion Leasin
3040018,08/22/2019 02:30:00 PM,420,0.8,32,32,Taxi Affiliation Services
3040019,08/22/2019 02:30:00 PM,540,1.6,8,8,Medallion Leasin
3040020,08/22/2019 02:30:00 PM,240,0.8,28,28,Medallion Leasin
3040021,08/22/2019 02:30:00 PM,444,1.2,8,28,City Service
3040022,08/22/2019 02:30:00 PM,537,1.4,32,8,Medallion Leasin
3040023,08/22/2019 02:30:00 PM,523,1.78,8,8,Flash Cab
3040024,08/22/2019 02:30:00 PM,480,1.0,28,32,Taxi Affiliation Services
3040025,08/22/2019 02:30:00 PM,464,1.17,32,32,Chicago Carriage Cab Corp
3040026,08/22/2019 02:30:00 PM,420,0.9,32,32,"Taxicab Insurance Agency, LLC"
3040027,08/22/2019 02:30:00 PM,480,1.1,32,32,Star North Management LLC
3040028,08/22/2019 02:30:00 PM,364,0.81,8,32,Chicago Carriage Cab Corp
3040029,08/22/2019 02:30:00 PM,268,0.87,28,28,Sun Taxi
3040030,08/22/2019 02:30:00 PM,300,0.7,32,32,Medallion Leasin
3040031,08/22/2019 02:30:00 PM,2640,1.1,32,76,Blue Ribbon Taxi Association Inc.
3040032,08/22/2019 02:30:00 PM,541,1.66,32,8,Chicago Carriage Cab Corp
3040033,08/22/2019 02:30:00 PM,417,0.83,32,32,Sun Taxi
3040034,08/22/2019 02:30:00 PM,360,0.8,8,8,Taxi Affiliation Services
3040035,08/22/2019 02:30:00 PM,434,1.17,32,8,Chicago Carriage Cab Corp
3040036,08/22/2019 02:30:00 PM,453,1.12,28,32,Chicago Carriage Cab Corp
3040037,08/22/2019 02:30:00 PM,420,1.2,8,8,Choice Taxi Association
3040038,08/22/2019 02:30:00 PM,480,1.6,32,8,Choice Taxi Association
3040039,08/22/2019 02:30:00 PM,303,0.75,8,8,Sun Taxi
3040040,08/22/2019 02:30:00 PM,344,0.93,28,8,Sun Taxi
3040041,08/22/2019 02:30:00 PM,493,1.09,8,8,Chicago Carriage Cab Corp
3040042,08/22/2019 02:30:00 PM,300,0.6,32,32,KOAM Taxi Association
3040043,08/22/2019 02:30:00 PM,249,0.56,32,32,Sun Taxi
3040044,08/22/2019 02:30:00 PM,480,1.2,28,32,Star North Management LLC
3040045,08/22/2019 02:30:00 PM,227,0.64,8,8,City Service
3040046,08/22/2019 02:30:00 PM,318,0.73,32,32,Chicago Carriage Cab Corp
3040047,08/22/2019 02:30:00 PM,488,1.11,8,32,Chicago Carriage Cab Corp
3040048,08/22/2019 02:30:00 PM,545,0.99,8,32,City Service
3040049,08/22/2019 02:30:00 PM,360,0.9,32,8,Chicago Medallion Management
3040050,08/22/2019 02:30:00 PM,4200,1.1,32,76,Taxi Affiliation Services
3040051,08/22/2019 02:30:00 PM,549,1.65,32,8,Chicago Carriage Cab Corp
3040052,08/22/2019 02:30:00 PM,538,1.3,32,8,City Service
3040053,08/22/2019 02:30:00 PM,290,0.55,32,32,Flash Cab
3040054,08/22/2019 02:30:00 PM,500,0.6,32,8,Sun Taxi
3040055,08/22/2019 02:30:00 PM,3360,1.1,8,76,Blue Ribbon Taxi Association Inc.
3040056,08/22/2019 02:30:00 PM,229,0.76,32,32,City Service
3040057,08/22/2019 02:30:00 PM,240,1.1,8,8,Taxi Affiliation Services
3040058,08/22/2019 02:30:00 PM,360,0.6,32,32,KOAM Taxi Association
3040059,08/22/2019 02:30:00 PM,300,0.8,8,32,Taxi Affiliation Services
3040060,08/22/2019 02:30:00 PM,540,1.1,8,8,Medallion Leasin
3040061,08/22/2019 02:30:00 PM,240,0.7,32,32,Taxi Affiliation Services
3040062,08/22/2019 02:30:00 PM,372,0.9,32,28,Sun Taxi
3040063,08/22/2019 02:30:00 PM,428,0.97,8,8,Flash Cab
3040064,08/22/2019 02:30:00 PM,300,0.9,61,61,Taxi Affiliation Services
3040065,08/22/2019 02:30:00 PM,480,1.5,32,32,Star North Management LLC
3040066,08/22/2019 02:30:00 PM,360,0.9,8,8,Choice Taxi Association
3040067,08/22/2019 02:30:00 PM,504,0.6,8,8,Medallion Leasin
3040068,08/22/2019 02:30:00 PM,540,1.0,32,8,City Service
3040069,08/22/2019 02:30:00 PM,400,0.63,8,32,Flash Cab
3040070,08/22/2019 02:30:00 PM,240,0.6,8,8,Taxi Affiliation Services
3040071,08/22/2019 02:30:00 PM,249,0.62,32,32,Sun Taxi
3040072,08/22/2019 02:30:00 PM,300,0.7,8,8,Medallion Leasin
3040073,08/22/2019 02:30:00 PM,478,0.81,8,8,Flash Cab
3040074,08/22/2019 02:30:00 PM,572,1.3,32,8,Chicago Carriage Cab Corp
3040075,08/22/2019 02:30:00 PM,480,1.8,28,28,Choice Taxi Association
3040076,08/22/2019 02:30:00 PM,490,1.19,32,32,City Service
3040077,08/22/2019 02:30:00 PM,549,1.2,32,32,Sun Taxi
3040078,08/22/2019 02:30:00 PM,506,1.1,8,32,Sun Taxi
3040079,08/22/2019 02:30:00 PM,346,0.93,32,32,Chicago Carriage Cab Corp
3040080,08/22/2019 02:30:00 PM,433,0.71,15,19,Flash Cab
3040081,08/22/2019 02:30:00 PM,540,1.3,8,8,Taxi Affiliation Services
3040082,08/22/2019 02:30:00 PM,526,1.08,8,8,Nova Taxi Affiliation Llc
3040083,08/22/2019 02:30:00 PM,360,1.28,32,28,Nova Taxi Affiliation Llc
3040084,08/22/2019 02:30:00 PM,480,1.9,35,33,Taxi Affiliation Services
3040085,08/22/2019 02:30:00 PM,420,1.8,32,8,Taxi Affiliation Services
3040086,08/22/2019 02:30:00 PM,480,0.8,8,32,Top Cab Affiliation
