,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
3060000,08/23/2019 10:00:00 PM,382,1.18,8,8,Sun Taxi
3060001,08/23/2019 10:00:00 PM,360,1.0,28,32,Taxi Affiliation Services
3060002,08/23/2019 10:00:00 PM,240,0.6,6,6,Taxi Affiliation Services
3060003,08/23/2019 10:00:00 PM,533,1.56,28,32,Chicago Carriage Cab Corp
3060004,08/23/2019 10:00:00 PM,529,1.59,6,7,City Service
3060005,08/23/2019 10:00:00 PM,360,1.0,8,7,Taxi Affiliation Services
3060006,08/23/2019 10:00:00 PM,278,0.54,8,8,Sun Taxi
3060007,08/23/2019 10:00:00 PM,240,0.7,8,8,Taxi Affiliation Services
3060008,08/23/2019 10:00:00 PM,267,0.94,33,33,Nova Taxi Affiliation Llc
3060009,08/23/2019 10:00:00 PM,420,1.1,32,8,Choice Taxi Association
3060010,08/23/2019 10:00:00 PM,457,1.53,23,24,Flash Cab
3060011,08/23/2019 10:00:00 PM,288,0.6,8,8,Medallion Leasin
3060012,08/23/2019 10:00:00 PM,240,0.9,77,77,Chicago Independents
3060013,08/23/2019 10:00:00 PM,300,1.2,32,32,Medallion Leasin
3060014,08/23/2019 10:00:00 PM,420,1.4,8,8,Taxi Affiliation Services
3060015,08/23/2019 10:00:00 PM,420,1.2,8,8,Taxi Affiliation Services
3060016,08/23/2019 10:00:00 PM,501,1.54,8,8,Flash Cab
3060017,08/23/2019 10:00:00 PM,275,0.68,32,8,Flash Cab
3060018,08/23/2019 10:00:00 PM,300,1.1,8,32,Taxi Affiliation Services
3060019,08/23/2019 10:00:00 PM,533,1.51,8,28,Chicago Carriage Cab Corp
3060020,08/23/2019 10:00:00 PM,360,1.3,32,28,Taxi Affiliation Services
3060021,08/23/2019 10:00:00 PM,510,1.78,32,32,City Service
3060022,08/23/2019 10:00:00 PM,257,0.95,7,8,Patriot Taxi Dba Peace Taxi Associat
3060023,08/23/2019 10:00:00 PM,420,1.8,32,33,Choice Taxi Association
3060024,08/23/2019 10:00:00 PM,240,1.0,4,4,Star North Management LLC
3060025,08/23/2019 10:00:00 PM,300,0.7,32,8,Star North Management LLC
3060026,08/23/2019 10:00:00 PM,360,0.6,8,8,Star North Management LLC
3060027,08/23/2019 10:00:00 PM,446,0.8,8,8,Flash Cab
3060028,08/23/2019 10:00:00 PM,369,0.7,8,8,Medallion Leasin
3060029,08/23/2019 10:00:00 PM,404,0.95,8,28,Flash Cab
3060030,08/23/2019 10:00:00 PM,490,1.81,32,33,Flash Cab
3060031,08/23/2019 10:00:00 PM,268,1.23,32,8,24 Seven Taxi
3060032,08/23/2019 10:00:00 PM,360,0.8,28,24,Star North Management LLC
3060033,08/23/2019 10:00:00 PM,300,0.8,8,8,Medallion Leasin
3060034,08/23/2019 10:00:00 PM,279,0.6,32,8,City Service
3060035,08/23/2019 10:00:00 PM,503,1.4,28,8,Medallion Leasin
3060036,08/23/2019 10:00:00 PM,526,1.46,32,28,Flash Cab
3060037,08/23/2019 10:00:00 PM,246,0.73,33,33,Chicago Carriage Cab Corp
3060038,08/23/2019 10:00:00 PM,420,1.1,32,8,Taxi Affiliation Services
3060039,08/23/2019 10:00:00 PM,428,0.79,8,8,Flash Cab
3060040,08/23/2019 10:00:00 PM,433,1.51,7,7,City Service
3060041,08/23/2019 10:00:00 PM,540,1.8,8,7,Chicago Medallion Management
3060042,08/23/2019 10:00:00 PM,362,0.81,32,8,Sun Taxi
3060043,08/23/2019 10:00:00 PM,244,0.67,8,8,Sun Taxi
3060044,08/23/2019 10:00:00 PM,300,0.6,8,8,Taxi Affiliation Services
3060045,08/23/2019 10:00:00 PM,360,1.3,32,28,Taxi Affiliation Services
3060046,08/23/2019 10:00:00 PM,540,0.8,8,32,Star North Management LLC
3060047,08/23/2019 10:15:00 PM,513,1.33,8,8,Flash Cab
3060048,08/23/2019 10:15:00 PM,420,1.45,8,8,24 Seven Taxi
3060049,08/23/2019 10:15:00 PM,480,1.5,8,28,Medallion Leasin
3060050,08/23/2019 10:15:00 PM,249,0.92,32,28,City Service
3060051,08/23/2019 10:15:00 PM,480,1.4,8,32,Chicago Medallion Management
3060052,08/23/2019 10:15:00 PM,540,0.8,8,32,Medallion Leasin
3060053,08/23/2019 10:15:00 PM,360,1.1,8,8,Taxi Affiliation Services
3060054,08/23/2019 10:15:00 PM,431,1.13,8,32,Chicago Carriage Cab Corp
3060055,08/23/2019 10:15:00 PM,360,1.5,6,5,Choice Taxi Association
3060056,08/23/2019 10:15:00 PM,312,0.77,32,32,Chicago Carriage Cab Corp
3060057,08/23/2019 10:15:00 PM,480,1.1,32,8,Taxi Affiliation Services
3060058,08/23/2019 10:15:00 PM,360,0.9,32,32,KOAM Taxi Association
3060059,08/23/2019 10:15:00 PM,233,0.55,8,8,Chicago Carriage Cab Corp
3060060,08/23/2019 10:15:00 PM,295,0.59,8,8,Chicago Carriage Cab Corp
3060061,08/23/2019 10:15:00 PM,581,1.7,28,32,City Service
3060062,08/23/2019 10:15:00 PM,360,1.3,28,28,Taxi Affiliation Services
3060063,08/23/2019 10:15:00 PM,183,0.88,32,33,Chicago Carriage Cab Corp
3060064,08/23/2019 10:15:00 PM,560,1.53,32,8,Flash Cab
3060065,08/23/2019 10:15:00 PM,353,1.0,33,33,Flash Cab
3060066,08/23/2019 10:15:00 PM,188,0.62,8,8,City Service
3060067,08/23/2019 10:15:00 PM,459,0.93,32,8,Flash Cab
3060068,08/23/2019 10:15:00 PM,240,0.9,32,28,Taxi Affiliation Services
3060069,08/23/2019 10:15:00 PM,420,1.4,8,8,Chicago Medallion Management
3060070,08/23/2019 10:15:00 PM,240,1.0,7,8,Medallion Leasin
3060071,08/23/2019 10:15:00 PM,290,0.7,8,8,24 Seven Taxi
3060072,08/23/2019 10:15:00 PM,360,0.8,8,32,Taxi Affiliation Services
3060073,08/23/2019 10:15:00 PM,282,0.87,8,8,Flash Cab
3060074,08/23/2019 10:15:00 PM,300,1.5,8,28,Blue Ribbon Taxi Association Inc.
3060075,08/23/2019 10:15:00 PM,592,1.63,28,8,Chicago Carriage Cab Corp
3060076,08/23/2019 10:15:00 PM,420,0.8,32,8,Taxi Affiliation Services
3060077,08/23/2019 10:15:00 PM,360,1.4,8,8,City Service
3060078,08/23/2019 10:15:00 PM,185,0.55,8,28,Flash Cab
3060079,08/23/2019 10:15:00 PM,540,1.59,32,8,Nova Taxi Affiliation Llc
3060080,08/23/2019 10:15:00 PM,3660,1.7,17,24,Taxi Affiliation Services
3060081,08/23/2019 10:15:00 PM,480,1.7,8,32,"Taxicab Insurance Agency, LLC"
3060082,08/23/2019 10:15:00 PM,549,1.72,7,8,City Service
3060083,08/23/2019 10:15:00 PM,295,1.23,8,8,City Service
3060084,08/23/2019 10:15:00 PM,2837,1.14,76,76,Chicago Carriage Cab Corp
3060085,08/23/2019 10:15:00 PM,463,1.23,8,32,Flash Cab
3060086,08/23/2019 10:15:00 PM,420,1.1,32,32,Chicago Independents
3060087,08/23/2019 10:15:00 PM,240,0.6,8,8,KOAM Taxi Association
3060088,08/23/2019 10:15:00 PM,327,0.92,8,8,Chicago Carriage Cab Corp
3060089,08/23/2019 10:15:00 PM,418,1.36,6,6,Sun Taxi
3060090,08/23/2019 10:15:00 PM,313,0.93,32,8,City Service
3060091,08/23/2019 10:15:00 PM,240,0.6,8,8,Taxi Affiliation Services
3060092,08/23/2019 10:15:00 PM,197,0.67,28,28,24 Seven Taxi
3060093,08/23/2019 10:15:00 PM,338,1.1,8,8,City Service
3060094,08/23/2019 10:15:00 PM,3120,1.6,56,56,Taxi Affiliation Services
3060095,08/23/2019 10:15:00 PM,240,1.0,6,7,Taxi Affiliation Services
3060096,08/23/2019 10:15:00 PM,293,0.7,28,28,Medallion Leasin
3060097,08/23/2019 10:15:00 PM,360,0.7,8,8,Taxi Affiliation Services
3060098,08/23/2019 10:15:00 PM,437,0.78,32,8,City Service
3060099,08/23/2019 10:15:00 PM,300,1.1,8,8,KOAM Taxi Association
3060100,08/23/2019 10:15:00 PM,256,1.12,8,32,City Service
3060101,08/23/2019 10:15:00 PM,300,0.66,7,7,Patriot Taxi Dba Peace Taxi Associat
3060102,08/23/2019 10:15:00 PM,333,0.8,6,6,City Service
3060103,08/23/2019 10:15:00 PM,360,1.0,8,8,Star North Management LLC
3060104,08/23/2019 10:15:00 PM,240,0.7,32,28,Star North Management LLC
3060105,08/23/2019 10:15:00 PM,240,0.9,5,5,Taxi Affiliation Services
3060106,08/23/2019 10:15:00 PM,480,1.6,8,8,"Taxicab Insurance Agency, LLC"
3060107,08/23/2019 10:15:00 PM,480,1.0,6,7,Taxi Affiliation Services
3060108,08/23/2019 10:15:00 PM,290,0.81,32,32,Sun Taxi
3060109,08/23/2019 10:15:00 PM,300,0.7,8,28,Taxi Affiliation Services
3060110,08/23/2019 10:15:00 PM,378,1.06,8,32,Chicago Carriage Cab Corp
3060111,08/23/2019 10:15:00 PM,480,1.0,32,32,Taxi Affiliation Services
3060112,08/23/2019 10:15:00 PM,240,0.7,32,28,Taxi Affiliation Services
3060113,08/23/2019 10:15:00 PM,350,1.57,8,7,Sun Taxi
3060114,08/23/2019 10:15:00 PM,388,0.74,8,8,Sun Taxi
