,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
3080000,08/26/2019 11:15:00 AM,300,0.6,32,28,Medallion Leasin
3080001,08/26/2019 11:15:00 AM,540,1.3,32,8,Taxi Affiliation Services
3080002,08/26/2019 11:15:00 AM,480,0.9,32,32,Star North Management LLC
3080003,08/26/2019 11:15:00 AM,324,0.88,14,4,Flash Cab
3080004,08/26/2019 11:15:00 AM,444,0.8,32,8,Medallion Leasin
3080005,08/26/2019 11:15:00 AM,360,1.1,32,28,Medallion Leasin
3080006,08/26/2019 11:15:00 AM,289,0.94,8,8,Flash Cab
3080007,08/26/2019 11:15:00 AM,2040,1.1,76,32,Taxi Affiliation Services
3080008,08/26/2019 11:15:00 AM,420,0.8,8,32,"Taxicab Insurance Agency, LLC"
3080009,08/26/2019 11:15:00 AM,474,1.11,32,32,Sun Taxi
3080010,08/26/2019 11:15:00 AM,580,1.32,32,28,Chicago Carriage Cab Corp
3080011,08/26/2019 11:15:00 AM,536,1.8,8,33,Sun Taxi
3080012,08/26/2019 11:15:00 AM,351,0.7,8,8,Chicago Taxicab
3080013,08/26/2019 11:15:00 AM,420,1.0,32,32,Taxi Affiliation Services
3080014,08/26/2019 11:15:00 AM,325,0.54,8,8,Flash Cab
3080015,08/26/2019 11:15:00 AM,360,0.8,8,8,Top Cab Affiliation
3080016,08/26/2019 11:15:00 AM,505,1.3,8,28,Medallion Leasin
3080017,08/26/2019 11:15:00 AM,409,0.76,32,32,City Service
3080018,08/26/2019 11:15:00 AM,300,0.9,8,28,"Taxicab Insurance Agency, LLC"
3080019,08/26/2019 11:15:00 AM,584,0.96,8,32,Flash Cab
3080020,08/26/2019 11:15:00 AM,420,1.9,40,39,Taxi Affiliation Services
3080021,08/26/2019 11:15:00 AM,240,0.8,8,8,Taxi Affiliation Services
3080022,08/26/2019 11:15:00 AM,406,0.69,8,32,Flash Cab
3080023,08/26/2019 11:15:00 AM,467,1.42,32,32,Sun Taxi
3080024,08/26/2019 11:15:00 AM,413,1.33,8,32,Nova Taxi Affiliation Llc
3080025,08/26/2019 11:15:00 AM,208,0.62,28,32,Chicago Carriage Cab Corp
3080026,08/26/2019 11:15:00 AM,240,0.6,8,8,"Taxicab Insurance Agency, LLC"
3080027,08/26/2019 11:15:00 AM,307,1.0,32,28,Chicago Carriage Cab Corp
3080028,08/26/2019 11:15:00 AM,263,0.6,8,8,Taxi Affiliation Service Yellow
3080029,08/26/2019 11:15:00 AM,360,0.7,6,6,Taxi Affiliation Services
3080030,08/26/2019 11:15:00 AM,240,0.6,8,8,Medallion Leasin
3080031,08/26/2019 11:15:00 AM,489,1.27,32,28,Flash Cab
3080032,08/26/2019 11:15:00 AM,325,0.66,8,8,City Service
3080033,08/26/2019 11:15:00 AM,540,0.9,32,32,6743 - 78771 Luhak Corp
3080034,08/26/2019 11:15:00 AM,487,1.91,6,8,Flash Cab
3080035,08/26/2019 11:15:00 AM,256,0.63,8,8,Flash Cab
3080036,08/26/2019 11:15:00 AM,480,1.2,32,8,Choice Taxi Association
3080037,08/26/2019 11:15:00 AM,202,0.69,2,77,Sun Taxi
3080038,08/26/2019 11:15:00 AM,549,1.4,32,28,Flash Cab
3080039,08/26/2019 11:15:00 AM,480,1.4,8,8,Chicago Medallion Management
3080040,08/26/2019 11:15:00 AM,467,0.94,8,32,Flash Cab
3080041,08/26/2019 11:15:00 AM,383,1.47,32,28,Patriot Taxi Dba Peace Taxi Associat
3080042,08/26/2019 11:15:00 AM,345,0.7,32,8,Chicago Taxicab
3080043,08/26/2019 11:15:00 AM,2890,10.94,8,8,Flash Cab
