,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
3090000,08/27/2019 08:30:00 AM,475,0.81,28,32,Flash Cab
3090001,08/27/2019 08:30:00 AM,481,1.05,28,32,Chicago Carriage Cab Corp
3090002,08/27/2019 08:30:00 AM,362,1.1,6,6,Chicago Independents
3090003,08/27/2019 08:30:00 AM,240,0.8,8,32,Taxi Affiliation Services
3090004,08/27/2019 08:30:00 AM,420,1.3,8,8,Taxi Affiliation Services
3090005,08/27/2019 08:30:00 AM,386,1.02,8,8,Flash Cab
3090006,08/27/2019 08:30:00 AM,495,1.08,32,32,Sun Taxi
3090007,08/27/2019 08:30:00 AM,360,1.4,32,32,"Taxicab Insurance Agency, LLC"
3090008,08/27/2019 08:30:00 AM,480,0.8,28,8,Star North Management LLC
3090009,08/27/2019 08:30:00 AM,346,0.77,32,32,Sun Taxi
3090010,08/27/2019 08:30:00 AM,250,0.72,32,28,Chicago Carriage Cab Corp
3090011,08/27/2019 08:30:00 AM,240,0.8,32,8,"Taxicab Insurance Agency, LLC"
3090012,08/27/2019 08:30:00 AM,360,1.1,32,8,Star North Management LLC
3090013,08/27/2019 08:30:00 AM,352,1.2,28,28,Chicago Taxicab
3090014,08/27/2019 08:30:00 AM,540,1.3,32,8,Taxi Affiliation Services
3090015,08/27/2019 08:30:00 AM,327,0.81,8,8,Sun Taxi
3090016,08/27/2019 08:30:00 AM,480,0.7,8,28,Medallion Leasin
3090017,08/27/2019 08:30:00 AM,540,1.5,8,32,Taxi Affiliation Services
3090018,08/27/2019 08:30:00 AM,326,0.68,28,32,Nova Taxi Affiliation Llc
3090019,08/27/2019 08:30:00 AM,364,0.81,7,7,Flash Cab
3090020,08/27/2019 08:30:00 AM,470,1.0,28,32,Taxi Affiliation Service Yellow
3090021,08/27/2019 08:30:00 AM,562,1.73,77,2,Flash Cab
3090022,08/27/2019 08:30:00 AM,420,1.7,8,32,Choice Taxi Association
