,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
3130000,08/30/2019 10:15:00 AM,357,0.89,8,8,Flash Cab
3130001,08/30/2019 10:15:00 AM,240,0.6,3,3,Taxi Affiliation Services
3130002,08/30/2019 10:15:00 AM,480,1.5,8,32,Star North Management LLC
3130003,08/30/2019 10:15:00 AM,394,1.33,8,32,Patriot Taxi Dba Peace Taxi Associat
3130004,08/30/2019 10:15:00 AM,1920,0.7,56,32,Taxi Affiliation Services
3130005,08/30/2019 10:15:00 AM,540,1.4,32,32,Taxi Affiliation Services
3130006,08/30/2019 10:15:00 AM,435,1.69,32,28,Chicago Carriage Cab Corp
3130007,08/30/2019 10:15:00 AM,561,1.4,32,28,Patriot Taxi Dba Peace Taxi Associat
3130008,08/30/2019 10:15:00 AM,378,1.08,7,6,Chicago Carriage Cab Corp
3130009,08/30/2019 10:15:00 AM,262,0.74,32,8,Chicago Carriage Cab Corp
3130010,08/30/2019 10:15:00 AM,417,1.39,32,28,Flash Cab
3130011,08/30/2019 10:15:00 AM,420,1.0,32,8,Medallion Leasin
3130012,08/30/2019 10:30:00 AM,334,1.25,32,8,Chicago Carriage Cab Corp
3130013,08/30/2019 10:30:00 AM,240,1.0,8,8,"Taxicab Insurance Agency, LLC"
3130014,08/30/2019 10:30:00 AM,391,1.16,32,8,Chicago Carriage Cab Corp
3130015,08/30/2019 10:30:00 AM,342,1.4,28,8,Chicago Carriage Cab Corp
3130016,08/30/2019 10:30:00 AM,584,1.75,28,8,Flash Cab
3130017,08/30/2019 10:30:00 AM,439,0.8,28,32,Medallion Leasin
3130018,08/30/2019 10:30:00 AM,429,1.7,28,32,Flash Cab
3130019,08/30/2019 10:30:00 AM,1920,0.8,32,56,Blue Ribbon Taxi Association Inc.
3130020,08/30/2019 10:30:00 AM,419,1.67,8,28,Chicago Carriage Cab Corp
3130021,08/30/2019 10:30:00 AM,410,1.3,8,32,City Service
3130022,08/30/2019 10:30:00 AM,301,0.54,32,32,Chicago Carriage Cab Corp
3130023,08/30/2019 10:30:00 AM,274,0.83,6,7,Flash Cab
3130024,08/30/2019 10:30:00 AM,422,1.03,28,32,Chicago Carriage Cab Corp
3130025,08/30/2019 10:30:00 AM,442,1.57,8,32,Flash Cab
3130026,08/30/2019 10:30:00 AM,420,1.2,32,8,Taxi Affiliation Services
3130027,08/30/2019 10:30:00 AM,240,0.6,8,8,Medallion Leasin
3130028,08/30/2019 10:30:00 AM,424,1.2,32,32,Taxi Affiliation Service Yellow
3130029,08/30/2019 10:30:00 AM,390,1.35,32,8,Chicago Carriage Cab Corp
3130030,08/30/2019 10:30:00 AM,300,0.8,8,32,Choice Taxi Association
3130031,08/30/2019 10:30:00 AM,440,1.04,8,32,Chicago Carriage Cab Corp
3130032,08/30/2019 10:30:00 AM,488,1.3,32,28,Chicago Carriage Cab Corp
3130033,08/30/2019 10:30:00 AM,360,1.3,32,8,Taxi Affiliation Services
3130034,08/30/2019 10:30:00 AM,526,1.19,28,28,Sun Taxi
3130035,08/30/2019 10:30:00 AM,467,1.46,4,4,Chicago Independents
3130036,08/30/2019 10:30:00 AM,300,1.0,8,8,Chicago Carriage Cab Corp
3130037,08/30/2019 10:30:00 AM,386,0.6,8,32,Medallion Leasin
3130038,08/30/2019 10:30:00 AM,459,1.23,32,8,Chicago Carriage Cab Corp
3130039,08/30/2019 10:30:00 AM,480,1.3,8,32,Taxi Affiliation Services
3130040,08/30/2019 10:30:00 AM,2100,1.1,76,8,Taxi Affiliation Services
3130041,08/30/2019 10:30:00 AM,420,0.9,32,32,Taxi Affiliation Services
3130042,08/30/2019 10:30:00 AM,282,0.66,28,28,Chicago Carriage Cab Corp
3130043,08/30/2019 10:30:00 AM,551,1.5,8,28,Medallion Leasin
3130044,08/30/2019 10:30:00 AM,240,0.9,32,28,Top Cab Affiliation
3130045,08/30/2019 10:30:00 AM,540,1.52,32,8,24 Seven Taxi
3130046,08/30/2019 10:30:00 AM,286,0.9,32,32,City Service
3130047,08/30/2019 10:30:00 AM,462,0.7,32,32,Chicago Carriage Cab Corp
3130048,08/30/2019 10:30:00 AM,198,0.55,1,1,Sun Taxi
3130049,08/30/2019 10:30:00 AM,427,0.93,8,8,Chicago Carriage Cab Corp
3130050,08/30/2019 10:30:00 AM,360,1.2,8,8,Taxi Affiliation Services
3130051,08/30/2019 10:30:00 AM,480,1.7,8,32,Taxi Affiliation Services
3130052,08/30/2019 10:30:00 AM,399,1.02,8,32,City Service
3130053,08/30/2019 10:30:00 AM,373,1.08,28,32,Sun Taxi
3130054,08/30/2019 10:30:00 AM,360,1.6,8,28,City Service
3130055,08/30/2019 10:30:00 AM,1980,0.7,8,48,Taxi Affiliation Services
3130056,08/30/2019 10:30:00 AM,300,0.8,8,32,Choice Taxi Association
3130057,08/30/2019 10:30:00 AM,283,0.67,32,32,Chicago Carriage Cab Corp
3130058,08/30/2019 10:30:00 AM,540,1.2,8,28,Taxi Affiliation Services
3130059,08/30/2019 10:30:00 AM,498,1.57,8,8,Sun Taxi
3130060,08/30/2019 10:30:00 AM,233,0.86,77,77,Flash Cab
3130061,08/30/2019 10:30:00 AM,449,1.41,32,32,Flash Cab
3130062,08/30/2019 10:30:00 AM,300,0.6,8,32,Star North Management LLC
3130063,08/30/2019 10:30:00 AM,246,0.75,8,32,24 Seven Taxi
3130064,08/30/2019 10:30:00 AM,360,1.3,28,32,Taxi Affiliation Services
3130065,08/30/2019 10:30:00 AM,240,1.3,33,33,Taxi Affiliation Services
3130066,08/30/2019 10:30:00 AM,492,1.2,8,8,Flash Cab
3130067,08/30/2019 10:30:00 AM,535,1.56,32,8,24 Seven Taxi
3130068,08/30/2019 10:30:00 AM,240,0.6,28,32,Taxi Affiliation Services
3130069,08/30/2019 10:30:00 AM,353,0.7,32,8,Chicago Independents
3130070,08/30/2019 10:30:00 AM,540,1.0,32,28,Taxi Affiliation Services
3130071,08/30/2019 10:30:00 AM,186,0.51,8,32,Flash Cab
3130072,08/30/2019 10:30:00 AM,448,1.68,28,8,Chicago Carriage Cab Corp
3130073,08/30/2019 10:30:00 AM,416,1.43,32,8,Sun Taxi
3130074,08/30/2019 10:30:00 AM,523,1.4,8,28,Chicago Carriage Cab Corp
3130075,08/30/2019 10:30:00 AM,592,1.92,28,8,Chicago Carriage Cab Corp
3130076,08/30/2019 10:30:00 AM,557,1.2,8,32,Medallion Leasin
3130077,08/30/2019 10:30:00 AM,492,1.26,8,32,Chicago Carriage Cab Corp
3130078,08/30/2019 10:30:00 AM,240,1.0,28,32,Medallion Leasin
3130079,08/30/2019 10:30:00 AM,243,0.76,28,28,Flash Cab
3130080,08/30/2019 10:30:00 AM,428,1.0,8,8,City Service
3130081,08/30/2019 10:30:00 AM,513,1.3,28,24,Chicago Carriage Cab Corp
3130082,08/30/2019 10:30:00 AM,420,1.0,8,32,Choice Taxi Association
3130083,08/30/2019 10:30:00 AM,240,0.8,32,28,Taxi Affiliation Services
3130084,08/30/2019 10:30:00 AM,513,1.64,8,33,Flash Cab
3130085,08/30/2019 10:30:00 AM,340,0.74,8,8,Chicago Carriage Cab Corp
3130086,08/30/2019 10:30:00 AM,348,0.86,32,32,Chicago Carriage Cab Corp
3130087,08/30/2019 10:30:00 AM,420,1.0,8,32,Chicago Medallion Management
3130088,08/30/2019 10:30:00 AM,322,0.76,8,32,Flash Cab
3130089,08/30/2019 10:30:00 AM,390,1.08,32,32,Chicago Carriage Cab Corp
3130090,08/30/2019 10:30:00 AM,300,0.7,8,8,Medallion Leasin
3130091,08/30/2019 10:30:00 AM,540,1.36,8,24,City Service
3130092,08/30/2019 10:30:00 AM,202,0.76,8,32,Nova Taxi Affiliation Llc
3130093,08/30/2019 10:30:00 AM,420,1.2,32,8,Choice Taxi Association
3130094,08/30/2019 10:30:00 AM,284,0.61,32,28,Flash Cab
3130095,08/30/2019 10:30:00 AM,474,0.92,8,8,City Service
3130096,08/30/2019 10:30:00 AM,397,1.68,32,24,Chicago Carriage Cab Corp
3130097,08/30/2019 10:30:00 AM,296,0.51,8,8,Flash Cab
3130098,08/30/2019 10:30:00 AM,300,1.0,28,32,Star North Management LLC
3130099,08/30/2019 10:30:00 AM,484,1.09,32,8,Chicago Carriage Cab Corp
3130100,08/30/2019 10:30:00 AM,327,1.3,32,28,Medallion Leasin
3130101,08/30/2019 10:30:00 AM,397,1.18,32,32,Sun Taxi
3130102,08/30/2019 10:30:00 AM,300,1.3,32,28,Star North Management LLC
3130103,08/30/2019 10:30:00 AM,360,0.9,28,28,Taxi Affiliation Services
3130104,08/30/2019 10:30:00 AM,450,1.1,8,8,Sun Taxi
3130105,08/30/2019 10:30:00 AM,2341,10.37,6,28,Flash Cab
