,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
3140000,08/31/2019 02:00:00 AM,375,0.52,8,8,Chicago Carriage Cab Corp
3140001,08/31/2019 02:00:00 AM,408,0.56,8,8,Nova Taxi Affiliation Llc
3140002,08/31/2019 02:00:00 AM,450,1.03,32,32,Flash Cab
3140003,08/31/2019 02:00:00 AM,268,0.91,6,3,Flash Cab
3140004,08/31/2019 02:00:00 AM,572,1.58,28,8,Chicago Carriage Cab Corp
3140005,08/31/2019 02:00:00 AM,300,1.1,8,8,Medallion Leasin
3140006,08/31/2019 02:00:00 AM,480,1.4,28,8,Medallion Leasin
3140007,08/31/2019 02:00:00 AM,240,0.6,8,8,Star North Management LLC
3140008,08/31/2019 02:00:00 AM,300,0.7,8,8,Taxi Affiliation Services
3140009,08/31/2019 02:00:00 AM,253,0.81,8,8,Patriot Taxi Dba Peace Taxi Associat
3140010,08/31/2019 02:00:00 AM,397,1.25,7,7,City Service
3140011,08/31/2019 02:00:00 AM,477,1.0,8,8,Flash Cab
3140012,08/31/2019 02:00:00 AM,297,1.09,8,8,Chicago Carriage Cab Corp
3140013,08/31/2019 02:00:00 AM,240,1.1,32,32,Choice Taxi Association
3140014,08/31/2019 02:00:00 AM,404,1.36,24,22,Flash Cab
3140015,08/31/2019 02:00:00 AM,360,1.4,8,8,KOAM Taxi Association
3140016,08/31/2019 02:00:00 AM,251,0.69,8,8,Flash Cab
3140017,08/31/2019 02:00:00 AM,312,1.33,8,7,Chicago Carriage Cab Corp
3140018,08/31/2019 02:00:00 AM,273,0.74,8,8,City Service
3140019,08/31/2019 02:00:00 AM,231,0.98,7,8,City Service
3140020,08/31/2019 02:00:00 AM,300,1.4,8,24,Medallion Leasin
3140021,08/31/2019 02:00:00 AM,348,1.62,24,28,Chicago Carriage Cab Corp
3140022,08/31/2019 02:00:00 AM,420,1.2,28,32,Taxi Affiliation Services
3140023,08/31/2019 02:00:00 AM,290,0.8,8,8,City Service
3140024,08/31/2019 02:00:00 AM,360,1.1,8,8,Taxi Affiliation Services
3140025,08/31/2019 02:00:00 AM,420,1.5,8,28,Taxi Affiliation Services
3140026,08/31/2019 02:00:00 AM,300,1.2,8,24,Star North Management LLC
3140027,08/31/2019 02:15:00 AM,356,1.8,6,5,Chicago Independents
3140028,08/31/2019 02:15:00 AM,349,0.65,8,8,Flash Cab
