,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
3150000,09/01/2019 11:00:00 AM,428,1.13,8,32,Sun Taxi
3150001,09/01/2019 11:00:00 AM,374,1.15,32,32,City Service
3150002,09/01/2019 11:00:00 AM,388,1.3,32,8,Chicago Independents
3150003,09/01/2019 11:00:00 AM,520,1.52,8,32,City Service
3150004,09/01/2019 11:00:00 AM,215,0.77,8,8,Flash Cab
3150005,09/01/2019 11:00:00 AM,240,0.7,8,32,Blue Ribbon Taxi Association Inc.
3150006,09/01/2019 11:00:00 AM,226,0.72,8,8,Flash Cab
3150007,09/01/2019 11:00:00 AM,463,1.0,8,32,City Service
3150008,09/01/2019 11:00:00 AM,373,1.49,77,77,Flash Cab
3150009,09/01/2019 11:00:00 AM,580,1.77,32,33,Flash Cab
3150010,09/01/2019 11:00:00 AM,240,1.2,32,28,Taxi Affiliation Services
3150011,09/01/2019 11:00:00 AM,227,0.51,11,11,Sun Taxi
3150012,09/01/2019 11:00:00 AM,577,1.32,8,8,City Service
3150013,09/01/2019 11:00:00 AM,473,1.6,8,8,City Service
3150014,09/01/2019 11:00:00 AM,205,0.8,8,8,Medallion Leasin
3150015,09/01/2019 11:00:00 AM,278,0.76,32,8,Flash Cab
3150016,09/01/2019 11:00:00 AM,240,0.7,8,8,Top Cab Affiliation
3150017,09/01/2019 11:15:00 AM,233,0.64,7,7,Sun Taxi
3150018,09/01/2019 11:15:00 AM,394,0.9,8,8,City Service
3150019,09/01/2019 11:15:00 AM,1980,1.0,56,6,Taxi Affiliation Services
3150020,09/01/2019 11:15:00 AM,429,1.13,8,8,Flash Cab
3150021,09/01/2019 11:15:00 AM,360,0.7,32,32,Star North Management LLC
3150022,09/01/2019 11:15:00 AM,283,0.68,8,8,Chicago Carriage Cab Corp
3150023,09/01/2019 11:15:00 AM,374,0.86,8,8,Sun Taxi
3150024,09/01/2019 11:15:00 AM,327,0.93,4,4,Flash Cab
3150025,09/01/2019 11:15:00 AM,464,1.17,8,8,Flash Cab
3150026,09/01/2019 11:15:00 AM,562,1.5,32,28,City Service
3150027,09/01/2019 11:15:00 AM,376,0.8,32,32,City Service
3150028,09/01/2019 11:15:00 AM,240,0.9,32,8,"Taxicab Insurance Agency, LLC"
3150029,09/01/2019 11:15:00 AM,277,0.8,8,8,Flash Cab
3150030,09/01/2019 11:15:00 AM,536,1.39,32,8,Flash Cab
3150031,09/01/2019 11:15:00 AM,228,0.78,36,38,Flash Cab
3150032,09/01/2019 11:15:00 AM,300,1.3,39,38,Taxi Affiliation Services
3150033,09/01/2019 11:15:00 AM,300,1.5,32,8,Taxi Affiliation Services
3150034,09/01/2019 11:15:00 AM,512,1.57,8,8,Flash Cab
3150035,09/01/2019 11:15:00 AM,201,0.78,32,28,Chicago Carriage Cab Corp
3150036,09/01/2019 11:15:00 AM,283,0.6,8,8,Metro Jet Taxi A
3150037,09/01/2019 11:15:00 AM,300,0.9,32,8,Taxi Affiliation Services
3150038,09/01/2019 11:15:00 AM,559,1.2,28,8,Flash Cab
3150039,09/01/2019 11:15:00 AM,480,1.4,32,33,Star North Management LLC
3150040,09/01/2019 11:15:00 AM,1980,1.5,8,11,Taxi Affiliation Services
3150041,09/01/2019 11:15:00 AM,300,0.8,6,6,Taxi Affiliation Services
3150042,09/01/2019 11:15:00 AM,260,0.75,8,8,Flash Cab
3150043,09/01/2019 11:15:00 AM,300,0.9,6,6,Taxi Affiliation Services
3150044,09/01/2019 11:15:00 AM,402,1.61,8,8,Chicago Carriage Cab Corp
3150045,09/01/2019 11:15:00 AM,462,1.43,7,8,Sun Taxi
3150046,09/01/2019 11:15:00 AM,240,0.7,7,6,Taxi Affiliation Services
3150047,09/01/2019 11:15:00 AM,334,1.03,8,7,Sun Taxi
3150048,09/01/2019 11:15:00 AM,356,1.02,8,8,Flash Cab
3150049,09/01/2019 11:15:00 AM,364,1.4,8,32,Setare Inc
3150050,09/01/2019 11:15:00 AM,300,0.6,8,32,Taxi Affiliation Services
3150051,09/01/2019 11:15:00 AM,351,1.11,32,32,Chicago Carriage Cab Corp
3150052,09/01/2019 11:15:00 AM,457,0.8,8,8,City Service
3150053,09/01/2019 11:15:00 AM,420,1.2,8,8,Medallion Leasin
3150054,09/01/2019 11:15:00 AM,540,1.5,32,33,Star North Management LLC
3150055,09/01/2019 11:15:00 AM,334,0.88,8,32,Flash Cab
3150056,09/01/2019 11:15:00 AM,466,1.55,8,8,24 Seven Taxi
3150057,09/01/2019 11:15:00 AM,508,1.5,32,8,City Service
3150058,09/01/2019 11:15:00 AM,480,1.9,28,28,Taxi Affiliation Services
