,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
3160000,09/03/2019 07:15:00 AM,240,0.9,28,8,Medallion Leasin
3160001,09/03/2019 07:15:00 AM,420,1.6,8,32,5874 - 73628 Sergey Cab Corp.
3160002,09/03/2019 07:15:00 AM,306,1.16,32,32,City Service
3160003,09/03/2019 07:15:00 AM,229,0.59,32,32,Sun Taxi
3160004,09/03/2019 07:15:00 AM,398,0.9,8,32,Chicago Taxicab
3160005,09/03/2019 07:15:00 AM,391,1.07,8,28,Flash Cab
3160006,09/03/2019 07:15:00 AM,295,1.1,28,32,Chicago Carriage Cab Corp
3160007,09/03/2019 07:15:00 AM,344,1.0,28,32,Chicago Carriage Cab Corp
3160008,09/03/2019 07:15:00 AM,506,1.38,8,32,Flash Cab
3160009,09/03/2019 07:15:00 AM,330,0.71,8,8,City Service
3160010,09/03/2019 07:15:00 AM,531,1.34,28,32,Flash Cab
3160011,09/03/2019 07:15:00 AM,386,1.35,8,32,Chicago Carriage Cab Corp
3160012,09/03/2019 07:15:00 AM,339,1.0,8,8,City Service
3160013,09/03/2019 07:15:00 AM,310,0.83,28,28,City Service
3160014,09/03/2019 07:15:00 AM,241,0.91,28,32,Sun Taxi
3160015,09/03/2019 07:15:00 AM,430,0.9,28,8,Chicago Taxicab
3160016,09/03/2019 07:15:00 AM,413,0.8,28,8,Medallion Leasin
3160017,09/03/2019 07:15:00 AM,540,1.2,28,8,Medallion Leasin
3160018,09/03/2019 07:15:00 AM,410,1.3,28,32,Medallion Leasin
3160019,09/03/2019 07:15:00 AM,317,0.72,28,32,Sun Taxi
3160020,09/03/2019 07:15:00 AM,366,0.85,28,32,Nova Taxi Affiliation Llc
3160021,09/03/2019 07:15:00 AM,236,0.73,32,28,Sun Taxi
3160022,09/03/2019 07:15:00 AM,323,0.59,32,32,Flash Cab
3160023,09/03/2019 07:15:00 AM,249,0.94,8,32,City Service
3160024,09/03/2019 07:15:00 AM,420,1.2,8,32,City Service
3160025,09/03/2019 07:15:00 AM,1920,0.8,56,8,Taxi Affiliation Services
3160026,09/03/2019 07:15:00 AM,240,0.9,77,77,Taxi Affiliation Services
3160027,09/03/2019 07:15:00 AM,194,0.52,32,32,Sun Taxi
3160028,09/03/2019 07:15:00 AM,301,1.3,32,8,Chicago Carriage Cab Corp
3160029,09/03/2019 07:15:00 AM,374,1.17,8,8,City Service
3160030,09/03/2019 07:15:00 AM,300,1.1,28,32,Taxi Affiliation Services
3160031,09/03/2019 07:15:00 AM,198,0.61,32,28,Chicago Carriage Cab Corp
3160032,09/03/2019 07:15:00 AM,451,1.6,8,8,Nova Taxi Affiliation Llc
3160033,09/03/2019 07:15:00 AM,466,1.26,8,28,24 Seven Taxi
3160034,09/03/2019 07:15:00 AM,420,1.4,28,8,Choice Taxi Association
3160035,09/03/2019 07:15:00 AM,486,1.61,8,32,Chicago Carriage Cab Corp
3160036,09/03/2019 07:15:00 AM,526,1.35,28,32,Flash Cab
3160037,09/03/2019 07:15:00 AM,327,1.16,28,8,Chicago Carriage Cab Corp
3160038,09/03/2019 07:15:00 AM,212,0.64,32,32,Sun Taxi
3160039,09/03/2019 07:15:00 AM,469,1.1,32,8,City Service
3160040,09/03/2019 07:15:00 AM,334,0.98,32,8,Chicago Carriage Cab Corp
3160041,09/03/2019 07:15:00 AM,336,0.9,32,8,Chicago Independents
3160042,09/03/2019 07:15:00 AM,323,0.96,28,28,Sun Taxi
3160043,09/03/2019 07:15:00 AM,387,0.67,28,28,Sun Taxi
3160044,09/03/2019 07:15:00 AM,594,1.83,8,32,City Service
3160045,09/03/2019 07:15:00 AM,328,0.9,32,8,City Service
3160046,09/03/2019 07:15:00 AM,456,1.64,8,32,Flash Cab
3160047,09/03/2019 07:15:00 AM,416,1.15,32,32,Chicago Carriage Cab Corp
3160048,09/03/2019 07:15:00 AM,352,0.81,8,8,Chicago Independents
3160049,09/03/2019 07:15:00 AM,373,0.88,28,28,Chicago Carriage Cab Corp
3160050,09/03/2019 07:15:00 AM,341,0.74,8,8,Chicago Carriage Cab Corp
3160051,09/03/2019 07:15:00 AM,188,0.56,28,32,Flash Cab
3160052,09/03/2019 07:15:00 AM,473,1.0,32,32,Flash Cab
3160053,09/03/2019 07:15:00 AM,190,0.67,32,8,Chicago Carriage Cab Corp
3160054,09/03/2019 07:15:00 AM,480,1.9,28,8,"Taxicab Insurance Agency, LLC"
3160055,09/03/2019 07:15:00 AM,492,1.52,8,32,Taxi Affiliation Service Yellow
3160056,09/03/2019 07:15:00 AM,221,0.57,32,32,Chicago Carriage Cab Corp
3160057,09/03/2019 07:15:00 AM,386,1.2,8,8,Metro Jet Taxi A
3160058,09/03/2019 07:15:00 AM,300,0.7,28,32,Medallion Leasin
3160059,09/03/2019 07:15:00 AM,540,1.8,28,8,Star North Management LLC
3160060,09/03/2019 07:15:00 AM,240,0.7,32,32,Medallion Leasin
3160061,09/03/2019 07:15:00 AM,460,1.0,28,32,City Service
3160062,09/03/2019 07:15:00 AM,240,0.6,8,8,Star North Management LLC
3160063,09/03/2019 07:15:00 AM,199,0.8,32,8,Medallion Leasin
3160064,09/03/2019 07:15:00 AM,499,1.58,8,8,Flash Cab
3160065,09/03/2019 07:15:00 AM,325,0.83,28,32,Flash Cab
3160066,09/03/2019 07:15:00 AM,292,0.57,28,32,5 Star Taxi
3160067,09/03/2019 07:15:00 AM,466,0.83,32,32,Sun Taxi
3160068,09/03/2019 07:15:00 AM,280,1.11,32,32,City Service
3160069,09/03/2019 07:15:00 AM,323,1.05,8,32,Patriot Taxi Dba Peace Taxi Associat
3160070,09/03/2019 07:15:00 AM,271,0.73,32,32,Patriot Taxi Dba Peace Taxi Associat
3160071,09/03/2019 07:15:00 AM,352,1.32,28,32,Sun Taxi
3160072,09/03/2019 07:15:00 AM,240,0.9,8,8,Choice Taxi Association
3160073,09/03/2019 07:30:00 AM,2700,1.0,8,76,Taxi Affiliation Services
3160074,09/03/2019 07:30:00 AM,332,1.0,28,32,Flash Cab
3160075,09/03/2019 07:30:00 AM,402,1.27,32,32,Sun Taxi
3160076,09/03/2019 07:30:00 AM,507,1.3,32,8,Medallion Leasin
3160077,09/03/2019 07:30:00 AM,429,1.16,28,32,Sun Taxi
3160078,09/03/2019 07:30:00 AM,540,1.6,8,24,Medallion Leasin
3160079,09/03/2019 07:30:00 AM,247,0.6,8,32,City Service
3160080,09/03/2019 07:30:00 AM,486,1.1,32,32,City Service
3160081,09/03/2019 07:30:00 AM,352,1.04,8,8,Sun Taxi
3160082,09/03/2019 07:30:00 AM,517,1.13,28,32,City Service
3160083,09/03/2019 07:30:00 AM,540,1.2,28,8,Medallion Leasin
3160084,09/03/2019 07:30:00 AM,480,0.9,32,28,Medallion Leasin
3160085,09/03/2019 07:30:00 AM,572,1.72,32,8,Chicago Carriage Cab Corp
3160086,09/03/2019 07:30:00 AM,360,1.8,6,3,Taxi Affiliation Services
3160087,09/03/2019 07:30:00 AM,537,1.99,32,8,Chicago Carriage Cab Corp
3160088,09/03/2019 07:30:00 AM,190,0.6,32,32,Chicago Taxicab
3160089,09/03/2019 07:30:00 AM,439,0.9,28,32,Flash Cab
3160090,09/03/2019 07:30:00 AM,550,1.5,32,8,24 Seven Taxi
3160091,09/03/2019 07:30:00 AM,371,0.85,8,32,City Service
3160092,09/03/2019 07:30:00 AM,268,0.54,8,8,Flash Cab
3160093,09/03/2019 07:30:00 AM,240,0.6,32,8,Choice Taxi Association
3160094,09/03/2019 07:30:00 AM,442,1.02,28,32,Patriot Taxi Dba Peace Taxi Associat
3160095,09/03/2019 07:30:00 AM,573,1.81,28,8,Chicago Carriage Cab Corp
3160096,09/03/2019 07:30:00 AM,477,0.98,32,32,Sun Taxi
3160097,09/03/2019 07:30:00 AM,247,0.58,32,32,Chicago Carriage Cab Corp
3160098,09/03/2019 07:30:00 AM,371,0.98,32,32,Flash Cab
3160099,09/03/2019 07:30:00 AM,2340,0.6,14,76,Taxi Affiliation Services
3160100,09/03/2019 07:30:00 AM,308,0.84,32,32,Chicago Carriage Cab Corp
3160101,09/03/2019 07:30:00 AM,421,0.7,28,8,Medallion Leasin
3160102,09/03/2019 07:30:00 AM,523,1.41,28,8,Chicago Carriage Cab Corp
3160103,09/03/2019 07:30:00 AM,347,0.93,28,28,Chicago Carriage Cab Corp
3160104,09/03/2019 07:30:00 AM,420,1.8,28,8,Taxi Affiliation Services
