,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
3190000,09/05/2019 02:15:00 PM,360,0.6,8,32,Chicago Medallion Management
3190001,09/05/2019 02:15:00 PM,360,1.3,32,24,Choice Taxi Association
3190002,09/05/2019 02:15:00 PM,575,1.3,28,32,Chicago Independents
3190003,09/05/2019 02:15:00 PM,487,0.93,32,28,Sun Taxi
3190004,09/05/2019 02:15:00 PM,300,1.0,32,32,Taxi Affiliation Services
3190005,09/05/2019 02:15:00 PM,240,1.0,32,8,"Taxicab Insurance Agency, LLC"
3190006,09/05/2019 02:15:00 PM,376,0.81,32,24,Flash Cab
3190007,09/05/2019 02:15:00 PM,420,0.9,8,8,Taxi Affiliation Services
3190008,09/05/2019 02:15:00 PM,347,0.9,32,32,Checker Taxi Affiliation
3190009,09/05/2019 02:15:00 PM,437,0.52,32,32,Chicago Carriage Cab Corp
3190010,09/05/2019 02:15:00 PM,358,0.88,32,32,Flash Cab
3190011,09/05/2019 02:15:00 PM,480,1.0,32,32,Medallion Leasin
3190012,09/05/2019 02:15:00 PM,480,1.3,32,8,Star North Management LLC
3190013,09/05/2019 02:15:00 PM,440,1.43,8,32,24 Seven Taxi
3190014,09/05/2019 02:15:00 PM,255,0.62,28,32,Chicago Carriage Cab Corp
3190015,09/05/2019 02:15:00 PM,475,1.19,8,32,Patriot Taxi Dba Peace Taxi Associat
3190016,09/05/2019 02:15:00 PM,420,0.7,32,32,Taxi Affiliation Services
3190017,09/05/2019 02:15:00 PM,341,0.73,32,32,Chicago Carriage Cab Corp
3190018,09/05/2019 02:15:00 PM,360,0.9,8,32,Medallion Leasin
3190019,09/05/2019 02:15:00 PM,471,1.22,32,8,Chicago Carriage Cab Corp
3190020,09/05/2019 02:15:00 PM,300,0.7,32,32,Star North Management LLC
3190021,09/05/2019 02:15:00 PM,576,1.0,32,8,City Service
3190022,09/05/2019 02:15:00 PM,454,1.28,8,32,Chicago Carriage Cab Corp
3190023,09/05/2019 02:15:00 PM,577,1.82,16,16,Flash Cab
3190024,09/05/2019 02:15:00 PM,480,1.4,32,28,Taxi Affiliation Services
3190025,09/05/2019 02:15:00 PM,2040,10.8,28,56,Medallion Leasin
3190026,09/05/2019 02:15:00 PM,300,1.2,8,8,Top Cab Affiliation
3190027,09/05/2019 02:15:00 PM,503,1.24,8,8,Flash Cab
3190028,09/05/2019 02:15:00 PM,300,0.8,32,32,Top Cab Affiliation
3190029,09/05/2019 02:15:00 PM,540,1.5,32,8,Taxi Affiliation Services
3190030,09/05/2019 02:15:00 PM,300,0.6,32,28,Taxi Affiliation Services
3190031,09/05/2019 02:15:00 PM,406,0.61,32,8,Chicago Carriage Cab Corp
3190032,09/05/2019 02:15:00 PM,271,0.69,28,32,Chicago Carriage Cab Corp
3190033,09/05/2019 02:15:00 PM,240,0.6,8,32,Star North Management LLC
