,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
310000,01/25/2019 02:30:00 AM,230,0.63,32,28,Flash Cab
310001,01/25/2019 02:30:00 AM,251,0.58,8,8,Chicago Carriage Cab Corp
310002,01/25/2019 02:30:00 AM,259,0.59,32,8,Chicago Carriage Cab Corp
310003,01/25/2019 02:30:00 AM,358,1.47,32,8,Flash Cab
310004,01/25/2019 02:30:00 AM,185,0.63,6,6,Nova Taxi Affiliation Llc
310005,01/25/2019 02:30:00 AM,317,1.09,6,6,Flash Cab
310006,01/25/2019 02:30:00 AM,424,1.9,23,23,Flash Cab
310007,01/25/2019 02:45:00 AM,300,0.9,8,8,Taxi Affiliation Services
310008,01/25/2019 02:45:00 AM,300,1.3,8,8,Taxi Affiliation Services
310009,01/25/2019 02:45:00 AM,240,1.5,8,32,Star North Management LLC
310010,01/25/2019 02:45:00 AM,360,1.5,6,5,Taxi Affiliation Services
310011,01/25/2019 02:45:00 AM,428,1.81,8,8,Flash Cab
310012,01/25/2019 02:45:00 AM,271,0.51,8,8,Chicago Carriage Cab Corp
310013,01/25/2019 02:45:00 AM,572,1.48,6,3,Flash Cab
310014,01/25/2019 02:45:00 AM,547,1.62,8,32,Chicago Carriage Cab Corp
310015,01/25/2019 02:45:00 AM,237,0.53,8,32,Flash Cab
310016,01/25/2019 02:45:00 AM,39,0.53,8,8,City Service
310017,01/25/2019 02:45:00 AM,192,0.7,6,6,City Service
310018,01/25/2019 02:45:00 AM,480,1.7,6,6,Globe Taxi
310019,01/25/2019 03:00:00 AM,240,1.1,24,8,Taxi Affiliation Services
310020,01/25/2019 03:00:00 AM,360,1.3,6,3,Chicago Medallion Management
310021,01/25/2019 03:00:00 AM,24120,1.0,28,32,Taxi Affiliation Services
310022,01/25/2019 03:00:00 AM,462,1.63,6,7,Flash Cab
310023,01/25/2019 03:00:00 AM,185,0.57,8,8,Flash Cab
310024,01/25/2019 03:00:00 AM,294,0.75,8,8,Blue Diamond
310025,01/25/2019 03:00:00 AM,307,1.9,6,7,Taxi Affiliation Service Yellow
310026,01/25/2019 03:00:00 AM,268,0.62,8,24,Flash Cab
310027,01/25/2019 03:00:00 AM,240,1.1,22,21,Globe Taxi
310028,01/25/2019 03:00:00 AM,428,1.3,8,8,Medallion Leasin
310029,01/25/2019 03:00:00 AM,312,1.23,8,8,Chicago Carriage Cab Corp
310030,01/25/2019 03:00:00 AM,351,1.2,8,8,Flash Cab
310031,01/25/2019 03:00:00 AM,199,1.2,2,4,Flash Cab
310032,01/25/2019 03:00:00 AM,298,1.6,8,32,Flash Cab
310033,01/25/2019 03:00:00 AM,454,1.8,8,33,Flash Cab
310034,01/25/2019 03:15:00 AM,540,1.8,6,3,Star North Management LLC
310035,01/25/2019 03:15:00 AM,360,1.7,24,8,Star North Management LLC
310036,01/25/2019 03:15:00 AM,240,1.7,23,23,Taxi Affiliation Services
310037,01/25/2019 03:15:00 AM,196,0.62,8,8,5 Star Taxi
310038,01/25/2019 03:15:00 AM,254,1.16,6,3,Chicago Carriage Cab Corp
310039,01/25/2019 03:15:00 AM,357,1.09,8,32,Chicago Carriage Cab Corp
310040,01/25/2019 03:15:00 AM,588,1.34,8,8,Chicago Carriage Cab Corp
310041,01/25/2019 03:15:00 AM,245,0.89,8,8,Chicago Carriage Cab Corp
310042,01/25/2019 03:15:00 AM,317,0.8,8,8,Taxi Affiliation Service Yellow
310043,01/25/2019 03:15:00 AM,275,1.31,8,7,City Service
310044,01/25/2019 03:15:00 AM,1958,10.88,8,24,Chicago Carriage Cab Corp
310045,01/25/2019 03:15:00 AM,354,1.5,32,33,Checker Taxi Affiliation
310046,01/25/2019 03:15:00 AM,199,0.6,6,6,City Service
310047,01/25/2019 03:15:00 AM,240,0.6,6,6,Globe Taxi
310048,01/25/2019 03:15:00 AM,240,1.4,6,7,Globe Taxi
310049,01/25/2019 03:15:00 AM,309,1.24,6,6,City Service
310050,01/25/2019 03:15:00 AM,243,1.9,8,24,Flash Cab
310051,01/25/2019 03:15:00 AM,210,0.6,8,8,Flash Cab
310052,01/25/2019 03:30:00 AM,240,1.5,8,7,Star North Management LLC
310053,01/25/2019 03:30:00 AM,360,1.8,28,8,Taxi Affiliation Services
310054,01/25/2019 03:30:00 AM,480,1.6,28,3,Medallion Leasin
310055,01/25/2019 03:30:00 AM,457,1.99,28,28,Chicago Carriage Cab Corp
310056,01/25/2019 03:30:00 AM,480,1.6,8,32,Globe Taxi
310057,01/25/2019 03:30:00 AM,295,1.24,8,32,Chicago Carriage Cab Corp
310058,01/25/2019 03:30:00 AM,262,0.6,8,8,City Service
310059,01/25/2019 03:30:00 AM,217,0.83,6,6,Flash Cab
310060,01/25/2019 03:30:00 AM,185,0.6,1,1,Flash Cab
310061,01/25/2019 03:45:00 AM,360,1.0,6,3,Chicago Medallion Management
310062,01/25/2019 03:45:00 AM,420,1.5,32,8,Taxi Affiliation Services
310063,01/25/2019 03:45:00 AM,300,1.3,8,32,Top Cab Affiliation
310064,01/25/2019 03:45:00 AM,412,1.6,1,77,Flash Cab
310065,01/25/2019 03:45:00 AM,420,1.9,1,2,Globe Taxi
310066,01/25/2019 03:45:00 AM,338,1.62,6,7,Chicago Carriage Cab Corp
310067,01/25/2019 03:45:00 AM,336,1.77,8,24,Chicago Carriage Cab Corp
310068,01/25/2019 03:45:00 AM,343,0.8,8,8,Taxi Affiliation Service Yellow
310069,01/25/2019 03:45:00 AM,340,1.09,16,16,Flash Cab
310070,01/25/2019 03:45:00 AM,301,1.2,8,28,City Service
310071,01/25/2019 03:45:00 AM,597,1.91,6,7,Flash Cab
310072,01/25/2019 03:45:00 AM,329,1.4,1,1,Flash Cab
310073,01/25/2019 04:00:00 AM,300,0.9,8,8,Choice Taxi Association
310074,01/25/2019 04:00:00 AM,240,0.7,8,8,Taxi Affiliation Services
310075,01/25/2019 04:00:00 AM,300,1.5,22,22,Taxi Affiliation Services
310076,01/25/2019 04:00:00 AM,240,1.0,6,6,Star North Management LLC
310077,01/25/2019 04:00:00 AM,240,0.9,8,8,Star North Management LLC
310078,01/25/2019 04:00:00 AM,240,1.2,6,6,Taxi Affiliation Services
310079,01/25/2019 04:00:00 AM,300,1.3,8,32,Taxi Affiliation Services
310080,01/25/2019 04:00:00 AM,201,0.69,3,6,Chicago Carriage Cab Corp
310081,01/25/2019 04:00:00 AM,196,0.78,77,1,Patriot Taxi Dba Peace Taxi Associat
310082,01/25/2019 04:00:00 AM,208,1.31,28,33,Chicago Carriage Cab Corp
310083,01/25/2019 04:00:00 AM,480,1.9,7,7,Globe Taxi
310084,01/25/2019 04:00:00 AM,323,1.0,1,1,Medallion Leasin
310085,01/25/2019 04:00:00 AM,306,1.23,8,8,City Service
310086,01/25/2019 04:00:00 AM,237,0.8,1,1,Taxi Affiliation Service Yellow
310087,01/25/2019 04:00:00 AM,399,1.4,77,2,Taxi Affiliation Service Yellow
310088,01/25/2019 04:00:00 AM,264,1.12,24,24,Globe Taxi
310089,01/25/2019 04:15:00 AM,240,1.2,32,8,Taxi Affiliation Services
310090,01/25/2019 04:15:00 AM,240,1.1,8,8,Taxi Affiliation Services
310091,01/25/2019 04:15:00 AM,4074,0.8,8,8,City Service
310092,01/25/2019 04:15:00 AM,346,1.1,8,8,Taxi Affiliation Service Yellow
310093,01/25/2019 04:15:00 AM,468,1.6,8,32,Flash Cab
310094,01/25/2019 04:15:00 AM,455,1.1,32,32,Flash Cab
310095,01/25/2019 04:30:00 AM,240,0.7,6,3,Taxi Affiliation Services
310096,01/25/2019 04:30:00 AM,354,1.07,7,8,Chicago Carriage Cab Corp
310097,01/25/2019 04:30:00 AM,315,1.14,8,8,Flash Cab
310098,01/25/2019 04:45:00 AM,240,0.9,6,6,Star North Management LLC
310099,01/25/2019 04:45:00 AM,480,1.8,8,33,Star North Management LLC
310100,01/25/2019 04:45:00 AM,300,0.9,6,3,Taxi Affiliation Services
310101,01/25/2019 04:45:00 AM,300,1.4,14,16,Medallion Leasin
310102,01/25/2019 04:45:00 AM,296,1.04,6,6,Flash Cab
310103,01/25/2019 04:45:00 AM,302,1.6,12,16,Flash Cab
310104,01/25/2019 05:00:00 AM,360,1.6,6,3,Taxi Affiliation Services
310105,01/25/2019 05:00:00 AM,420,1.9,28,8,Globe Taxi
310106,01/25/2019 05:00:00 AM,194,0.8,16,21,Taxi Affiliation Service Yellow
310107,01/25/2019 05:00:00 AM,327,1.88,33,8,Flash Cab
310108,01/25/2019 05:00:00 AM,431,1.79,8,32,Flash Cab
310109,01/25/2019 05:00:00 AM,420,1.5,8,32,24 Seven Taxi
310110,01/25/2019 05:00:00 AM,206,0.7,8,8,City Service
310111,01/25/2019 05:15:00 AM,240,1.3,6,7,Choice Taxi Association
310112,01/25/2019 05:15:00 AM,360,1.8,1,77,Taxi Affiliation Services
310113,01/25/2019 05:15:00 AM,240,0.8,6,6,Star North Management LLC
310114,01/25/2019 05:15:00 AM,263,0.97,8,32,Chicago Carriage Cab Corp
310115,01/25/2019 05:15:00 AM,368,1.45,28,32,Chicago Carriage Cab Corp
310116,01/25/2019 05:15:00 AM,219,0.7,28,32,City Service
310117,01/25/2019 05:15:00 AM,217,1.1,8,8,Flash Cab
310118,01/25/2019 05:30:00 AM,240,1.4,24,24,Taxi Affiliation Services
310119,01/25/2019 05:30:00 AM,480,1.9,7,6,Taxi Affiliation Services
310120,01/25/2019 05:30:00 AM,186,0.79,28,32,Chicago Carriage Cab Corp
310121,01/25/2019 05:30:00 AM,297,0.78,28,32,Chicago Carriage Cab Corp
310122,01/25/2019 05:30:00 AM,2220,10.7,14,32,Medallion Leasin
310123,01/25/2019 05:30:00 AM,344,1.5,8,32,Medallion Leasin
310124,01/25/2019 05:30:00 AM,240,1.0,8,8,Globe Taxi
310125,01/25/2019 05:30:00 AM,306,1.12,8,32,Chicago Carriage Cab Corp
310126,01/25/2019 05:30:00 AM,438,1.94,8,32,Chicago Carriage Cab Corp
310127,01/25/2019 05:30:00 AM,526,1.78,8,28,Chicago Carriage Cab Corp
310128,01/25/2019 05:30:00 AM,324,1.78,24,24,City Service
310129,01/25/2019 05:30:00 AM,237,0.88,28,32,Patriot Taxi Dba Peace Taxi Associat
310130,01/25/2019 05:30:00 AM,420,1.9,77,77,Chicago Independents
310131,01/25/2019 05:30:00 AM,368,1.32,6,3,Flash Cab
310132,01/25/2019 05:30:00 AM,258,1.0,32,28,Flash Cab
310133,01/25/2019 05:30:00 AM,350,1.9,2,4,Flash Cab
310134,01/25/2019 05:45:00 AM,300,1.3,4,14,Taxi Affiliation Services
310135,01/25/2019 05:45:00 AM,288,1.2,8,28,Setare Inc
310136,01/25/2019 05:45:00 AM,360,1.6,8,28,Metro Jet Taxi A
310137,01/25/2019 05:45:00 AM,282,0.93,8,8,Nova Taxi Affiliation Llc
310138,01/25/2019 05:45:00 AM,435,1.27,32,32,Nova Taxi Affiliation Llc
310139,01/25/2019 05:45:00 AM,330,1.29,8,8,City Service
310140,01/25/2019 05:45:00 AM,401,1.71,7,8,Chicago Carriage Cab Corp
310141,01/25/2019 05:45:00 AM,269,0.97,32,32,Sun Taxi
310142,01/25/2019 05:45:00 AM,348,1.46,8,28,Taxi Affiliation Service Yellow
310143,01/25/2019 05:45:00 AM,264,1.0,8,28,Taxi Affiliation Service Yellow
310144,01/25/2019 05:45:00 AM,373,1.0,8,32,Blue Diamond
310145,01/25/2019 05:45:00 AM,487,0.9,23,23,Taxi Affiliation Service Yellow
310146,01/25/2019 05:45:00 AM,476,0.8,8,8,City Service
310147,01/25/2019 05:45:00 AM,300,1.5,32,6,Medallion Leasin
310148,01/25/2019 05:45:00 AM,420,1.3,8,32,Patriot Taxi Dba Peace Taxi Associat
310149,01/25/2019 05:45:00 AM,497,1.58,28,33,Chicago Carriage Cab Corp
310150,01/25/2019 05:45:00 AM,371,1.4,6,6,Medallion Leasin
310151,01/25/2019 05:45:00 AM,246,1.32,32,8,Chicago Carriage Cab Corp
310152,01/25/2019 05:45:00 AM,298,0.9,8,28,Flash Cab
310153,01/25/2019 06:00:00 AM,420,1.7,8,32,Top Cab Affiliation
310154,01/25/2019 06:00:00 AM,300,1.0,8,8,Taxi Affiliation Services
310155,01/25/2019 06:00:00 AM,367,1.18,32,28,Sun Taxi
310156,01/25/2019 06:00:00 AM,415,1.51,32,28,Nova Taxi Affiliation Llc
310157,01/25/2019 06:00:00 AM,448,1.73,28,8,Chicago Carriage Cab Corp
310158,01/25/2019 06:00:00 AM,308,1.2,8,32,Medallion Leasin
310159,01/25/2019 06:00:00 AM,300,0.8,8,8,Medallion Leasin
310160,01/25/2019 06:00:00 AM,318,1.3,32,8,Chicago Carriage Cab Corp
310161,01/25/2019 06:00:00 AM,369,1.66,8,8,Patriot Taxi Dba Peace Taxi Associat
310162,01/25/2019 06:00:00 AM,484,1.95,8,28,Chicago Carriage Cab Corp
310163,01/25/2019 06:00:00 AM,201,0.84,6,6,Flash Cab
310164,01/25/2019 06:00:00 AM,237,0.6,28,28,Taxi Affiliation Service Yellow
310165,01/25/2019 06:00:00 AM,458,1.57,8,32,Blue Diamond
310166,01/25/2019 06:00:00 AM,351,0.9,32,32,Taxi Affiliation Service Yellow
310167,01/25/2019 06:00:00 AM,354,1.07,8,32,Taxi Affiliation Service Yellow
310168,01/25/2019 06:00:00 AM,339,1.0,8,32,Blue Diamond
310169,01/25/2019 06:00:00 AM,328,1.4,32,8,Medallion Leasin
310170,01/25/2019 06:00:00 AM,269,0.83,32,32,Nova Taxi Affiliation Llc
310171,01/25/2019 06:00:00 AM,200,0.9,8,8,Chicago Carriage Cab Corp
310172,01/25/2019 06:00:00 AM,257,1.1,32,28,Flash Cab
310173,01/25/2019 06:00:00 AM,333,1.31,8,28,Flash Cab
310174,01/25/2019 06:00:00 AM,387,1.6,8,32,Medallion Leasin
310175,01/25/2019 06:00:00 AM,300,1.0,32,32,Medallion Leasin
310176,01/25/2019 06:00:00 AM,343,1.1,36,38,Flash Cab
310177,01/25/2019 06:15:00 AM,360,1.4,41,41,Taxi Affiliation Services
310178,01/25/2019 06:15:00 AM,420,1.5,28,32,Metro Jet Taxi A
310179,01/25/2019 06:15:00 AM,503,1.94,28,33,Flash Cab
310180,01/25/2019 06:15:00 AM,462,1.93,8,32,Chicago Carriage Cab Corp
310181,01/25/2019 06:15:00 AM,330,0.93,28,32,Chicago Carriage Cab Corp
310182,01/25/2019 06:15:00 AM,281,0.56,8,8,Patriot Taxi Dba Peace Taxi Associat
310183,01/25/2019 06:15:00 AM,370,1.91,8,32,City Service
310184,01/25/2019 06:15:00 AM,347,1.02,32,32,Patriot Taxi Dba Peace Taxi Associat
310185,01/25/2019 06:15:00 AM,445,1.63,32,32,Nova Taxi Affiliation Llc
310186,01/25/2019 06:15:00 AM,200,0.64,28,32,Nova Taxi Affiliation Llc
310187,01/25/2019 06:15:00 AM,200,0.85,28,8,Nova Taxi Affiliation Llc
310188,01/25/2019 06:15:00 AM,225,0.88,28,32,Chicago Carriage Cab Corp
310189,01/25/2019 06:15:00 AM,345,0.9,28,32,Medallion Leasin
310190,01/25/2019 06:15:00 AM,480,1.46,28,8,Chicago Carriage Cab Corp
310191,01/25/2019 06:15:00 AM,312,1.21,32,8,Patriot Taxi Dba Peace Taxi Associat
310192,01/25/2019 06:15:00 AM,258,0.93,28,28,Chicago Carriage Cab Corp
310193,01/25/2019 06:15:00 AM,245,1.01,28,32,Nova Taxi Affiliation Llc
