,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
3230000,09/09/2019 02:15:00 PM,324,0.62,32,32,Taxi Affiliation Service Yellow
3230001,09/09/2019 02:15:00 PM,576,1.71,32,8,City Service
3230002,09/09/2019 02:15:00 PM,360,1.1,8,8,Chicago Medallion Management
3230003,09/09/2019 02:15:00 PM,540,1.3,28,8,Chicago Medallion Management
3230004,09/09/2019 02:15:00 PM,1980,1.1,76,32,Taxi Affiliation Services
3230005,09/09/2019 02:15:00 PM,189,0.57,3,6,Flash Cab
3230006,09/09/2019 02:15:00 PM,360,0.8,32,28,Medallion Leasin
3230007,09/09/2019 02:15:00 PM,300,1.0,32,28,Medallion Leasin
3230008,09/09/2019 02:15:00 PM,523,1.1,8,8,Medallion Leasin
3230009,09/09/2019 02:15:00 PM,480,0.7,32,8,Medallion Leasin
3230010,09/09/2019 02:15:00 PM,420,1.1,32,8,Medallion Leasin
3230011,09/09/2019 02:15:00 PM,276,0.89,32,32,Nova Taxi Affiliation Llc
3230012,09/09/2019 02:15:00 PM,360,0.8,8,8,Chicago Medallion Management
3230013,09/09/2019 02:15:00 PM,434,1.49,24,24,Flash Cab
3230014,09/09/2019 02:15:00 PM,466,0.7,8,8,Flash Cab
3230015,09/09/2019 02:15:00 PM,240,0.7,8,32,Taxi Affiliation Services
3230016,09/09/2019 02:15:00 PM,2754,1.02,8,8,Flash Cab
3230017,09/09/2019 02:15:00 PM,432,1.7,32,8,City Service
3230018,09/09/2019 02:15:00 PM,480,1.3,32,32,Taxi Affiliation Services
3230019,09/09/2019 02:15:00 PM,316,0.77,8,8,Flash Cab
3230020,09/09/2019 02:15:00 PM,434,1.2,8,32,City Service
3230021,09/09/2019 02:15:00 PM,480,1.9,22,23,Taxi Affiliation Services
3230022,09/09/2019 02:15:00 PM,418,1.28,32,32,Sun Taxi
3230023,09/09/2019 02:15:00 PM,240,0.6,8,8,Medallion Leasin
3230024,09/09/2019 02:15:00 PM,1860,10.2,28,4,Taxi Affiliation Services
3230025,09/09/2019 02:15:00 PM,483,1.31,8,32,Nova Taxi Affiliation Llc
3230026,09/09/2019 02:15:00 PM,488,1.15,8,8,Patriot Taxi Dba Peace Taxi Associat
3230027,09/09/2019 02:15:00 PM,471,1.03,8,28,Sun Taxi
3230028,09/09/2019 02:15:00 PM,300,0.7,32,32,"Taxicab Insurance Agency, LLC"
3230029,09/09/2019 02:15:00 PM,301,0.53,32,32,Flash Cab
3230030,09/09/2019 02:15:00 PM,409,1.19,8,8,Flash Cab
3230031,09/09/2019 02:15:00 PM,480,1.2,32,28,Taxi Affiliation Services
3230032,09/09/2019 02:15:00 PM,2100,1.1,76,8,Taxi Affiliation Services
3230033,09/09/2019 02:15:00 PM,471,1.23,32,8,Flash Cab
3230034,09/09/2019 02:15:00 PM,420,1.9,8,6,Medallion Leasin
3230035,09/09/2019 02:15:00 PM,473,0.6,32,8,Flash Cab
3230036,09/09/2019 02:15:00 PM,520,1.16,32,8,Taxi Affiliation Service Yellow
3230037,09/09/2019 02:15:00 PM,554,1.08,8,8,Flash Cab
3230038,09/09/2019 02:15:00 PM,540,1.6,8,32,Taxi Affiliation Services
3230039,09/09/2019 02:15:00 PM,259,0.85,8,32,Chicago Carriage Cab Corp
3230040,09/09/2019 02:15:00 PM,420,1.0,32,32,Taxi Affiliation Services
3230041,09/09/2019 02:15:00 PM,484,1.8,32,8,City Service
3230042,09/09/2019 02:15:00 PM,360,0.8,32,32,Star North Management LLC
3230043,09/09/2019 02:15:00 PM,253,0.85,32,33,Chicago Carriage Cab Corp
3230044,09/09/2019 02:15:00 PM,241,0.55,8,8,Patriot Taxi Dba Peace Taxi Associat
3230045,09/09/2019 02:15:00 PM,268,0.67,32,28,Chicago Carriage Cab Corp
3230046,09/09/2019 02:15:00 PM,479,1.73,13,2,Flash Cab
3230047,09/09/2019 02:15:00 PM,480,0.7,8,8,Star North Management LLC
3230048,09/09/2019 02:15:00 PM,300,1.2,32,8,Taxi Affiliation Services
3230049,09/09/2019 02:15:00 PM,360,1.0,32,32,Choice Taxi Association
3230050,09/09/2019 02:15:00 PM,251,0.86,8,8,Chicago Carriage Cab Corp
3230051,09/09/2019 02:15:00 PM,1980,1.0,76,7,Blue Ribbon Taxi Association Inc.
3230052,09/09/2019 02:15:00 PM,345,0.81,8,32,Sun Taxi
3230053,09/09/2019 02:15:00 PM,327,0.96,8,8,Sun Taxi
3230054,09/09/2019 02:30:00 PM,360,0.6,8,8,Taxi Affiliation Services
3230055,09/09/2019 02:30:00 PM,260,0.6,8,8,Chicago Taxicab
3230056,09/09/2019 02:30:00 PM,314,0.67,8,32,City Service
3230057,09/09/2019 02:30:00 PM,340,0.79,8,8,Chicago Carriage Cab Corp
3230058,09/09/2019 02:30:00 PM,300,1.3,2,2,Taxi Affiliation Services
3230059,09/09/2019 02:30:00 PM,211,0.58,28,28,Flash Cab
3230060,09/09/2019 02:30:00 PM,360,1.1,32,8,Taxi Affiliation Services
3230061,09/09/2019 02:30:00 PM,369,1.16,32,28,Sun Taxi
3230062,09/09/2019 02:30:00 PM,366,0.74,32,8,City Service
3230063,09/09/2019 02:30:00 PM,386,1.1,32,28,Chicago Carriage Cab Corp
3230064,09/09/2019 02:30:00 PM,240,0.9,8,32,Star North Management LLC
3230065,09/09/2019 02:30:00 PM,506,1.99,32,33,Chicago Carriage Cab Corp
3230066,09/09/2019 02:30:00 PM,360,1.3,8,32,Choice Taxi Association
3230067,09/09/2019 02:30:00 PM,503,1.19,8,32,Sun Taxi
3230068,09/09/2019 02:30:00 PM,567,1.28,8,32,Chicago Carriage Cab Corp
3230069,09/09/2019 02:30:00 PM,598,1.26,32,32,Flash Cab
3230070,09/09/2019 02:30:00 PM,433,1.59,7,8,Chicago Carriage Cab Corp
3230071,09/09/2019 02:30:00 PM,240,0.6,32,28,Chicago Medallion Management
3230072,09/09/2019 02:30:00 PM,300,0.8,32,32,Star North Management LLC
3230073,09/09/2019 02:30:00 PM,540,1.3,8,8,Taxi Affiliation Services
3230074,09/09/2019 02:30:00 PM,255,0.7,2,2,Flash Cab
3230075,09/09/2019 02:30:00 PM,259,0.88,32,8,Sun Taxi
3230076,09/09/2019 02:30:00 PM,268,1.06,32,8,Sun Taxi
3230077,09/09/2019 02:30:00 PM,420,1.6,32,8,Top Cab Affiliation
3230078,09/09/2019 02:30:00 PM,300,0.7,32,32,KOAM Taxi Association
3230079,09/09/2019 02:30:00 PM,436,0.9,32,32,Medallion Leasin
3230080,09/09/2019 02:30:00 PM,385,0.94,8,8,Patriot Taxi Dba Peace Taxi Associat
3230081,09/09/2019 02:30:00 PM,234,0.72,32,8,Flash Cab
3230082,09/09/2019 02:30:00 PM,599,1.86,28,8,Chicago Carriage Cab Corp
3230083,09/09/2019 02:30:00 PM,360,0.6,32,32,"Taxicab Insurance Agency, LLC"
3230084,09/09/2019 02:30:00 PM,480,0.9,8,32,KOAM Taxi Association
3230085,09/09/2019 02:30:00 PM,240,0.9,28,28,Star North Management LLC
3230086,09/09/2019 02:30:00 PM,460,1.89,33,32,Nova Taxi Affiliation Llc
3230087,09/09/2019 02:30:00 PM,437,0.87,8,32,Nova Taxi Affiliation Llc
3230088,09/09/2019 02:30:00 PM,369,0.74,28,32,City Service
3230089,09/09/2019 02:30:00 PM,300,1.3,32,8,Taxi Affiliation Services
3230090,09/09/2019 02:30:00 PM,490,1.52,32,8,Chicago Carriage Cab Corp
