,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
3240000,09/10/2019 11:15:00 AM,290,0.68,32,28,Chicago Carriage Cab Corp
3240001,09/10/2019 11:15:00 AM,420,1.8,28,32,Choice Taxi Association
3240002,09/10/2019 11:15:00 AM,412,0.7,8,32,City Service
3240003,09/10/2019 11:15:00 AM,405,0.71,8,8,Sun Taxi
3240004,09/10/2019 11:15:00 AM,2400,10.1,2,32,Medallion Leasin
3240005,09/10/2019 11:15:00 AM,540,1.6,8,32,Choice Taxi Association
3240006,09/10/2019 11:15:00 AM,381,0.8,32,8,Setare Inc
3240007,09/10/2019 11:15:00 AM,240,0.7,8,8,Taxi Affiliation Services
3240008,09/10/2019 11:15:00 AM,564,1.48,6,6,Flash Cab
3240009,09/10/2019 11:15:00 AM,570,1.1,8,32,City Service
3240010,09/10/2019 11:15:00 AM,581,1.1,28,8,Chicago Independents
3240011,09/10/2019 11:15:00 AM,407,0.82,32,28,Chicago Carriage Cab Corp
3240012,09/10/2019 11:15:00 AM,543,1.28,32,8,City Service
3240013,09/10/2019 11:15:00 AM,371,0.88,8,32,Flash Cab
3240014,09/10/2019 11:15:00 AM,363,1.1,32,32,City Service
3240015,09/10/2019 11:15:00 AM,366,0.83,8,32,Chicago Carriage Cab Corp
3240016,09/10/2019 11:15:00 AM,358,1.05,8,32,Taxi Affiliation Service Yellow
3240017,09/10/2019 11:15:00 AM,480,1.3,8,32,Taxi Affiliation Services
3240018,09/10/2019 11:15:00 AM,557,0.78,8,32,Flash Cab
3240019,09/10/2019 11:15:00 AM,510,1.67,32,8,Sun Taxi
3240020,09/10/2019 11:15:00 AM,300,0.6,28,32,Taxi Affiliation Services
3240021,09/10/2019 11:15:00 AM,319,1.01,32,8,Sun Taxi
3240022,09/10/2019 11:15:00 AM,533,0.8,8,8,Chicago Taxicab
3240023,09/10/2019 11:15:00 AM,575,0.55,32,32,Flash Cab
3240024,09/10/2019 11:15:00 AM,480,1.3,33,32,Choice Taxi Association
3240025,09/10/2019 11:15:00 AM,556,1.57,8,32,Chicago Carriage Cab Corp
3240026,09/10/2019 11:15:00 AM,540,1.5,8,32,Taxi Affiliation Services
3240027,09/10/2019 11:15:00 AM,2220,1.2,76,33,Taxi Affiliation Services
3240028,09/10/2019 11:15:00 AM,449,1.82,32,33,Chicago Carriage Cab Corp
3240029,09/10/2019 11:15:00 AM,462,1.18,8,8,Flash Cab
3240030,09/10/2019 11:15:00 AM,420,0.9,28,32,Star North Management LLC
3240031,09/10/2019 11:15:00 AM,420,1.0,32,32,Taxi Affiliation Services
3240032,09/10/2019 11:15:00 AM,420,1.3,8,32,Top Cab Affiliation
3240033,09/10/2019 11:15:00 AM,483,1.13,32,32,Chicago Carriage Cab Corp
3240034,09/10/2019 11:15:00 AM,507,1.12,8,8,City Service
3240035,09/10/2019 11:15:00 AM,480,0.7,32,32,Top Cab Affiliation
3240036,09/10/2019 11:15:00 AM,469,0.91,32,8,Flash Cab
3240037,09/10/2019 11:15:00 AM,480,1.4,32,32,5874 - 73628 Sergey Cab Corp.
3240038,09/10/2019 11:15:00 AM,365,0.8,8,32,Taxi Affiliation Service Yellow
3240039,09/10/2019 11:15:00 AM,259,0.57,32,32,Chicago Carriage Cab Corp
3240040,09/10/2019 11:15:00 AM,536,0.97,32,28,Chicago Carriage Cab Corp
3240041,09/10/2019 11:15:00 AM,293,1.0,59,59,Flash Cab
3240042,09/10/2019 11:15:00 AM,300,1.5,6,7,Taxi Affiliation Services
3240043,09/10/2019 11:15:00 AM,540,1.1,32,8,Taxi Affiliation Services
3240044,09/10/2019 11:15:00 AM,511,1.07,8,32,Chicago Carriage Cab Corp
3240045,09/10/2019 11:15:00 AM,428,0.8,32,32,Medallion Leasin
3240046,09/10/2019 11:15:00 AM,540,1.4,32,8,Taxi Affiliation Services
3240047,09/10/2019 11:15:00 AM,480,1.1,32,28,312 Medallion Management Corp
3240048,09/10/2019 11:15:00 AM,366,1.05,32,8,Flash Cab
3240049,09/10/2019 11:15:00 AM,540,1.3,28,28,Medallion Leasin
3240050,09/10/2019 11:15:00 AM,360,0.6,8,8,Taxi Affiliation Services
3240051,09/10/2019 11:15:00 AM,581,1.47,32,8,Chicago Carriage Cab Corp
3240052,09/10/2019 11:15:00 AM,360,1.0,8,32,Star North Management LLC
3240053,09/10/2019 11:15:00 AM,420,0.9,32,32,Taxi Affiliation Services
3240054,09/10/2019 11:15:00 AM,575,0.6,32,32,Sun Taxi
3240055,09/10/2019 11:15:00 AM,507,1.26,8,32,Chicago Carriage Cab Corp
3240056,09/10/2019 11:15:00 AM,300,0.7,32,32,Top Cab Affiliation
3240057,09/10/2019 11:15:00 AM,360,0.8,28,32,"Taxicab Insurance Agency, LLC"
3240058,09/10/2019 11:15:00 AM,571,1.17,28,32,City Service
3240059,09/10/2019 11:15:00 AM,378,0.82,28,32,Flash Cab
3240060,09/10/2019 11:15:00 AM,1920,1.0,76,28,Taxi Affiliation Services
3240061,09/10/2019 11:15:00 AM,468,0.51,28,32,Chicago Carriage Cab Corp
3240062,09/10/2019 11:15:00 AM,480,0.7,32,8,Medallion Leasin
3240063,09/10/2019 11:15:00 AM,540,0.9,8,32,Star North Management LLC
3240064,09/10/2019 11:15:00 AM,420,1.0,32,32,Top Cab Affiliation
3240065,09/10/2019 11:15:00 AM,594,0.95,28,32,City Service
3240066,09/10/2019 11:15:00 AM,1820,1.6,77,77,Flash Cab
3240067,09/10/2019 11:15:00 AM,300,0.51,8,32,Nova Taxi Affiliation Llc
3240068,09/10/2019 11:15:00 AM,491,1.16,32,8,Chicago Carriage Cab Corp
3240069,09/10/2019 11:15:00 AM,246,0.58,8,8,Sun Taxi
3240070,09/10/2019 11:15:00 AM,565,0.99,32,8,Flash Cab
3240071,09/10/2019 11:15:00 AM,573,1.33,32,8,Sun Taxi
3240072,09/10/2019 11:15:00 AM,476,0.85,32,8,Flash Cab
3240073,09/10/2019 11:15:00 AM,498,1.24,32,32,Sun Taxi
3240074,09/10/2019 11:15:00 AM,420,1.2,32,28,Star North Management LLC
3240075,09/10/2019 11:15:00 AM,240,0.9,32,28,Taxi Affiliation Services
3240076,09/10/2019 11:15:00 AM,415,0.81,32,8,Sun Taxi
3240077,09/10/2019 11:15:00 AM,373,0.99,8,8,Chicago Carriage Cab Corp
3240078,09/10/2019 11:15:00 AM,300,0.9,28,32,Star North Management LLC
3240079,09/10/2019 11:15:00 AM,300,0.8,8,8,Top Cab Affiliation
3240080,09/10/2019 11:15:00 AM,431,1.36,33,28,City Service
3240081,09/10/2019 11:15:00 AM,330,1.04,3,77,Flash Cab
3240082,09/10/2019 11:15:00 AM,418,1.81,32,33,Sun Taxi
3240083,09/10/2019 11:15:00 AM,352,0.75,32,32,24 Seven Taxi
3240084,09/10/2019 11:15:00 AM,540,1.3,32,32,Medallion Leasin
3240085,09/10/2019 11:15:00 AM,480,1.3,8,32,Star North Management LLC
3240086,09/10/2019 11:15:00 AM,486,0.83,8,32,Flash Cab
3240087,09/10/2019 11:15:00 AM,472,1.43,32,28,Patriot Taxi Dba Peace Taxi Associat
3240088,09/10/2019 11:15:00 AM,489,1.04,32,32,Chicago Carriage Cab Corp
3240089,09/10/2019 11:15:00 AM,322,0.8,8,32,Medallion Leasin
3240090,09/10/2019 11:15:00 AM,582,1.38,28,32,Flash Cab
3240091,09/10/2019 11:15:00 AM,240,0.7,32,8,Taxi Affiliation Services
3240092,09/10/2019 11:15:00 AM,360,1.0,8,8,Medallion Leasin
3240093,09/10/2019 11:15:00 AM,409,0.7,32,32,City Service
3240094,09/10/2019 11:15:00 AM,477,0.81,28,32,Chicago Carriage Cab Corp
3240095,09/10/2019 11:15:00 AM,270,0.8,77,3,City Service
3240096,09/10/2019 11:15:00 AM,480,1.1,28,8,Medallion Leasin
3240097,09/10/2019 11:15:00 AM,371,0.67,32,8,Chicago Carriage Cab Corp
3240098,09/10/2019 11:15:00 AM,419,0.77,8,8,Sun Taxi
3240099,09/10/2019 11:15:00 AM,535,1.08,32,8,Flash Cab
3240100,09/10/2019 11:15:00 AM,480,1.1,28,32,Blue Ribbon Taxi Association Inc.
3240101,09/10/2019 11:15:00 AM,344,1.04,28,28,Nova Taxi Affiliation Llc
3240102,09/10/2019 11:15:00 AM,269,0.79,28,28,Chicago Carriage Cab Corp
3240103,09/10/2019 11:15:00 AM,540,1.6,8,32,Star North Management LLC
3240104,09/10/2019 11:15:00 AM,420,0.8,32,32,Taxi Affiliation Services
3240105,09/10/2019 11:15:00 AM,396,0.94,32,8,Sun Taxi
3240106,09/10/2019 11:15:00 AM,480,1.3,28,32,Star North Management LLC
3240107,09/10/2019 11:15:00 AM,447,0.97,28,28,Flash Cab
3240108,09/10/2019 11:15:00 AM,447,1.18,7,8,Sun Taxi
3240109,09/10/2019 11:15:00 AM,549,1.3,32,32,City Service
3240110,09/10/2019 11:15:00 AM,536,1.04,32,32,Flash Cab
3240111,09/10/2019 11:15:00 AM,524,1.83,14,16,Flash Cab
3240112,09/10/2019 11:15:00 AM,404,1.13,8,8,Sun Taxi
3240113,09/10/2019 11:15:00 AM,301,0.95,8,8,Chicago Carriage Cab Corp
3240114,09/10/2019 11:15:00 AM,420,1.05,32,28,Nova Taxi Affiliation Llc
3240115,09/10/2019 11:15:00 AM,480,1.8,32,33,"Taxicab Insurance Agency, LLC"
3240116,09/10/2019 11:15:00 AM,300,0.8,8,8,U Taxicab
3240117,09/10/2019 11:15:00 AM,254,0.54,28,28,Chicago Carriage Cab Corp
3240118,09/10/2019 11:15:00 AM,540,1.6,8,32,Taxi Affiliation Services
3240119,09/10/2019 11:15:00 AM,472,1.68,35,32,Chicago Carriage Cab Corp
3240120,09/10/2019 11:15:00 AM,549,0.85,32,32,Chicago Carriage Cab Corp
3240121,09/10/2019 11:15:00 AM,477,0.93,8,32,Sun Taxi
3240122,09/10/2019 11:15:00 AM,540,0.7,32,28,Medallion Leasin
3240123,09/10/2019 11:15:00 AM,393,1.04,32,32,Sun Taxi
3240124,09/10/2019 11:15:00 AM,322,0.74,8,8,City Service
3240125,09/10/2019 11:15:00 AM,378,0.6,32,32,Medallion Leasin
3240126,09/10/2019 11:15:00 AM,420,1.2,8,32,Taxi Affiliation Services
3240127,09/10/2019 11:15:00 AM,304,0.79,32,8,City Service
3240128,09/10/2019 11:15:00 AM,491,1.54,32,28,Patriot Taxi Dba Peace Taxi Associat
3240129,09/10/2019 11:15:00 AM,420,0.9,28,32,Choice Taxi Association
3240130,09/10/2019 11:15:00 AM,570,1.38,8,32,Sun Taxi
3240131,09/10/2019 11:15:00 AM,502,1.1,32,8,Medallion Leasin
3240132,09/10/2019 11:15:00 AM,582,1.43,28,8,Chicago Carriage Cab Corp
3240133,09/10/2019 11:15:00 AM,440,0.94,32,8,City Service
3240134,09/10/2019 11:15:00 AM,555,1.1,32,8,City Service
3240135,09/10/2019 11:15:00 AM,240,1.0,8,8,Star North Management LLC
3240136,09/10/2019 11:15:00 AM,365,0.84,8,32,Flash Cab
3240137,09/10/2019 11:15:00 AM,549,0.88,32,32,Patriot Taxi Dba Peace Taxi Associat
3240138,09/10/2019 11:15:00 AM,360,1.2,32,8,Medallion Leasin
3240139,09/10/2019 11:30:00 AM,407,0.54,32,28,Sun Taxi
3240140,09/10/2019 11:30:00 AM,288,0.8,28,32,Medallion Leasin
3240141,09/10/2019 11:30:00 AM,540,1.6,32,28,Star North Management LLC
3240142,09/10/2019 11:30:00 AM,540,0.9,8,8,Medallion Leasin
3240143,09/10/2019 11:30:00 AM,420,1.0,28,32,"Taxicab Insurance Agency, LLC"
3240144,09/10/2019 11:30:00 AM,501,1.2,28,24,Medallion Leasin
3240145,09/10/2019 11:30:00 AM,373,0.52,8,8,Flash Cab
3240146,09/10/2019 11:30:00 AM,540,1.8,32,33,Chicago Medallion Management
3240147,09/10/2019 11:30:00 AM,533,1.2,28,8,Sun Taxi
3240148,09/10/2019 11:30:00 AM,501,1.1,8,8,City Service
3240149,09/10/2019 11:30:00 AM,540,1.5,28,32,Medallion Leasin
3240150,09/10/2019 11:30:00 AM,540,1.8,33,32,Medallion Leasin
3240151,09/10/2019 11:30:00 AM,335,0.65,32,32,Sun Taxi
3240152,09/10/2019 11:30:00 AM,449,0.7,32,32,Chicago Carriage Cab Corp
3240153,09/10/2019 11:30:00 AM,425,0.94,8,8,Chicago Carriage Cab Corp
3240154,09/10/2019 11:30:00 AM,391,0.98,32,28,Chicago Carriage Cab Corp
3240155,09/10/2019 11:30:00 AM,480,1.1,8,8,Medallion Leasin
3240156,09/10/2019 11:30:00 AM,578,1.2,32,32,Chicago Independents
3240157,09/10/2019 11:30:00 AM,421,1.16,32,8,City Service
3240158,09/10/2019 11:30:00 AM,457,1.5,32,8,City Service
3240159,09/10/2019 11:30:00 AM,300,0.6,32,32,Taxi Affiliation Services
3240160,09/10/2019 11:30:00 AM,420,1.3,32,8,Taxi Affiliation Services
3240161,09/10/2019 11:30:00 AM,593,1.65,8,8,Flash Cab
3240162,09/10/2019 11:30:00 AM,453,1.08,32,8,Chicago Carriage Cab Corp
3240163,09/10/2019 11:30:00 AM,360,0.8,8,8,"Taxicab Insurance Agency, LLC"
3240164,09/10/2019 11:30:00 AM,520,1.26,28,32,Chicago Carriage Cab Corp
3240165,09/10/2019 11:30:00 AM,458,0.8,32,28,Flash Cab
3240166,09/10/2019 11:30:00 AM,586,0.82,8,32,Flash Cab
3240167,09/10/2019 11:30:00 AM,399,0.91,32,8,City Service
3240168,09/10/2019 11:30:00 AM,593,1.06,28,32,Sun Taxi
3240169,09/10/2019 11:30:00 AM,357,0.97,32,8,Flash Cab
3240170,09/10/2019 11:30:00 AM,312,0.55,8,8,Flash Cab
3240171,09/10/2019 11:30:00 AM,420,0.9,8,32,Taxi Affiliation Services
3240172,09/10/2019 11:30:00 AM,577,1.15,8,8,Sun Taxi
3240173,09/10/2019 11:30:00 AM,306,0.56,8,8,Flash Cab
3240174,09/10/2019 11:30:00 AM,432,0.8,77,77,Chicago Independents
3240175,09/10/2019 11:30:00 AM,420,1.9,77,3,Taxi Affiliation Services
3240176,09/10/2019 11:30:00 AM,447,1.98,24,28,Flash Cab
