,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
3250000,09/10/2019 09:45:00 PM,240,0.7,77,77,City Service
3250001,09/10/2019 09:45:00 PM,333,0.77,8,32,Sun Taxi
3250002,09/10/2019 09:45:00 PM,221,0.86,32,28,City Service
3250003,09/10/2019 09:45:00 PM,591,1.79,3,77,Flash Cab
3250004,09/10/2019 09:45:00 PM,252,0.6,8,8,Leonard Cab Co
3250005,09/10/2019 09:45:00 PM,499,1.3,8,32,Medallion Leasin
3250006,09/10/2019 09:45:00 PM,235,1.04,8,8,Sun Taxi
3250007,09/10/2019 09:45:00 PM,420,1.0,28,8,Taxi Affiliation Services
3250008,09/10/2019 09:45:00 PM,459,0.7,8,8,City Service
3250009,09/10/2019 09:45:00 PM,480,1.8,8,24,KOAM Taxi Association
3250010,09/10/2019 09:45:00 PM,240,0.9,32,8,Choice Taxi Association
3250011,09/10/2019 09:45:00 PM,2021,0.82,8,8,Flash Cab
3250012,09/10/2019 09:45:00 PM,420,1.1,8,8,1085 - 72312 N and W Cab Co
3250013,09/10/2019 09:45:00 PM,184,0.73,32,32,Flash Cab
3250014,09/10/2019 09:45:00 PM,300,0.8,32,32,Taxi Affiliation Services
3250015,09/10/2019 09:45:00 PM,240,0.7,8,8,Taxi Affiliation Services
3250016,09/10/2019 09:45:00 PM,500,1.73,8,28,Patriot Taxi Dba Peace Taxi Associat
3250017,09/10/2019 09:45:00 PM,420,1.3,8,28,Taxi Affiliation Services
3250018,09/10/2019 09:45:00 PM,255,0.7,32,28,City Service
3250019,09/10/2019 09:45:00 PM,360,1.5,32,28,Choice Taxi Association
3250020,09/10/2019 09:45:00 PM,233,0.64,32,32,City Service
3250021,09/10/2019 09:45:00 PM,360,0.9,8,8,Taxi Affiliation Services
3250022,09/10/2019 09:45:00 PM,537,1.79,28,32,Sun Taxi
3250023,09/10/2019 09:45:00 PM,335,0.78,32,8,Sun Taxi
3250024,09/10/2019 09:45:00 PM,480,1.5,8,8,Star North Management LLC
3250025,09/10/2019 09:45:00 PM,448,1.41,8,32,24 Seven Taxi
3250026,09/10/2019 09:45:00 PM,337,0.93,8,8,City Service
3250027,09/10/2019 09:45:00 PM,244,0.58,8,32,Flash Cab
3250028,09/10/2019 09:45:00 PM,536,1.4,32,8,Nova Taxi Affiliation Llc
3250029,09/10/2019 09:45:00 PM,300,1.3,8,28,Taxi Affiliation Services
3250030,09/10/2019 09:45:00 PM,300,0.8,32,28,Taxi Affiliation Services
3250031,09/10/2019 09:45:00 PM,360,1.1,28,8,Taxi Affiliation Services
3250032,09/10/2019 09:45:00 PM,354,0.69,8,8,Chicago Carriage Cab Corp
3250033,09/10/2019 09:45:00 PM,255,0.83,8,8,Sun Taxi
3250034,09/10/2019 09:45:00 PM,471,1.68,32,8,Patriot Taxi Dba Peace Taxi Associat
3250035,09/10/2019 09:45:00 PM,423,1.14,32,28,Flash Cab
3250036,09/10/2019 09:45:00 PM,360,0.7,8,8,Star North Management LLC
3250037,09/10/2019 09:45:00 PM,1920,1.0,76,8,Taxi Affiliation Services
3250038,09/10/2019 09:45:00 PM,360,1.7,8,7,Taxi Affiliation Services
