,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
3270000,09/12/2019 09:30:00 AM,411,0.7,8,32,Medallion Leasin
3270001,09/12/2019 09:30:00 AM,480,0.9,33,32,Taxi Affiliation Services
3270002,09/12/2019 09:30:00 AM,480,1.1,8,32,Taxi Affiliation Services
3270003,09/12/2019 09:30:00 AM,309,0.84,8,8,Flash Cab
3270004,09/12/2019 09:30:00 AM,420,1.1,28,32,Taxi Affiliation Services
3270005,09/12/2019 09:30:00 AM,360,0.6,8,32,Star North Management LLC
3270006,09/12/2019 09:30:00 AM,373,1.2,8,32,Sun Taxi
3270007,09/12/2019 09:30:00 AM,294,0.83,8,32,Patriot Taxi Dba Peace Taxi Associat
3270008,09/12/2019 09:30:00 AM,339,1.0,8,8,Medallion Leasin
3270009,09/12/2019 09:30:00 AM,3120,0.6,18,28,Taxi Affiliation Services
3270010,09/12/2019 09:30:00 AM,554,0.98,32,32,Flash Cab
3270011,09/12/2019 09:30:00 AM,422,0.7,32,8,Sun Taxi
3270012,09/12/2019 09:30:00 AM,540,0.9,8,32,U Taxicab
3270013,09/12/2019 09:30:00 AM,228,0.6,8,32,Flash Cab
3270014,09/12/2019 09:30:00 AM,495,0.94,8,8,City Service
3270015,09/12/2019 09:30:00 AM,360,0.7,8,32,Taxi Affiliation Services
3270016,09/12/2019 09:30:00 AM,283,0.99,8,8,Flash Cab
3270017,09/12/2019 09:30:00 AM,283,0.92,2,77,Flash Cab
3270018,09/12/2019 09:30:00 AM,555,1.3,8,32,City Service
3270019,09/12/2019 09:30:00 AM,240,0.9,28,28,Medallion Leasin
3270020,09/12/2019 09:30:00 AM,595,1.55,8,32,Chicago Carriage Cab Corp
3270021,09/12/2019 09:30:00 AM,518,1.0,32,8,Medallion Leasin
3270022,09/12/2019 09:30:00 AM,477,1.27,32,28,Flash Cab
3270023,09/12/2019 09:30:00 AM,360,0.9,8,32,Taxi Affiliation Services
3270024,09/12/2019 09:30:00 AM,360,0.8,28,32,"Taxicab Insurance Agency, LLC"
3270025,09/12/2019 09:30:00 AM,480,1.6,28,28,City Service
3270026,09/12/2019 09:30:00 AM,510,1.2,8,32,City Service
3270027,09/12/2019 09:30:00 AM,420,1.0,8,32,Star North Management LLC
3270028,09/12/2019 09:30:00 AM,240,0.6,32,32,Star North Management LLC
3270029,09/12/2019 09:30:00 AM,391,1.11,8,8,Flash Cab
3270030,09/12/2019 09:30:00 AM,360,1.0,8,8,Taxi Affiliation Services
3270031,09/12/2019 09:30:00 AM,360,0.6,32,28,Medallion Leasin
3270032,09/12/2019 09:30:00 AM,533,0.83,8,8,Flash Cab
3270033,09/12/2019 09:30:00 AM,422,0.9,8,8,City Service
3270034,09/12/2019 09:30:00 AM,279,0.91,32,8,Chicago Carriage Cab Corp
3270035,09/12/2019 09:30:00 AM,226,0.65,8,32,Flash Cab
3270036,09/12/2019 09:30:00 AM,300,0.7,28,32,Medallion Leasin
3270037,09/12/2019 09:30:00 AM,378,0.53,32,32,Chicago Carriage Cab Corp
3270038,09/12/2019 09:30:00 AM,360,0.7,32,32,Taxi Affiliation Services
3270039,09/12/2019 09:30:00 AM,1943,10.29,56,28,Sun Taxi
3270040,09/12/2019 09:30:00 AM,414,1.14,8,32,Chicago Carriage Cab Corp
3270041,09/12/2019 09:30:00 AM,347,0.85,32,32,Chicago Carriage Cab Corp
3270042,09/12/2019 09:30:00 AM,510,1.5,32,33,Flash Cab
3270043,09/12/2019 09:30:00 AM,227,0.51,8,8,Flash Cab
3270044,09/12/2019 09:30:00 AM,531,1.65,33,32,City Service
3270045,09/12/2019 09:30:00 AM,21157,1.14,59,32,Chicago Carriage Cab Corp
3270046,09/12/2019 09:30:00 AM,360,0.9,8,8,Choice Taxi Association
3270047,09/12/2019 09:30:00 AM,300,0.9,7,7,Taxi Affiliation Services
3270048,09/12/2019 09:30:00 AM,359,0.69,32,8,Flash Cab
3270049,09/12/2019 09:30:00 AM,420,1.2,8,8,Choice Taxi Association
3270050,09/12/2019 09:30:00 AM,596,1.59,8,32,Patriot Taxi Dba Peace Taxi Associat
3270051,09/12/2019 09:30:00 AM,501,0.82,32,8,Chicago Carriage Cab Corp
3270052,09/12/2019 09:30:00 AM,465,0.67,28,32,Sun Taxi
3270053,09/12/2019 09:30:00 AM,3960,0.8,56,8,Taxi Affiliation Services
