,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
3280000,09/12/2019 07:45:00 PM,300,0.8,8,8,Taxi Affiliation Services
3280001,09/12/2019 07:45:00 PM,477,1.83,5,16,Flash Cab
3280002,09/12/2019 07:45:00 PM,300,1.0,8,8,Choice Taxi Association
3280003,09/12/2019 07:45:00 PM,473,1.04,32,8,City Service
3280004,09/12/2019 07:45:00 PM,256,0.8,76,76,Chicago Carriage Cab Corp
3280005,09/12/2019 07:45:00 PM,235,0.79,8,8,Sun Taxi
3280006,09/12/2019 07:45:00 PM,360,1.0,32,28,Taxi Affiliation Services
3280007,09/12/2019 07:45:00 PM,353,0.63,8,8,Sun Taxi
3280008,09/12/2019 07:45:00 PM,540,0.7,32,32,Star North Management LLC
3280009,09/12/2019 07:45:00 PM,398,1.07,8,8,Flash Cab
3280010,09/12/2019 07:45:00 PM,562,1.18,8,8,Sun Taxi
3280011,09/12/2019 07:45:00 PM,300,0.9,8,28,Taxi Affiliation Services
3280012,09/12/2019 07:45:00 PM,350,0.8,8,32,Medallion Leasin
3280013,09/12/2019 07:45:00 PM,480,1.2,32,28,Taxi Affiliation Services
3280014,09/12/2019 07:45:00 PM,509,0.78,8,8,Flash Cab
3280015,09/12/2019 07:45:00 PM,300,0.6,32,8,Blue Ribbon Taxi Association Inc.
3280016,09/12/2019 07:45:00 PM,480,0.8,8,8,312 Medallion Management Corp
3280017,09/12/2019 07:45:00 PM,515,1.32,8,8,Chicago Carriage Cab Corp
3280018,09/12/2019 07:45:00 PM,540,1.7,32,8,Medallion Leasin
3280019,09/12/2019 07:45:00 PM,476,1.33,8,28,Chicago Carriage Cab Corp
3280020,09/12/2019 07:45:00 PM,1980,0.8,76,7,Taxi Affiliation Services
3280021,09/12/2019 07:45:00 PM,571,1.9,32,8,Flash Cab
3280022,09/12/2019 07:45:00 PM,330,1.54,77,3,Flash Cab
3280023,09/12/2019 07:45:00 PM,300,0.6,8,32,Chicago Medallion Management
3280024,09/12/2019 07:45:00 PM,523,1.2,8,32,City Service
3280025,09/12/2019 07:45:00 PM,360,0.7,6,6,Medallion Leasin
3280026,09/12/2019 07:45:00 PM,480,1.3,8,8,"Taxicab Insurance Agency, LLC"
3280027,09/12/2019 07:45:00 PM,359,0.98,8,8,Chicago Carriage Cab Corp
3280028,09/12/2019 07:45:00 PM,420,0.7,8,8,Taxi Affiliation Services
3280029,09/12/2019 07:45:00 PM,420,0.98,8,8,City Service
3280030,09/12/2019 07:45:00 PM,576,1.79,7,8,Chicago Carriage Cab Corp
3280031,09/12/2019 07:45:00 PM,360,1.0,32,28,Taxi Affiliation Services
3280032,09/12/2019 07:45:00 PM,480,1.2,8,8,3011 - 66308 JBL Cab Inc.
3280033,09/12/2019 07:45:00 PM,305,0.8,8,32,City Service
3280034,09/12/2019 07:45:00 PM,300,1.0,7,6,Medallion Leasin
3280035,09/12/2019 07:45:00 PM,360,1.1,28,32,Taxi Affiliation Services
3280036,09/12/2019 07:45:00 PM,300,0.7,8,8,Medallion Leasin
3280037,09/12/2019 07:45:00 PM,540,1.1,32,28,Taxi Affiliation Services
3280038,09/12/2019 07:45:00 PM,360,0.8,32,8,Choice Taxi Association
3280039,09/12/2019 07:45:00 PM,300,0.6,8,8,Choice Taxi Association
3280040,09/12/2019 07:45:00 PM,360,0.6,32,32,Taxi Affiliation Services
3280041,09/12/2019 07:45:00 PM,540,1.1,28,8,Taxi Affiliation Services
3280042,09/12/2019 07:45:00 PM,300,0.7,32,8,Medallion Leasin
3280043,09/12/2019 07:45:00 PM,480,0.9,8,8,Star North Management LLC
3280044,09/12/2019 07:45:00 PM,360,0.8,8,8,Taxi Affiliation Services
3280045,09/12/2019 07:45:00 PM,420,0.9,8,8,City Service
3280046,09/12/2019 07:45:00 PM,420,0.9,8,8,Star North Management LLC
3280047,09/12/2019 07:45:00 PM,235,0.54,32,32,Flash Cab
3280048,09/12/2019 07:45:00 PM,434,1.74,32,33,Sun Taxi
3280049,09/12/2019 07:45:00 PM,360,0.9,32,32,Choice Taxi Association
3280050,09/12/2019 07:45:00 PM,480,1.4,7,8,City Service
3280051,09/12/2019 07:45:00 PM,540,1.3,8,28,Chicago Medallion Management
3280052,09/12/2019 07:45:00 PM,184,0.87,28,28,Nova Taxi Affiliation Llc
3280053,09/12/2019 07:45:00 PM,2340,1.0,56,16,Taxi Affiliation Services
3280054,09/12/2019 07:45:00 PM,1980,0.7,56,8,Blue Ribbon Taxi Association Inc.
3280055,09/12/2019 07:45:00 PM,240,0.8,28,28,Taxi Affiliation Services
3280056,09/12/2019 07:45:00 PM,540,1.0,8,8,Top Cab Affiliation
3280057,09/12/2019 07:45:00 PM,448,0.99,32,32,Chicago Carriage Cab Corp
3280058,09/12/2019 07:45:00 PM,402,1.13,32,8,Flash Cab
3280059,09/12/2019 07:45:00 PM,375,1.19,32,28,Flash Cab
3280060,09/12/2019 07:45:00 PM,324,0.94,32,8,Chicago Carriage Cab Corp
3280061,09/12/2019 07:45:00 PM,427,1.06,8,8,City Service
3280062,09/12/2019 08:00:00 PM,1980,1.5,76,28,Taxi Affiliation Services
3280063,09/12/2019 08:00:00 PM,540,1.8,32,8,Medallion Leasin
