,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
3290000,09/13/2019 02:30:00 PM,370,0.62,32,32,Chicago Carriage Cab Corp
3290001,09/13/2019 02:30:00 PM,495,1.29,8,32,Chicago Carriage Cab Corp
3290002,09/13/2019 02:30:00 PM,540,1.2,8,32,City Service
3290003,09/13/2019 02:30:00 PM,427,1.2,8,8,Medallion Leasin
3290004,09/13/2019 02:30:00 PM,182,0.51,32,32,Sun Taxi
3290005,09/13/2019 02:30:00 PM,470,1.08,8,28,City Service
3290006,09/13/2019 02:30:00 PM,379,0.81,32,28,24 Seven Taxi
3290007,09/13/2019 02:30:00 PM,287,0.63,8,32,Flash Cab
3290008,09/13/2019 02:30:00 PM,560,1.51,8,8,City Service
3290009,09/13/2019 02:30:00 PM,420,0.7,32,8,Top Cab Affiliation
3290010,09/13/2019 02:30:00 PM,540,1.6,32,33,Medallion Leasin
3290011,09/13/2019 02:30:00 PM,386,0.9,8,28,City Service
3290012,09/13/2019 02:30:00 PM,210,0.61,32,28,Chicago Carriage Cab Corp
3290013,09/13/2019 02:30:00 PM,494,1.51,8,8,Flash Cab
3290014,09/13/2019 02:30:00 PM,540,1.6,32,8,Taxi Affiliation Services
3290015,09/13/2019 02:30:00 PM,294,1.09,8,32,Chicago Carriage Cab Corp
3290016,09/13/2019 02:30:00 PM,360,0.6,32,32,Taxi Affiliation Services
3290017,09/13/2019 02:30:00 PM,522,1.5,32,8,City Service
3290018,09/13/2019 02:30:00 PM,260,0.71,8,32,Taxi Affiliation Service Yellow
3290019,09/13/2019 02:30:00 PM,420,1.3,28,8,Medallion Leasin
3290020,09/13/2019 02:30:00 PM,240,0.6,32,32,Taxi Affiliation Services
3290021,09/13/2019 02:30:00 PM,306,0.9,8,32,Patriot Taxi Dba Peace Taxi Associat
3290022,09/13/2019 02:30:00 PM,504,1.14,32,8,Sun Taxi
3290023,09/13/2019 02:30:00 PM,540,1.4,8,8,Taxi Affiliation Services
3290024,09/13/2019 02:30:00 PM,240,0.6,32,32,Medallion Leasin
3290025,09/13/2019 02:30:00 PM,240,0.9,32,32,Taxi Affiliation Services
3290026,09/13/2019 02:30:00 PM,420,1.1,8,32,Medallion Leasin
3290027,09/13/2019 02:30:00 PM,438,0.91,8,8,Flash Cab
3290028,09/13/2019 02:30:00 PM,300,1.4,8,32,Star North Management LLC
3290029,09/13/2019 02:30:00 PM,305,0.84,32,32,Chicago Carriage Cab Corp
3290030,09/13/2019 02:30:00 PM,2109,10.41,76,16,Sun Taxi
3290031,09/13/2019 02:30:00 PM,300,0.6,28,8,Medallion Leasin
3290032,09/13/2019 02:30:00 PM,290,0.72,28,28,Chicago Carriage Cab Corp
3290033,09/13/2019 02:30:00 PM,376,1.2,32,28,City Service
3290034,09/13/2019 02:30:00 PM,420,0.8,6,7,Taxi Affiliation Services
3290035,09/13/2019 02:30:00 PM,295,0.68,77,77,Flash Cab
3290036,09/13/2019 02:30:00 PM,557,1.2,32,32,City Service
3290037,09/13/2019 02:30:00 PM,540,1.7,32,8,Taxi Affiliation Services
3290038,09/13/2019 02:30:00 PM,360,0.6,8,8,Top Cab Affiliation
3290039,09/13/2019 02:30:00 PM,420,0.9,32,32,Star North Management LLC
3290040,09/13/2019 02:30:00 PM,431,1.11,32,28,Chicago Carriage Cab Corp
3290041,09/13/2019 02:30:00 PM,300,0.7,32,28,Taxi Affiliation Services
3290042,09/13/2019 02:30:00 PM,539,1.45,32,33,Sun Taxi
3290043,09/13/2019 02:30:00 PM,420,0.85,32,8,Nova Taxi Affiliation Llc
3290044,09/13/2019 02:30:00 PM,536,1.22,3,6,Flash Cab
3290045,09/13/2019 02:30:00 PM,480,1.4,32,8,Medallion Leasin
3290046,09/13/2019 02:30:00 PM,353,1.19,32,8,Chicago Carriage Cab Corp
3290047,09/13/2019 02:30:00 PM,420,1.7,28,8,Taxi Affiliation Services
3290048,09/13/2019 02:30:00 PM,308,0.64,8,8,Chicago Carriage Cab Corp
3290049,09/13/2019 02:30:00 PM,216,0.57,28,32,Sun Taxi
3290050,09/13/2019 02:30:00 PM,300,1.0,8,32,Taxi Affiliation Services
3290051,09/13/2019 02:30:00 PM,2160,1.0,76,8,Blue Ribbon Taxi Association Inc.
3290052,09/13/2019 02:30:00 PM,444,1.2,32,8,Medallion Leasin
3290053,09/13/2019 02:30:00 PM,420,0.9,2,13,Medallion Leasin
3290054,09/13/2019 02:30:00 PM,464,0.75,8,8,Taxi Affiliation Service Yellow
3290055,09/13/2019 02:30:00 PM,442,1.2,8,8,Chicago Carriage Cab Corp
3290056,09/13/2019 02:30:00 PM,410,0.75,32,32,Flash Cab
3290057,09/13/2019 02:30:00 PM,540,1.3,8,32,Top Cab Affiliation
3290058,09/13/2019 02:30:00 PM,276,0.9,32,8,Medallion Leasin
3290059,09/13/2019 02:30:00 PM,420,1.3,8,32,Star North Management LLC
3290060,09/13/2019 02:30:00 PM,391,1.04,32,8,Chicago Carriage Cab Corp
3290061,09/13/2019 02:30:00 PM,3060,1.0,32,76,Taxi Affiliation Services
3290062,09/13/2019 02:30:00 PM,240,0.7,32,28,Chicago Medallion Management
3290063,09/13/2019 02:30:00 PM,451,0.99,35,35,Taxi Affiliation Service Yellow
3290064,09/13/2019 02:30:00 PM,285,0.63,77,77,Flash Cab
3290065,09/13/2019 02:30:00 PM,437,0.94,32,28,Chicago Carriage Cab Corp
3290066,09/13/2019 02:30:00 PM,409,1.04,28,32,Chicago Carriage Cab Corp
3290067,09/13/2019 02:30:00 PM,438,1.28,32,8,Flash Cab
3290068,09/13/2019 02:30:00 PM,300,0.8,32,8,Star North Management LLC
3290069,09/13/2019 02:30:00 PM,300,0.9,28,32,Star North Management LLC
3290070,09/13/2019 02:30:00 PM,1827,10.9,28,67,Chicago Carriage Cab Corp
3290071,09/13/2019 02:30:00 PM,423,1.0,28,28,City Service
