,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
3300000,09/14/2019 08:45:00 AM,240,0.7,28,28,Taxi Affiliation Services
3300001,09/14/2019 08:45:00 AM,365,0.7,28,32,Medallion Leasin
3300002,09/14/2019 08:45:00 AM,360,1.0,32,8,Taxi Affiliation Services
3300003,09/14/2019 08:45:00 AM,264,1.09,28,32,Sun Taxi
3300004,09/14/2019 08:45:00 AM,484,1.8,32,33,City Service
3300005,09/14/2019 08:45:00 AM,322,1.36,8,32,Sun Taxi
3300006,09/14/2019 08:45:00 AM,300,0.8,8,8,Taxi Affiliation Services
3300007,09/14/2019 08:45:00 AM,300,0.76,32,8,Nova Taxi Affiliation Llc
3300008,09/14/2019 08:45:00 AM,206,0.86,8,32,Chicago Carriage Cab Corp
3300009,09/14/2019 08:45:00 AM,192,0.59,32,8,Chicago Carriage Cab Corp
3300010,09/14/2019 08:45:00 AM,265,1.0,33,28,Flash Cab
3300011,09/14/2019 08:45:00 AM,326,0.84,32,8,Sun Taxi
3300012,09/14/2019 08:45:00 AM,480,1.8,59,61,Taxi Affiliation Services
3300013,09/14/2019 08:45:00 AM,381,1.0,8,32,Medallion Leasin
3300014,09/14/2019 08:45:00 AM,287,0.95,32,33,Chicago Carriage Cab Corp
3300015,09/14/2019 09:00:00 AM,290,0.9,8,32,Chicago Taxicab
3300016,09/14/2019 09:00:00 AM,374,1.15,8,8,Flash Cab
3300017,09/14/2019 09:00:00 AM,420,1.8,8,32,Taxi Affiliation Services
3300018,09/14/2019 09:00:00 AM,388,1.33,8,8,Chicago Carriage Cab Corp
3300019,09/14/2019 09:00:00 AM,420,1.2,32,28,Taxi Affiliation Services
3300020,09/14/2019 09:00:00 AM,231,0.7,6,6,Medallion Leasin
3300021,09/14/2019 09:00:00 AM,258,0.75,7,8,Flash Cab
3300022,09/14/2019 09:00:00 AM,300,1.0,8,8,Taxi Affiliation Services
3300023,09/14/2019 09:00:00 AM,556,1.22,8,8,Chicago Carriage Cab Corp
3300024,09/14/2019 09:00:00 AM,474,0.9,32,32,City Service
3300025,09/14/2019 09:00:00 AM,542,1.87,28,32,Sun Taxi
3300026,09/14/2019 09:00:00 AM,252,0.82,8,8,Flash Cab
3300027,09/14/2019 09:00:00 AM,248,1.0,24,24,Flash Cab
3300028,09/14/2019 09:00:00 AM,492,1.69,8,32,Chicago Carriage Cab Corp
3300029,09/14/2019 09:00:00 AM,360,0.9,28,8,Taxi Affiliation Services
3300030,09/14/2019 09:00:00 AM,397,1.39,33,32,Patriot Taxi Dba Peace Taxi Associat
3300031,09/14/2019 09:00:00 AM,360,0.9,8,8,Star North Management LLC
3300032,09/14/2019 09:00:00 AM,424,1.02,8,32,Flash Cab
3300033,09/14/2019 09:00:00 AM,2040,1.2,76,33,Taxi Affiliation Services
3300034,09/14/2019 09:00:00 AM,427,1.75,32,8,Patriot Taxi Dba Peace Taxi Associat
3300035,09/14/2019 09:00:00 AM,470,1.43,32,32,Flash Cab
3300036,09/14/2019 09:00:00 AM,472,1.43,8,32,Sun Taxi
3300037,09/14/2019 09:00:00 AM,360,1.4,8,32,Choice Taxi Association
3300038,09/14/2019 09:00:00 AM,450,1.74,8,32,City Service
3300039,09/14/2019 09:00:00 AM,300,1.0,32,28,Taxi Affiliation Services
3300040,09/14/2019 09:00:00 AM,480,1.5,28,8,Chicago Independents
3300041,09/14/2019 09:00:00 AM,360,1.4,42,41,Taxi Affiliation Services
3300042,09/14/2019 09:00:00 AM,240,1.4,33,32,"Taxicab Insurance Agency, LLC"
3300043,09/14/2019 09:00:00 AM,420,1.4,8,32,Taxi Affiliation Services
3300044,09/14/2019 09:00:00 AM,360,1.4,8,32,Taxi Affiliation Services
3300045,09/14/2019 09:00:00 AM,366,1.03,8,8,Flash Cab
3300046,09/14/2019 09:00:00 AM,404,1.44,8,32,City Service
3300047,09/14/2019 09:00:00 AM,394,0.94,8,32,Sun Taxi
3300048,09/14/2019 09:00:00 AM,435,1.7,6,3,City Service
3300049,09/14/2019 09:00:00 AM,300,1.2,6,6,Taxi Affiliation Services
3300050,09/14/2019 09:00:00 AM,221,0.7,32,8,Chicago Taxicab
3300051,09/14/2019 09:00:00 AM,284,0.68,4,4,Flash Cab
3300052,09/14/2019 09:00:00 AM,255,0.7,7,7,Flash Cab
3300053,09/14/2019 09:00:00 AM,360,1.7,33,32,"Taxicab Insurance Agency, LLC"
3300054,09/14/2019 09:00:00 AM,365,0.7,32,32,Taxi Affiliation Service Yellow
3300055,09/14/2019 09:00:00 AM,360,1.5,8,32,Taxi Affiliation Services
3300056,09/14/2019 09:00:00 AM,240,1.0,3,77,Medallion Leasin
3300057,09/14/2019 09:00:00 AM,378,1.39,8,8,Sun Taxi
3300058,09/14/2019 09:00:00 AM,2160,1.4,8,56,Choice Taxi Association
3300059,09/14/2019 09:00:00 AM,326,0.95,32,8,Flash Cab
3300060,09/14/2019 09:00:00 AM,420,1.5,32,8,Top Cab Affiliation
3300061,09/14/2019 09:00:00 AM,240,0.6,8,8,Star North Management LLC
3300062,09/14/2019 09:00:00 AM,279,0.7,8,8,City Service
3300063,09/14/2019 09:15:00 AM,367,0.97,28,32,Flash Cab
3300064,09/14/2019 09:15:00 AM,432,1.22,28,32,Sun Taxi
3300065,09/14/2019 09:15:00 AM,262,0.66,8,32,Chicago Carriage Cab Corp
3300066,09/14/2019 09:15:00 AM,360,1.49,24,24,Nova Taxi Affiliation Llc
3300067,09/14/2019 09:15:00 AM,583,1.7,6,6,Flash Cab
3300068,09/14/2019 09:15:00 AM,390,0.9,8,8,Taxi Affiliation Service Yellow
3300069,09/14/2019 09:15:00 AM,241,1.14,8,32,Sun Taxi
3300070,09/14/2019 09:15:00 AM,574,1.82,32,28,Patriot Taxi Dba Peace Taxi Associat
3300071,09/14/2019 09:15:00 AM,360,0.8,8,8,Star North Management LLC
3300072,09/14/2019 09:15:00 AM,321,1.17,8,32,Flash Cab
3300073,09/14/2019 09:15:00 AM,220,0.96,77,77,Checker Taxi Affiliation
3300074,09/14/2019 09:15:00 AM,317,1.01,6,3,Flash Cab
3300075,09/14/2019 09:15:00 AM,279,0.79,8,32,Chicago Carriage Cab Corp
3300076,09/14/2019 09:15:00 AM,285,1.04,8,24,Chicago Carriage Cab Corp
3300077,09/14/2019 09:15:00 AM,328,1.05,7,7,Patriot Taxi Dba Peace Taxi Associat
3300078,09/14/2019 09:15:00 AM,398,0.88,3,3,Flash Cab
3300079,09/14/2019 09:15:00 AM,300,0.8,32,8,Medallion Leasin
3300080,09/14/2019 09:15:00 AM,415,1.54,32,8,Nova Taxi Affiliation Llc
3300081,09/14/2019 09:15:00 AM,540,1.3,32,28,Taxi Affiliation Services
3300082,09/14/2019 09:15:00 AM,482,0.9,8,8,City Service
3300083,09/14/2019 09:15:00 AM,313,0.74,8,32,Flash Cab
3300084,09/14/2019 09:15:00 AM,240,1.0,8,8,Star North Management LLC
3300085,09/14/2019 09:15:00 AM,308,0.82,8,8,Flash Cab
3300086,09/14/2019 09:15:00 AM,588,1.65,33,33,Flash Cab
3300087,09/14/2019 09:15:00 AM,331,0.97,32,8,Chicago Carriage Cab Corp
3300088,09/14/2019 09:15:00 AM,413,0.98,8,8,Chicago Carriage Cab Corp
3300089,09/14/2019 09:15:00 AM,240,0.8,32,8,Medallion Leasin
