,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
3310000,09/15/2019 11:30:00 AM,341,0.7,8,32,Patriot Taxi Dba Peace Taxi Associat
3310001,09/15/2019 11:30:00 AM,368,0.7,8,8,Medallion Leasin
3310002,09/15/2019 11:30:00 AM,450,1.0,8,8,City Service
3310003,09/15/2019 11:30:00 AM,562,1.84,33,32,Chicago Carriage Cab Corp
3310004,09/15/2019 11:30:00 AM,540,1.6,8,32,Medallion Leasin
3310005,09/15/2019 11:30:00 AM,444,1.76,28,8,Taxi Affiliation Service Yellow
3310006,09/15/2019 11:30:00 AM,407,1.2,8,32,Flash Cab
3310007,09/15/2019 11:30:00 AM,252,0.8,8,8,Chicago Independents
3310008,09/15/2019 11:30:00 AM,420,1.6,28,28,Taxi Affiliation Services
3310009,09/15/2019 11:30:00 AM,540,1.4,8,32,Taxi Affiliation Services
3310010,09/15/2019 11:30:00 AM,240,0.7,8,8,"Taxicab Insurance Agency, LLC"
3310011,09/15/2019 11:30:00 AM,240,0.6,8,8,Choice Taxi Association
3310012,09/15/2019 11:30:00 AM,246,0.81,8,8,City Service
3310013,09/15/2019 11:30:00 AM,372,1.1,33,34,Chicago Independents
3310014,09/15/2019 11:30:00 AM,589,1.92,28,28,Chicago Carriage Cab Corp
3310015,09/15/2019 11:30:00 AM,358,1.16,32,8,Chicago Carriage Cab Corp
3310016,09/15/2019 11:30:00 AM,420,1.7,8,32,"Taxicab Insurance Agency, LLC"
3310017,09/15/2019 11:30:00 AM,191,0.6,32,32,Setare Inc
3310018,09/15/2019 11:30:00 AM,504,1.2,32,8,Flash Cab
3310019,09/15/2019 11:30:00 AM,360,1.4,8,8,Choice Taxi Association
3310020,09/15/2019 11:45:00 AM,286,0.75,77,77,Flash Cab
3310021,09/15/2019 11:45:00 AM,430,1.28,8,8,Flash Cab
3310022,09/15/2019 11:45:00 AM,540,1.4,32,32,Taxi Affiliation Services
3310023,09/15/2019 11:45:00 AM,240,1.0,8,32,Star North Management LLC
3310024,09/15/2019 11:45:00 AM,253,0.52,8,8,Sun Taxi
3310025,09/15/2019 11:45:00 AM,420,1.1,32,32,KOAM Taxi Association
3310026,09/15/2019 11:45:00 AM,279,0.84,33,34,Chicago Carriage Cab Corp
3310027,09/15/2019 11:45:00 AM,240,0.7,7,7,Taxi Affiliation Services
3310028,09/15/2019 11:45:00 AM,376,0.8,28,28,Chicago Carriage Cab Corp
3310029,09/15/2019 11:45:00 AM,480,1.1,8,8,Taxi Affiliation Services
3310030,09/15/2019 11:45:00 AM,370,1.37,8,8,Taxi Affiliation Service Yellow
3310031,09/15/2019 11:45:00 AM,420,1.6,28,28,Medallion Leasin
3310032,09/15/2019 11:45:00 AM,360,1.0,8,8,Medallion Leasin
3310033,09/15/2019 11:45:00 AM,379,0.8,8,8,City Service
3310034,09/15/2019 11:45:00 AM,300,1.0,8,8,Medallion Leasin
3310035,09/15/2019 11:45:00 AM,533,1.17,32,8,Flash Cab
3310036,09/15/2019 11:45:00 AM,363,0.8,32,32,Patriot Taxi Dba Peace Taxi Associat
3310037,09/15/2019 11:45:00 AM,420,1.4,8,32,Taxi Affiliation Services
3310038,09/15/2019 11:45:00 AM,420,1.8,32,33,Taxi Affiliation Services
