,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
3340000,09/17/2019 08:45:00 PM,488,1.86,32,24,City Service
3340001,09/17/2019 08:45:00 PM,458,1.2,8,8,Medallion Leasin
3340002,09/17/2019 08:45:00 PM,2220,0.8,76,6,Blue Ribbon Taxi Association Inc.
3340003,09/17/2019 08:45:00 PM,481,1.65,7,8,Sun Taxi
3340004,09/17/2019 08:45:00 PM,420,1.6,8,24,Taxi Affiliation Services
3340005,09/17/2019 08:45:00 PM,436,1.1,32,8,City Service
3340006,09/17/2019 08:45:00 PM,281,1.19,32,8,Nova Taxi Affiliation Llc
3340007,09/17/2019 08:45:00 PM,432,1.71,28,8,Flash Cab
3340008,09/17/2019 08:45:00 PM,339,1.13,8,32,Flash Cab
3340009,09/17/2019 08:45:00 PM,223,0.59,8,8,Flash Cab
3340010,09/17/2019 08:45:00 PM,340,1.13,3,3,Flash Cab
3340011,09/17/2019 08:45:00 PM,437,1.43,8,28,Sun Taxi
3340012,09/17/2019 08:45:00 PM,412,1.09,32,28,Flash Cab
3340013,09/17/2019 08:45:00 PM,346,0.9,8,8,Medallion Leasin
3340014,09/17/2019 08:45:00 PM,300,1.0,32,8,Star North Management LLC
3340015,09/17/2019 08:45:00 PM,420,1.5,8,8,Taxi Affiliation Services
3340016,09/17/2019 08:45:00 PM,420,1.6,32,8,Top Cab Affiliation
3340017,09/17/2019 08:45:00 PM,360,0.9,8,28,Taxi Affiliation Services
3340018,09/17/2019 08:45:00 PM,371,0.75,8,32,Flash Cab
3340019,09/17/2019 08:45:00 PM,319,1.13,8,8,Chicago Carriage Cab Corp
3340020,09/17/2019 08:45:00 PM,452,1.29,8,8,Flash Cab
3340021,09/17/2019 08:45:00 PM,374,1.2,32,33,Taxi Affiliation Service Yellow
3340022,09/17/2019 08:45:00 PM,540,1.1,32,8,Star North Management LLC
3340023,09/17/2019 08:45:00 PM,540,0.9,28,32,Taxi Affiliation Services
3340024,09/17/2019 08:45:00 PM,360,1.0,8,8,Star North Management LLC
3340025,09/17/2019 08:45:00 PM,300,0.8,32,32,Taxi Affiliation Services
3340026,09/17/2019 08:45:00 PM,548,1.65,6,6,City Service
3340027,09/17/2019 08:45:00 PM,496,1.44,8,32,Flash Cab
3340028,09/17/2019 08:45:00 PM,445,1.29,32,28,Chicago Carriage Cab Corp
3340029,09/17/2019 08:45:00 PM,480,1.5,8,8,Taxi Affiliation Services
3340030,09/17/2019 08:45:00 PM,300,0.7,32,32,3591 - 63480 Chuks Cab
3340031,09/17/2019 08:45:00 PM,265,0.64,8,8,City Service
3340032,09/17/2019 08:45:00 PM,300,0.9,8,32,KOAM Taxi Association
3340033,09/17/2019 08:45:00 PM,333,1.46,8,8,Chicago Carriage Cab Corp
