,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
3350000,09/18/2019 04:30:00 PM,356,0.84,32,8,Chicago Carriage Cab Corp
3350001,09/18/2019 04:30:00 PM,420,1.3,32,8,Taxi Affiliation Services
3350002,09/18/2019 04:30:00 PM,540,1.5,32,32,2092 - 61288 Sbeih company
3350003,09/18/2019 04:30:00 PM,312,0.83,32,32,Chicago Carriage Cab Corp
3350004,09/18/2019 04:30:00 PM,334,0.99,32,32,Flash Cab
3350005,09/18/2019 04:30:00 PM,497,0.75,32,32,Flash Cab
3350006,09/18/2019 04:30:00 PM,435,0.79,8,28,Chicago Carriage Cab Corp
3350007,09/18/2019 04:30:00 PM,240,0.7,6,7,Medallion Leasin
3350008,09/18/2019 04:30:00 PM,240,0.6,32,28,Star North Management LLC
3350009,09/18/2019 04:30:00 PM,573,1.2,32,28,Chicago Independents
3350010,09/18/2019 04:30:00 PM,250,0.61,32,32,Nova Taxi Affiliation Llc
3350011,09/18/2019 04:30:00 PM,360,0.6,8,32,Star North Management LLC
3350012,09/18/2019 04:30:00 PM,443,0.96,32,32,Flash Cab
3350013,09/18/2019 04:30:00 PM,360,0.8,28,32,"Taxicab Insurance Agency, LLC"
3350014,09/18/2019 04:30:00 PM,540,1.4,32,32,City Service
3350015,09/18/2019 04:30:00 PM,480,1.1,8,32,Taxi Affiliation Services
3350016,09/18/2019 04:30:00 PM,300,0.6,32,28,Star North Management LLC
3350017,09/18/2019 04:30:00 PM,540,1.4,8,32,"Taxicab Insurance Agency, LLC"
3350018,09/18/2019 04:30:00 PM,3600,1.1,76,8,Taxi Affiliation Services
3350019,09/18/2019 04:30:00 PM,540,1.1,28,28,Medallion Leasin
3350020,09/18/2019 04:30:00 PM,485,0.78,28,32,Flash Cab
3350021,09/18/2019 04:30:00 PM,540,1.2,32,8,Taxi Affiliation Services
3350022,09/18/2019 04:30:00 PM,198,0.6,28,28,Flash Cab
3350023,09/18/2019 04:30:00 PM,425,1.1,8,8,Chicago Independents
3350024,09/18/2019 04:30:00 PM,534,0.72,32,28,Sun Taxi
3350025,09/18/2019 04:30:00 PM,2706,10.21,33,56,Chicago Carriage Cab Corp
3350026,09/18/2019 04:30:00 PM,554,1.05,32,32,Sun Taxi
3350027,09/18/2019 04:30:00 PM,300,1.0,8,8,Medallion Leasin
3350028,09/18/2019 04:30:00 PM,240,0.9,32,8,City Service
3350029,09/18/2019 04:30:00 PM,403,0.91,8,8,Flash Cab
3350030,09/18/2019 04:30:00 PM,552,1.4,28,28,Flash Cab
3350031,09/18/2019 04:30:00 PM,3420,1.1,76,32,Taxi Affiliation Services
3350032,09/18/2019 04:30:00 PM,571,1.21,27,27,Flash Cab
3350033,09/18/2019 04:30:00 PM,480,1.4,28,32,Taxi Affiliation Services
3350034,09/18/2019 04:30:00 PM,272,0.7,32,32,Sun Taxi
3350035,09/18/2019 04:30:00 PM,300,0.7,32,32,Taxi Affiliation Services
3350036,09/18/2019 04:30:00 PM,428,0.6,32,28,Medallion Leasin
3350037,09/18/2019 04:30:00 PM,480,1.0,32,32,Star North Management LLC
3350038,09/18/2019 04:30:00 PM,564,1.08,32,28,Flash Cab
3350039,09/18/2019 04:30:00 PM,247,0.7,28,28,City Service
3350040,09/18/2019 04:30:00 PM,324,0.65,32,32,City Service
3350041,09/18/2019 04:30:00 PM,526,1.05,32,32,Chicago Carriage Cab Corp
3350042,09/18/2019 04:30:00 PM,528,0.72,8,28,Chicago Carriage Cab Corp
3350043,09/18/2019 04:30:00 PM,246,0.73,8,8,Flash Cab
3350044,09/18/2019 04:30:00 PM,420,1.6,8,32,Choice Taxi Association
3350045,09/18/2019 04:30:00 PM,407,1.45,33,32,Chicago Carriage Cab Corp
3350046,09/18/2019 04:30:00 PM,300,0.7,32,8,Choice Taxi Association
3350047,09/18/2019 04:30:00 PM,397,0.83,32,32,Chicago Carriage Cab Corp
3350048,09/18/2019 04:30:00 PM,480,1.1,8,32,"Taxicab Insurance Agency, LLC"
3350049,09/18/2019 04:30:00 PM,346,0.63,32,28,Chicago Carriage Cab Corp
3350050,09/18/2019 04:30:00 PM,508,1.02,32,28,Sun Taxi
3350051,09/18/2019 04:30:00 PM,522,1.27,32,8,Flash Cab
3350052,09/18/2019 04:30:00 PM,2160,0.8,56,8,Taxi Affiliation Services
3350053,09/18/2019 04:30:00 PM,540,1.09,8,8,Chicago Carriage Cab Corp
3350054,09/18/2019 04:30:00 PM,2220,10.9,32,1,KOAM Taxi Association
3350055,09/18/2019 04:30:00 PM,582,0.97,28,32,Sun Taxi
3350056,09/18/2019 04:30:00 PM,400,0.9,8,32,Nova Taxi Affiliation Llc
3350057,09/18/2019 04:30:00 PM,420,1.0,32,32,Taxi Affiliation Services
3350058,09/18/2019 04:30:00 PM,249,0.88,32,28,Chicago Carriage Cab Corp
3350059,09/18/2019 04:30:00 PM,540,1.8,8,28,Taxi Affiliation Services
3350060,09/18/2019 04:30:00 PM,558,1.48,32,8,Chicago Carriage Cab Corp
