,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
3370000,09/19/2019 10:45:00 PM,489,1.2,8,28,City Service
3370001,09/19/2019 10:45:00 PM,594,1.9,28,24,City Service
3370002,09/19/2019 10:45:00 PM,184,0.55,7,8,Chicago Carriage Cab Corp
3370003,09/19/2019 10:45:00 PM,301,0.8,8,32,Medallion Leasin
3370004,09/19/2019 10:45:00 PM,190,0.66,8,8,Nova Taxi Affiliation Llc
3370005,09/19/2019 10:45:00 PM,322,0.89,8,8,Patriot Taxi Dba Peace Taxi Associat
3370006,09/19/2019 10:45:00 PM,420,1.5,8,32,"Taxicab Insurance Agency, LLC"
3370007,09/19/2019 10:45:00 PM,427,1.27,8,7,Chicago Carriage Cab Corp
3370008,09/19/2019 10:45:00 PM,360,0.8,8,8,Taxi Affiliation Services
3370009,09/19/2019 10:45:00 PM,204,0.7,8,8,Flash Cab
3370010,09/19/2019 10:45:00 PM,431,0.98,32,32,Flash Cab
3370011,09/19/2019 10:45:00 PM,393,1.1,32,8,Flash Cab
3370012,09/19/2019 10:45:00 PM,366,1.47,8,8,Chicago Carriage Cab Corp
3370013,09/19/2019 10:45:00 PM,585,1.49,8,32,Flash Cab
3370014,09/19/2019 10:45:00 PM,258,0.9,8,8,City Service
3370015,09/19/2019 10:45:00 PM,416,1.0,8,32,Medallion Leasin
3370016,09/19/2019 10:45:00 PM,461,1.69,8,8,Chicago Carriage Cab Corp
3370017,09/19/2019 10:45:00 PM,480,1.3,32,8,Taxi Affiliation Services
3370018,09/19/2019 10:45:00 PM,240,1.1,32,8,Star North Management LLC
3370019,09/19/2019 10:45:00 PM,360,0.9,8,8,Star North Management LLC
3370020,09/19/2019 10:45:00 PM,192,0.83,8,8,Chicago Carriage Cab Corp
3370021,09/19/2019 10:45:00 PM,510,1.48,8,8,Chicago Carriage Cab Corp
3370022,09/19/2019 10:45:00 PM,508,1.62,24,24,Flash Cab
3370023,09/19/2019 10:45:00 PM,540,1.4,32,8,Taxi Affiliation Services
3370024,09/19/2019 10:45:00 PM,289,0.85,32,32,Sun Taxi
3370025,09/19/2019 10:45:00 PM,218,0.98,33,33,Flash Cab
3370026,09/19/2019 10:45:00 PM,435,1.9,7,8,City Service
3370027,09/19/2019 10:45:00 PM,324,1.14,8,32,Chicago Carriage Cab Corp
3370028,09/19/2019 10:45:00 PM,258,0.6,8,8,City Service
3370029,09/19/2019 10:45:00 PM,468,1.39,8,32,Flash Cab
3370030,09/19/2019 10:45:00 PM,360,1.1,32,8,Star North Management LLC
3370031,09/19/2019 10:45:00 PM,429,1.0,32,8,Medallion Leasin
3370032,09/19/2019 10:45:00 PM,279,1.11,7,7,Sun Taxi
3370033,09/19/2019 10:45:00 PM,420,1.0,32,8,Taxi Affiliation Services
3370034,09/19/2019 10:45:00 PM,294,0.77,8,32,Sun Taxi
3370035,09/19/2019 10:45:00 PM,414,1.69,32,8,Flash Cab
3370036,09/19/2019 10:45:00 PM,312,0.95,28,28,Flash Cab
3370037,09/19/2019 10:45:00 PM,391,1.02,8,32,Chicago Carriage Cab Corp
3370038,09/19/2019 10:45:00 PM,360,1.5,32,8,Taxi Affiliation Services
3370039,09/19/2019 10:45:00 PM,300,1.0,32,8,Taxi Affiliation Services
3370040,09/19/2019 10:45:00 PM,305,1.17,6,6,Flash Cab
3370041,09/19/2019 10:45:00 PM,420,1.2,8,7,Medallion Leasin
3370042,09/19/2019 10:45:00 PM,480,1.2,8,32,Taxi Affiliation Services
3370043,09/19/2019 10:45:00 PM,240,0.9,28,28,Star North Management LLC
3370044,09/19/2019 10:45:00 PM,360,1.3,32,28,Star North Management LLC
3370045,09/19/2019 10:45:00 PM,550,1.9,32,8,City Service
3370046,09/19/2019 10:45:00 PM,278,0.81,8,8,Flash Cab
3370047,09/19/2019 10:45:00 PM,367,1.14,8,32,Sun Taxi
3370048,09/19/2019 10:45:00 PM,456,1.1,8,28,City Service
3370049,09/19/2019 10:45:00 PM,410,1.2,8,32,Medallion Leasin
3370050,09/19/2019 10:45:00 PM,335,0.88,8,8,Nova Taxi Affiliation Llc
3370051,09/19/2019 10:45:00 PM,478,1.7,7,8,Medallion Leasin
3370052,09/19/2019 10:45:00 PM,362,1.18,6,7,Nova Taxi Affiliation Llc
3370053,09/19/2019 10:45:00 PM,559,1.34,6,6,Patriot Taxi Dba Peace Taxi Associat
3370054,09/19/2019 10:45:00 PM,22,1.77,8,8,Nova Taxi Affiliation Llc
3370055,09/19/2019 10:45:00 PM,501,1.95,6,7,Chicago Carriage Cab Corp
3370056,09/19/2019 10:45:00 PM,2100,1.0,76,28,Taxi Affiliation Services
3370057,09/19/2019 10:45:00 PM,240,1.2,8,8,Medallion Leasin
3370058,09/19/2019 10:45:00 PM,585,1.97,8,8,Chicago Carriage Cab Corp
3370059,09/19/2019 10:45:00 PM,509,0.96,8,8,Blue Diamond
3370060,09/19/2019 10:45:00 PM,480,1.6,8,8,"Taxicab Insurance Agency, LLC"
3370061,09/19/2019 10:45:00 PM,240,0.9,8,8,Taxi Affiliation Services
3370062,09/19/2019 10:45:00 PM,420,1.0,32,32,Taxi Affiliation Services
3370063,09/19/2019 10:45:00 PM,247,0.92,8,8,Chicago Carriage Cab Corp
3370064,09/19/2019 10:45:00 PM,433,1.61,8,8,Chicago Carriage Cab Corp
3370065,09/19/2019 10:45:00 PM,480,1.6,32,24,City Service
3370066,09/19/2019 10:45:00 PM,579,1.77,6,7,City Service
3370067,09/19/2019 10:45:00 PM,300,0.9,32,32,Medallion Leasin
3370068,09/19/2019 10:45:00 PM,346,1.27,2,2,Flash Cab
3370069,09/19/2019 10:45:00 PM,300,0.8,6,7,Star North Management LLC
3370070,09/19/2019 10:45:00 PM,420,1.6,8,32,Choice Taxi Association
3370071,09/19/2019 10:45:00 PM,420,1.0,8,8,Medallion Leasin
3370072,09/19/2019 10:45:00 PM,468,1.81,28,28,Chicago Carriage Cab Corp
3370073,09/19/2019 10:45:00 PM,394,1.3,32,8,City Service
3370074,09/19/2019 10:45:00 PM,341,1.32,8,8,Flash Cab
3370075,09/19/2019 10:45:00 PM,473,1.81,8,24,City Service
3370076,09/19/2019 10:45:00 PM,420,1.2,8,32,Star North Management LLC
3370077,09/19/2019 11:00:00 PM,2940,1.1,76,32,Taxi Affiliation Services
3370078,09/19/2019 11:00:00 PM,381,1.4,8,7,City Service
3370079,09/19/2019 11:00:00 PM,506,1.36,7,8,Chicago Carriage Cab Corp
3370080,09/19/2019 11:00:00 PM,361,1.12,32,8,City Service
3370081,09/19/2019 11:00:00 PM,415,1.31,8,7,Chicago Carriage Cab Corp
3370082,09/19/2019 11:00:00 PM,400,1.38,6,7,Chicago Carriage Cab Corp
3370083,09/19/2019 11:00:00 PM,480,1.3,8,8,"Taxicab Insurance Agency, LLC"
3370084,09/19/2019 11:00:00 PM,378,1.48,28,24,City Service
3370085,09/19/2019 11:00:00 PM,420,1.3,6,7,Top Cab Affiliation
3370086,09/19/2019 11:00:00 PM,412,1.56,6,5,Chicago Carriage Cab Corp
3370087,09/19/2019 11:00:00 PM,274,0.58,8,8,Sun Taxi
3370088,09/19/2019 11:00:00 PM,355,0.92,8,8,City Service
3370089,09/19/2019 11:00:00 PM,360,1.5,6,7,City Service
3370090,09/19/2019 11:00:00 PM,480,1.7,32,8,KOAM Taxi Association
3370091,09/19/2019 11:00:00 PM,377,1.06,8,8,Patriot Taxi Dba Peace Taxi Associat
3370092,09/19/2019 11:00:00 PM,420,1.5,8,32,Medallion Leasin
3370093,09/19/2019 11:00:00 PM,583,1.38,8,8,City Service
3370094,09/19/2019 11:00:00 PM,402,0.99,32,32,Chicago Carriage Cab Corp
3370095,09/19/2019 11:00:00 PM,540,1.8,32,8,Star North Management LLC
3370096,09/19/2019 11:00:00 PM,432,1.44,8,32,Chicago Carriage Cab Corp
