,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
3390000,09/21/2019 04:15:00 PM,246,1.3,6,6,American United Taxi Affiliation
3390001,09/21/2019 04:15:00 PM,557,1.57,8,28,Sun Taxi
3390002,09/21/2019 04:15:00 PM,420,1.6,32,33,Choice Taxi Association
3390003,09/21/2019 04:15:00 PM,270,1.0,33,33,Leonard Cab Co
3390004,09/21/2019 04:15:00 PM,1813,10.6,6,33,City Service
3390005,09/21/2019 04:15:00 PM,420,1.3,32,28,"Taxicab Insurance Agency, LLC"
3390006,09/21/2019 04:15:00 PM,420,1.2,8,8,"Taxicab Insurance Agency, LLC"
3390007,09/21/2019 04:15:00 PM,406,1.24,8,8,City Service
3390008,09/21/2019 04:15:00 PM,495,1.0,8,8,Patriot Taxi Dba Peace Taxi Associat
3390009,09/21/2019 04:15:00 PM,357,1.1,32,8,Sun Taxi
3390010,09/21/2019 04:15:00 PM,450,1.43,24,8,City Service
3390011,09/21/2019 04:15:00 PM,300,1.8,76,76,Taxi Affiliation Services
3390012,09/21/2019 04:15:00 PM,3120,1.0,76,32,Taxi Affiliation Services
3390013,09/21/2019 04:15:00 PM,414,0.66,6,6,Flash Cab
3390014,09/21/2019 04:15:00 PM,528,0.6,32,8,Checker Taxi Affiliation
3390015,09/21/2019 04:15:00 PM,367,0.81,8,24,City Service
3390016,09/21/2019 04:15:00 PM,271,0.59,8,8,Chicago Carriage Cab Corp
3390017,09/21/2019 04:15:00 PM,449,1.7,7,7,Sun Taxi
3390018,09/21/2019 04:15:00 PM,360,0.6,8,32,Taxi Affiliation Services
3390019,09/21/2019 04:15:00 PM,562,1.63,8,7,Flash Cab
3390020,09/21/2019 04:15:00 PM,526,0.76,8,8,Flash Cab
3390021,09/21/2019 04:15:00 PM,435,1.64,28,28,Flash Cab
3390022,09/21/2019 04:15:00 PM,540,1.4,8,24,Taxi Affiliation Services
3390023,09/21/2019 04:15:00 PM,395,0.95,32,8,Flash Cab
3390024,09/21/2019 04:15:00 PM,535,1.75,2,1,Flash Cab
3390025,09/21/2019 04:15:00 PM,348,1.14,32,32,Patriot Taxi Dba Peace Taxi Associat
3390026,09/21/2019 04:15:00 PM,394,1.0,8,8,City Service
3390027,09/21/2019 04:15:00 PM,372,1.1,32,32,Leonard Cab Co
3390028,09/21/2019 04:15:00 PM,540,1.2,24,8,Medallion Leasin
3390029,09/21/2019 04:15:00 PM,595,1.65,6,5,Flash Cab
3390030,09/21/2019 04:15:00 PM,287,0.66,8,8,Flash Cab
3390031,09/21/2019 04:15:00 PM,439,0.92,28,32,City Service
3390032,09/21/2019 04:15:00 PM,534,1.43,16,14,Flash Cab
3390033,09/21/2019 04:15:00 PM,509,1.76,33,32,Chicago Carriage Cab Corp
