,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
3400000,09/22/2019 05:00:00 PM,234,0.67,32,8,Sun Taxi
3400001,09/22/2019 05:00:00 PM,300,1.2,32,8,Medallion Leasin
3400002,09/22/2019 05:00:00 PM,528,1.84,33,33,Chicago Carriage Cab Corp
3400003,09/22/2019 05:00:00 PM,488,1.0,32,28,Chicago Independents
3400004,09/22/2019 05:00:00 PM,292,0.55,76,76,Sun Taxi
3400005,09/22/2019 05:00:00 PM,360,1.0,8,8,Top Cab Affiliation
3400006,09/22/2019 05:00:00 PM,474,1.97,33,32,Chicago Carriage Cab Corp
3400007,09/22/2019 05:00:00 PM,240,0.9,6,6,Choice Taxi Association
3400008,09/22/2019 05:00:00 PM,329,0.57,32,32,Flash Cab
3400009,09/22/2019 05:00:00 PM,306,0.58,8,8,Sun Taxi
3400010,09/22/2019 05:00:00 PM,2940,1.1,76,32,Taxi Affiliation Services
3400011,09/22/2019 05:00:00 PM,333,0.66,32,8,Sun Taxi
3400012,09/22/2019 05:00:00 PM,584,1.36,32,32,Sun Taxi
3400013,09/22/2019 05:00:00 PM,443,0.61,8,8,Sun Taxi
3400014,09/22/2019 05:00:00 PM,295,0.6,8,8,City Service
3400015,09/22/2019 05:00:00 PM,182,0.64,33,32,Chicago Carriage Cab Corp
3400016,09/22/2019 05:00:00 PM,538,1.8,8,8,Flash Cab
3400017,09/22/2019 05:00:00 PM,480,1.1,8,28,Star North Management LLC
3400018,09/22/2019 05:00:00 PM,506,1.16,8,32,City Service
3400019,09/22/2019 05:00:00 PM,361,0.65,8,8,Sun Taxi
3400020,09/22/2019 05:00:00 PM,330,1.07,8,8,Chicago Carriage Cab Corp
3400021,09/22/2019 05:00:00 PM,395,0.96,8,8,Flash Cab
3400022,09/22/2019 05:00:00 PM,420,1.2,28,32,Taxi Affiliation Services
3400023,09/22/2019 05:00:00 PM,300,0.6,8,32,Taxi Affiliation Services
3400024,09/22/2019 05:00:00 PM,420,1.1,8,32,Star North Management LLC
3400025,09/22/2019 05:00:00 PM,420,0.9,8,8,KOAM Taxi Association
3400026,09/22/2019 05:00:00 PM,588,1.66,7,7,Flash Cab
3400027,09/22/2019 05:00:00 PM,3120,0.9,7,76,Taxi Affiliation Services
3400028,09/22/2019 05:00:00 PM,349,0.58,8,8,Nova Taxi Affiliation Llc
3400029,09/22/2019 05:00:00 PM,540,1.1,6,6,Taxi Affiliation Services
3400030,09/22/2019 05:00:00 PM,540,1.4,32,8,Choice Taxi Association
3400031,09/22/2019 05:00:00 PM,316,0.62,8,8,Flash Cab
3400032,09/22/2019 05:00:00 PM,555,1.1,8,8,Nova Taxi Affiliation Llc
