,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
3410000,09/23/2019 03:45:00 PM,540,1.6,32,8,Choice Taxi Association
3410001,09/23/2019 03:45:00 PM,385,1.08,28,32,Flash Cab
3410002,09/23/2019 03:45:00 PM,197,0.51,32,28,Chicago Carriage Cab Corp
3410003,09/23/2019 03:45:00 PM,470,1.36,28,8,Flash Cab
3410004,09/23/2019 03:45:00 PM,2280,1.5,8,8,Taxi Affiliation Services
3410005,09/23/2019 03:45:00 PM,543,1.05,8,8,City Service
3410006,09/23/2019 03:45:00 PM,516,1.78,32,8,Chicago Carriage Cab Corp
3410007,09/23/2019 03:45:00 PM,479,1.1,32,28,Taxi Affiliation Service Yellow
3410008,09/23/2019 03:45:00 PM,360,1.0,32,8,Taxi Affiliation Services
3410009,09/23/2019 03:45:00 PM,467,0.66,28,28,Flash Cab
3410010,09/23/2019 03:45:00 PM,480,1.0,32,8,Star North Management LLC
3410011,09/23/2019 03:45:00 PM,526,0.94,32,32,City Service
3410012,09/23/2019 03:45:00 PM,201,0.51,6,6,Flash Cab
3410013,09/23/2019 04:00:00 PM,420,0.9,8,28,Taxi Affiliation Services
3410014,09/23/2019 04:00:00 PM,203,0.82,8,32,Sun Taxi
3410015,09/23/2019 04:00:00 PM,592,0.66,8,8,Sun Taxi
3410016,09/23/2019 04:00:00 PM,563,1.11,32,8,Flash Cab
3410017,09/23/2019 04:00:00 PM,197,0.6,32,8,Chicago Independents
3410018,09/23/2019 04:00:00 PM,240,0.7,32,32,Taxi Affiliation Services
3410019,09/23/2019 04:00:00 PM,360,0.8,8,32,Star North Management LLC
3410020,09/23/2019 04:00:00 PM,2520,1.1,32,76,Taxi Affiliation Services
3410021,09/23/2019 04:00:00 PM,334,0.99,32,8,Sun Taxi
3410022,09/23/2019 04:00:00 PM,477,1.03,8,32,Flash Cab
3410023,09/23/2019 04:00:00 PM,354,0.91,32,32,City Service
3410024,09/23/2019 04:00:00 PM,384,0.87,32,8,Chicago Carriage Cab Corp
3410025,09/23/2019 04:00:00 PM,414,0.82,32,28,24 Seven Taxi
3410026,09/23/2019 04:00:00 PM,300,0.8,42,43,Taxi Affiliation Services
3410027,09/23/2019 04:00:00 PM,230,0.74,32,28,Chicago Carriage Cab Corp
