,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
3480000,09/28/2019 02:45:00 PM,218,0.61,33,32,Taxi Affiliation Service Yellow
3480001,09/28/2019 03:00:00 PM,480,1.2,8,32,"Taxicab Insurance Agency, LLC"
3480002,09/28/2019 03:00:00 PM,540,1.7,8,8,Star North Management LLC
3480003,09/28/2019 03:00:00 PM,2220,0.8,8,56,Taxi Affiliation Services
3480004,09/28/2019 03:00:00 PM,405,0.75,8,8,Flash Cab
3480005,09/28/2019 03:00:00 PM,2220,0.8,76,6,Blue Ribbon Taxi Association Inc.
3480006,09/28/2019 03:00:00 PM,540,0.8,8,8,Medallion Leasin
3480007,09/28/2019 03:00:00 PM,360,1.1,32,28,Taxi Affiliation Services
3480008,09/28/2019 03:00:00 PM,267,1.0,3,3,Taxi Affiliation Service Yellow
3480009,09/28/2019 03:00:00 PM,2040,1.0,76,24,Taxi Affiliation Services
3480010,09/28/2019 03:00:00 PM,540,0.8,28,32,Medallion Leasin
3480011,09/28/2019 03:00:00 PM,562,1.44,8,8,Sun Taxi
3480012,09/28/2019 03:00:00 PM,540,0.9,8,32,Taxi Affiliation Services
3480013,09/28/2019 03:00:00 PM,589,0.98,32,8,Chicago Carriage Cab Corp
3480014,09/28/2019 03:00:00 PM,502,1.63,1,77,Flash Cab
3480015,09/28/2019 03:00:00 PM,480,0.9,8,32,Taxi Affiliation Services
3480016,09/28/2019 03:00:00 PM,534,1.35,8,8,Flash Cab
3480017,09/28/2019 03:00:00 PM,493,1.46,8,8,Chicago Independents
3480018,09/28/2019 03:00:00 PM,477,1.12,32,32,Flash Cab
3480019,09/28/2019 03:00:00 PM,545,1.1,32,8,Chicago Carriage Cab Corp
3480020,09/28/2019 03:00:00 PM,453,0.9,32,8,City Service
3480021,09/28/2019 03:00:00 PM,1920,1.0,76,8,Taxi Affiliation Services
3480022,09/28/2019 03:00:00 PM,300,0.8,28,32,Taxi Affiliation Services
3480023,09/28/2019 03:00:00 PM,544,1.05,32,8,Sun Taxi
3480024,09/28/2019 03:00:00 PM,407,1.21,4,3,Flash Cab
3480025,09/28/2019 03:00:00 PM,240,0.8,32,32,Taxi Affiliation Services
3480026,09/28/2019 03:00:00 PM,406,0.61,8,8,Chicago Carriage Cab Corp
3480027,09/28/2019 03:00:00 PM,228,0.76,8,8,Chicago Carriage Cab Corp
3480028,09/28/2019 03:00:00 PM,465,1.09,32,8,Chicago Carriage Cab Corp
3480029,09/28/2019 03:00:00 PM,230,0.76,8,32,Patriot Taxi Dba Peace Taxi Associat
3480030,09/28/2019 03:00:00 PM,507,1.56,15,15,Flash Cab
3480031,09/28/2019 03:00:00 PM,339,0.72,8,8,Flash Cab
3480032,09/28/2019 03:00:00 PM,266,0.53,8,32,Chicago Carriage Cab Corp
3480033,09/28/2019 03:00:00 PM,240,0.7,8,8,Taxi Affiliation Services
3480034,09/28/2019 03:00:00 PM,326,0.57,8,8,City Service
3480035,09/28/2019 03:00:00 PM,540,1.0,32,8,City Service
3480036,09/28/2019 03:00:00 PM,345,0.81,8,8,Flash Cab
3480037,09/28/2019 03:00:00 PM,271,0.75,32,8,Flash Cab
3480038,09/28/2019 03:00:00 PM,300,0.8,32,32,"Taxicab Insurance Agency, LLC"
3480039,09/28/2019 03:00:00 PM,540,0.9,8,8,Taxi Affiliation Services
3480040,09/28/2019 03:00:00 PM,501,1.57,32,28,Chicago Carriage Cab Corp
3480041,09/28/2019 03:00:00 PM,477,1.26,7,24,Flash Cab
3480042,09/28/2019 03:00:00 PM,3420,1.1,8,76,Taxi Affiliation Services
3480043,09/28/2019 03:00:00 PM,578,1.83,32,8,Flash Cab
3480044,09/28/2019 03:00:00 PM,540,0.6,32,8,Taxi Affiliation Services
3480045,09/28/2019 03:00:00 PM,240,0.8,8,8,Taxi Affiliation Services
3480046,09/28/2019 03:00:00 PM,360,1.0,32,8,Taxi Affiliation Services
3480047,09/28/2019 03:00:00 PM,526,1.53,8,8,Chicago Carriage Cab Corp
3480048,09/28/2019 03:00:00 PM,251,0.6,33,33,City Service
3480049,09/28/2019 03:00:00 PM,533,1.12,8,32,Sun Taxi
3480050,09/28/2019 03:00:00 PM,254,0.63,33,33,Sun Taxi
3480051,09/28/2019 03:00:00 PM,511,1.54,8,32,Chicago Carriage Cab Corp
3480052,09/28/2019 03:00:00 PM,360,1.1,8,8,Taxi Affiliation Services
3480053,09/28/2019 03:00:00 PM,420,0.9,32,8,Medallion Leasin
3480054,09/28/2019 03:00:00 PM,277,0.6,8,8,Chicago Carriage Cab Corp
3480055,09/28/2019 03:00:00 PM,347,1.19,32,28,Chicago Carriage Cab Corp
3480056,09/28/2019 03:00:00 PM,216,0.65,8,8,Flash Cab
3480057,09/28/2019 03:00:00 PM,197,0.52,8,8,Flash Cab
3480058,09/28/2019 03:00:00 PM,384,1.36,7,7,Checker Taxi Affiliation
3480059,09/28/2019 03:00:00 PM,480,0.9,8,32,Choice Taxi Association
3480060,09/28/2019 03:00:00 PM,523,0.89,8,8,Flash Cab
3480061,09/28/2019 03:00:00 PM,182,0.54,7,8,Patriot Taxi Dba Peace Taxi Associat
3480062,09/28/2019 03:00:00 PM,420,1.4,6,3,Taxi Affiliation Services
3480063,09/28/2019 03:00:00 PM,540,1.2,32,8,Medallion Leasin
3480064,09/28/2019 03:00:00 PM,2760,10.5,8,8,Medallion Leasin
3480065,09/28/2019 03:00:00 PM,480,1.1,8,8,Star North Management LLC
3480066,09/28/2019 03:00:00 PM,2640,10.6,25,62,Taxi Affiliation Services
3480067,09/28/2019 03:00:00 PM,418,1.1,32,8,Chicago Carriage Cab Corp
3480068,09/28/2019 03:00:00 PM,416,0.84,8,32,Flash Cab
3480069,09/28/2019 03:00:00 PM,439,1.1,8,32,Taxi Affiliation Service Yellow
3480070,09/28/2019 03:00:00 PM,420,1.0,32,8,Taxi Affiliation Services
3480071,09/28/2019 03:00:00 PM,480,1.5,8,28,Taxi Affiliation Services
3480072,09/28/2019 03:00:00 PM,489,0.74,8,8,Flash Cab
3480073,09/28/2019 03:00:00 PM,476,1.09,32,32,24 Seven Taxi
3480074,09/28/2019 03:00:00 PM,373,1.31,8,8,Chicago Independents
3480075,09/28/2019 03:00:00 PM,581,1.37,32,8,Sun Taxi
3480076,09/28/2019 03:00:00 PM,454,1.04,8,8,Flash Cab
3480077,09/28/2019 03:00:00 PM,465,1.25,7,8,Flash Cab
3480078,09/28/2019 03:00:00 PM,3174,10.64,77,77,Flash Cab
3480079,09/28/2019 03:00:00 PM,240,0.6,28,32,Taxi Affiliation Services
3480080,09/28/2019 03:00:00 PM,368,1.01,33,32,Chicago Carriage Cab Corp
3480081,09/28/2019 03:00:00 PM,480,0.6,32,8,Taxi Affiliation Services
3480082,09/28/2019 03:00:00 PM,557,1.4,6,6,Flash Cab
3480083,09/28/2019 03:00:00 PM,402,1.24,33,32,Chicago Carriage Cab Corp
3480084,09/28/2019 03:00:00 PM,480,1.4,8,7,Top Cab Affiliation
3480085,09/28/2019 03:00:00 PM,305,1.13,32,8,Chicago Carriage Cab Corp
3480086,09/28/2019 03:00:00 PM,400,1.13,28,32,Blue Diamond
3480087,09/28/2019 03:00:00 PM,567,1.32,8,8,Sun Taxi
3480088,09/28/2019 03:00:00 PM,420,1.0,8,8,Choice Taxi Association
