,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
3490000,09/29/2019 06:30:00 PM,322,0.8,28,32,Chicago Carriage Cab Corp
3490001,09/29/2019 06:30:00 PM,571,1.7,28,8,Taxi Affiliation Service Yellow
3490002,09/29/2019 06:30:00 PM,386,1.01,28,32,City Service
3490003,09/29/2019 06:30:00 PM,540,1.7,3,6,Star North Management LLC
3490004,09/29/2019 06:30:00 PM,300,1.3,8,8,Star North Management LLC
3490005,09/29/2019 06:30:00 PM,521,0.73,4,4,Flash Cab
3490006,09/29/2019 06:30:00 PM,540,1.3,8,8,City Service
3490007,09/29/2019 06:30:00 PM,453,0.9,8,8,Chicago Independents
3490008,09/29/2019 06:30:00 PM,1860,0.9,76,24,Blue Ribbon Taxi Association Inc.
3490009,09/29/2019 06:30:00 PM,420,0.8,8,8,Top Cab Affiliation
3490010,09/29/2019 06:30:00 PM,496,1.18,8,8,Chicago Carriage Cab Corp
3490011,09/29/2019 06:30:00 PM,1920,1.0,76,32,Taxi Affiliation Services
3490012,09/29/2019 06:30:00 PM,240,0.8,8,8,Choice Taxi Association
3490013,09/29/2019 06:30:00 PM,420,1.2,32,8,Taxi Affiliation Services
3490014,09/29/2019 06:30:00 PM,553,1.9,28,24,Sun Taxi
3490015,09/29/2019 06:30:00 PM,276,0.98,8,32,Chicago Carriage Cab Corp
3490016,09/29/2019 06:30:00 PM,386,1.47,32,28,Chicago Carriage Cab Corp
3490017,09/29/2019 06:30:00 PM,295,0.96,8,8,City Service
3490018,09/29/2019 06:30:00 PM,456,1.0,32,32,Medallion Leasin
3490019,09/29/2019 06:30:00 PM,461,1.22,76,76,Sun Taxi
3490020,09/29/2019 06:30:00 PM,240,0.8,8,8,KOAM Taxi Association
3490021,09/29/2019 06:30:00 PM,476,1.46,28,32,Taxi Affiliation Service Yellow
3490022,09/29/2019 06:30:00 PM,302,0.8,28,28,Setare Inc
3490023,09/29/2019 06:30:00 PM,1980,0.7,32,56,Taxi Affiliation Services
3490024,09/29/2019 06:30:00 PM,420,1.7,8,8,Taxi Affiliation Services
3490025,09/29/2019 06:30:00 PM,480,1.3,8,8,Taxi Affiliation Services
