,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
340000,01/27/2019 10:15:00 PM,446,1.73,8,7,Flash Cab
340001,01/27/2019 10:15:00 PM,244,0.95,32,8,Chicago Carriage Cab Corp
340002,01/27/2019 10:15:00 PM,343,1.7,11,15,City Service
340003,01/27/2019 10:15:00 PM,551,1.12,8,32,Sun Taxi
340004,01/27/2019 10:15:00 PM,240,0.7,8,32,Medallion Leasin
340005,01/27/2019 10:15:00 PM,339,1.71,4,77,City Service
340006,01/27/2019 10:15:00 PM,216,0.57,21,16,Flash Cab
340007,01/27/2019 10:15:00 PM,199,0.51,8,8,Flash Cab
340008,01/27/2019 10:15:00 PM,251,1.05,8,8,City Service
340009,01/27/2019 10:15:00 PM,329,1.09,8,32,Chicago Carriage Cab Corp
340010,01/27/2019 10:15:00 PM,306,1.15,28,32,Flash Cab
340011,01/27/2019 10:15:00 PM,475,1.6,8,32,Medallion Leasin
340012,01/27/2019 10:15:00 PM,372,1.5,32,28,Medallion Leasin
340013,01/27/2019 10:15:00 PM,191,0.7,8,8,City Service
340014,01/27/2019 10:15:00 PM,360,1.4,77,2,City Service
340015,01/27/2019 10:15:00 PM,360,1.3,3,77,City Service
340016,01/27/2019 10:15:00 PM,240,0.7,8,32,Medallion Leasin
340017,01/27/2019 10:15:00 PM,379,0.63,32,32,Blue Diamond
340018,01/27/2019 10:15:00 PM,226,0.67,8,8,Taxi Affiliation Service Yellow
340019,01/27/2019 10:15:00 PM,598,1.25,7,8,Taxi Affiliation Service Yellow
340020,01/27/2019 10:15:00 PM,240,0.6,32,32,Medallion Leasin
340021,01/27/2019 10:15:00 PM,224,0.8,32,32,Checker Taxi
340022,01/27/2019 10:15:00 PM,291,1.0,6,6,Flash Cab
340023,01/27/2019 10:15:00 PM,306,1.3,11,15,Flash Cab
340024,01/27/2019 10:15:00 PM,344,1.4,8,8,Flash Cab
340025,01/27/2019 10:15:00 PM,199,0.8,8,32,Flash Cab
340026,01/27/2019 10:30:00 PM,240,1.0,32,32,Blue Ribbon Taxi Association Inc.
340027,01/27/2019 10:30:00 PM,300,1.4,8,8,Taxi Affiliation Services
340028,01/27/2019 10:30:00 PM,240,1.3,7,7,Star North Management LLC
340029,01/27/2019 10:30:00 PM,300,1.4,28,32,Taxi Affiliation Services
340030,01/27/2019 10:30:00 PM,300,1.4,77,2,Medallion Leasin
340031,01/27/2019 10:30:00 PM,240,0.6,27,27,Globe Taxi
340032,01/27/2019 10:30:00 PM,286,1.45,22,21,Sun Taxi
340033,01/27/2019 10:30:00 PM,246,0.79,8,24,City Service
340034,01/27/2019 10:30:00 PM,2700,10.3,76,76,Sun Taxi
340035,01/27/2019 10:30:00 PM,300,1.4,28,32,Medallion Leasin
340036,01/27/2019 10:30:00 PM,360,1.0,32,28,Medallion Leasin
340037,01/27/2019 10:30:00 PM,240,0.6,8,8,Globe Taxi
340038,01/27/2019 10:30:00 PM,317,0.96,8,8,Flash Cab
340039,01/27/2019 10:30:00 PM,480,1.7,8,7,City Service
340040,01/27/2019 10:30:00 PM,360,0.8,77,77,Chicago Independents
340041,01/27/2019 10:30:00 PM,326,0.8,8,8,Medallion Leasin
340042,01/27/2019 10:30:00 PM,282,1.02,14,14,Flash Cab
340043,01/27/2019 10:30:00 PM,191,0.71,6,6,Flash Cab
340044,01/27/2019 10:30:00 PM,382,1.55,28,32,City Service
340045,01/27/2019 10:30:00 PM,351,1.4,8,28,Medallion Leasin
340046,01/27/2019 10:30:00 PM,312,0.84,8,32,Chicago Carriage Cab Corp
340047,01/27/2019 10:30:00 PM,240,1.2,1,3,Medallion Leasin
340048,01/27/2019 10:30:00 PM,527,1.72,28,8,Chicago Carriage Cab Corp
340049,01/27/2019 10:30:00 PM,475,1.78,28,8,Chicago Carriage Cab Corp
340050,01/27/2019 10:30:00 PM,233,0.67,8,8,Taxi Affiliation Service Yellow
340051,01/27/2019 10:30:00 PM,501,1.94,7,8,Flash Cab
340052,01/27/2019 10:30:00 PM,470,1.9,32,33,Taxi Affiliation Service Yellow
340053,01/27/2019 10:30:00 PM,309,0.6,8,8,Flash Cab
340054,01/27/2019 10:30:00 PM,300,1.1,8,32,Flash Cab
340055,01/27/2019 10:45:00 PM,420,1.4,8,32,Choice Taxi Association
340056,01/27/2019 10:45:00 PM,300,0.8,28,28,Star North Management LLC
340057,01/27/2019 10:45:00 PM,300,0.6,32,8,Taxi Affiliation Services
340058,01/27/2019 10:45:00 PM,2040,0.8,76,77,Taxi Affiliation Services
340059,01/27/2019 10:45:00 PM,360,1.3,32,33,Taxi Affiliation Services
340060,01/27/2019 10:45:00 PM,480,1.4,8,32,Star North Management LLC
340061,01/27/2019 10:45:00 PM,240,0.9,8,24,Taxi Affiliation Services
340062,01/27/2019 10:45:00 PM,420,1.4,8,8,Taxi Affiliation Services
340063,01/27/2019 10:45:00 PM,360,1.0,8,32,Choice Taxi Association
340064,01/27/2019 10:45:00 PM,2100,1.9,56,76,Blue Ribbon Taxi Association Inc.
340065,01/27/2019 10:45:00 PM,480,1.8,32,8,Top Cab Affiliation
340066,01/27/2019 10:45:00 PM,300,1.1,28,32,Taxi Affiliation Services
340067,01/27/2019 10:45:00 PM,240,0.7,8,8,Star North Management LLC
