,Trip Start Timestamp,Trip Seconds,Trip Miles,Pickup Community Area,Dropoff Community Area,Company
3500000,09/30/2019 05:45:00 PM,493,1.2,8,32,Medallion Leasin
3500001,09/30/2019 05:45:00 PM,480,1.3,32,8,Chicago Independents
3500002,09/30/2019 05:45:00 PM,385,0.85,8,8,City Service
3500003,09/30/2019 05:45:00 PM,420,1.1,24,8,Star North Management LLC
3500004,09/30/2019 05:45:00 PM,240,0.8,32,32,Medallion Leasin
3500005,09/30/2019 05:45:00 PM,2820,1.0,76,32,Taxi Affiliation Services
3500006,09/30/2019 05:45:00 PM,360,0.8,8,8,KOAM Taxi Association
3500007,09/30/2019 05:45:00 PM,240,0.6,32,32,Medallion Leasin
3500008,09/30/2019 05:45:00 PM,480,1.0,32,32,Star North Management LLC
3500009,09/30/2019 05:45:00 PM,3420,1.1,76,8,Taxi Affiliation Services
3500010,09/30/2019 05:45:00 PM,561,1.31,32,8,Chicago Carriage Cab Corp
3500011,09/30/2019 05:45:00 PM,300,0.9,8,8,Star North Management LLC
3500012,09/30/2019 05:45:00 PM,509,1.24,32,32,Chicago Carriage Cab Corp
3500013,09/30/2019 05:45:00 PM,396,0.78,32,32,City Service
3500014,09/30/2019 05:45:00 PM,460,1.01,11,11,Sun Taxi
3500015,09/30/2019 05:45:00 PM,360,0.6,7,7,Taxi Affiliation Services
3500016,09/30/2019 05:45:00 PM,549,0.62,8,8,Patriot Taxi Dba Peace Taxi Associat
3500017,09/30/2019 05:45:00 PM,490,0.71,32,8,City Service
3500018,09/30/2019 05:45:00 PM,557,1.02,32,28,Flash Cab
3500019,09/30/2019 05:45:00 PM,420,0.9,32,28,Medallion Leasin
3500020,09/30/2019 05:45:00 PM,420,0.9,32,8,Taxi Affiliation Services
3500021,09/30/2019 05:45:00 PM,360,0.8,8,8,Taxi Affiliation Services
3500022,09/30/2019 05:45:00 PM,596,1.16,32,32,Chicago Carriage Cab Corp
3500023,09/30/2019 05:45:00 PM,420,1.5,32,8,Choice Taxi Association
3500024,09/30/2019 05:45:00 PM,314,0.62,8,28,City Service
3500025,09/30/2019 05:45:00 PM,420,1.5,32,8,Taxi Affiliation Services
3500026,09/30/2019 05:45:00 PM,360,1.6,32,28,Taxi Affiliation Services
3500027,09/30/2019 05:45:00 PM,360,0.7,32,28,Taxi Affiliation Services
3500028,09/30/2019 05:45:00 PM,2340,10.8,37,6,Taxi Affiliation Services
3500029,09/30/2019 05:45:00 PM,532,1.63,28,8,Flash Cab
3500030,09/30/2019 05:45:00 PM,291,0.9,28,32,Chicago Carriage Cab Corp
3500031,09/30/2019 05:45:00 PM,240,0.7,28,28,Medallion Leasin
3500032,09/30/2019 05:45:00 PM,457,1.3,8,8,City Service
3500033,09/30/2019 05:45:00 PM,536,0.79,32,8,Sun Taxi
3500034,09/30/2019 05:45:00 PM,265,0.73,32,32,Patriot Taxi Dba Peace Taxi Associat
3500035,09/30/2019 05:45:00 PM,205,0.51,32,28,Sun Taxi
3500036,09/30/2019 05:45:00 PM,397,0.99,28,28,Patriot Taxi Dba Peace Taxi Associat
3500037,09/30/2019 05:45:00 PM,2068,10.98,32,46,5 Star Taxi
3500038,09/30/2019 05:45:00 PM,300,0.6,8,32,Taxi Affiliation Services
3500039,09/30/2019 05:45:00 PM,376,0.6,32,32,City Service
3500040,09/30/2019 05:45:00 PM,561,1.7,32,8,City Service
3500041,09/30/2019 05:45:00 PM,417,1.34,28,8,Chicago Carriage Cab Corp
3500042,09/30/2019 05:45:00 PM,420,0.6,32,28,Chicago Medallion Management
3500043,09/30/2019 05:45:00 PM,410,0.9,8,28,City Service
3500044,09/30/2019 05:45:00 PM,511,0.94,32,32,Nova Taxi Affiliation Llc
3500045,09/30/2019 05:45:00 PM,363,0.66,8,32,24 Seven Taxi
3500046,09/30/2019 05:45:00 PM,238,0.64,33,33,Chicago Carriage Cab Corp
3500047,09/30/2019 05:45:00 PM,360,1.1,32,33,Star North Management LLC
3500048,09/30/2019 05:45:00 PM,360,1.3,8,7,Star North Management LLC
3500049,09/30/2019 05:45:00 PM,375,0.7,32,32,Chicago Taxicab
3500050,09/30/2019 05:45:00 PM,486,0.93,8,28,City Service
3500051,09/30/2019 05:45:00 PM,361,0.73,8,8,Flash Cab
3500052,09/30/2019 05:45:00 PM,420,0.9,33,33,Taxi Affiliation Services
